registro_id,data_chamado,cidade,uf,bairro,cliente_id,profissional_id,tipo_servico,especialidade_profissional,urgencia,distancia_km,tempo_deslocamento_min,tempo_execucao_min,tempo_total_min,valor_orcamento,valor_pago,avaliacao_cliente,reclamacao,retorno_correcao,dias_desde_ultimo_uso,idade_imovel_anos,cupom_utilizado,status_chamado,observacao
FIX-00014,2025-05-14,Goiânia,GO,Industrial,C452,P24,hidraulica,montador,media,1.04,15,91,106,"849,77",808.8,4.0,nao,nao,325,75,sim,em_andamento,
FIX-00015,2025-06-01,Curitiba,PR,Santa Maria,C299,P61,eletrica,pintor,alta,3.43,26,27,53,779.36,790.7,3.9,sim,nao,211,14,nao,procesado,
FIX-00016,2025-09-29,Uberaba,MG,Jardim America,C330,P72,eletrica,eletricista,media,14.97,71,143,214,597.52,697.81,4.4,nao,nao,47,79,sim,cancelado,
FIX-00017,2025-02-11,Curitiba,PR,Industrial,C102,P93,eletrica,encanador,emergencial,6.6,39,95,134,744.19,703.11,"4,6",nao,nao,11,37,sim,procesado,
FIX-00018,01-08-2025,Goiânia,GO,Boa Vista,C197,P137,montagem_moveis,encanador,media,4.15,45,38,83,136.74,"151,42",5,nao,nao,124,79,sim,em_andamento,
FIX-00019,2025-08-15,Salvador,BA,Morumbi,C189,P10,jardinagem,encanador,baixa,12.56,76,64,140,440.51,353.09,3.4,sim,nao,120,41,sim,cancelado,
FIX-00020,30/05/2025,Salvador,BA,Santa Maria,C6,P92,pintura,eletricista,media,2.27,16,99,115,821.59,831.6,1.9,sim,nao,341,68,sim,finalizado,
FIX-00021,28/05/2025,São Paulo,SP,Centro,C332,P29,hidraulica,eletricista,alta,17.67,125,15,140,192.59,184.83,"4,9",nao,nao,260,54,,,
FIX-00022,2025-09-18,Goiânia,GO,Centro,C117,P113,pintura,limpeza,media,22.05,,104,263,397.23,345.09,2.3,sim,sim,64,43,,,
FIX-00023,2025-05-19,Curitiba,PR,Planalto,C101,P105,eletrica,pintor,media,"6,08",32,54,86,448.75,484.81,4.2,nao,nao,234,13,nao,cancelado,
FIX-00024,2025-07-06,São Paulo,SP,Santa Maria,C322,P67,eletrica,jardineiro,media,1.53,12,115,127,636.45,558.46,"3,2",nao,nao,230,6,,,
FIX-00025,29/09/2025,Goiânia,GO,Morumbi,C433,P54,pintura,encanador,alta,250,67,82,149,177.16,176.68,2.0,sim,nao,54,41,sim,procesado,OUTLIER distancia extrema
FIX-00026,2025-04-10,Goiânia,go,Industrial,C1,P63,jardinagem,encanador,media,"11,02",89,105,194,84.73,69.92,4.8,nao,nao,230,12,nao,procesado,
FIX-00027,2025-08-26,Uberaba,MG,Morumbi,C365,P21,eletrica,eletricista,baixa,13.41,93,56,149,360.46,399.55,3.0,nao,nao,75,9,sim,em_andamento,
FIX-00028,02-05-2025,São Paulo,SP,Santa Maria,C164,P53,hidraulica,limpeza,media,"12,93",114,62,176,"248,32","276,66",5,nao,nao,352,41,nao,finalizado,
FIX-00029,data_invalida,Uberlândia,MG,Industrial,C283,P56,hidraulica,encanador geral,media,0.3,,80,85,261.1,215.23,5,nao,sim,197,72,nao,em_andamento,
FIX-00030,2025-08-19,Salvador,BA,Industrial,C153,P113,montagem,montador,media,14.44,97,84,181,738.17,751.98,4.0,nao,nao,340,80,,procesado,
FIX-00031,2025-03-11,Uberlândia,MG,Morumbi,C445,P79,jardinagem,encanador,alta,9.3,62,28,90,405.25,349.09,5,nao,nao,142,41,,cancelado,
FIX-00032,10/07/2025,Campinas,SP,Jardim America,C491,P88,montagem,montador,baixa,8.83,79,15,94,325.61,296.83,2.5,sim,sim,325,76,,cancelado,
FIX-00033,2025-08-09,Curitiba,PR,Boa Vista,C487,P12,hidraulica,pintor,baixa,0.3,21,38,59,383.8,346.12,5,nao,nao,149,45,,em_andamento,
FIX-00034,02-07-2025,Uberaba,MG,Santa Maria,C116,P46,pintura,eletricista,media,14.5,53,15,68,244.48,271.85,"2,9",sim,sim,143,20,nao,cancelado,
FIX-00035,2025-03-13,Salvador,BA,Boa Vista,C354,P144,eletrica,encanador,baixa,11.24,54,53,107,599.58,630.85,2.9,sim,nao,347,39,nao,finalizado,
FIX-00036,2025-03-13,Goiânia,GO,Centro,C483,P143,hidraulica,eletricista,emergencial,7.2,64,70,134,124.33,143.05,4.5,sim,nao,238,37,,cancelado,
FIX-00037,15/07/2025,Campinas,SP,Santa Maria,C100,P53,hidraulica,encanador,media,4.77,43,70,113,368.6,379.93,5,nao,nao,18,5,,,
FIX-00038,15/10/2025,Uberaba,MG,Centro,C294,P126,jardinagem,pintor,baixa,"7,89",,62,130,489.37,497.09,3.7,nao,nao,23,58,,em_andamento,
FIX-00039,2025-04-04,Goiânia,GO,Morumbi,C429,P12,eletrica,encanador,media,13.78,125,18,143,193.38,"223,65",4.5,nao,nao,168,40,,finalizado,
FIX-00040,2025-05-03,salvador,BA,Boa Vista,C26,P113,montagem_moveis,pintor,baixa,6.63,43,900,85,771.39,849.02,4.7,nao,nao,113,6,,cancelado,OUTLIER execucao muito longa
FIX-00041,2025-10-24,São Paulo,SP,Planalto,C82,P121,hidraulica,limpeza,baixa,1.74,39,81,120,"599,8",632.87,2.7,sim,sim,11,14,nao,em_andamento,
FIX-00042,2025-05-20,Campinas,SP,Industrial,C369,P110,pintura,encanador,baixa,8.26,38,84,122,385.57,437.19,3.7,nao,sim,119,11,sim,cancelado,
FIX-00043,06-14-2025,Salvador,BA,Industrial,C43,P43,hidraulica,montador,alta,1.63,30,38,68,"448,89",390.57,5,nao,nao,345,79,sim,procesado,
FIX-00044,2025-04-15,São Paulo,SP,Planalto,C41,P44,hidraulica,eletricista,media,"4,9",41,54,95,109.32,107.9,4.4,nao,nao,98,56,sim,procesado,
FIX-00045,30/08/2025,Campinas,SP,Boa Vista,C290,P13,eletrica,encanador,baixa,7.83,48,42,90,326.44,384.07,2.3,sim,nao,3,52,sim,finalizado,
FIX-00046,27/01/2025,São Paulo,SP,Planalto,C282,P39,jardinagem,limpeza,baixa,"2,02",25,118,143,476.96,431.09,4.9,nao,nao,78,14,sim,em_andamento,
FIX-00047,2025-05-24,Goiânia,GO,Boa Vista,C59,P139,eletrica,encanador,alta,"9,43",,87,137,771.44,825.57,4.3,nao,nao,41,1,,em_andamento,
FIX-00048,2025-03-22,São Paulo,SP,Industrial,C16,P131,hidraulica,encanador,media,11.3,78,99,177,104.28,"104,14",4.9,nao,nao,310,27,nao,finalizado,
FIX-00049,2025-09-08,uberlândia,mg,Santa Maria,C76,P46,jardinagem,eletrica_geral,emergencial,13.61,105,34,139,592.67,583.02,4.0,nao,nao,60,19,,em_andamento,
FIX-00050,data_invalida,Campinas,SP,Industrial,C34,P67,hidraulica,montador,media,2.63,19,111,130,116.21,"100,0",4.2,nao,sim,47,36,nao,finalizado,
FIX-00051,2025-01-29,Campinas,SP,Industrial,C430,P18,pintura,eletrica_geral,media,2.71,15,105,120,729.32,699.72,3.5,nao,nao,7,50,,em_andamento,
FIX-00052,2025-01-14,Goiânia,GO,Boa Vista,C102,P109,eletrica,eletricista,baixa,8.14,47,100,147,145.91,170.78,3.0,nao,nao,219,35,,cancelado,
FIX-00053,2025-02-26,Campinas,SP,Boa Vista,C110,P5,jardinagem,pintor,baixa,4.28,44,81,125,652.77,563.8,4.9,sim,nao,319,78,sim,finalizado,
FIX-00054,2025-09-12,São Paulo,SP,Planalto,C151,P44,hidraulica,eletrica_geral,media,13.77,61,86,147,"180,38",194.89,"3,4",nao,sim,250,66,nao,cancelado,
FIX-00055,2025-09-14,São Paulo,SP,Morumbi,C44,P48,montagem_moveis,eletricista,alta,11.02,90,94,184,25000.00,613.73,2.7,sim,nao,254,51,nao,,OUTLIER orcamento muito alto
FIX-00056,2025-09-12,São Paulo,SP,Jardim America,C432,P1,montagem,limpeza,baixa,12.85,65,102,167,"889,26",985.85,3.5,nao,nao,236,51,,em_andamento,
FIX-00057,2025-05-05,campinas,SP,Centro,C347,P29,eletric.,encanador,media,17.02,160,43,203,"424,8",375.09,5,nao,nao,15,77,,,
FIX-00058,2025-10-13,Curitiba,pr,Boa Vista,C425,P149,eletrica,pintor,baixa,"15,07",71,124,195,367.24,413.05,4.6,nao,nao,102,66,,finalizado,
FIX-00059,05-28-2025,Curitiba,PR,Jardim America,C47,P139,montagem,encanador,baixa,"10,34",50,88,138,397.98,376.43,4.3,nao,nao,155,71,,finalizado,
FIX-00060,2025-07-06,São Paulo,SP,Planalto,C54,P141,montagem,encanador,alta,11.07,77,79,156,"754,17","712,32",4.4,nao,nao,280,53,nao,cancelado,
FIX-00061,2025-08-22,Curitiba,PR,Jardim America,C311,P125,eletrica,encanador,alta,0.36,16,35,51,"644,67",676.49,3.5,nao,nao,109,67,,,
FIX-00062,2025-02-10,São Paulo,SP,Industrial,C398,P113,hidraulica,encanador geral,emergencial,4.25,33,154,187,83.09,80.87,3.3,nao,nao,160,25,nao,finalizado,
FIX-00063,09/01/2025,Campinas,SP,Santa Maria,C118,P22,eletrica,limpeza,alta,5.71,63,26,89,487.59,504.53,3.5,nao,nao,14,30,,em_andamento,
FIX-00064,2025-10-27,Curitiba,PR,Morumbi,C116,P35,pintura,encanador,baixa,13.89,82,36,118,768.12,740.35,3.8,sim,nao,40,58,nao,,
FIX-00065,2025-05-24,Uberaba,MG,Boa Vista,C457,P79,pintura,pintor,media,6.0,43,140,183,325.77,346.32,2.7,sim,nao,178,29,nao,,
FIX-00066,2025-02-26,Uberlândia,MG,Boa Vista,C51,P69,limpeza,montador,baixa,9.45,102,87,189,693.99,644.35,3.1,nao,nao,142,28,sim,cancelado,
FIX-00067,2025-08-31,São Paulo,SP,Boa Vista,C429,P138,montagem,encanador,baixa,8.27,61,137,198,110.19,128.78,4.0,nao,sim,304,33,nao,cancelado,
FIX-00068,2025-06-21,Uberaba,MG,Centro,C15,P95,hidraulica,encanador geral,baixa,12.75,79,135,214,111.6,94.91,2.7,sim,nao,327,1,,cancelado,
FIX-00069,2025-08-02,Uberlândia,MG,Boa Vista,C470,P7,limpeza,encanador,media,13.46,83,88,171,"229,7",212.2,4.5,nao,nao,245,2,sim,em_andamento,
FIX-00070,02-11-2025,uberlândia,MG,Industrial,C105,P128,eletrica,pintor,media,"6,14",42,67,109,117.41,"126,35",9,nao,nao,98,14,sim,em_andamento,VALOR INVALIDO avaliacao fora da escala
FIX-00071,2025-04-02,Salvador,BA,Jardim America,C51,P14,hidraulica,encanador,baixa,17.12,146,134,280,"295,68",331.76,4.2,nao,nao,322,33,nao,em_andamento,
FIX-00072,10-20-2025,São Paulo,SP,Boa Vista,C41,P22,pintura,limpeza,baixa,7.98,67,84,151,297.59,297.28,"4,0",nao,nao,18,46,,procesado,
FIX-00073,2025-05-29,Uberlândia,mg,Jardim America,C13,P129,hidraulica,eletricista,media,5.95,33,140,173,713.77,791.84,4.6,nao,nao,365,0,nao,procesado,
FIX-00074,2025-05-03,Curitiba,PR,Morumbi,C52,P129,eletrica,eletricista,alta,0.3,12,103,115,749.19,"692,62",1.9,sim,nao,168,58,sim,procesado,
FIX-00075,02/03/2025,São Paulo,SP,Centro,C155,P64,montagem,encanador,media,3.17,31,70,101,816.43,970.66,2.4,sim,nao,163,2,nao,em_andamento,
FIX-00076,2025-02-20,Uberlândia,MG,Planalto,C288,P103,hidraulica,jardineiro,baixa,4.23,27,59,86,296.45,"252,0",4.2,nao,nao,299,69,sim,em_andamento,
FIX-00077,2025-04-10,Goiânia,GO,Boa Vista,C80,P44,eletrica,encanador geral,media,16.2,124,100,224,"306,68",294.13,3.2,nao,nao,304,66,nao,,
FIX-00078,10-24-2025,Curitiba,PR,Jardim America,C484,P29,jardinagem,eletricista,baixa,3.63,26,67,93,143.52,"141,66",5,nao,nao,50,16,nao,finalizado,
FIX-00079,02-19-2025,Campinas,SP,Jardim America,C204,P26,eletric.,eletricista,alta,5.35,63,40,103,114.45,108.41,4.8,sim,nao,257,70,nao,,
FIX-00080,14/09/2025,Campinas,sp,Santa Maria,C468,P23,montagem,limpeza,alta,0.69,5,60,65,411.7,451.85,3.6,nao,nao,95,77,sim,finalizado,
FIX-00081,2025-02-12,Curitiba,PR,Industrial,C240,P105,hidraulica,pintor,alta,3.03,11,95,106,889.96,979.88,5,nao,nao,140,10,sim,finalizado,
FIX-00082,2025-04-02,Uberlândia,MG,Centro,C391,P100,hidraulica,encanador,baixa,15.52,84,82,166,297.9,339.86,"3,5",nao,nao,239,8,sim,procesado,
FIX-00083,2025-01-14,Uberaba,MG,Morumbi,C66,P2,hidraulica,encanador,baixa,9.45,73,53,126,414.33,426.58,3.1,nao,nao,331,24,,procesado,
FIX-00084,2025-05-20,Goiânia,GO,Centro,C319,P14,montagem,encanador,baixa,9.26,57,63,120,747.32,"891,75",5,nao,nao,152,5,,procesado,
FIX-00085,2025-05-19,Curitiba,PR,Santa Maria,C154,P145,montagem_moveis,limpeza,baixa,12.47,116,116,232,730.89,651.2,4.3,nao,nao,208,200,nao,finalizado,OUTLIER idade do imovel
FIX-00086,2025-04-02,São Paulo,SP,Planalto,C24,P144,hidraulicaa,jardineiro,alta,0.83,23,74,97,"400,79",334.27,4.4,nao,nao,347,10,nao,finalizado,
FIX-00087,2025-03-18,Uberaba,MG,Boa Vista,C96,P70,pintura,encanador,emergencial,"10,47",70,126,196,799.98,657.73,5,nao,nao,108,75,nao,em_andamento,
FIX-00088,14/08/2025,Uberaba,MG,Boa Vista,C7,P46,pintura,jardineiro,media,2.79,17,43,60,685.18,556.91,4.5,sim,nao,228,76,sim,cancelado,
FIX-00089,2025-02-25,Curitiba,PR,Jardim America,C186,P86,montagem,eletricista,baixa,"3,47",,61,73,"132,71",122.73,4.2,nao,nao,254,32,nao,cancelado,
FIX-00090,data_invalida,Salvador,BA,Planalto,C178,P148,eletrica,eletricista,media,15.4,65,44,109,175.93,206.24,3.2,nao,nao,124,42,,finalizado,
FIX-00091,2025-04-19,Uberaba,MG,Planalto,C160,P16,hidraulica,montador,baixa,7.58,,133,184,489.64,553.78,5,nao,nao,239,25,nao,em_andamento,
FIX-00092,2025-03-18,São Paulo,SP,Santa Maria,C349,P62,jardinagem,pintor,media,3.61,38,110,148,618.11,"622,35",3.7,nao,nao,159,26,,cancelado,
FIX-00093,2025-06-20,Salvador,ba,Morumbi,C363,P134,limpeza,encanador,baixa,"9,28",48,69,117,606.13,540.24,2.1,sim,nao,203,41,nao,finalizado,
FIX-00094,2025-09-07,Uberaba,mg,Jardim America,C272,P70,montagem,pintor,media,16.36,127,43,170,772.12,"725,7",3.4,nao,nao,107,33,nao,em_andamento,
FIX-00095,2025-10-08,Curitiba,PR,Jardim America,C274,P74,eletrica,eletricista,baixa,12.65,87,122,209,"219,67",213.5,4.7,nao,nao,304,58,sim,procesado,
FIX-00096,2025-06-26,Uberlândia,MG,Planalto,C111,P61,hidraulica,pintor,emergencial,9.47,92,80,172,"99,54",95.9,4.6,nao,nao,37,29,nao,finalizado,
FIX-00097,2025-07-15,Uberlândia,MG,Centro,C399,P75,hidraulica,limpeza,baixa,12.63,,108,212,443.76,418.19,"4,4",nao,nao,21,0,,em_andamento,
FIX-00098,2025-05-04,Campinas,SP,Centro,C2,P90,hidraulica,encanador,baixa,7.96,68,64,132,429.08,465.27,4.1,nao,nao,167,20,sim,cancelado,
FIX-00099,04-11-2025,Salvador,BA,Centro,C125,P28,pintura,montador,baixa,0.3,13,66,79,526.27,"579,21",4.1,nao,nao,90,46,sim,cancelado,
FIX-00100,08-12-2025,Uberlândia,MG,Boa Vista,C242,P69,pintura,limpeza,alta,1.93,38,72,110,633.06,-50,"2,6",sim,sim,176,34,,cancelado,VALOR INVALIDO pagamento negativo
FIX-00101,2025-09-12,Salvador,BA,Planalto,C187,P25,hidraulica,encanador,baixa,3.54,26,91,117,448.61,498.05,4.6,nao,nao,150,32,nao,,
FIX-00102,2025-01-18,São Paulo,SP,Industrial,C38,P91,limpeza,eletricista,baixa,"0,3",17,143,160,342.75,275.29,5,nao,nao,111,64,,em_andamento,
FIX-00103,2025-07-27,Uberlândia,MG,Boa Vista,C352,P31,montagem,jardineiro,alta,9.34,39,146,185,362.34,341.13,5,nao,sim,29,67,nao,finalizado,
FIX-00104,2025-08-06,Uberlândia,MG,Industrial,C368,P119,eletrica,limpeza,alta,5.81,49,79,128,"88,0",88.58,3.5,nao,nao,130,49,sim,cancelado,
FIX-00105,2025-07-15,Curitiba,pr,Boa Vista,C204,P107,eletrica,encanador,baixa,0.33,16,102,118,492.32,484.42,4.1,nao,nao,98,70,nao,finalizado,
FIX-00106,2025-05-01,Curitiba,PR,Industrial,C87,P51,eletrica,pintor,baixa,"2,09",26,42,68,369.53,332.68,4.8,nao,nao,168,43,nao,,
FIX-00107,2025-02-11,Goiânia,GO,Boa Vista,C488,P83,hidraulicaa,jardineiro,alta,"13,6",74,117,191,106.3,120.67,3.8,nao,nao,189,42,,finalizado,
FIX-00108,2025-02-18,curitiba,PR,Planalto,C224,P37,pintura,encanador,baixa,5.62,45,74,119,425.05,495.8,4.0,sim,sim,215,31,,em_andamento,
FIX-00109,01-28-2025,Campinas,SP,Industrial,C39,P150,hidraulica,pintor,alta,11.01,73,40,113,258.16,220.67,5,nao,nao,94,75,nao,finalizado,
FIX-00110,03-15-2025,Uberaba,MG,Morumbi,C473,P99,eletrica,eletricista,media,0.35,11,99,110,742.61,"655,25",2.9,sim,nao,257,54,nao,procesado,
FIX-00111,2025-03-29,Salvador,BA,Santa Maria,C214,P15,eletrica,pintor,baixa,9.05,42,99,141,861.66,741.65,"3,0",nao,nao,325,54,nao,procesado,
FIX-00112,2025-02-01,Salvador,BA,Jardim America,C211,P26,montagem,eletricista,media,"8,1",51,21,72,106.32,"117,29",4.4,nao,nao,316,67,,,
FIX-00113,03-09-2025,São Paulo,SP,Morumbi,C183,P138,hidraulica,montador,baixa,4.58,20,92,112,755.07,775.71,4.7,nao,nao,253,18,nao,finalizado,
FIX-00114,08-19-2025,Salvador,BA,Planalto,C492,P59,montagem,eletrica_geral,media,"11,7",60,54,114,139.34,113.32,5,nao,nao,265,4,sim,cancelado,
FIX-00115,2025-08-25,Goiânia,GO,Jardim America,C107,P63,eletrica,montador,media,4.62,29,168,197,"775,53",829.46,5.0,nao,nao,197,5,,finalizado,
FIX-00116,2025-10-19,Salvador,BA,Morumbi,C32,P111,montagem,eletricista,alta,0.3,5,52,57,"238,74",249.46,5,nao,nao,223,67,sim,procesado,
FIX-00117,2025-02-28,Salvador,BA,Industrial,C446,P5,pintura,encanador,baixa,1.17,18,57,75,518.27,619.91,5,nao,sim,334,38,sim,em_andamento,
FIX-00118,2025-06-12,Curitiba,PR,Jardim America,C231,P121,eletrica,montador,alta,2.66,20,95,115,"627,16",698.77,3.9,nao,nao,64,30,sim,procesado,
FIX-00119,2025-10-23,Goiânia,GO,Industrial,C227,P49,limpeza,encanador,media,"10,19",93,129,222,"221,84",190.13,5,nao,nao,289,72,nao,,
FIX-00120,2025-03-30,São Paulo,SP,Industrial,C377,P18,montagem,eletricista,media,9.02,75,84,159,"465,86",453.32,3.7,nao,nao,290,78,nao,,
FIX-00121,2025-03-06,Uberaba,MG,Planalto,C453,P58,hidraulica,pintor,media,"12,78",89,25,114,521.1,417.98,4.0,nao,nao,236,17,,em_andamento,
FIX-00122,2025-06-21,Campinas,SP,Boa Vista,C87,P97,eletrica,pintor,baixa,7.3,36,119,155,126.31,131.46,3.4,nao,nao,294,15,nao,cancelado,
FIX-00123,2025-01-15,salvador,BA,Industrial,C181,P81,eletrica,montador,alta,9.84,38,102,140,288.86,328.8,5,nao,nao,296,68,,cancelado,
FIX-00124,2025-08-16,São Paulo,SP,Santa Maria,C57,P7,hidraulica,montador,alta,6.54,47,118,165,277.04,308.59,3.9,nao,nao,219,54,,em_andamento,
FIX-00125,2025-08-09,Goiânia,GO,Boa Vista,C425,P53,jardinagem,montador,baixa,11.03,96,65,161,"770,16",853.11,5,nao,nao,65,56,nao,,
FIX-00126,2025-06-30,São Paulo,SP,Industrial,C333,P7,hidraulica,pintor,baixa,11.22,95,175,270,"754,68","846,74",3.9,nao,sim,75,46,nao,em_andamento,
FIX-00127,2025-03-19,São Paulo,SP,Santa Maria,C282,P13,jardinagem,eletricista,baixa,"10,23",77,146,223,494.05,529.59,4.4,nao,nao,33,74,sim,cancelado,
FIX-00128,2025-04-08,Uberaba,mg,Boa Vista,C431,P135,hidraulica,montador,baixa,"2,35",26,15,41,701.66,830.57,5,nao,nao,357,66,sim,,
FIX-00129,2025-10-06,Curitiba,PR,Centro,C238,P105,eletrica,encanador,alta,5.56,43,17,60,200.67,226.97,4.9,nao,nao,1,13,sim,cancelado,
FIX-00130,2025-06-12,Uberaba,MG,Santa Maria,C484,P11,hidraulica,limpeza,alta,11.63,49,80,129,612.07,681.72,2.6,sim,nao,183,31,sim,,
FIX-00131,2025-01-25,Salvador,BA,Boa Vista,C77,P65,eletrica,jardineiro,media,5.79,38,15,53,405.47,376.76,4.0,nao,nao,194,60,sim,cancelado,
FIX-00132,2025-04-03,goiânia,GO,Industrial,C123,P80,montagem,limpeza,alta,11.5,86,85,171,704.93,843.88,3.8,nao,nao,308,37,sim,,
FIX-00133,2025-02-27,São Paulo,SP,Industrial,C410,P143,eletrica,encanador,baixa,11.2,53,86,139,695.75,576.77,5,nao,nao,262,22,,cancelado,
FIX-00134,2025-03-16,São Paulo,SP,Centro,C165,P24,eletrica,montador,media,13.72,122,49,171,309.97,291.76,4.6,nao,nao,62,25,,cancelado,
FIX-00135,2025-04-15,Goiânia,GO,Jardim America,C256,P5,montagem,encanador,baixa,"4,45",48,74,122,777.76,692.84,5,sim,nao,83,22,sim,cancelado,
FIX-00136,2025-01-04,Uberaba,MG,Morumbi,C2,P84,limpeza,montador,media,11.64,51,76,127,381.36,402.43,5,nao,nao,198,40,sim,em_andamento,
FIX-00137,13/04/2025,Uberlândia,mg,Industrial,C350,P70,hidraulicaa,eletricista,baixa,"7,67",29,86,115,"856,76",1020.71,4.9,nao,nao,87,42,sim,procesado,
FIX-00138,data_invalida,Campinas,SP,Industrial,C3,P56,montagem,encanador,baixa,7.75,57,64,121,686.22,762.08,1.7,sim,sim,224,64,sim,finalizado,
FIX-00139,2025-08-17,Uberlândia,MG,Jardim America,C481,P115,jardinagem,eletricista,baixa,1.97,21,89,110,84.75,95.0,3.9,nao,nao,315,31,sim,procesado,
FIX-00140,2025-03-06,Salvador,BA,Boa Vista,C372,P78,pintura,encanador,baixa,"15,7",,36,170,"486,11",512.01,5,nao,nao,324,4,,em_andamento,
FIX-00141,03-16-2025,Uberlândia,MG,Industrial,C105,P75,eletrica,eletricista,baixa,10.2,50,71,121,513.39,584.6,3.6,nao,nao,240,7,nao,finalizado,
FIX-00142,2025-01-22,Uberlândia,MG,Planalto,C164,P4,hidraulicaa,pintor,baixa,0.3,5,153,158,795.02,889.94,3.9,nao,nao,123,63,,cancelado,
FIX-00143,2025-08-09,São Paulo,SP,Industrial,C25,P112,eletrica,pintor,media,10.06,84,51,135,365.6,325.57,1.2,sim,sim,240,31,nao,finalizado,
FIX-00144,2025-09-27,são paulo,SP,Planalto,C379,P57,hidraulica,pintor,alta,5.19,34,63,97,692.94,624.58,3.8,nao,nao,54,26,sim,cancelado,
FIX-00145,2025-06-01,Campinas,SP,Centro,C109,P54,eletrica,jardineiro,baixa,15.1,95,39,134,326.43,287.3,"3,3",nao,nao,34,32,nao,procesado,
FIX-00146,08-21-2025,Curitiba,PR,Industrial,C389,P4,eletrica,encanador,media,1.87,25,20,45,694.89,583.34,5,nao,nao,73,57,,cancelado,
FIX-00147,27/06/2025,Uberaba,MG,Industrial,C188,P91,montagem,montador,media,9.36,92,63,155,405.31,383.82,4.1,nao,nao,148,43,sim,cancelado,
FIX-00148,2025-08-13,São Paulo,SP,Planalto,C44,P99,montagem_moveis,montador,baixa,"6,64",49,73,122,496.46,"417,69","4,1",nao,nao,242,42,,,
FIX-00149,2025-03-21,Salvador,BA,Morumbi,C230,P41,limpeza,montador,alta,"9,43",98,82,180,722.73,"663,13",1.6,sim,nao,317,8,,finalizado,
FIX-00150,13/09/2025,Curitiba,PR,Santa Maria,C272,P77,hidraulica,montador,baixa,"7,17",38,63,101,878.56,911.1,"3,6",nao,nao,36,44,sim,procesado,
FIX-00151,2025-05-07,Curitiba,PR,Planalto,C483,P61,eletrica,montador,alta,9.77,89,73,162,"405,08",327.65,4.6,nao,nao,190,0,,cancelado,
FIX-00152,26/07/2025,São Paulo,SP,Industrial,C97,P49,hidraulica,jardineiro,emergencial,14.86,133,77,210,347.97,315.86,4.2,nao,nao,98,44,nao,em_andamento,
FIX-00153,2025-04-16,Uberaba,MG,Santa Maria,C348,P133,pintura,encanador,media,8.89,78,58,136,883.25,"1043,65",4.2,nao,nao,139,25,sim,finalizado,
FIX-00154,2025-06-14,São Paulo,SP,Jardim America,C296,P99,montagem,montador,media,0.3,5,109,114,"564,48","475,29",4.0,nao,nao,146,34,sim,,
