registro_id,data_lead,cidade,uf,idade_cliente,renda_cliente,sexo,segmento_empresa,porte_empresa,origem_lead,servico_interesse,valor_proposta,status_proposta,taxa_abandono_formulario_pct,tempo_decisao_dias,score_ux,feedback_cliente,proposta_enviada,proposta_aceita,cliente_perdido,motivo_perda,tempo_no_site_seg,cliques_formulario,status_registro,observacao
NC-00020,2025-06-12,Uberlândia,mg,51,6069.99,,saude,MEI,site,sistema_web,2915.79,aceita,15.7,13,7.2,,nao,sim,nao,NA,164,10,procesado,
NC-00021,2025-06-21,Goiânia,GO,44,7555.47,F,educacao,MEI,google_ads,automacao_processos,4784.91,aceita,45.91,12,7.0,,sim,sim,nao,falta_contato,100,0,pendente,
NC-00022,2025-07-28,Salvador,BA,40,3875.16,Outro,saude,MEI,site,app_mobile,11304.83,recusada,0,18,8.2,NA,sim,nao,sim,concorrencia,351,9,pendente,
NC-00023,2025-07-21,Uberlândia,MG,58,9375.2,Outro,servicos,MEI,instagram,automacao_processos,"17855,88",abandonada,36.65,6,"7,3",nao_entendeu_proposta,sim,nao,sim,concorrencia,5,8,procesado,
NC-00024,2025-08-09,Curitiba,PR,59,4957.8,,varejo,grande,site,sistema_web,500,abandonada,22.28,25,5.4,preco_alto,sim,nao,sim,concorrencia,367,12,validado,
NC-00025,25/07/2025,Uberaba,MG,32,4472.34,Outro,servicos,pequena,instagram,consultoria_digital,8220.37,em_analise,150,12,6.6,nao_entendeu_proposta,sim,nao,nao,preco,254,5,pendente,VALOR INVALIDO taxa acima de 100
NC-00026,2025-10-01,Goiânia,GO,52,6315.82,Outro,varejo,MEI,site,consultoria_digital,6888.67,em_analise,42.68,4,6.9,demora_retorno,sim,nao,nao,prazo,254,9,validado,
NC-00027,data_invalida,Campinas,SP,31,"9384,53",Outro,industria,pequena,instagram,app_mobile,3817.73,recusada,54.89,12,8.8,preco_alto,sim,nao,sim,concorrencia,142,7,validado,
NC-00028,18/01/2025,Uberlândia,MG,56,2322.76,F,educacao,pequena,instagram,sistema_web,6096.89,recusada,35.54,18,5.8,NA,sim,nao,sim,preco,81,13,procesado,
NC-00029,06-19-2025,Uberaba,MG,53,"4082,62",F,servicos,pequena,site,sistema_web,12320.93,em_analise,28.66,6,9.6,NA,sim,nao,nao,concorrencia,102,11,,
NC-00030,2025-02-12,são paulo,SP,69,"10181,08",Outro,industria,MEI,indicacao,sistema_web,"7941,19",aceita,"23,64",15,8.2,nao_entendeu_proposta,sim,sim,nao,preco,156,2,procesado,
NC-00031,2025-02-07,Uberaba,MG,31,14613.98,Outro,servicos,media,site,consultoria_digital,9539.47,em_analise,24.01,25,6.1,,sim,nao,nao,NA,287,20,procesado,
NC-00032,2025-04-01,Uberlândia,MG,64,9774.09,M,servicos,pequena,site,sistema_web,9973.72,abandonada,32.51,15,7.1,demora_retorno,sim,nao,sim,prazo,194,2,procesado,
NC-00033,2025-10-22,Campinas,SP,25,7310.01,,educacao,MEI,evento,consultoria_digital,6350.58,recusada,68.6,31,8.5,demora_retorno,sim,nao,sim,falta_contato,72,3,validado,
NC-00034,05/05/2025,Uberlândia,MG,25,4402.46,F,servicos,media,indicacao,automacao_processos,"13826,24",aceita,37.0,5,10,demora_retorno,sim,sim,nao,prazo,324,8,pendente,
NC-00035,2025-07-12,São Paulo,SP,62,2785.12,M,servicos,grande,site,app_mobile,9143.3,em_analise,43.91,17,5.5,,sim,nao,nao,preco,175,10,procesado,
NC-00036,data_invalida,Goiânia,GO,47,7993.61,M,educacao,media,site,automacao_processos,12912.87,em analise,47.6,13,5.2,preco_alto,sim,nao,nao,prazo,5,6,,
NC-00037,2025-02-01,Uberlândia,MG,56,2560.44,,varejo,media,google_ads,sistema_web,"555,2",em_analise,45.96,6,3.6,concorrente,sim,nao,nao,falta_contato,318,4,,
NC-00038,2025-06-03,Uberaba,MG,65,"4193,55",,varejo,MEI,google_ads,app_mobile,5777.34,em_analise,20.33,0,5.4,nao_entendeu_proposta,sim,nao,nao,NA,261,13,procesado,
NC-00039,2025-01-15,Uberlândia,MG,64,7959.48,F,saude,MEI,indicacao,sistema_web,14426.78,aceita,35.26,20,4.4,nao_entendeu_proposta,sim,sim,nao,prazo,5,0,,
NC-00040,2025-01-31,Uberaba,MG,44,3765.98,Outro,saude,media,instagram,sistema_web,4770.7,recusada,26.59,365,6.2,,sim,nao,sim,NA,5,15,,OUTLIER tempo de decisao muito longo
NC-00041,06/10/2025,Curitiba,PR,60,4767.74,F,servicos,media,site,sistema_web,3544.41,em analise,46.85,3,"8,0",nao_entendeu_proposta,sim,sim,nao,prazo,80,13,validado,
NC-00042,2025-01-19,São Paulo,SP,55,7826.03,,educacao,pequena,instagram,app_mobile,10925.59,abandonada,52.93,9,5.4,NA,sim,nao,sim,preco,266,0,validado,
NC-00043,2025-10-26,Campinas,SP,27,3977.37,F,educacao,media,site,automacao_processos,2655.33,abandonada,17.6,30,"2,0",NA,sim,nao,sim,falta_contato,347,15,pendente,
NC-00044,2025-10-02,Uberlândia,MG,55,"3814,3",M,varejo,MEI,site,app_mobile,18114.06,em_analise,"43,6",18,7.1,preco_alto,sim,nao,nao,prazo,73,5,validado,
NC-00045,2025-08-30,Uberlândia,MG,41,12448.77,Outro,servicos,pequena,google_ads,sistema_web,7037.99,aceita,44.12,17,8.0,NA,sim,sim,nao,,147,4,,
NC-00046,2025-01-07,Uberlândia,MG,37,9035.82,Outro,servicos,pequena,evento,app_mobile,12672.67,recusada,56.98,18,9.1,,sim,nao,sim,concorrencia,154,12,validado,
NC-00047,2025-08-21,Curitiba,pr,39,5418.68,Outro,servicos,grande,indicacao,app_mobile,12995.46,recusada,23.22,15,"6,8",concorrente,sim,nao,sim,preco,5,7,validado,
NC-00048,2025-03-07,Goiânia,GO,33,4763.67,M,varejo,MEI,site,app_mobile,"13182,62",recusada,51.29,15,"5,8",preco_alto,sim,nao,sim,prazo,95,0,,
NC-00049,10/04/2025,Uberaba,MG,42,1342.83,M,varejo,pequena,site,sistema_web,11632.5,em_analise,"21,6",16,5.3,,nao,nao,nao,preco,124,9,validado,
NC-00050,2025-02-13,São Paulo,sp,55,8117.94,Outro,varejo,MEI,indicacao,app_mobile,"11984,8",recusada,6.38,5,7.8,nao_entendeu_proposta,sim,nao,sim,concorrencia,67,7,validado,
NC-00051,2025-08-07,São Paulo,sp,62,"6362,46",,varejo,MEI,site,app_mobile,11845.26,em_analise,34.95,12,10,demora_retorno,sim,nao,nao,prazo,151,8,pendente,
NC-00052,2025-06-09,São Paulo,SP,52,4020.76,,industria,pequena,instagram,sistema_web,"5837,75",recusada,27.4,25,9.8,preco_alto,sim,nao,sim,concorrencia,81,0,procesado,
NC-00053,2025-06-07,Campinas,SP,62,11529.49,Outro,varejo,media,google_ads,automacao_processos,14072.01,aceita,"51,07",22,8.1,demora_retorno,sim,sim,nao,falta_contato,296,14,validado,
NC-00054,2025-01-19,são paulo,SP,26,14684.5,,servicos,MEI,instagram,app_mobile,1673.85,em_analise,32.67,22,7.6,concorrente,sim,nao,nao,NA,6,0,validado,
NC-00055,2025-05-25,Campinas,sp,,6577.86,F,varejo,MEI,instagram,sistema_web,3734.5,aceita,56.84,15,15,preco_alto,sim,sim,nao,preco,74,5,validado,VALOR INVALIDO score UX fora da escala
NC-00056,2025-03-26,Uberlândia,MG,32,3267.52,,educacao,MEI,site,app_mobile,3935.49,recusada,23.44,9,8.7,NA,sim,nao,sim,,166,3,pendente,
NC-00057,2025-03-05,São Paulo,SP,37,1200,M,varejo,pequena,site,sistema_web,8672.82,em analise,55.3,20,7.8,demora_retorno,sim,nao,nao,,282,13,,
NC-00058,2025-01-17,São Paulo,SP,51,2918.97,,saude,media,indicacao,automacao_processos,2023.11,abandonada,37.71,13,"4,5",nao_entendeu_proposta,sim,nao,sim,,356,1,,
NC-00059,21/01/2025,Salvador,BA,47,10510.16,M,educacao,MEI,site,consultoria_digital,17824.59,recusada,"10,25",9,"7,0",nao_entendeu_proposta,nao,nao,sim,,200,6,procesado,
NC-00060,2025-04-19,goiânia,GO,53,8354.93,F,servicos,pequena,site,sistema_web,"9526,81",aceita,10.76,3,6.4,demora_retorno,sim,sim,nao,,285,5,,
NC-00061,data_invalida,Campinas,SP,19,8605.07,M,varejo,MEI,site,app_mobile,15047.58,em_analise,32.06,8,7.7,NA,sim,nao,nao,,140,0,procesado,
NC-00062,2025-03-21,São Paulo,SP,27,6292.84,Outro,servicos,pequena,site,sistema_web,8283.89,em_analise,33.35,13,6.0,nao_entendeu_proposta,sim,nao,nao,concorrencia,201,7,procesado,
NC-00063,2025-07-27,são paulo,SP,55,6045.13,Outro,varejo,pequena,site,sistema_web,3169.07,recusada,15.67,1,4.0,nao_entendeu_proposta,sim,nao,sim,falta_contato,414,4,,
NC-00064,2025-10-27,Salvador,BA,51,6325.51,F,educacao,pequena,site,consultoria_digital,6599.32,abandonada,32.55,20,4.6,concorrente,sim,nao,sim,falta_contato,24,12,pendente,
NC-00065,2025-08-02,Uberaba,MG,52,"6752,05",M,varejo,pequena,indicacao,sistema_web,6891.44,aceita,30.06,10,8.4,,sim,sim,nao,prazo,272,5,pendente,
NC-00066,2025-10-25,Uberlândia,MG,50,5653.19,M,saude,media,indicacao,automacao_processos,"9690,83",em_analise,53.46,19,"8,4",nao_entendeu_proposta,sim,nao,nao,preco,5,15,pendente,
NC-00067,2025-07-20,Salvador,ba,31,5307.32,M,saude,pequena,instagram,app_mobile,15318.31,aceita,54.45,9,"4,5",concorrente,sim,sim,nao,,465,1,procesado,
NC-00068,2025-06-07,Goiânia,GO,38,8071.12,,varejo,pequena,instagram,automacao_processos,7357.61,aceita,27.45,4,"6,6",demora_retorno,sim,sim,nao,falta_contato,235,7,,
NC-00069,2025-09-11,Campinas,SP,43,"9791,02",Outro,varejo,pequena,indicacao,app_mobile,6508.21,recusada,77.11,23,8.0,,sim,nao,sim,falta_contato,29,0,validado,
NC-00070,2025-04-06,Campinas,SP,5,7094.78,M,varejo,pequena,instagram,sistema_web,10739.37,recusada,30.29,13,9.1,,sim,nao,sim,concorrencia,229,0,validado,VALOR INVALIDO idade
NC-00071,2025-04-12,São Paulo,SP,,5611.67,M,servicos,grande,site,app_mobile,4362.24,abandonada,43.09,27,5.0,concorrente,sim,nao,sim,,26,8,procesado,
NC-00072,2025-07-28,Uberaba,MG,49,3718.8,M,industria,media,instagram,automacao_processos,739.79,abandonada,51.5,26,9.8,nao_entendeu_proposta,sim,nao,sim,,237,12,procesado,
NC-00073,2025-01-20,Curitiba,PR,28,7248.46,M,varejo,MEI,indicacao,automacao_processos,10564.2,abandonada,78.97,24,5.3,demora_retorno,sim,nao,sim,NA,138,14,procesado,
NC-00074,2025-07-24,Salvador,BA,67,7754.79,M,servicos,MEI,indicacao,automacao_processos,"8972,03",em_analise,38.71,21,8.8,NA,sim,nao,nao,,343,16,procesado,
NC-00075,2025-09-13,Salvador,BA,30,1709.34,M,servicos,pequena,site,sistema_web,"11682,61",abandonada,"41,2",28,"8,5",nao_entendeu_proposta,sim,nao,sim,,426,1,validado,
NC-00076,2025-03-18,Uberaba,MG,42,7689.61,F,saude,media,instagram,sistema_web,7741.53,recusada,36.51,0,6.3,nao_entendeu_proposta,sim,nao,sim,,416,8,procesado,
NC-00077,05-17-2025,Goiânia,GO,55,9427.94,,varejo,MEI,site,app_mobile,6991.62,em_analise,53.99,3,7.7,,sim,nao,nao,prazo,18,6,,
NC-00078,02-06-2025,Salvador,BA,35,9951.62,Outro,varejo,MEI,google_ads,sistema_web,11632.02,em_analise,0,7,"5,6",,sim,nao,nao,concorrencia,233,15,pendente,
NC-00079,2025-09-09,Campinas,SP,50,"7113,97",M,industria,pequena,site,app_mobile,10063.12,abandonada,39.6,10,6.6,nao_entendeu_proposta,sim,nao,sim,,430,17,pendente,
NC-00080,2025-07-30,Uberaba,MG,33,4968.83,,industria,MEI,instagram,app_mobile,8816.81,em_analise,51.04,7,8.6,preco_alto,nao,nao,nao,,407,18,pendente,
NC-00081,2025-09-21,Uberlândia,MG,55,4807.65,F,varejo,grande,site,app_mobile,13760.89,em_analise,42.91,7,10,preco_alto,sim,nao,nao,falta_contato,5,5,validado,
NC-00082,2025-08-25,Salvador,BA,45,9484.82,,varejo,pequena,site,automacao_processos,"9300,72",em analise,41.25,13,6.7,nao_entendeu_proposta,sim,nao,nao,falta_contato,275,6,procesado,
NC-00083,2025-10-10,Goiânia,GO,21,"6249,69",Outro,varejo,MEI,site,consultoria_digital,13994.55,aceita,"63,36",17,7.2,concorrente,sim,sim,nao,concorrencia,340,7,pendente,
NC-00084,2025-02-03,Uberlândia,MG,31,6735.0,,industria,media,indicacao,consultoria_digital,8178.93,aceita,43.12,19,6.3,,sim,sim,nao,,253,7,,
NC-00085,2025-06-18,São Paulo,SP,39,5242.54,M,saude,pequena,google_ads,automacao_processos,630.85,aceita,52.07,20,9.9,concorrente,sim,sim,nao,falta_contato,20000,3,,OUTLIER tempo no site extremo
NC-00086,2025-04-23,Uberaba,MG,36,7775.22,Outro,saude,MEI,instagram,app_mobile,7958.43,aceita,56.65,27,5.2,concorrente,sim,sim,nao,,201,4,pendente,
NC-00087,2025-03-08,São Paulo,SP,20,4952.49,M,saude,pequena,google_ads,automacao_processos,7850.71,recusada,30.33,25,9.5,,sim,nao,sim,falta_contato,57,16,pendente,
NC-00088,data_invalida,Salvador,BA,40,"10978,13",F,varejo,MEI,site,sistema_web,6220.78,recusada,76.45,0,5.8,,sim,nao,sim,,170,5,,
NC-00089,2025-06-05,Goiânia,GO,56,6895.43,F,saude,MEI,instagram,sistema_web,6070.1,recusada,20.51,14,7.0,NA,sim,nao,sim,concorrencia,67,2,procesado,
NC-00090,2025-06-15,Uberlândia,MG,55,5509.53,F,industria,media,indicacao,sistema_web,7381.5,em_analise,59.63,9,4.2,nao_entendeu_proposta,sim,nao,nao,concorrencia,221,11,validado,
NC-00091,04-26-2025,Goiânia,GO,53,1498.4,F,varejo,MEI,instagram,app_mobile,18682.79,recusada,62.09,0,5.1,preco_alto,sim,nao,sim,falta_contato,213,5,pendente,
NC-00092,2025-10-17,salvador,BA,,12185.61,,servicos,media,instagram,automacao_processos,8326.28,recusada,20.97,6,7.5,nao_entendeu_proposta,sim,nao,sim,prazo,155,13,procesado,
NC-00093,2025-01-12,Goiânia,GO,35,1200,Outro,saude,pequena,instagram,sistema_web,11957.42,recusada,61.51,13,8.3,NA,sim,nao,sim,NA,104,2,procesado,
NC-00094,data_invalida,São Paulo,SP,24,6739.12,F,industria,pequena,indicacao,automacao_processos,7549.23,aceita,"63,29",18,4.5,nao_entendeu_proposta,sim,sim,nao,,128,2,procesado,
NC-00095,2025-08-18,uberlândia,MG,51,6143.69,M,industria,pequena,site,consultoria_digital,11532.93,abandonada,"36,18",27,5.8,demora_retorno,sim,nao,sim,falta_contato,194,6,,
NC-00096,data_invalida,São Paulo,SP,56,"7590,64",M,saude,pequena,site,consultoria_digital,"14976,66",recusada,"41,25",11,4.5,nao_entendeu_proposta,nao,nao,sim,preco,245,3,,
NC-00097,2025-09-18,campinas,SP,46,5894.21,F,servicos,pequena,site,app_mobile,9526.18,recusada,0,17,8.4,demora_retorno,sim,nao,sim,NA,118,17,validado,
NC-00098,2025-07-28,Curitiba,PR,46,5213.38,Outro,servicos,pequena,instagram,sistema_web,5579.89,aceita,45.89,18,"6,5",concorrente,sim,sim,nao,prazo,322,7,pendente,
NC-00099,2025-09-15,Uberaba,MG,60,10837.08,,varejo,MEI,evento,sistema_web,4551.8,aceita,46.15,0,10,demora_retorno,sim,sim,nao,NA,202,5,procesado,
NC-00100,14/04/2025,Salvador,BA,43,999999.99,M,industria,pequena,indicacao,app_mobile,6658.75,abandonada,19.85,13,"8,2",preco_alto,sim,nao,sim,prazo,5,5,,OUTLIER renda muito alta
NC-00101,2025-06-13,São Paulo,sp,41,7898.83,Outro,varejo,MEI,google_ads,app_mobile,10812.23,em_analise,35.73,10,6.3,NA,sim,nao,nao,,187,10,procesado,
NC-00102,2025-01-22,São Paulo,SP,54,"3287,76",Outro,saude,pequena,google_ads,automacao_processos,9727.25,aceita,32.57,27,5.4,,sim,sim,nao,prazo,270,5,procesado,
NC-00103,2025-06-19,uberaba,MG,69,6594.56,M,saude,pequena,site,automacao_processos,5573.98,em_analise,19.51,24,4.8,preco_alto,sim,nao,nao,prazo,53,7,procesado,
NC-00104,06-27-2025,Uberaba,MG,61,13036.01,,educacao,pequena,instagram,automacao_processos,"5652,9",recusada,0,9,7.3,nao_entendeu_proposta,sim,nao,sim,preco,95,7,pendente,
NC-00105,2025-09-07,Uberaba,MG,46,10835.94,Outro,industria,media,site,consultoria_digital,"7285,12",abandonada,69.07,11,5.7,NA,sim,nao,sim,falta_contato,151,8,validado,
NC-00106,2025-04-01,Salvador,BA,24,2046.11,M,educacao,media,indicacao,sistema_web,13547.87,em_analise,20.16,20,8.0,concorrente,sim,nao,nao,prazo,67,3,procesado,
NC-00107,02-20-2025,Uberlândia,MG,61,4562.15,,servicos,MEI,google_ads,app_mobile,3994.12,aceita,53.67,7,7.8,nao_entendeu_proposta,sim,sim,nao,preco,287,7,,
NC-00108,2025-04-07,Uberlândia,MG,67,6802.35,Outro,educacao,MEI,site,sistema_web,6068.62,em_analise,42.31,14,7.5,NA,sim,nao,nao,,166,1,,
NC-00109,2025-08-16,Salvador,BA,23,1200,M,servicos,pequena,site,automacao_processos,3146.91,abandonada,6.84,9,9.3,concorrente,sim,nao,sim,concorrencia,36,4,procesado,
NC-00110,2025-07-31,São Paulo,SP,70,2794.54,M,industria,pequena,indicacao,sistema_web,5138.31,recusada,37.51,0,2.0,preco_alto,sim,nao,sim,preco,153,0,pendente,
NC-00111,14/07/2025,Curitiba,PR,29,7169.54,F,varejo,pequena,site,automacao_processos,5961.99,abandonada,57.94,0,7.0,,sim,nao,sim,,100,0,pendente,
NC-00112,2025-07-03,Uberlândia,MG,27,"8277,88",F,industria,MEI,evento,app_mobile,10825.9,aceita,27.84,13,10,preco_alto,sim,sim,nao,concorrencia,204,7,pendente,
NC-00113,2025-09-23,Curitiba,PR,46,10087.84,,servicos,media,site,sistema_web,10474.45,abandonada,"61,22",8,5.6,demora_retorno,sim,nao,sim,preco,387,12,procesado,
NC-00114,07-10-2025,Curitiba,PR,42,1594.33,F,industria,pequena,evento,sistema_web,8403.28,em_analise,51.17,23,8.3,NA,sim,nao,nao,NA,94,2,pendente,
NC-00115,2025-04-01,Salvador,BA,43,"10163,89",F,industria,grande,google_ads,consultoria_digital,"10775,23",recusada,55.46,14,6.5,nao_entendeu_proposta,sim,nao,sim,prazo,275,7,pendente,
NC-00116,2025-02-05,campinas,SP,55,8269.29,,educacao,pequena,site,automacao_processos,4534.01,em_analise,"47,51",14,6.3,NA,sim,nao,nao,prazo,188,2,,
NC-00117,2025-08-04,Uberlândia,MG,55,2347.19,M,servicos,pequena,site,sistema_web,"4469,65",em_analise,"90,95",0,"5,8",preco_alto,sim,nao,nao,prazo,104,8,procesado,
NC-00118,data_invalida,Uberaba,MG,,"1638,53",,industria,MEI,site,sistema_web,13761.28,em_analise,18.01,0,7.5,,sim,nao,nao,preco,421,2,procesado,
NC-00119,2025-01-02,São Paulo,SP,23,2256.91,F,saude,MEI,site,sistema_web,7139.46,aceita,42.09,1,7.2,demora_retorno,sim,sim,nao,concorrencia,328,10,pendente,
NC-00120,data_invalida,salvador,BA,67,6159.22,,industria,pequena,google_ads,sistema_web,11877.72,em_analise,13.57,1,"4,4",NA,sim,nao,nao,,266,1,validado,
NC-00121,2025-06-15,Curitiba,PR,24,6582.81,M,servicos,media,evento,app_mobile,1974.07,recusada,50.14,0,"9,0",,sim,nao,sim,preco,90,8,,
NC-00122,2025-07-06,Uberlândia,MG,51,7963.48,,varejo,MEI,site,sistema_web,9530.68,recusada,49.36,0,3.4,NA,sim,nao,sim,prazo,121,0,procesado,
NC-00123,17/10/2025,Curitiba,PR,31,10995.95,Outro,industria,MEI,evento,app_mobile,10923.12,em_analise,48.44,20,8.0,NA,sim,nao,nao,falta_contato,245,12,,
NC-00124,2025-06-11,Campinas,SP,62,3137.21,,varejo,pequena,instagram,sistema_web,3869.25,recusada,61.53,9,5.5,NA,sim,nao,sim,NA,118,5,validado,
NC-00125,2025-05-22,Curitiba,PR,31,1412.21,F,varejo,MEI,evento,app_mobile,"9720,65",abandonada,23.52,17,5.7,nao_entendeu_proposta,sim,nao,sim,preco,250,12,procesado,
NC-00126,2025-04-23,Salvador,BA,61,6861.37,Outro,varejo,MEI,site,sistema_web,2450.02,recusada,12.18,21,7.7,nao_entendeu_proposta,sim,nao,sim,preco,175,7,procesado,
NC-00127,2025-06-19,Goiânia,GO,44,10465.52,M,varejo,pequena,site,app_mobile,11030.4,abandonada,60.03,7,"7,5",demora_retorno,sim,nao,sim,NA,5,5,validado,
NC-00128,2025-04-11,Goiânia,GO,57,4617.12,M,varejo,MEI,site,sistema_web,"13653,71",recusada,72.25,17,4.5,concorrente,sim,nao,sim,falta_contato,324,11,validado,
NC-00129,2025-03-03,Salvador,BA,48,8359.35,M,varejo,MEI,site,sistema_web,4920.84,em_analise,39.66,9,5.3,NA,sim,nao,nao,concorrencia,233,0,pendente,
NC-00130,05-03-2025,Uberaba,mg,19,11628.77,F,varejo,pequena,site,app_mobile,10694.59,aceita,"43,49",0,6.1,demora_retorno,sim,sim,nao,NA,219,6,procesado,
NC-00131,2025-06-05,Uberaba,MG,30,9859.75,F,varejo,grande,indicacao,app_mobile,6718.25,aceita,20.28,0,7.2,demora_retorno,sim,sim,nao,prazo,218,21,pendente,
NC-00132,2025-07-31,Salvador,BA,48,4068.75,M,industria,media,instagram,sistema_web,9494.57,aceita,32.81,2,8.8,NA,sim,sim,nao,prazo,301,5,,
NC-00133,06-17-2025,Uberaba,mg,31,2994.57,M,servicos,MEI,site,app_mobile,15999.41,abandonada,29.63,29,6.3,preco_alto,sim,nao,sim,,151,12,,
NC-00134,2025-08-24,Goiânia,GO,43,"5318,61",,industria,pequena,google_ads,consultoria_digital,13023.47,recusada,36.37,15,7.1,demora_retorno,sim,nao,sim,NA,240,18,procesado,
NC-00135,data_invalida,Uberlândia,MG,28,4231.36,,saude,pequena,site,sistema_web,3852.22,abandonada,24.87,0,6.3,preco_alto,sim,nao,sim,falta_contato,398,11,,
NC-00136,09/08/2025,Uberaba,MG,47,3073.86,M,saude,MEI,google_ads,app_mobile,2912.77,em_analise,22.87,14,5.9,concorrente,sim,nao,nao,,226,4,pendente,
NC-00137,2025-08-21,Uberaba,MG,44,9599.54,Outro,industria,pequena,site,consultoria_digital,8264.84,em_analise,20.57,1,10,NA,sim,nao,nao,,52,9,validado,
NC-00138,03/02/2025,Campinas,SP,27,3387.44,Outro,servicos,MEI,google_ads,app_mobile,15241.77,abandonada,28.13,5,"7,4",nao_entendeu_proposta,sim,nao,sim,NA,79,6,validado,
NC-00139,04-13-2025,São Paulo,SP,23,5713.69,F,servicos,MEI,indicacao,sistema_web,15382.63,abandonada,"22,69",25,"8,6",NA,sim,nao,sim,NA,128,4,procesado,
NC-00140,2025-03-19,São Paulo,sp,41,9745.15,Outro,varejo,pequena,google_ads,sistema_web,8262.03,aceita,34.96,3,8.6,,sim,sim,nao,prazo,214,0,validado,
NC-00141,2025-08-23,Curitiba,PR,24,7880.33,M,saude,media,site,automacao_processos,"8304,36",recusada,"0,33",8,7.3,demora_retorno,sim,nao,sim,falta_contato,230,5,,
NC-00142,19/07/2025,Uberlândia,MG,,6431.95,Outro,educacao,MEI,evento,app_mobile,6294.38,em analise,79.74,0,8.1,,sim,nao,nao,concorrencia,159,6,procesado,
