registro_id,data_venda,cidade,uf,cliente_id,modelo_sabre,cor_lamina,categoria,preco_venda,custo_producao,tempo_fabricacao_h,quantidade_produzida,quantidade_vendida,avaliacao_cliente,comentario,mes,participou_promocao,frequencia_compra,dias_desde_ultima_compra,programa_fidelidade,status_pedido,observacao
SABER-00028,2025-07-08,São Paulo,sp,C103,premium,verde,customizado,"2387,59",1438.69,41,19,12,3.5,,11,nao,1,50,nao,,
SABER-00029,08-03-2025,São Paulo,SP,C243,elite,vermelho,padrao,2519.02,1180.4,29,29,23,2.7,ruim,11,sim,6,57,nao,,
SABER-00030,data_invalida,São Paulo,sp,C400,premium,amarelo,padrao,717.67,320.96,26,27,21,2.1,,4,nao,1,87,sim,,
SABER-00031,2025-07-31,São Paulo,SP,C155,dual_blade,vermelho,customizado,507.97,249.93,41,14,6,1.4,,3,,1,73,nao,cancelado,
SABER-00032,data_invalida,São Paulo,SP,C374,premium,azul,customizado,900.73,456.4,43,23,2,2.7,ótimo,2,,5,9,sim,,
SABER-00033,2025-09-16,São Paulo,sp,C31,dual_blade,azul,customizado,796.07,378.63,38,34,20,1.1,ruim,5,nao,4,18,sim,cancelado,
SABER-00034,2025-05-21,São Paulo,SP,C203,elite,verde,padrao,1504.85,800.33,47,19,13,1.9,ruim,3,nao,9,27,sim,procesado,
SABER-00035,2025-01-18,São Paulo,SP,C391,custom,amarelo,padrao,2593.92,1117.18,2,48,3,3.9,ótimo,12,sim,8,79,sim,,
SABER-00036,2025-05-31,São Paulo,SP,C240,custom,verde,customizado,"1190,42",564.24,31,12,0,1.3,,1,nao,1,26,sim,cancelado,
SABER-00037,2025-06-09,São Paulo,sp,C137,elite,vermelho,padrao,617.32,309.33,24,5,1,2.5,ruim,11,sim,0,65,nao,cancelado,
SABER-00038,data_invalida,São Paulo,SP,C82,custom,azul,customizado,"1097,11",564.95,27,39,33,3.6,,1,nao,1,66,sim,cancelado,
SABER-00039,2025-04-21,São Paulo,sp,C195,premium,verde,padrao,"1140,39",486.8,14,48,8,2.6,NA,1,sim,2,82,sim,finalizado,
SABER-00040,2025-10-01,São Paulo,SP,C371,premium,roxo,customizado,1532.36,770.75,200,13,4,4.9,,7,nao,1,77,sim,cancelado,OUTLIER tempo
SABER-00041,2025-04-01,São Paulo,SP,C296,elite,verde,padrao,2469.68,1109.34,48,5,0,2.7,ótimo,11,nao,3,61,nao,,
SABER-00042,data_invalida,São Paulo,SP,C272,custom,verde,customizado,"2408,25",1090.15,19,7,2,1.0,ótimo,12,,8,88,sim,procesado,
SABER-00043,2025-05-01,São Paulo,SP,C316,custom,vermelho,customizado,1224.23,790.39,24,8,2,3.4,ruim,7,nao,8,56,nao,,
SABER-00044,2025-08-10,São Paulo,SP,C163,classic,roxo,padrao,"1574,97",667.13,42,15,15,1.4,ótimo,3,nao,3,45,sim,cancelado,
SABER-00045,2025-05-02,São Paulo,SP,C163,premium,amarelo,padrao,"563,15",396.68,13,6,4,3.4,,7,sim,1,14,nao,,
SABER-00046,2025-10-13,São Paulo,SP,C260,dual_blade,roxo,padrao,2312.73,1382.75,34,26,25,3.2,NA,4,sim,8,9,nao,finalizado,
SABER-00047,2025-05-13,São Paulo,SP,C191,elite,vermelho,customizado,"2824,13",1286.32,29,16,10,2.0,ruim,6,nao,0,80,nao,procesado,
SABER-00048,2025-08-19,São Paulo,sp,C310,elite,vermelho,padrao,"2946,22",1264.38,18,16,14,1.5,ruim,11,sim,1,32,nao,procesado,
SABER-00049,2025-03-12,São Paulo,SP,C316,premium,vermelho,padrao,483.31,211.57,47,34,22,4.1,ruim,7,nao,4,49,nao,procesado,
SABER-00050,09-25-2025,São Paulo,sp,C252,classic,vermelho,padrao,"1415,25",594.78,24,38,3,2.7,,3,sim,5,3,nao,procesado,
SABER-00051,01/01/2025,São Paulo,SP,C285,elite,vermelho,customizado,"683,39",276.42,25,14,13,4.3,NA,9,,1,31,nao,procesado,
SABER-00052,2025-09-03,São Paulo,SP,C119,classic,roxo,padrao,382.19,281.23,19,19,5,2.8,ótimo,3,nao,4,54,nao,cancelado,
SABER-00053,2025-03-14,São Paulo,sp,C173,elite,vermelho,padrao,1804.06,1378.52,22,23,2,3.5,ótimo,4,,8,44,nao,finalizado,
SABER-00054,2025-09-26,São Paulo,sp,C353,premium,vermelho,padrao,1440.99,690.75,31,45,26,1.5,,6,nao,1,89,nao,procesado,
SABER-00055,2025-02-18,São Paulo,sp,C75,premium,vermelho,padrao,687.87,286.63,39,45,2,2.0,ótimo,9,,50,35,sim,finalizado,OUTLIER frequencia
SABER-00056,2025-09-29,São Paulo,SP,C278,premium,azul,padrao,2796.97,1236.27,5,23,21,1.4,ótimo,1,,6,59,sim,cancelado,
SABER-00057,2025-06-04,São Paulo,SP,C71,classic,azul,customizado,1056.67,524.13,10,29,28,2.8,ruim,12,,5,45,sim,cancelado,
SABER-00058,2025-07-19,São Paulo,SP,C384,dual_blade,vermelho,padrao,952.31,625.51,36,50,48,1.3,ótimo,9,sim,0,11,nao,,
SABER-00059,24/06/2025,São Paulo,sp,C123,premium,azul,customizado,328.94,200.01,11,43,0,3.2,,1,nao,7,46,sim,cancelado,
SABER-00060,2025-07-07,São Paulo,sp,C254,elite,azul,padrao,1275.74,584.97,20,47,21,4.5,NA,8,sim,5,90,sim,finalizado,
SABER-00061,2025-03-30,São Paulo,SP,C350,classic,verde,padrao,948.54,460.64,45,50,47,2.5,ruim,3,nao,5,79,sim,,
SABER-00062,2025-02-28,São Paulo,SP,C344,elite,amarelo,padrao,1759.52,1422.58,2,41,5,4.5,,8,nao,6,72,sim,,
SABER-00063,2025-03-28,São Paulo,SP,C79,classic,azul,customizado,978.67,719.63,8,21,10,3.7,ruim,8,sim,5,34,nao,cancelado,
SABER-00064,2025-08-16,São Paulo,sp,C356,custom,verde,customizado,740.03,334.4,48,42,37,5.0,,12,nao,2,81,sim,procesado,
SABER-00065,data_invalida,São Paulo,SP,C292,premium,vermelho,padrao,1018.76,807.33,2,34,15,1.1,NA,2,,8,13,sim,procesado,
SABER-00066,2025-06-30,São Paulo,SP,C149,classic,azul,customizado,1243.17,586.82,18,13,2,1.7,,12,,0,25,sim,cancelado,
SABER-00067,03-06-2025,São Paulo,SP,C316,elite,amarelo,padrao,547.54,295.41,4,9,6,1.1,ótimo,4,sim,4,22,sim,,
SABER-00068,2025-08-27,São Paulo,SP,C168,dual_blade,azul,customizado,982.81,462.12,31,19,9,2.9,,5,,8,85,nao,cancelado,
SABER-00069,2025-08-10,São Paulo,sp,C55,dual_blade,azul,padrao,"1934,38",1142.3,26,23,23,1.6,,5,sim,0,16,sim,finalizado,
SABER-00070,2025-02-12,São Paulo,SP,C313,classic,amarelo,customizado,2106.55,1199.99,26,45,14,9,NA,7,sim,4,37,nao,,INVALIDO avaliacao
SABER-00071,2025-08-04,São Paulo,sp,C181,premium,amarelo,customizado,1529.59,713.55,45,48,25,3.6,NA,6,sim,10,26,sim,,
SABER-00072,2025-02-27,São Paulo,sp,C90,premium,verde,customizado,2009.04,895.69,14,5,0,1.2,ruim,9,sim,4,30,sim,procesado,
SABER-00073,2025-04-20,São Paulo,sp,C381,custom,verde,customizado,2830.31,1201.59,47,22,15,2.5,,6,nao,4,79,sim,procesado,
SABER-00074,2025-02-04,São Paulo,SP,C57,dual_blade,verde,customizado,913.38,676.51,48,38,13,1.7,NA,9,nao,8,65,sim,cancelado,
SABER-00075,2025-05-22,São Paulo,sp,C285,elite,amarelo,customizado,1079.0,629.32,35,38,21,1.3,,3,nao,2,15,nao,procesado,
SABER-00076,2025-05-14,São Paulo,SP,C148,custom,verde,customizado,2392.97,976.36,46,29,6,2.1,,8,nao,4,1,sim,procesado,
SABER-00077,2025-09-17,São Paulo,sp,C91,classic,azul,customizado,882.31,598.93,38,17,7,3.3,ruim,1,sim,5,44,sim,procesado,
SABER-00078,2025-02-25,São Paulo,sp,C366,classic,azul,padrao,1145.97,735.52,44,1,1,4.8,,8,sim,6,18,sim,cancelado,
SABER-00079,2025-06-05,São Paulo,sp,C279,premium,vermelho,padrao,1836.03,953.47,14,47,30,3.9,ótimo,11,,1,2,sim,procesado,
SABER-00080,2025-03-21,São Paulo,SP,C397,elite,vermelho,customizado,571.64,331.4,7,27,21,4.0,ruim,1,nao,9,40,sim,procesado,
SABER-00081,2025-06-13,São Paulo,sp,C243,dual_blade,azul,padrao,746.23,546.12,8,10,1,1.8,ruim,11,sim,8,78,nao,procesado,
SABER-00082,2025-09-22,São Paulo,SP,C103,dual_blade,verde,padrao,1519.96,1263.13,27,47,16,2.8,ruim,1,,0,20,sim,,
SABER-00083,2025-06-16,São Paulo,sp,C136,elite,amarelo,customizado,1632.7,1069.83,37,36,17,1.3,NA,10,nao,4,30,nao,finalizado,
SABER-00084,data_invalida,São Paulo,SP,C67,custom,verde,padrao,820.77,606.97,33,28,4,3.0,ruim,11,sim,1,32,nao,,
SABER-00085,data_invalida,São Paulo,sp,C192,custom,verde,padrao,2046.5,1106.98,4,21,17,3.5,,9,,8,19,nao,cancelado,
SABER-00086,2025-07-10,São Paulo,sp,C189,custom,roxo,customizado,636.18,416.78,38,28,28,3.6,,5,sim,5,79,nao,finalizado,
SABER-00087,03-21-2025,São Paulo,SP,C362,classic,vermelho,customizado,1719.3,1206.44,17,41,12,3.8,ruim,7,sim,8,84,nao,cancelado,
SABER-00088,2025-01-02,São Paulo,sp,C146,elite,azul,customizado,509.26,271.73,29,26,20,4.2,NA,11,,9,73,nao,,
SABER-00089,2025-10-16,São Paulo,sp,C207,elite,vermelho,padrao,643.67,450.41,29,7,0,1.8,ruim,4,,4,19,sim,cancelado,
SABER-00090,2025-07-31,São Paulo,sp,C110,dual_blade,verde,padrao,"1748,69",1381.19,45,50,3,1.3,NA,11,,9,32,sim,cancelado,
SABER-00091,2025-06-07,São Paulo,sp,C47,premium,vermelho,customizado,433.9,308.07,24,17,1,2.1,ruim,4,nao,6,45,sim,,
SABER-00092,2025-01-21,São Paulo,SP,C282,elite,vermelho,customizado,2247.35,1116.21,18,11,11,4.0,ótimo,5,,2,23,nao,procesado,
SABER-00093,2025-05-22,São Paulo,SP,C281,dual_blade,azul,customizado,809.08,403.84,47,11,10,2.6,ruim,9,,5,23,sim,,
SABER-00094,2025-06-25,São Paulo,sp,C116,dual_blade,vermelho,padrao,864.63,525.24,31,14,6,4.2,NA,4,sim,9,12,sim,procesado,
SABER-00095,09/05/2025,São Paulo,sp,C229,premium,verde,customizado,1840.86,778.2,17,43,5,1.2,,4,nao,7,43,nao,finalizado,
SABER-00096,2025-07-22,São Paulo,SP,C216,premium,amarelo,customizado,1309.38,845.95,35,7,1,2.9,ótimo,3,sim,1,83,sim,procesado,
SABER-00097,2025-07-04,São Paulo,sp,C254,premium,vermelho,padrao,1660.58,753.76,16,41,38,3.1,ótimo,4,nao,2,62,nao,,
SABER-00098,2025-03-22,São Paulo,sp,C175,dual_blade,roxo,padrao,1272.82,544.46,23,29,22,2.0,NA,1,nao,8,18,nao,,
SABER-00099,2025-02-26,São Paulo,sp,C372,premium,vermelho,customizado,736.46,384.76,29,46,22,1.6,ruim,10,sim,9,7,nao,procesado,
SABER-00100,2025-06-02,São Paulo,SP,C198,dual_blade,verde,padrao,376.69,262.45,8,31,6,3.3,NA,8,sim,4,47,nao,,
SABER-00101,02/08/2025,São Paulo,sp,C70,elite,azul,customizado,"320,66",251.12,10,29,4,2.9,ótimo,10,,7,20,sim,cancelado,
SABER-00102,06/08/2025,São Paulo,sp,C27,classic,roxo,padrao,470.1,353.81,17,2,0,4.7,ótimo,4,,7,90,sim,procesado,
SABER-00103,2025-08-12,São Paulo,SP,C33,premium,azul,customizado,2824.61,1417.23,14,30,12,3.1,,2,sim,7,31,nao,procesado,
SABER-00104,2025-09-14,São Paulo,sp,C249,custom,vermelho,customizado,732.46,442.46,12,8,6,4.5,ruim,9,nao,10,25,nao,,
SABER-00105,09-24-2025,São Paulo,SP,C290,dual_blade,azul,padrao,"2568,5",1277.72,15,15,1,4.4,ótimo,3,nao,10,43,sim,,
SABER-00106,2025-03-24,São Paulo,sp,C356,premium,verde,padrao,829.3,643.09,31,38,16,1.1,ótimo,4,,10,83,nao,,
SABER-00107,2025-04-22,São Paulo,sp,C228,dual_blade,azul,padrao,2776.29,1385.34,9,31,21,3.7,NA,7,nao,1,33,nao,procesado,
SABER-00108,2025-07-02,São Paulo,sp,C109,dual_blade,vermelho,customizado,1196.78,513.85,39,36,7,4.3,NA,6,nao,2,82,nao,,
SABER-00109,2025-04-22,São Paulo,SP,C325,custom,verde,customizado,"819,86",459.74,38,7,5,3.5,,8,sim,10,59,nao,,
SABER-00110,2025-05-17,São Paulo,sp,C330,premium,vermelho,customizado,1608.84,1258.09,26,35,7,2.5,ótimo,4,nao,3,60,nao,finalizado,
SABER-00111,03-11-2025,São Paulo,sp,C137,dual_blade,azul,customizado,2144.32,910.28,20,41,41,4.1,NA,4,nao,6,89,sim,cancelado,
SABER-00112,2025-01-05,São Paulo,SP,C121,elite,verde,customizado,1887.21,1007.54,3,10,5,4.9,ótimo,9,,1,19,nao,finalizado,
SABER-00113,data_invalida,São Paulo,sp,C166,classic,verde,padrao,1666.33,737.33,3,8,2,5.0,,10,,9,33,sim,finalizado,
SABER-00114,2025-02-10,São Paulo,sp,C120,dual_blade,vermelho,customizado,"1080,69",716.04,7,26,17,3.3,,1,sim,7,36,sim,procesado,
SABER-00115,2025-07-21,São Paulo,sp,C263,elite,verde,padrao,"525,72",273.78,43,35,1,2.0,,2,,1,35,nao,cancelado,
SABER-00116,2025-03-02,São Paulo,sp,C77,dual_blade,vermelho,customizado,"1849,36",1141.26,45,49,36,3.5,,7,,0,70,nao,procesado,
SABER-00117,2025-08-29,São Paulo,SP,C251,premium,vermelho,padrao,2505.92,1492.07,2,10,9,4.4,,8,,2,41,sim,cancelado,
SABER-00118,2025-10-11,São Paulo,SP,C399,premium,vermelho,padrao,1709.9,1049.66,38,40,3,1.3,ruim,10,,5,14,sim,procesado,
SABER-00119,2025-04-22,São Paulo,sp,C67,classic,vermelho,padrao,2610.59,1335.24,10,29,22,1.1,,12,nao,6,64,nao,,
SABER-00120,24/05/2025,São Paulo,sp,C208,elite,azul,padrao,1549.38,679.99,44,9,5,3.9,,5,,10,44,nao,,
SABER-00121,2025-04-27,São Paulo,SP,C116,custom,azul,padrao,383.07,221.75,47,15,14,3.1,ruim,2,nao,4,50,sim,cancelado,
SABER-00122,2025-05-27,São Paulo,sp,C4,premium,vermelho,padrao,2315.28,1308.95,2,40,20,4.6,NA,2,,9,79,nao,procesado,
SABER-00123,2025-02-26,São Paulo,SP,C303,custom,azul,padrao,"3109,26",1332.11,18,24,21,4.2,,4,sim,3,44,sim,finalizado,
SABER-00124,02/10/2025,São Paulo,SP,C127,elite,verde,padrao,816.58,387.91,39,36,22,3.1,ruim,2,nao,7,55,sim,finalizado,
SABER-00125,29/03/2025,São Paulo,sp,C129,elite,verde,customizado,"1586,3",654.81,19,9,4,3.2,ótimo,6,nao,4,49,sim,cancelado,
SABER-00126,25/04/2025,São Paulo,sp,C245,dual_blade,amarelo,customizado,1820.55,759.92,2,24,15,2.5,NA,10,nao,1,7,nao,finalizado,
SABER-00127,2025-04-03,São Paulo,sp,C198,classic,verde,customizado,1275.74,994.32,29,4,0,2.7,,12,nao,5,33,sim,procesado,
SABER-00128,data_invalida,São Paulo,SP,C231,classic,vermelho,customizado,869.65,378.37,18,29,0,4.4,NA,3,sim,0,28,sim,finalizado,
SABER-00129,2025-07-06,São Paulo,SP,C152,dual_blade,verde,customizado,1782.47,879.84,2,26,24,2.0,ótimo,7,sim,8,74,sim,procesado,
SABER-00130,2025-10-08,São Paulo,SP,C224,premium,azul,padrao,585.01,291.49,17,37,21,4.3,,12,,8,47,nao,procesado,
SABER-00131,2025-10-13,São Paulo,SP,C326,dual_blade,azul,customizado,"656,45",276.08,4,39,26,3.6,NA,12,sim,4,31,sim,cancelado,
SABER-00132,2025-08-03,São Paulo,SP,C110,custom,azul,padrao,2332.06,969.64,17,43,21,1.1,ótimo,11,sim,2,35,sim,finalizado,
SABER-00133,2025-08-02,São Paulo,sp,C237,elite,amarelo,customizado,"3326,42",1439.99,25,1,1,1.5,,5,sim,8,56,nao,cancelado,
SABER-00134,2025-10-06,São Paulo,sp,C37,custom,verde,padrao,905.46,468.3,40,17,0,3.7,NA,9,sim,5,67,nao,,
SABER-00135,2025-07-16,São Paulo,sp,C358,elite,azul,padrao,904.94,540.27,42,27,6,4.2,NA,3,nao,5,33,sim,procesado,
SABER-00136,2025-08-24,São Paulo,SP,C266,premium,verde,padrao,1126.58,698.87,13,48,42,3.0,NA,4,,9,34,sim,,
SABER-00137,2025-04-02,São Paulo,SP,C268,elite,azul,customizado,931.07,518.0,38,14,12,3.9,,5,nao,10,13,sim,finalizado,
SABER-00138,2025-08-28,São Paulo,SP,C244,elite,azul,padrao,1994.59,971.26,36,45,42,2.0,NA,5,sim,7,20,nao,cancelado,
SABER-00139,data_invalida,São Paulo,sp,C85,dual_blade,vermelho,customizado,1501.84,1108.81,30,37,14,3.7,ótimo,5,,3,51,nao,finalizado,
SABER-00140,2025-06-08,São Paulo,sp,C33,elite,azul,customizado,2599.42,1420.02,42,39,13,2.1,NA,6,sim,8,4,nao,finalizado,
SABER-00141,data_invalida,São Paulo,sp,C255,dual_blade,vermelho,padrao,802.16,597.17,44,44,29,4.7,ruim,7,sim,10,3,nao,procesado,
SABER-00142,2025-04-25,São Paulo,sp,C68,elite,verde,customizado,2607.52,1196.83,27,44,27,4.3,ruim,6,nao,3,26,sim,finalizado,
SABER-00143,2025-09-19,São Paulo,sp,C194,elite,azul,customizado,"2142,15",1339.66,18,6,4,1.4,NA,12,sim,1,12,sim,cancelado,
SABER-00144,2025-07-05,São Paulo,sp,C365,premium,roxo,padrao,924.5,630.88,31,40,19,3.8,NA,6,nao,10,47,sim,,
SABER-00145,2025-05-24,São Paulo,sp,C286,elite,verde,customizado,932.04,670.88,24,16,5,3.1,NA,9,nao,10,18,nao,cancelado,
SABER-00146,2025-02-07,São Paulo,SP,C158,dual_blade,azul,customizado,856.07,618.6,33,41,23,4.3,NA,3,,3,59,nao,cancelado,
SABER-00147,2025-06-12,São Paulo,SP,C22,custom,roxo,padrao,"2795,7",1488.35,6,12,8,4.0,,4,sim,3,24,sim,,
SABER-00148,2025-05-07,São Paulo,sp,C128,premium,verde,padrao,865.75,349.39,16,34,27,2.3,ruim,7,sim,6,15,sim,procesado,
SABER-00149,2025-03-16,São Paulo,sp,C246,custom,azul,padrao,1745.18,1237.58,19,27,20,2.9,ótimo,10,,3,85,nao,cancelado,
SABER-00150,2025-06-25,São Paulo,sp,C141,elite,verde,padrao,811.53,422.85,31,37,32,4.4,,1,,4,70,sim,procesado,
SABER-00151,2025-06-24,São Paulo,sp,C120,elite,azul,customizado,"2281,19",1250.36,46,4,1,1.4,ruim,12,sim,10,87,sim,finalizado,
SABER-00152,2025-03-03,São Paulo,SP,C285,elite,azul,padrao,1008.63,699.61,2,50,23,2.4,ótimo,4,,3,64,sim,procesado,
SABER-00153,2025-02-12,São Paulo,SP,C44,dual_blade,roxo,customizado,1380.14,625.66,19,33,23,3.6,ótimo,12,,8,3,nao,procesado,
SABER-00154,2025-03-19,São Paulo,SP,C12,classic,vermelho,padrao,1793.38,793.67,36,45,24,2.4,ótimo,6,nao,8,66,nao,,
SABER-00155,data_invalida,São Paulo,SP,C25,elite,azul,padrao,2023.98,1103.2,42,6,1,2.5,,9,nao,6,23,sim,,
SABER-00156,2025-05-16,São Paulo,sp,C256,premium,azul,customizado,1506.37,762.28,47,17,14,3.5,,11,,7,43,sim,cancelado,
SABER-00157,2025-06-08,São Paulo,SP,C339,premium,azul,customizado,"428,93",279.38,15,18,14,2.8,,11,sim,10,35,nao,finalizado,
SABER-00158,2025-08-24,São Paulo,SP,C121,classic,azul,customizado,"1260,24",811.07,14,47,17,2.1,ótimo,9,sim,0,79,nao,procesado,
SABER-00159,data_invalida,São Paulo,sp,C140,dual_blade,azul,customizado,1203.34,612.08,43,29,20,2.3,ótimo,8,,3,17,sim,cancelado,
SABER-00160,2025-08-25,São Paulo,SP,C64,elite,azul,padrao,"892,96",451.77,17,20,20,2.7,ótimo,11,sim,3,56,sim,cancelado,
SABER-00161,2025-08-17,São Paulo,sp,C238,custom,roxo,padrao,"618,39",267.3,44,45,2,4.3,,7,nao,9,38,nao,procesado,
SABER-00162,2025-09-15,São Paulo,sp,C381,elite,vermelho,padrao,"3115,97",1442.21,20,18,3,1.8,ruim,8,nao,7,39,nao,cancelado,
SABER-00163,2025-01-22,São Paulo,SP,C69,premium,verde,padrao,734.05,493.34,2,24,23,5.0,,12,,1,13,sim,finalizado,
SABER-00164,09/01/2025,São Paulo,SP,C375,premium,roxo,padrao,1944.0,940.57,38,35,19,3.8,ótimo,4,,4,34,nao,cancelado,
SABER-00165,2025-01-25,São Paulo,sp,C313,dual_blade,amarelo,customizado,1152.7,553.29,26,13,9,3.1,ruim,9,sim,7,72,sim,finalizado,
SABER-00166,2025-09-01,São Paulo,sp,C271,classic,azul,padrao,1186.89,632.4,10,47,11,2.7,ótimo,6,,8,75,nao,cancelado,
SABER-00167,2025-06-03,São Paulo,SP,C69,elite,azul,padrao,2239.72,1068.7,48,15,12,4.2,NA,5,,5,22,nao,finalizado,
SABER-00168,2025-05-09,São Paulo,SP,C219,premium,verde,customizado,398.32,233.42,48,7,4,3.6,NA,12,,9,55,nao,,
SABER-00169,2025-05-01,São Paulo,sp,C349,custom,azul,padrao,"2550,8",1436.64,3,21,18,4.6,,6,sim,0,33,sim,cancelado,
SABER-00170,2025-07-17,São Paulo,SP,C103,elite,azul,padrao,3137.62,1343.81,4,31,9,2.9,NA,3,sim,5,66,nao,,
SABER-00171,2025-02-11,São Paulo,SP,C68,custom,roxo,customizado,803.18,534.9,35,33,22,3.9,,5,sim,7,17,nao,cancelado,
SABER-00172,data_invalida,São Paulo,SP,C400,elite,roxo,customizado,924.74,735.99,40,9,9,4.9,,12,sim,0,3,sim,finalizado,
SABER-00173,2025-02-21,São Paulo,SP,C70,classic,roxo,padrao,961.75,474.31,21,15,14,1.7,NA,7,,1,39,nao,cancelado,
SABER-00174,2025-07-05,São Paulo,sp,C175,custom,vermelho,padrao,420.13,204.91,7,33,13,1.9,,1,sim,3,76,sim,cancelado,
SABER-00175,2025-05-08,São Paulo,SP,C350,classic,vermelho,customizado,"1363,32",572.21,41,1,0,1.9,ótimo,2,nao,6,0,nao,,
SABER-00176,2025-09-10,São Paulo,SP,C397,elite,verde,customizado,1980.17,1358.0,19,30,30,2.4,ótimo,3,nao,2,37,sim,procesado,
SABER-00177,29/09/2025,São Paulo,SP,C373,dual_blade,verde,customizado,2813.99,1138.98,16,19,19,4.6,ruim,9,,8,28,nao,cancelado,
SABER-00178,2025-07-30,São Paulo,sp,C29,dual_blade,azul,padrao,3377.93,1474.29,7,29,12,1.1,ótimo,2,nao,9,17,sim,finalizado,
SABER-00179,2025-06-17,São Paulo,SP,C165,classic,verde,customizado,592.05,397.12,11,5,3,2.5,,9,nao,3,19,nao,cancelado,
