registro_id,data_publicacao,autor_id,cidade,uf,titulo,tema,tempo_leitura_seg,tempo_avaliacao_seg,avaliacao,usuario_id,historico_postagens,dispositivo,verificado,credencial_declarada,credencial_validada,publicacoes_anteriores,premios,engajamento,sentimento,cancelado_assinatura,motivo_cancelamento,status_conteudo,observacao
TST-00044,03-24-2025,A89,Goiânia,SP,Artigo 44,tecnologia,545,39,3.8,U472,63,desktop,nao,especialista,nao,10,6,660,neutro,nao,sem_interesse,procesado,
TST-00045,2025-05-21,A106,Goiânia,GO,Artigo 45,tecnologia,409,75,5,U309,67,tablet,sim,,,36,7,536,positivo,sim,conteudo_ruim,procesado,
TST-00046,2025-07-05,A128,Goiânia,MG,Artigo 46,política,474,1,2.6,U418,85,tablet,sim,phd,nao,10,7,764,positivo,sim,,,
TST-00047,data_invalida,A31,São Paulo,MG,Artigo 47,tecnologia,493,48,4.5,U458,59,mobile,nao,especialista,,8,4,689,neutro,nao,conteudo_ruim,,
TST-00048,10-22-2025,A110,Curitiba,MG,Artigo 48,política,295,49,3.0,U116,89,mobile,nao,phd,,9,0,201,positivo,nao,fake,removido,
TST-00049,data_invalida,A10,São Paulo,GO,Artigo 49,tecnlogia,229,42,4.6,U20,40,mobile,nao,especialista,nao,50,5,273,neutro,sim,sem_interesse,procesado,
TST-00050,01-02-2025,A179,Uberlândia,SP,Artigo 50,tecnlogia,176,43,3.0,U175,74,mobile,nao,,sim,7,6,83,negativo,sim,conteudo_ruim,ativo,
TST-00051,2025-07-26,A36,Uberlândia,PR,Artigo 51,política,612,85,4.3,U416,41,mobile,sim,,,35,1,663,positivo,sim,conteudo_ruim,,
TST-00052,data_invalida,A13,Curitiba,PR,Artigo 52,tecnologia,261,18,4.1,U52,76,tablet,nao,especialista,,25,6,195,positivo,nao,sem_interesse,removido,
TST-00053,2025-03-15,A25,Uberlândia,GO,Artigo 53,tecnlogia,431,32,3.2,U253,100,desktop,sim,,nao,29,8,896,positivo,nao,conteudo_ruim,,
TST-00054,2025-07-03,A170,Goiânia,MG,Artigo 54,política,355,27,3.4,U167,43,desktop,sim,phd,,50,7,941,neutro,sim,,procesado,
TST-00055,2025-06-03,A190,Curitiba,sp,Artigo 55,tecnlogia,66,49,4.8,U282,14,mobile,sim,especialista,,20,0,100000,neutro,nao,conteudo_ruim,procesado,OUTLIER
TST-00056,2025-10-05,A62,São Paulo,GO,Artigo 56,política,537,21,5.0,U286,22,tablet,sim,phd,,21,9,318,positivo,nao,,ativo,
TST-00057,2025-04-11,A106,Goiânia,PR,Artigo 57,tecnlogia,5,34,5,U251,80,tablet,nao,mestre,sim,5,7,616,positivo,sim,conteudo_ruim,procesado,
TST-00058,2025-04-16,A184,São Paulo,SP,Artigo 58,política,278,1,3.2,U399,76,tablet,nao,mestre,nao,37,4,528,negativo,nao,conteudo_ruim,ativo,
TST-00059,2025-04-24,A63,São Paulo,GO,Artigo 59,tecnlogia,445,44,5,U498,50,tablet,nao,,nao,20,2,388,positivo,nao,sem_interesse,removido,
TST-00060,2025-05-01,A149,Goiânia,sp,Artigo 60,política,563,38,2.5,U189,20,tablet,sim,phd,sim,38,2,197,positivo,sim,sem_interesse,,
TST-00061,22/05/2025,A145,Uberlândia,MG,Artigo 61,tecnlogia,5,9,2.4,U170,21,tablet,nao,mestre,nao,3,1,902,negativo,sim,sem_interesse,,
TST-00062,2025-02-02,A73,São Paulo,SP,Artigo 62,tecnlogia,230,34,4.0,U202,87,tablet,sim,phd,nao,25,10,917,positivo,sim,conteudo_ruim,removido,
TST-00063,2025-01-27,A75,Curitiba,sp,Artigo 63,política,412,37,3.8,U468,64,tablet,sim,phd,,4,3,264,negativo,sim,,,
TST-00064,2025-07-05,A146,Uberlândia,SP,Artigo 64,política,502,4,1.9,U151,58,mobile,nao,,nao,8,4,229,neutro,sim,conteudo_ruim,removido,
TST-00065,2025-10-15,A188,Goiânia,sp,Artigo 65,politica,76,29,3.9,U293,62,tablet,nao,,sim,34,1,335,negativo,sim,conteudo_ruim,ativo,
TST-00066,2025-02-18,A84,Goiânia,PR,Artigo 66,tecnlogia,616,61,3.3,U152,3,tablet,sim,mestre,sim,9,6,848,neutro,nao,sem_interesse,ativo,
TST-00067,2025-04-02,A119,São Paulo,PR,Artigo 67,economia,46,43,4.5,U471,66,tablet,nao,,nao,50,8,904,positivo,sim,conteudo_ruim,,
TST-00068,2025-06-23,A169,Curitiba,MG,Artigo 68,política,449,14,4.2,U382,12,mobile,sim,phd,sim,9,9,824,negativo,sim,sem_interesse,procesado,
TST-00069,2025-01-13,A103,Uberlândia,SP,Artigo 69,economia,5,15,3.7,U218,38,tablet,sim,especialista,nao,12,10,507,negativo,sim,conteudo_ruim,procesado,
TST-00070,07-04-2025,A36,São Paulo,GO,Artigo 70,tecnologia,169,3,4.7,U103,1000,desktop,nao,mestre,nao,15,2,693,negativo,nao,sem_interesse,procesado,OUTLIER
TST-00071,2025-04-13,A156,Uberlândia,GO,Artigo 71,ciencia,467,45,3.9,U306,53,mobile,sim,especialista,,23,5,742,neutro,nao,sem_interesse,procesado,
TST-00072,2025-07-29,A103,Curitiba,SP,Artigo 72,política,372,33,3.0,U460,20,mobile,sim,,,34,7,39,neutro,sim,conteudo_ruim,removido,
TST-00073,05/03/2025,A189,São Paulo,SP,Artigo 73,política,308,35,4.0,U74,69,tablet,sim,,,23,6,934,neutro,nao,sem_interesse,ativo,
TST-00074,2025-02-16,A148,Goiânia,SP,Artigo 74,tecnlogia,339,33,4.6,U466,25,desktop,nao,especialista,nao,35,9,353,positivo,nao,fake,procesado,
TST-00075,15/01/2025,A79,Curitiba,PR,Artigo 75,tecnlogia,5,80,5,U482,86,mobile,sim,phd,,44,2,442,neutro,sim,sem_interesse,,
TST-00076,data_invalida,A74,Uberlândia,MG,Artigo 76,politica,225,76,4.7,U435,89,desktop,sim,mestre,sim,20,10,166,positivo,nao,sem_interesse,ativo,
TST-00077,02-01-2025,A44,Goiânia,MG,Artigo 77,economia,5,49,4.6,U449,4,desktop,nao,mestre,nao,45,0,734,positivo,sim,conteudo_ruim,ativo,
TST-00078,2025-04-01,A73,São Paulo,GO,Artigo 78,política,375,28,2.9,U204,28,mobile,sim,especialista,,42,6,884,positivo,nao,conteudo_ruim,ativo,
TST-00079,2025-02-17,A133,São Paulo,GO,Artigo 79,tecnlogia,229,1,3.4,U256,80,desktop,sim,especialista,sim,28,8,558,positivo,sim,sem_interesse,ativo,
TST-00080,2025-01-14,A49,Goiânia,GO,Artigo 80,tecnlogia,582,38,3.5,U117,1,mobile,nao,phd,,1,9,449,negativo,nao,fake,removido,
TST-00081,2025-03-05,A175,Curitiba,MG,Artigo 81,tecnlogia,470,43,3.9,U209,15,desktop,sim,mestre,,35,6,813,negativo,sim,conteudo_ruim,ativo,
TST-00082,2025-04-03,A93,Uberlândia,MG,Artigo 82,tecnlogia,451,34,4.8,U457,88,desktop,nao,especialista,nao,17,10,27,neutro,sim,conteudo_ruim,,
TST-00083,data_invalida,A28,Uberlândia,PR,Artigo 83,política,148,48,4.2,U305,92,mobile,sim,especialista,,47,9,884,positivo,nao,,procesado,
TST-00084,10/09/2025,A179,Uberlândia,SP,Artigo 84,política,348,19,3.4,U250,86,tablet,nao,,,8,8,906,positivo,sim,conteudo_ruim,removido,
TST-00085,2025-07-11,A91,Uberlândia,GO,Artigo 85,economia,257,27,3.0,U189,5,desktop,nao,,,15,8,429,positivo,sim,sem_interesse,ativo,
TST-00086,05-16-2025,A189,Uberlândia,PR,Artigo 86,política,576,29,4.3,U50,9,tablet,nao,especialista,,16,10,128,neutro,nao,fake,,
TST-00087,02-16-2025,A143,Curitiba,MG,Artigo 87,tecnlogia,452,52,5,U339,25,tablet,sim,mestre,,27,4,771,positivo,sim,fake,ativo,
TST-00088,2025-10-06,A193,Uberlândia,GO,Artigo 88,tecnlogia,284,25,3.0,U364,30,tablet,sim,mestre,nao,12,4,246,neutro,sim,conteudo_ruim,,
TST-00089,2025-03-01,A83,São Paulo,SP,Artigo 89,política,340,38,3.7,U481,93,desktop,nao,mestre,nao,11,7,644,positivo,nao,sem_interesse,removido,
TST-00090,2025-02-08,A48,Curitiba,GO,Artigo 90,tecnlogia,63,44,5,U441,59,mobile,sim,phd,sim,1,2,310,positivo,sim,fake,,
TST-00091,2025-10-11,A4,São Paulo,GO,Artigo 91,economia,146,31,5,U347,55,tablet,sim,mestre,,18,8,20,neutro,nao,conteudo_ruim,ativo,
TST-00092,2025-03-21,A56,Curitiba,sp,Artigo 92,ciencia,485,48,5,U365,42,mobile,nao,especialista,nao,27,10,989,neutro,nao,sem_interesse,removido,
TST-00093,12/02/2025,A142,Goiânia,SP,Artigo 93,tecnlogia,313,1,4.9,U307,84,desktop,sim,especialista,nao,39,8,921,positivo,sim,,procesado,
TST-00094,data_invalida,A186,Goiânia,MG,Artigo 94,política,340,64,4.1,U407,91,mobile,nao,phd,,9,0,614,positivo,sim,fake,ativo,
TST-00095,2025-01-05,A71,São Paulo,PR,Artigo 95,política,44,12,5,U254,76,tablet,nao,especialista,,44,6,351,positivo,nao,sem_interesse,procesado,
TST-00096,2025-09-08,A81,Uberlândia,GO,Artigo 96,tecnlogia,419,18,3.9,U405,76,desktop,sim,mestre,sim,24,10,915,negativo,nao,conteudo_ruim,procesado,
TST-00097,2025-10-12,A133,Curitiba,GO,Artigo 97,política,263,8,2.6,U242,19,desktop,sim,especialista,,6,6,618,neutro,nao,,procesado,
TST-00098,2025-03-18,A147,Curitiba,sp,Artigo 98,politica,199,18,5,U106,9,mobile,nao,,sim,42,9,62,negativo,nao,fake,procesado,
TST-00099,2025-02-24,A135,Curitiba,sp,Artigo 99,politica,236,51,3.3,U210,18,mobile,nao,especialista,,25,10,535,positivo,sim,fake,removido,
TST-00100,2025-10-07,A139,Uberlândia,sp,Artigo 100,ciencia,324,52,5,U29,29,mobile,sim,,nao,13,1,28,neutro,sim,,removido,
TST-00101,09-01-2025,A153,Curitiba,MG,Artigo 101,tecnlogia,162,21,5,U243,65,mobile,nao,phd,,45,9,247,positivo,sim,,procesado,
TST-00102,06-12-2025,A44,Curitiba,sp,Artigo 102,política,122,12,4.6,U32,61,desktop,sim,especialista,sim,1,5,938,positivo,sim,conteudo_ruim,removido,
TST-00103,2025-02-17,A19,Uberlândia,sp,Artigo 103,política,5,55,4.9,U214,10,tablet,nao,phd,sim,25,2,238,positivo,nao,conteudo_ruim,ativo,
TST-00104,2025-10-08,A19,Goiânia,sp,Artigo 104,tecnlogia,454,61,4.8,U184,39,tablet,nao,,,36,3,678,positivo,nao,sem_interesse,removido,
TST-00105,2025-07-30,A116,Goiânia,GO,Artigo 105,politica,602,1,5,U190,51,mobile,nao,phd,,31,9,72,positivo,sim,fake,procesado,
TST-00106,2025-07-15,A162,Curitiba,sp,Artigo 106,tecnlogia,75,77,4.3,U339,22,tablet,nao,especialista,nao,31,2,422,neutro,nao,conteudo_ruim,removido,
TST-00107,data_invalida,A81,Goiânia,MG,Artigo 107,tecnlogia,435,30,3.3,U384,4,tablet,sim,,nao,0,3,345,positivo,nao,sem_interesse,procesado,
TST-00108,07-03-2025,A124,São Paulo,sp,Artigo 108,politica,269,70,5,U261,9,tablet,nao,mestre,sim,12,7,340,neutro,nao,sem_interesse,,
TST-00109,2025-09-13,A30,São Paulo,sp,Artigo 109,política,468,18,3.1,U286,100,tablet,sim,especialista,nao,31,10,645,negativo,nao,fake,removido,
TST-00110,2025-10-10,A127,São Paulo,MG,Artigo 110,tecnlogia,174,59,3.8,U35,49,tablet,sim,mestre,,19,6,320,positivo,sim,,procesado,
TST-00111,2025-09-22,A89,Curitiba,SP,Artigo 111,politica,484,45,3.9,U43,2,tablet,sim,mestre,sim,14,9,855,positivo,nao,,ativo,
TST-00112,2025-04-30,A91,Goiânia,PR,Artigo 112,política,5,1,2.3,U426,75,desktop,sim,mestre,,36,0,944,neutro,nao,sem_interesse,procesado,
TST-00113,10-20-2025,A182,Uberlândia,SP,Artigo 113,política,52,1,1.9,U291,58,mobile,nao,,,28,7,247,positivo,sim,conteudo_ruim,procesado,
TST-00114,2025-04-09,A84,Uberlândia,PR,Artigo 114,política,368,60,2.9,U97,66,desktop,sim,,nao,7,0,767,negativo,sim,,removido,
TST-00115,2025-01-27,A169,Uberlândia,PR,Artigo 115,tecnlogia,328,70,3.8,U176,93,mobile,sim,especialista,nao,5,4,66,neutro,nao,sem_interesse,ativo,
TST-00116,2025-10-19,A142,Curitiba,SP,Artigo 116,tecnlogia,156,1,4.3,U473,69,tablet,nao,especialista,sim,15,4,605,neutro,sim,conteudo_ruim,,
TST-00117,2025-06-25,A21,Curitiba,PR,Artigo 117,tecnologia,150,1,4.1,U17,70,tablet,nao,,,14,2,710,positivo,sim,sem_interesse,procesado,
TST-00118,2025-04-06,A194,Uberlândia,GO,Artigo 118,política,121,35,1.2,U216,61,mobile,nao,especialista,nao,17,9,82,positivo,nao,sem_interesse,ativo,
TST-00119,17/08/2025,A169,Goiânia,sp,Artigo 119,tecnlogia,344,61,4.5,U250,79,tablet,nao,,,10,10,554,negativo,sim,fake,,
TST-00120,2025-10-27,A35,Goiânia,sp,Artigo 120,economia,41,25,5,U109,76,desktop,sim,especialista,sim,48,5,357,positivo,sim,,procesado,
TST-00121,2025-06-07,A26,Uberlândia,PR,Artigo 121,tecnologia,170,36,4.5,U421,62,desktop,nao,especialista,sim,25,10,286,negativo,sim,fake,ativo,
TST-00122,data_invalida,A31,Curitiba,MG,Artigo 122,tecnologia,558,26,4.5,U492,48,tablet,sim,,sim,27,0,794,negativo,sim,sem_interesse,ativo,
TST-00123,2025-09-16,A54,Goiânia,PR,Artigo 123,política,425,31,4.0,U166,86,tablet,nao,mestre,nao,26,7,506,positivo,sim,fake,,
TST-00124,2025-09-19,A7,Curitiba,MG,Artigo 124,ciencia,239,19,3.0,U208,76,mobile,nao,especialista,nao,34,4,334,positivo,nao,fake,,
TST-00125,2025-10-16,A8,Goiânia,GO,Artigo 125,política,5,1,4.8,U254,98,tablet,nao,phd,sim,23,8,116,positivo,nao,fake,procesado,
TST-00126,22/08/2025,A149,São Paulo,PR,Artigo 126,política,264,9,5,U173,36,desktop,sim,mestre,,42,0,560,neutro,nao,,removido,
TST-00127,2025-06-22,A102,Goiânia,sp,Artigo 127,política,432,19,2.9,U437,33,desktop,sim,mestre,,13,3,856,positivo,sim,conteudo_ruim,,
TST-00128,2025-05-17,A185,Curitiba,MG,Artigo 128,tecnlogia,583,1,5,U427,63,mobile,nao,especialista,sim,31,1,256,positivo,nao,conteudo_ruim,,
TST-00129,2025-04-03,A112,Uberlândia,sp,Artigo 129,política,205,1,3.2,U498,10,desktop,nao,especialista,sim,46,1,888,positivo,sim,conteudo_ruim,,
TST-00130,2025-07-25,A168,Uberlândia,GO,Artigo 130,política,619,1,5,U148,55,mobile,sim,mestre,nao,40,1,604,positivo,sim,conteudo_ruim,ativo,
TST-00131,2025-10-11,A132,São Paulo,PR,Artigo 131,política,437,38,5,U303,40,desktop,sim,mestre,,10,5,664,neutro,sim,sem_interesse,removido,
TST-00132,2025-07-10,A168,Curitiba,SP,Artigo 132,tecnlogia,169,13,4.0,U259,75,mobile,nao,phd,,44,10,408,negativo,sim,conteudo_ruim,ativo,
TST-00133,01-26-2025,A56,Goiânia,PR,Artigo 133,política,149,37,4.5,U250,32,mobile,sim,phd,sim,45,5,606,positivo,nao,fake,ativo,
TST-00134,2025-02-21,A46,Uberlândia,PR,Artigo 134,política,341,27,4.3,U166,33,tablet,sim,mestre,sim,26,6,59,positivo,nao,conteudo_ruim,ativo,
TST-00135,2025-01-28,A187,São Paulo,GO,Artigo 135,tecnlogia,43,61,3.7,U29,63,mobile,nao,,sim,35,9,994,neutro,nao,fake,,
TST-00136,2025-09-15,A113,Uberlândia,SP,Artigo 136,tecnlogia,390,50,3.7,U164,14,mobile,nao,mestre,sim,11,10,495,negativo,nao,fake,procesado,
TST-00137,28/01/2025,A160,Curitiba,SP,Artigo 137,política,286,46,5.0,U60,32,mobile,nao,especialista,sim,17,2,628,negativo,nao,fake,procesado,
TST-00138,2025-04-08,A189,Uberlândia,SP,Artigo 138,política,39,27,3.1,U241,74,desktop,nao,,nao,50,1,736,negativo,nao,conteudo_ruim,ativo,
TST-00139,2025-05-27,A149,Uberlândia,sp,Artigo 139,política,368,9,2.0,U191,9,tablet,sim,phd,,42,8,459,neutro,nao,,,
TST-00140,2025-04-04,A36,Goiânia,GO,Artigo 140,política,447,23,4.8,U357,32,desktop,sim,mestre,,48,2,881,neutro,sim,conteudo_ruim,removido,
TST-00141,2025-09-28,A161,Curitiba,sp,Artigo 141,tecnologia,379,26,4.9,U405,22,mobile,sim,,,40,8,644,neutro,nao,,,
TST-00142,2025-06-29,A139,Uberlândia,MG,Artigo 142,tecnlogia,214,41,5,U353,70,desktop,nao,especialista,nao,12,4,98,positivo,nao,fake,removido,
TST-00143,13/07/2025,A199,Uberlândia,GO,Artigo 143,tecnlogia,5,12,4.1,U264,71,desktop,sim,,,29,4,51,positivo,nao,conteudo_ruim,removido,
TST-00144,2025-02-04,A117,Uberlândia,sp,Artigo 144,tecnlogia,619,51,3.0,U403,39,mobile,sim,phd,,5,1,456,positivo,nao,sem_interesse,ativo,
TST-00145,07-04-2025,A14,São Paulo,MG,Artigo 145,política,228,14,3.2,U500,48,desktop,sim,,nao,49,4,411,negativo,sim,conteudo_ruim,,
TST-00146,2025-02-13,A103,Uberlândia,MG,Artigo 146,tecnlogia,31,23,4.6,U151,100,mobile,sim,especialista,nao,0,5,125,positivo,nao,conteudo_ruim,removido,
TST-00147,05-06-2025,A70,Curitiba,GO,Artigo 147,política,341,8,4.5,U464,43,desktop,sim,especialista,,39,10,856,positivo,nao,sem_interesse,,
TST-00148,2025-05-01,A72,Goiânia,PR,Artigo 148,política,324,1,5,U233,38,mobile,nao,phd,,3,3,965,neutro,sim,,procesado,
TST-00149,2025-10-18,A183,Uberlândia,sp,Artigo 149,saude,393,14,4.2,U122,61,mobile,sim,phd,nao,2,4,35,neutro,nao,sem_interesse,ativo,
TST-00150,2025-09-30,A35,Uberlândia,sp,Artigo 150,tecnlogia,429,45,4.9,U212,75,desktop,nao,mestre,sim,21,7,405,negativo,nao,conteudo_ruim,ativo,
TST-00151,2025-10-27,A147,Curitiba,SP,Artigo 151,politica,106,105,3.1,U188,99,tablet,nao,phd,sim,34,10,455,negativo,sim,,procesado,
TST-00152,2025-06-30,A79,São Paulo,sp,Artigo 152,tecnlogia,479,67,3.1,U467,64,desktop,nao,mestre,sim,27,2,796,neutro,nao,sem_interesse,removido,
TST-00153,03-08-2025,A89,São Paulo,SP,Artigo 153,tecnologia,295,3,3.4,U385,20,tablet,nao,phd,,10,4,809,negativo,sim,sem_interesse,ativo,
TST-00154,2025-03-22,A67,Uberlândia,MG,Artigo 154,política,317,23,4.6,U115,4,tablet,nao,,sim,12,2,809,negativo,nao,,removido,
TST-00155,2025-06-12,A162,Uberlândia,sp,Artigo 155,política,566,1,4.3,U450,46,mobile,sim,especialista,sim,35,0,938,negativo,sim,sem_interesse,removido,
TST-00156,04-06-2025,A121,Goiânia,MG,Artigo 156,política,483,28,5,U428,86,desktop,nao,,nao,49,3,510,positivo,sim,,,
TST-00157,2025-03-02,A46,São Paulo,GO,Artigo 157,política,109,45,3.3,U206,5,mobile,sim,especialista,nao,17,0,203,positivo,nao,,ativo,
TST-00158,2025-04-13,A142,Curitiba,GO,Artigo 158,política,407,16,4.2,U443,57,mobile,nao,mestre,,35,1,507,negativo,nao,fake,removido,
TST-00159,2025-06-11,A53,Curitiba,MG,Artigo 159,política,401,3,4.1,U241,19,tablet,sim,,,34,1,234,neutro,sim,sem_interesse,removido,
TST-00160,2025-10-01,A196,São Paulo,sp,Artigo 160,política,35,18,5,U56,10,mobile,sim,,nao,7,6,172,positivo,sim,,,
TST-00161,data_invalida,A95,Uberlândia,PR,Artigo 161,política,345,65,3.1,U433,37,tablet,sim,mestre,nao,21,2,772,neutro,nao,conteudo_ruim,ativo,
TST-00162,2025-05-20,A134,Uberlândia,PR,Artigo 162,tecnlogia,192,31,2.1,U324,19,mobile,sim,phd,,44,2,0,negativo,nao,,removido,
