registro_id,data_matricula,data_cancelamento,idade,plano,frequencia_semanal,tempo_permanencia_meses,horario_entrada,dia_semana,tempo_treino_min,equipamento,uso_equipamento_min,capacidade_max,status_aluno,observacao
LIFT-00037,2024-07-08,data_invalida,67,mensal,4,6,18,quarta,91,supino,24,100,ativo,
LIFT-00038,data_invalida,,59,anual,1,4,22,terça,27,NA,33,100,ativo,
LIFT-00039,2024-02-24,2025-02-07,16,mensal,7,7,14,domingo,76,supino,32,100,,
LIFT-00040,data_invalida,,57,mensal,4,1,23,domingo,57,NA,0,100,cancelado,OUTLIER uso zero
LIFT-00041,2025-02-14,09-20-2024,18,mensal,4,8,7,segunda,53,,14,100,ativo,
LIFT-00042,2024-01-21,,64,mensal,5,4,17,domingo,47,esteira,52,100,ativo,
LIFT-00043,20/11/2024,,27,anual,0,16,20,segunda,97,halteres,35,100,cancelado,
LIFT-00044,2024-05-27,2024-03-24,39,mensal,1,14,9,segunda,54,bike,17,100,procesado,
LIFT-00045,2024-07-13,,41,mensal,5,11,9,quarta,58,esteira,5,100,cancelado,
LIFT-00046,07-13-2024,,58,mensal,0,10,5,sexta,56,,31,100,,
LIFT-00047,2024-10-10,,21,mensal,1,5,21,sábado,58,leg_press,26,100,ativo,
LIFT-00048,2024-05-04,2024-08-27,59,anual,1,5,16,terça,28,esteira,31,100,,
LIFT-00049,15/12/2024,,21,mensal,3,1,13,segunda,89,,7,100,cancelado,
LIFT-00050,2025-04-13,,60,mensal,0,9,15,sexta,46,leg_press,5,100,ativo,
LIFT-00051,data_invalida,2024-11-11,,anual,6,17,11,sábado,33,esteira,5,100,procesado,
LIFT-00052,22/06/2024,,16,mensal,2,11,14,terça,58,esteira,12,100,cancelado,
LIFT-00053,2024-08-14,,34,mensal,2,1,11,quarta,64,NA,18,100,ativo,
LIFT-00054,2024-02-18,2025-04-01,47,mensal,3,9,21,sexta,57,supino,6,100,ativo,
LIFT-00055,2024-03-08,,61,mensal,1,60,11,quinta,96,NA,5,100,procesado,OUTLIER permanencia alta
LIFT-00056,2024-03-28,,23,anual,3,3,10,segunda,43,supino,15,100,,
LIFT-00057,2024-04-01,2024-01-11,61,anual,1,5,12,quarta,37,,5,100,ativo,
LIFT-00058,2024-02-07,2024-11-18,56,mensal,0,9,22,terça,68,NA,5,100,cancelado,
LIFT-00059,2025-03-07,2025-05-02,38,anual,2,4,15,quinta,50,halteres,17,100,,
LIFT-00060,2024-06-27,,29,mensal,7,6,11,domingo,78,esteira,34,100,,
LIFT-00061,2024-12-17,,63,mensal,3,9,7,quarta,63,bike,14,100,cancelado,
LIFT-00062,06-10-2024,12-11-2024,68,anual,1,5,16,sábado,85,crossfit,5,100,cancelado,
LIFT-00063,02/09/2024,,40,mensal,6,1,22,sexta,52,bike,5,100,ativo,
LIFT-00064,05-15-2025,,,mensal,6,4,5,quarta,99,bike,12,100,procesado,
LIFT-00065,data_invalida,2024-09-27,39,mensal,3,3,5,segunda,82,crossfit,5,100,ativo,
LIFT-00066,2025-04-27,2024-08-31,16,mensal,2,3,17,sábado,70,crossfit,30,100,procesado,
LIFT-00067,2024-08-21,2024-03-07,28,mensal,5,10,21,quarta,27,leg_press,24,100,,
LIFT-00068,2024-10-23,,46,mensal,4,4,23,domingo,59,halteres,5,100,,
LIFT-00069,08/01/2025,06-27-2024,54,mensal,0,5,16,segunda,73,halteres,5,100,,
LIFT-00070,2025-04-14,2024-08-31,5,mensal,0,1,19,quarta,49,supino,41,100,cancelado,OUTLIER idade invalida
LIFT-00071,07-06-2024,,66,anual,3,8,17,terça,35,supino,9,100,procesado,
LIFT-00072,02/02/2025,04-04-2025,19,mensal,2,11,5,domingo,69,leg_press,8,100,procesado,
LIFT-00073,2024-08-18,,38,mensal,1,1,9,sábado,38,supino,41,100,cancelado,
LIFT-00074,31/10/2024,,52,mensal,4,2,9,quarta,63,supino,5,100,cancelado,
LIFT-00075,2024-11-15,,18,mensal,0,6,11,quinta,53,leg_press,5,100,ativo,
LIFT-00076,data_invalida,06-14-2024,50,anual,4,5,12,terça,56,halteres,24,100,,
LIFT-00077,2025-01-14,,61,mensal,5,12,16,segunda,76,halteres,22,100,procesado,
LIFT-00078,2024-09-24,2025-04-08,37,anual,1,10,10,domingo,59,esteira,21,100,ativo,
LIFT-00079,2024-12-19,,16,anual,4,5,10,sexta,22,leg_press,29,100,ativo,
LIFT-00080,2025-01-04,08-11-2024,,mensal,2,3,10,segunda,63,crossfit,22,100,procesado,
LIFT-00081,02/06/2024,,18,mensal,4,5,18,segunda,57,NA,31,100,ativo,
LIFT-00082,08-15-2024,2024-04-17,47,anual,2,7,11,quinta,73,supino,15,100,procesado,
LIFT-00083,03-30-2024,2024-02-25,49,anual,4,5,13,quinta,18,NA,5,100,cancelado,
LIFT-00084,2024-09-11,2024-01-19,62,mensal,0,3,10,segunda,26,supino,47,100,cancelado,
LIFT-00085,2024-06-17,,23,mensal,4,9,16,quarta,47,crossfit,10,100,ativo,
LIFT-00086,data_invalida,,32,mensal,4,7,7,domingo,92,supino,26,100,procesado,
LIFT-00087,05-19-2024,,63,anual,1,1,5,quinta,48,supino,14,100,,
LIFT-00088,2024-11-05,2024-05-12,34,mensal,2,8,13,terça,42,supino,33,100,,
LIFT-00089,2024-05-17,11-17-2024,20,mensal,6,1,7,sexta,10,,7,100,ativo,
LIFT-00090,2024-01-07,2024-01-21,58,mensal,1,6,7,terça,77,,18,100,ativo,
LIFT-00091,2025-03-27,04-21-2025,31,mensal,6,10,12,terça,55,bike,35,100,ativo,
LIFT-00092,2024-11-03,2024-02-08,20,mensal,3,5,17,sexta,58,halteres,20,100,cancelado,
LIFT-00093,2025-05-15,,17,mensal,3,3,22,domingo,39,esteira,10,100,,
LIFT-00094,2024-08-07,,37,mensal,2,1,8,terça,65,halteres,20,100,,
LIFT-00095,2025-01-05,2025-04-22,70,mensal,2,11,10,terça,53,,9,100,,
LIFT-00096,2024-11-14,,44,mensal,8,6,15,quinta,53,supino,5,100,ativo,
LIFT-00097,07-18-2024,,63,mensal,0,5,12,quinta,97,supino,30,100,procesado,
LIFT-00098,2024-05-12,20/11/2024,49,anual,4,3,6,sábado,52,NA,15,100,ativo,
LIFT-00099,2024-01-11,,52,mensal,3,6,11,segunda,78,esteira,5,100,ativo,
LIFT-00100,2024-01-27,,39,mensal,0,2,14,terça,17,leg_press,25,100,ativo,
LIFT-00101,2024-12-06,2024-02-03,55,anual,4,4,15,quinta,69,crossfit,35,100,,
LIFT-00102,2024-10-26,2025-04-30,70,mensal,3,5,23,sábado,34,leg_press,55,100,procesado,
LIFT-00103,2024-12-18,2024-04-26,62,mensal,6,5,17,segunda,75,bike,25,100,cancelado,
LIFT-00104,2025-03-24,2024-01-23,16,mensal,0,5,12,quinta,33,supino,29,100,procesado,
LIFT-00105,2024-05-12,2024-10-24,66,mensal,2,2,15,sexta,60,supino,52,100,cancelado,
LIFT-00106,2024-09-07,,67,mensal,3,3,23,sábado,59,halteres,40,100,ativo,
LIFT-00107,2024-10-24,,,anual,3,5,20,segunda,59,leg_press,27,100,cancelado,
LIFT-00108,2024-04-30,,63,mensal,0,8,6,terça,86,leg_press,25,100,cancelado,
LIFT-00109,2025-02-12,03-29-2025,59,mensal,0,7,22,segunda,79,crossfit,37,100,cancelado,
LIFT-00110,2025-04-11,2024-10-14,22,anual,3,5,10,segunda,12,halteres,17,100,procesado,
LIFT-00111,2025-01-29,,37,mensal,3,9,10,quinta,53,leg_press,28,100,cancelado,
LIFT-00112,2025-05-02,,29,mensal,0,4,9,quinta,32,esteira,15,100,,
LIFT-00113,2024-06-02,2024-01-13,63,mensal,3,7,12,sábado,58,NA,22,100,cancelado,
LIFT-00114,2025-02-07,2025-02-24,59,anual,0,1,20,quarta,37,esteira,30,100,ativo,
LIFT-00115,2024-12-24,,68,mensal,3,1,11,sexta,32,NA,17,100,procesado,
LIFT-00116,2024-07-21,2024-08-25,30,mensal,6,6,9,quinta,49,supino,14,100,procesado,
LIFT-00117,24/04/2025,,46,mensal,3,14,12,sábado,76,halteres,22,100,,
LIFT-00118,06-15-2024,05/02/2025,40,mensal,0,4,18,quinta,47,crossfit,43,100,procesado,
LIFT-00119,29/03/2025,2025-03-20,52,mensal,5,8,15,segunda,83,leg_press,32,100,,
LIFT-00120,2024-03-25,,66,mensal,2,10,12,domingo,60,NA,24,100,procesado,
LIFT-00121,2024-07-15,,32,anual,8,8,14,segunda,42,,5,100,procesado,
LIFT-00122,11/07/2024,,48,mensal,3,2,20,terça,70,halteres,23,100,cancelado,
LIFT-00123,2024-11-03,11/12/2024,27,mensal,3,7,14,quarta,55,NA,5,100,ativo,
LIFT-00124,2024-08-08,,21,mensal,4,13,12,quinta,37,,5,100,procesado,
LIFT-00125,09-16-2024,03-03-2025,49,mensal,1,7,11,sexta,72,supino,30,100,cancelado,
LIFT-00126,2024-10-08,,21,mensal,4,3,13,sexta,52,supino,35,100,ativo,
LIFT-00127,2025-01-27,2024-06-12,68,mensal,4,9,7,domingo,83,halteres,23,100,procesado,
LIFT-00128,2025-02-02,,,anual,1,1,13,domingo,43,supino,15,100,ativo,
LIFT-00129,2024-01-27,2024-07-26,40,mensal,5,8,20,quarta,24,bike,5,100,procesado,
LIFT-00130,2024-11-13,2024-01-24,29,mensal,6,10,13,quarta,56,esteira,10,100,cancelado,
LIFT-00131,2025-02-26,2025-02-16,57,anual,3,2,8,sábado,85,crossfit,21,100,cancelado,
LIFT-00132,2025-02-28,04-05-2024,24,mensal,3,1,17,quarta,71,NA,5,100,procesado,
LIFT-00133,2024-06-30,,57,anual,2,20,22,segunda,67,crossfit,26,100,,
LIFT-00134,2024-08-24,2025-04-09,23,mensal,2,8,6,domingo,65,bike,5,100,ativo,
LIFT-00135,2024-09-21,,58,mensal,4,6,12,quarta,77,leg_press,5,100,,
LIFT-00136,2025-03-22,2024-11-11,36,mensal,0,3,13,segunda,54,supino,30,100,ativo,
LIFT-00137,2025-05-11,2024-01-16,38,mensal,2,15,16,quinta,72,crossfit,29,100,cancelado,
LIFT-00138,2024-07-01,11/11/2024,52,mensal,0,10,19,quinta,83,halteres,20,100,,
LIFT-00139,2024-10-02,2024-01-15,53,mensal,2,15,23,terça,49,supino,44,100,ativo,
LIFT-00140,2025-03-02,,22,anual,1,2,16,quarta,77,NA,25,100,cancelado,
LIFT-00141,2024-12-11,2024-12-05,,mensal,3,10,21,domingo,37,esteira,35,100,,
LIFT-00142,2024-01-05,,28,anual,1,11,18,terça,74,NA,7,100,,
LIFT-00143,26/06/2024,12-31-2024,22,anual,0,1,23,terça,74,supino,22,100,ativo,
LIFT-00144,08-14-2024,,50,anual,5,5,13,sábado,39,halteres,27,100,procesado,
LIFT-00145,2024-09-02,,19,mensal,6,6,13,quinta,68,crossfit,5,100,,
LIFT-00146,2025-03-05,2024-10-19,64,anual,0,6,15,domingo,50,crossfit,45,100,cancelado,
LIFT-00147,2025-01-10,2025-04-08,27,mensal,3,1,5,terça,51,supino,8,100,ativo,
LIFT-00148,25/03/2025,,60,anual,1,1,21,domingo,75,bike,43,100,procesado,
LIFT-00149,06-18-2024,,68,mensal,2,6,23,sábado,98,supino,5,100,ativo,
LIFT-00150,2024-10-15,2025-01-16,38,anual,4,4,7,domingo,46,supino,31,100,,
LIFT-00151,2024-02-28,2025-01-22,42,anual,2,6,11,segunda,90,,13,100,procesado,
LIFT-00152,2024-07-02,2024-05-18,33,mensal,0,7,6,sexta,68,leg_press,28,100,procesado,
LIFT-00153,2024-04-11,,17,mensal,2,1,14,quarta,54,supino,30,100,procesado,
LIFT-00154,2025-01-06,data_invalida,32,mensal,2,6,5,terça,53,bike,12,100,cancelado,
LIFT-00155,2024-02-22,2024-11-18,18,anual,4,8,9,terça,42,leg_press,13,100,,
LIFT-00156,2024-06-16,2025-04-01,52,mensal,1,5,22,sexta,54,supino,30,100,ativo,
LIFT-00157,2024-10-15,2024-10-31,69,mensal,5,7,10,domingo,43,NA,5,100,procesado,
LIFT-00158,2024-07-09,,47,anual,3,8,16,sábado,64,halteres,15,100,procesado,
LIFT-00159,2024-01-16,2025-01-29,29,mensal,0,8,19,sexta,72,,53,100,cancelado,
LIFT-00160,2024-02-10,2024-07-20,64,mensal,2,5,8,quarta,84,bike,17,100,cancelado,
LIFT-00161,05-02-2025,16/03/2024,32,mensal,5,10,7,quarta,61,,5,100,procesado,
LIFT-00162,08-28-2024,2024-07-22,70,mensal,5,2,22,segunda,83,NA,33,100,cancelado,
LIFT-00163,2025-01-25,,,anual,2,9,20,quinta,90,esteira,30,100,cancelado,
LIFT-00164,2024-08-01,2024-12-19,41,anual,0,11,12,domingo,47,NA,52,100,ativo,
LIFT-00165,2024-07-23,,16,mensal,3,11,20,terça,51,halteres,21,100,,
LIFT-00166,12-21-2024,2025-03-02,42,mensal,0,7,22,quinta,73,crossfit,27,100,,
LIFT-00167,2024-06-17,,67,mensal,4,1,8,sábado,75,NA,6,100,,
LIFT-00168,data_invalida,,21,anual,6,2,14,domingo,60,bike,9,100,,
LIFT-00169,2025-02-10,,43,mensal,2,6,8,quarta,22,,35,100,ativo,
LIFT-00170,data_invalida,data_invalida,59,mensal,4,9,13,quinta,38,supino,23,100,cancelado,
LIFT-00171,2025-03-12,,65,mensal,3,2,23,sexta,79,supino,21,100,cancelado,
LIFT-00172,2024-07-14,2024-02-21,64,mensal,0,6,11,quarta,34,NA,5,100,ativo,
LIFT-00173,data_invalida,2024-09-01,17,mensal,5,7,21,terça,52,leg_press,5,100,ativo,
LIFT-00174,2024-03-28,13/12/2024,53,mensal,3,11,5,sábado,10,,5,100,ativo,
LIFT-00175,2024-03-27,2024-03-30,63,mensal,5,3,8,terça,52,supino,11,100,,
LIFT-00176,2025-03-08,2024-07-09,63,mensal,4,2,16,sexta,70,bike,19,100,,
LIFT-00177,06/08/2024,,61,mensal,3,1,19,quinta,57,NA,48,100,procesado,
LIFT-00178,2024-09-20,2024-06-25,60,mensal,1,2,18,quinta,59,supino,9,100,ativo,
LIFT-00179,2024-08-31,,31,mensal,3,1,7,sexta,71,halteres,42,100,cancelado,
LIFT-00180,2025-03-03,,38,mensal,5,9,22,sexta,58,halteres,30,100,procesado,
LIFT-00181,2025-03-31,2024-11-21,70,anual,1,1,23,terça,83,supino,38,100,procesado,
LIFT-00182,2024-05-06,,29,mensal,1,9,9,quarta,56,esteira,11,100,,
LIFT-00183,2024-03-01,,44,mensal,4,1,19,domingo,90,bike,5,100,,
LIFT-00184,2024-11-26,2025-02-26,31,anual,5,4,16,segunda,41,bike,28,100,cancelado,
LIFT-00185,08-28-2024,,51,mensal,1,4,9,quarta,69,leg_press,5,100,cancelado,
LIFT-00186,2025-03-19,2024-12-08,17,anual,2,6,17,domingo,63,bike,25,100,ativo,
LIFT-00187,data_invalida,2024-07-28,70,anual,3,3,20,sexta,26,NA,5,100,ativo,
LIFT-00188,2024-03-01,,46,anual,7,3,6,terça,77,NA,11,100,cancelado,
LIFT-00189,2024-09-26,05-26-2024,39,mensal,1,12,12,sábado,37,supino,44,100,ativo,
LIFT-00190,2024-10-18,2024-12-21,55,mensal,1,6,21,quinta,61,NA,25,100,ativo,
LIFT-00191,2025-01-17,,45,anual,1,3,7,quinta,44,leg_press,20,100,cancelado,
LIFT-00192,23/04/2025,,51,mensal,3,9,16,segunda,67,leg_press,18,100,procesado,
LIFT-00193,2025-02-09,2024-12-04,34,anual,2,4,23,quarta,36,crossfit,23,100,cancelado,
LIFT-00194,2025-02-26,03/12/2024,39,mensal,4,7,11,quinta,59,supino,42,100,procesado,
LIFT-00195,2024-07-26,,30,mensal,3,1,7,sábado,62,crossfit,27,100,ativo,
LIFT-00196,10/10/2024,2024-09-06,25,mensal,4,5,15,sexta,59,halteres,15,100,,
LIFT-00197,2025-01-25,,38,mensal,3,1,21,quinta,46,esteira,40,100,,
LIFT-00198,05-21-2024,29/06/2024,55,anual,3,5,11,quinta,73,leg_press,7,100,ativo,
LIFT-00199,2024-09-14,,,mensal,2,5,13,quinta,72,leg_press,30,100,procesado,
LIFT-00200,2024-04-28,02-02-2024,59,mensal,2,1,5,sexta,59,leg_press,10,100,cancelado,
LIFT-00201,2025-01-10,,34,anual,0,8,22,quinta,68,bike,8,100,cancelado,
LIFT-00202,2024-07-30,,67,mensal,7,9,12,quinta,36,NA,24,100,ativo,
LIFT-00203,2025-01-18,,32,mensal,4,1,10,sábado,11,supino,9,100,procesado,
LIFT-00204,2024-01-17,2024-11-01,53,anual,3,7,5,domingo,42,supino,16,100,procesado,
LIFT-00205,20/01/2025,,29,mensal,0,4,18,sexta,81,NA,23,100,procesado,
LIFT-00206,2024-07-28,,62,mensal,3,9,23,terça,39,,33,100,ativo,
LIFT-00207,22/09/2024,,26,mensal,1,12,19,terça,23,halteres,20,100,cancelado,
LIFT-00208,2024-12-26,2025-02-06,68,anual,1,1,12,segunda,35,esteira,5,100,cancelado,
LIFT-00209,2025-02-08,,70,mensal,2,6,19,terça,68,,25,100,cancelado,
LIFT-00210,2025-01-03,,29,anual,4,1,5,segunda,90,crossfit,5,100,procesado,
LIFT-00211,2024-02-17,,33,mensal,3,4,15,segunda,50,bike,18,100,,
LIFT-00212,07/05/2025,,52,anual,4,4,5,terça,52,halteres,17,100,cancelado,
LIFT-00213,2025-01-16,,,mensal,5,2,17,sexta,69,NA,13,100,,
LIFT-00214,2024-03-28,2024-02-02,49,mensal,0,8,11,terça,66,leg_press,33,100,procesado,
LIFT-00215,2024-08-17,2024-01-29,39,anual,0,11,12,sábado,83,,16,100,procesado,
LIFT-00216,2024-06-08,,28,mensal,4,1,22,terça,28,halteres,18,100,,
LIFT-00217,28/06/2024,,29,anual,4,7,12,sábado,81,supino,26,100,cancelado,
LIFT-00218,07-18-2024,,65,mensal,3,1,18,sábado,62,leg_press,5,100,,
LIFT-00219,2025-03-15,,69,mensal,3,10,9,terça,55,,28,100,procesado,
LIFT-00220,2024-06-11,,42,mensal,4,5,19,quarta,35,NA,19,100,cancelado,
LIFT-00221,02/10/2024,,31,mensal,2,10,23,terça,97,halteres,9,100,procesado,
LIFT-00222,2024-12-30,,28,mensal,8,10,19,quinta,78,bike,42,100,ativo,
LIFT-00223,2024-06-22,2025-03-10,57,mensal,5,9,10,sábado,80,leg_press,5,100,procesado,
LIFT-00224,2024-01-15,2024-09-30,69,mensal,0,7,12,terça,42,esteira,45,100,procesado,
LIFT-00225,2025-03-13,,58,mensal,6,5,12,terça,22,crossfit,5,100,procesado,
LIFT-00226,2025-01-25,2025-04-07,59,anual,2,1,6,quinta,84,leg_press,13,100,procesado,
LIFT-00227,2025-04-30,,41,anual,0,5,18,sábado,42,leg_press,5,100,cancelado,
LIFT-00228,2024-02-06,,17,mensal,1,2,19,segunda,52,NA,14,100,procesado,
LIFT-00229,04-21-2025,2024-10-06,61,mensal,2,3,22,quinta,59,crossfit,20,100,,
LIFT-00230,2024-04-09,2025-05-09,29,mensal,4,9,23,terça,86,esteira,12,100,procesado,
LIFT-00231,2024-12-03,,21,mensal,0,1,9,sábado,65,supino,5,100,procesado,
LIFT-00232,2024-05-17,2024-07-02,21,mensal,7,2,22,domingo,57,leg_press,17,100,,
LIFT-00233,04-14-2024,,53,mensal,6,7,21,sábado,71,crossfit,22,100,ativo,
LIFT-00234,2024-12-16,2025-01-28,57,anual,1,9,5,segunda,81,crossfit,5,100,ativo,
LIFT-00235,2024-07-06,2024-10-22,22,mensal,2,6,5,quinta,72,leg_press,30,100,procesado,
LIFT-00236,data_invalida,,36,mensal,5,7,18,sexta,90,,9,100,procesado,
LIFT-00237,2025-04-18,2024-06-09,50,mensal,3,7,6,sexta,82,halteres,43,100,procesado,
LIFT-00238,2024-04-15,02-06-2024,67,anual,5,5,5,segunda,69,supino,19,100,cancelado,
LIFT-00239,18/03/2025,2024-03-29,,mensal,2,6,14,sábado,58,halteres,46,100,ativo,
LIFT-00240,2024-03-29,,48,mensal,4,1,21,sexta,84,,29,100,,
LIFT-00241,2025-05-06,2024-05-11,65,mensal,1,2,8,sexta,38,supino,17,100,procesado,
LIFT-00242,2024-12-17,19/03/2025,34,anual,1,1,19,segunda,64,esteira,19,100,procesado,
LIFT-00243,2025-05-10,,21,mensal,0,5,7,terça,24,bike,14,100,cancelado,
LIFT-00244,04-18-2024,19/12/2024,17,mensal,0,1,22,sexta,53,leg_press,5,100,cancelado,
LIFT-00245,02-11-2024,,67,mensal,6,6,12,sábado,91,NA,10,100,ativo,
LIFT-00246,2025-01-23,21/03/2025,34,mensal,4,8,17,quinta,54,NA,5,100,,
LIFT-00247,2024-01-30,2024-02-20,44,mensal,3,9,7,segunda,52,supino,5,100,ativo,
LIFT-00248,2025-02-10,2024-07-14,63,mensal,1,3,14,terça,57,crossfit,44,100,ativo,
LIFT-00249,2024-12-25,,46,anual,3,1,12,sexta,26,bike,17,100,,
LIFT-00250,04-07-2025,,67,mensal,3,9,22,segunda,89,,17,100,ativo,
LIFT-00251,2024-01-22,05-07-2024,58,mensal,3,5,10,quarta,53,leg_press,5,100,cancelado,
LIFT-00252,2025-04-26,data_invalida,48,mensal,0,6,7,terça,45,esteira,40,100,,
LIFT-00253,18/05/2024,2024-08-20,41,anual,2,4,10,quarta,76,supino,5,100,cancelado,
LIFT-00254,2024-02-16,,32,mensal,0,1,13,domingo,70,bike,11,100,ativo,
LIFT-00255,2024-06-22,,45,mensal,1,5,13,terça,64,supino,5,100,,
LIFT-00256,01/03/2025,,52,mensal,0,5,7,terça,13,leg_press,43,100,ativo,
LIFT-00257,data_invalida,2024-11-09,38,mensal,2,1,20,sexta,25,bike,8,100,cancelado,
LIFT-00258,2024-04-28,,69,anual,2,5,22,terça,88,leg_press,5,100,,
LIFT-00259,2025-05-04,2024-11-29,61,anual,7,5,13,terça,62,bike,40,100,ativo,
LIFT-00260,2024-02-23,2024-07-01,67,mensal,2,10,10,quarta,52,NA,15,100,ativo,
LIFT-00261,2024-10-14,,26,anual,2,10,17,sábado,45,esteira,13,100,,
LIFT-00262,29/11/2024,,24,mensal,5,11,6,sábado,86,,5,100,,
LIFT-00263,2024-11-22,2024-01-21,32,anual,1,1,17,terça,36,crossfit,11,100,,
LIFT-00264,2024-06-22,,25,anual,3,10,5,quinta,110,supino,25,100,procesado,
LIFT-00265,2024-10-15,2025-01-12,70,mensal,5,5,23,sábado,67,esteira,5,100,,
LIFT-00266,2025-02-05,2024-07-15,57,mensal,3,14,23,domingo,64,supino,17,100,cancelado,
LIFT-00267,2025-02-11,,49,mensal,2,2,6,segunda,68,leg_press,48,100,cancelado,
LIFT-00268,2025-02-27,2025-01-26,30,mensal,1,1,15,segunda,52,crossfit,10,100,procesado,
LIFT-00269,2024-04-24,2025-05-09,60,mensal,4,4,10,domingo,51,,22,100,procesado,
LIFT-00270,01-30-2025,,60,mensal,3,4,21,segunda,67,esteira,40,100,cancelado,
LIFT-00271,2024-07-06,2024-06-28,18,anual,3,1,6,sexta,23,NA,7,100,,
LIFT-00272,2024-12-23,,21,mensal,4,8,18,domingo,64,bike,24,100,procesado,
LIFT-00273,2024-03-21,2024-12-30,34,mensal,0,7,16,quarta,52,,32,100,procesado,
LIFT-00274,2024-11-21,2024-02-27,19,mensal,3,4,10,sexta,40,leg_press,26,100,,
LIFT-00275,2024-02-25,04/02/2024,51,mensal,3,6,6,domingo,40,,10,100,ativo,
LIFT-00276,2024-07-20,2025-02-20,40,mensal,1,4,6,sábado,91,supino,41,100,,
LIFT-00277,2024-01-05,2024-12-11,42,mensal,4,1,11,domingo,68,bike,32,100,ativo,
LIFT-00278,2024-06-30,2025-05-13,44,anual,6,1,23,quinta,80,NA,59,100,,
LIFT-00279,2025-02-05,,39,mensal,0,1,10,quinta,92,crossfit,5,100,cancelado,
LIFT-00280,2024-08-06,,38,anual,0,5,11,sábado,58,NA,21,100,ativo,
LIFT-00281,2024-11-14,,59,mensal,3,4,7,terça,69,leg_press,18,100,,
LIFT-00282,2025-04-17,,43,anual,0,3,14,quinta,55,crossfit,19,100,procesado,
