pedido_id,cliente_id,data_pedido,cidade,uf,regiao,latitude,longitude,canal_venda,categoria_produto,produto,quantidade,preco_unitario,preco_concorrente,desconto_pct,valor_total,forma_pagamento,cupom_promocional,pedido_delivery,distancia_km,tempo_entrega_min,status_delivery,avaliacao_delivery,participa_fidelidade,compras_ultimos_90d,dias_desde_ultima_compra,nps_cliente,status_pedido,observacao
PED-00026,CLI-0260,2025-06-30,Belo Horizonte,MG,Sudeste,,"-43,94",loja_fisica,medicamento,Ibuprofeno 400mg,1,3499.90,89.90,0.00,3499.90,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,5,10,5,concluido,OUTLIER: preco unitario muito acima do normal
PED-00027,CLI-0330,2025-06-20,Uberlândia,MG,Sudeste,NA,-48.22,app,bem_estar,Teste Glicemia,1,149.72,156.74,0.00,149.72,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,8,171,10,concluido,
PED-00028,CLI-0100,2025-07-06,Goiânia,GO,Centro-Oeste,-16.64,"-49,22",loja_fisica,medicamento,Loratadina 10mg,1,23.91,"21,98",15.00,20.33,cartao_credito,delivery_gratis,nao,,,nao_aplicavel,,nao,11,112,4,concluido,
PED-00029,CLI-0003,2025-02-20,Ribeirão Preto,sp,Sudeste,-21.20,-47.83,loja_fisica,medicamento,Paracetamol 750mg,4,61.02,NA,0.00,244.09,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,2,55,3,concluido,
PED-00030,CLI-0174,09/01/2025,Belo Horizonte,MG,Sudeste,-19.86,-44.01,loja fisica,medicamento,Ibuprofeno 400mg,1,12.53,10.81,0.00,12.53,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,,175,6,concluido,
PED-00031,CLI-0309,2025-02-12,Uberaba,MG,Sudeste,,-47.94,loja_fisica,bem_estar,Teste Glicemia,1,78.81,81.29,"0,00",78.81,dinheiro,sem promocao,nao,,,nao_aplicavel,,nao,2,113,10,concluido,cliente reclamou do atraso
PED-00032,CLI-0103,2025-04-06,Ribeirão Preto,SP,Sudeste,-21.20,-47.84,loja,medicamento,Dipirona 500mg,1,33.93,30.92,15.00,28.84,pix,leve_3_pague_2,nao,,,nao_aplicavel,,nao,1,49,8,concluido,preco divergente
PED-00033,CLI-0301,2025-07-29,Uberaba,MG,Sudeste,-19.78,-47.86,loja_fisica,beleza,Base Facial,2,22.79,24.73,0.00,"45,57",cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,1,64,7,concluido,
PED-00034,CLI-0311,2025-08-02,Uberaba,MG,Sudeste,-19.68,"-47,89",delivery,medicamento,Paracetamol 750mg,1,"10,03",,0.00,10.03,cartao_credito,sem_promocao,sim,4.58,33,entregue,4.60,nao,1,214,7,concluido,
PED-00035,CLI-0100,2025-05-27,Uberaba,MG,Sudeste,-19.82,-47.94,loja_fisica,vitamina_suplemento,Vitamina D,1,137.76,130.63,0.00,,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,3,98,7,concluido,
PED-00036,CLI-0323,2025-07-08,Salvador,BA,Nordeste,NA,-38.50,delivery,higiene,Desodorante,1,26.99,27.29,0.00,26.99,pix,sem promocao,sim,13.02,70,entregue,2.90,nao,7,97,6,concluido,
PED-00037,CLI-0203,2025-06-02,Ribeirão Preto,SP,Sudeste,0.00,-47.85,app,higiene,Shampoo Anticaspa,3,30.47,"27,79",0.00,91.42,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,11,37,6,concluido,cliente reclamou do atraso
PED-00038,CLI-0204,2025-02-15,Goiânia,GO,Centro-Oeste,-16.73,-49.19,loja_fisica,medicamento,Soro Fisiologico,1,23.56,25.63,"5,00","22,38",cartao_credito,leve_3_pague_2,nao,,,nao_aplicavel,,sim,3,74,8,concluido,
PED-00039,CLI-0121,08/05/2025,Uberaba,MG,Sudeste,-19.76,-48.00,loja_fisica,infantil,Pomada Assadura,1,70.70,63.90,0.00,70.70,pix,sem_promocao,nao,,,nao_aplicavel,,nao,1,61,8,concluido,
PED-00040,CLI-0068,2025-10-02,Fortaleza,ce,Nordeste,-3.72,,loja_fisica,higiene,Absorvente,1,31.98,,15.00,27.18,pix,delivery_gratis,nao,,,nao_aplicavel,,nao,4,14,9,concluido,
PED-00041,CLI-0369,2025-06-28,Belo Horizonte,MG,Sudeste,-19.94,-43.91,loja fisica,beleza,Base Facial,1,28.37,32.15,0.00,28.37,credito,sem_promocao,sim,92.50,480,atrasado,1.00,nao,5,58,6,concluido,OUTLIER: entrega extremamente distante e demorada
PED-00042,CLI-0330,2025-06-03,Uberlândia,MG,Sudeste,-18.96,-48.22,loja_fisica,infantil,Shampoo Infantil,1,,57.73,0.00,69.14,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,S,8,81,8,concluido,
PED-00043,CLI-0333,20/06/2025,Curitiba,PR,Sul,-25.41,,app,medicamento,Paracetamol 750mg,1,NA,76.66,25.00,51.68,cartao_credito,cupom_10,sim,9.13,44,entregue,4.20,sim,3,131,3,concluido,
PED-00044,CLI-0248,2025-09-26,Ribeirão Preto,SP,Sudeste,-21.18,-47.74,site,higiene,Fio Dental,1,52.37,46.82,5.00,49.75,cartao_credito,cupom_10,sim,2.63,28,entregue,,nao,2,136,4,cancelado,
PED-00045,CLI-0244,2025-08-11,Belo Horizonte,MG,Sudeste,-19.91,-44.01,loja_fisica,medicamneto,Paracetamol 750mg,1,30.20,33.47,20.00,24.16,cartao_credito,cupom_10,nao,,,nao_aplicavel,,sim,10,175,7,concluido,
PED-00046,CLI-0163,2025-08-19,São Paulo,SP,Sudeste,-23.57,-46.59,delivery,medicamento,Ibuprofeno 400mg,1,31.84,32.41,25.00,NA,cartao_credito,cupom_10,sim,1.59,13,entregue,4.30,nao,2,78,4,concluido,
PED-00047,CLI-0305,2025-08-23,Belo Horizonte,MG,Sudeste,-19.96,-43.98,loja_fisica,higiene,Absorvente,1,52.54,48.71,25.00,39.41,boleto,delivery_gratis,nao,,,nao_aplicavel,,sim,1,NA,6,concluido,
PED-00048,CLI-0019,2025-03-20,Curitiba,PR,Sul,-25.44,-49.27,loja_fisica,higiene,Shampoo Anticaspa,1,10.55,11.76,20.00,"8,44",cartao_credito,cupom_10,nao,,,nao_aplicavel,,sim,4,137,4,concluido,
PED-00049,CLI-0085,2025-03-14,Ribeirão Preto,SP,Sudeste,-21.24,-47.82,delivey,bem_estar,Termometro Digital,1,32.31,NA,0.00,32.31,pix,sem_promocao,sim,4.84,43,entregue,4.70,nao,7,132,8,concluido,
PED-00050,CLI-0096,2025-10-30,Belo Horizonte,MG,Sudeste,-19.90,-43.88,app,beleza,Esmalte,1,47.06,44.89,0.00,47.06,pix,sem_promocao,nao,,,nao_aplicavel,,sim,5,165,9,concluido,preco divergente
PED-00051,CLI-0218,27/02/2025,Uberaba,MG,Sudeste,-19.70,-47.93,loja_fisica,beleza,Creme Anti-idade,1,119.04,114.43,0.00,"119,04",cartao_credito,sem_promocao,nao,,,nao_aplicavel,,S,1,198,4,concluido,
PED-00052,CLI-0207,2025-12-02,Salvador,BA,Nordeste,"-13,04",-38.43,site,beleza,Protetor Solar FPS50,1,89.70,87.60,0.00,89.70,cartao_debito,sem_promocao,sim,2.37,53,entregue,"4,40",nao,3,94,3,concluido,possivel duplicata
PED-00053,CLI-0245,04/06/2025,Uberaba,MG,Sudeste,"-19,67",,app,infantil,Fralda M,1,101.15,"88,30",0.00,101.15,cartao_credito,sem_promocao,sim,"4,71",36,entregue,5.00,N,1,182,6,concluido,cupom nao aplicado
PED-00054,CLI-0407,2025-05-07,Uberaba,mg,Sudeste,-19.73,-47.96,delivery,bem_estar,Mascara Facial,1,174.03,189.92,12.00,153.14,boleto,cupom_10,sim,,29,entrgue,NA,não,5,28,7,concluido,
PED-00055,CLI-0223,2025-07-20,Uberlândia,MG,Sudeste,-18.98,-48.21,loja_fisica,infantil,Fralda M,1,"105,72","94,76",0.00,105.72,cartao_debito,sem promocao,nao,,,nao_aplicavel,,sim,1,187,5,concluido,cupom nao aplicado
PED-00056,CLI-0380,2025-01-02,Curitiba,PR,Sul,-25.49,-49.26,delivery,beleza,Hidratante Facial,1,64.54,70.63,95.00,2.50,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,NA,63,10,concluido,OUTLIER: desconto muito alto
PED-00057,CLI-0054,2025-07-29,Uberaba,MG,Sudeste,-19.71,-47.93,loja_fisica,beleza,Hidratante Facial,1,87.81,82.58,12.00,77.28,pix,cupom_10,nao,,,nao_aplicavel,,N,1,91,10,concluido,
PED-00058,CLI-0361,2025-08-27,Uberaba,MG,Sudeste,-19.81,-47.89,loja_fisica,medicamento,Dipirona 500mg,1,16.09,"13,66","12,00",14.16,cartao credito,delivery_gratis,nao,,,nao_aplicavel,,nao,2,83,5,concluido,
PED-00059,CLI-0144,2025-08-25,Fortaleza,CE,Nordeste,-3.71,-38.48,loja_fisica,medicamento,Ibuprofeno 400mg,1,69.92,65.25,12.00,61.53,pix,leve_3_pague_2,nao,,,nao_aplicavel,,sim,2,157,7,concluido,produto sem estoque
PED-00060,CLI-0089,2025-12-03,Ribeirão Preto,SP,Sudeste,-21.17,"-47,77",loja_fisica,infantil,Fralda M,1,70.96,80.50,0.00,70.96,cartao credito,sem promocao,nao,,,nao_aplicavel,,N,1,182,8,concluido,
PED-00061,CLI-0288,2025-12-06,Uberaba,MG,Sudeste,-19.69,-47.88,delivery,bem_estar,Mascara Facial,1,209.33,NA,10.00,188.40,cartao_debito,cupom_10,nao,,,nao_aplicavel,,nao,10,91,5,concluido,
PED-00062,CLI-0280,2025-02-04,Goiânia,GO,Centro-Oeste,-16.65,-49.29,loja fisica,medicamento,Paracetamol 750mg,1,,57.84,12.00,53.44,boleto,leve_3_pague_2,nao,,,nao_aplicavel,,sim,8,147,6,concluido,
PED-00063,CLI-0103,2025-02-19,São Paulo,SP,Sudeste,"-23,51",-46.60,loja_fisica,medicamento,Ibuprofeno 400mg,1,46.31,47.78,0.00,46.31,cartao credito,sem_promocao,nao,,,nao_aplicavel,,nao,1,83,6,concluido,
PED-00064,CLI-0065,,Ribeirão Preto,SP,Sudeste,-21.17,-47.85,app,medicamento,Loratadina 10mg,1,68.33,59.81,10.00,61.50,cartao_credito,cashback,nao,,,nao_aplicavel,,sim,1,51,7,concluido,
PED-00065,CLI-0170,2025-05-16,São Paulo,SP,Sudeste,-23.51,"-46,59",app,vitamina_suplemento,Omega 3,1,"67,69",70.53,0.00,67.69,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,2,121,7,concluido,
PED-00066,CLI-0326,09/04/2025,Ribeirão Preto,SP,Sudeste,"-21,19",-20.00,loja_fisica,higiene,Absorvente,3,18.98,20.56,-5,56.93,cartao_debito,sem_promocao,nao,,,nao_aplicavel,,nao,6,61,NA,concluido,
PED-00067,CLI-0305,2025-06-28,Manaus,AM,Norte,-3.15,-59.95,app,higiene,Desodorante,1,21.50,,12.00,18.92,cartao_credito,cashback,nao,,,nao_aplicavel,,nao,NA,27,6,concluido,
PED-00068,CLI-0094,2025-12-10,Uberlândia,MG,Sudeste,-18.88,-48.32,app,higiene,Desodorante,1,15.16,16.02,20.00,12.13,cartao debito,cupom_10,nao,,,nao_aplicavel,,nao,9,167,8,concluido,cliente reclamou do atraso
PED-00069,CLI-0067,data_invalida,Belo Horizonte,MG,Sudeste,-19.97,NA,loja fisica,medicamento,Dipirona 500mg,4,50.51,"49,33",5.00,191.94,credito,cupom_10,nao,,,nao_aplicavel,,nao,6,103,6,concluido,
PED-00070,CLI-0214,2025-04-19,Fortaleza,CE,Nordeste,-3.66,-38.54,site,medicamento,Soro Fisiologico,1,"47,51",42.85,999,47.51,cartao_credito,sem_promocao,sim,18.83,106,entregue,2.40,nao,2,64,,concluido,
PED-00071,CLI-0389,2025-02-08,Uberaba,MG,Sudeste,-19.69,-47.91,delivery,medicamento,Dipirona 500mg,1,14.79,12.60,0.00,14.79,dinheiro,sem_promocao,sim,1.70,22,entregue,"4,50",sim,87,1,10,concluido,OUTLIER: cliente com frequência muito acima da média
PED-00072,CLI-0266,2025-02-02,Belém,PA,Norte,-1.39,-48.49,loja_fisica,higiene,Desodorante,NA,40.82,46.25,12.00,35.92,cartao_credito,cupom_10,nao,,,nao_aplicavel,,nao,7,24,8,concluido,
PED-00073,CLI-0170,2025-01-10,Uberaba,MG,Sudeste,-19.69,-47.95,delivery,medicamento,Loratadina 10mg,,"35,63","32,69",0.00,35.63,cartao_credito,sem_promocao,sim,4.40,90,atrasado,2.10,sim,6,121,3,concluido,
PED-00074,CLI-0259,2025-10-27,Uberaba,MG,Sudeste,-19.67,"-48,02",app,beleza,Base Facial,1,33.61,31.72,0.00,33.61,dinheiro,sem_promocao,nao,,,nao_aplicavel,,sim,4,155,8,concluido,
PED-00075,CLI-0013,26/10/2025,Ribeirão Preto,SP,Sudeste,-21.17,NA,loja_fisica,beleza,Esmalte,1,93.53,100.88,0.00,93.53,pix,sem_promocao,nao,,,nao_aplicavel,,nao,2,14,7,concluido,
PED-00076,CLI-0143,2025-11-21,Uberaba,MG,Sudeste,-19.71,,delivery,vitamina_suplemento,Whey Protein,1,118.52,108.35,0.00,118.52,dinheiro,sem_promocao,sim,1.22,13,entrgue,5.00,sim,2,149,7,concluido,
PED-00077,CLI-0145,2025-11-25,Salvador,BA,Nordeste,"-12,94",-38.48,loja_fisica,medicamneto,Ibuprofeno 400mg,1,49.62,46.81,0.00,49.62,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,1,163,4,cancelado,possivel duplicata
PED-00078,CLI-0258,08-10-2025,São Paulo,SP,Sudeste,NA,"-46,57",loja_fisica,medicamento,Loratadina 10mg,1,34.10,28.46,12.00,30.01,cartao_debito,delivery_gratis,nao,,,nao_aplicavel,,sim,1,232,NA,concluido,
PED-00079,CLI-0237,2025-11-27,Uberaba,MG,Sudeste,-19.78,-47.90,loja_fisica,vitamina_suplemento,Omega 3,3,55.12,60.23,20.00,132.29,cartao_credito,delivery_gratis,nao,,,nao_aplicavel,,nao,NA,171,9,concluido,
PED-00080,CLI-0324,2025-11-07,Belo Horizonte,MG,Sudeste,-19.93,-43.89,loja_fisica,higiene,Sabonete Liquido,1,46.67,49.13,20.00,"37,34",pix,leve_3_pague_2,nao,,,nao_aplicavel,,nao,1,NA,8,concluido,
PED-00081,CLI-0024,03/07/2025,São Paulo,SP,Sudeste,-23.48,-46.61,delivery,bem_estar,Medidor Pressao,1,151.07,162.13,0.00,151.07,pix,sem_promocao,nao,,,nao_aplicavel,,nao,1,197,6,concluido,
PED-00082,CLI-0083,06-19-2025,Uberaba,MG,Sudeste,-19.80,-47.92,loja_fisica,vitamina_suplemento,Vitamina D,1,49.99,41.68,0.00,49.99,pix,sem_promocao,nao,,,nao_aplicavel,,nao,1,162,4,concluido,
PED-00083,CLI-0247,2025-09-25,São Paulo,SP,Sudeste,-23.54,-46.68,loja_fisica,medicamento,Dipirona 500mg,5,63.38,62.75,5.00,"301,04",cartao_credito,cupom_10,nao,,,nao_aplicavel,,sim,10,138,9,concluido,
PED-00084,CLI-0283,2025-03-21,Uberaba,MG,Sudeste,"-19,77",-47.99,loja_fisica,vitamina_suplemento,Whey Protein,1,112.52,106.58,"0,00",112.52,dinheiro,sem_promocao,nao,,,nao_aplicavel,,nao,5,94,4,concluido,
PED-00085,CLI-0412,2025-07-25,Uberlândia,MG,Sudeste,"-18,96",-48.34,app,medicamento,Loratadina 10mg,1,42.91,41.21,120,42.91,cartao_debito,sem_promocao,nao,,,nao_aplicavel,,nao,3,153,6,concluido,
PED-00086,CLI-0113,2025-05-12,Uberaba,MG,Sudeste,-19.74,-47.94,delivery,medicamento,Dipirona 500mg,4,54.51,52.70,0.00,218.04,cartao_credito,sem_promocao,sim,35.00,0,entregue,4.20,nao,3,80,9,concluido,VALOR INVALIDO/OUTLIER: tempo de entrega zerado
PED-00087,CLI-0296,2025-06-11,Uberaba,MG,Sudeste,-19.70,-47.93,loja_fisica,medicamneto,Loratadina 10mg,1,"74,02",67.33,0.00,74.02,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,1,165,4,concluido,
PED-00088,CLI-0274,2025-07-15,Goiânia,GO,Centro-Oeste,-16.73,-49.33,loja_fisica,medicamento,Paracetamol 750mg,1,61.60,68.12,0.00,NA,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,8,76,7,pendente,
PED-00089,CLI-0267,2025-06-22,Uberlândia,MG,Sudeste,-18.92,"-48,20",delivery,vitamina_suplemento,Vitamina D,1,,38.34,20.00,29.81,cartao_credito,cupom_10,sim,"1,61",8,entregue,5.00,sim,4,47,8,concluido,
PED-00090,CLI-0413,2025-10-30,Ribeirão Preto,SP,Sudeste,-21.11,-47.80,loja,medicamento,Soro Fisiologico,1,NA,46.82,0.00,50.28,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,1,109,8,concluido,
PED-00091,CLI-0065,18/05/2025,Fortaleza,CE,Nordeste,-3.71,NA,delivery,medicamento,Soro Fisiologico,1,65.18,66.44,0.00,65.18,cartao_debito,sem_promocao,sim,NA,10,entregue,4.90,nao,7,59,8,concluido,
PED-00092,CLI-0407,2025-05-10,Manaus,AM,Norte,"-3,15","-60,00",loja_fisica,medicamento,Omeprazol 20mg,1,28.02,26.87,,28.02,pix,sem_promocao,nao,,,nao_aplicavel,,nao,2,62,5,concluido,
PED-00093,CLI-0272,2025-12-23,Uberaba,MG,Sudeste,-19.79,-48.01,loja_fisica,beleza,Base Facial,1,48.99,53.66,0.00,48.99,dinheiro,sem_promocao,nao,,,nao_aplicavel,,sim,1,106,4,concluido,
PED-00094,CLI-0240,16/11/2025,Uberaba,MG,Sudeste,-19.81,-47.93,loja_fisica,vitamina_suplemento,Vitamina D,1,35.99,35.17,"5,00",34.19,cartao_credito,leve_3_pague_2,nao,,,nao_aplicavel,,sim,2,142,6,concluido,
PED-00095,CLI-0372,2025-12-03,Belo Horizonte,MG,Sudeste,-19.86,-43.99,loja_fisica,medicamento,Loratadina 10mg,1,74.90,70.32,15.00,NA,dinheiro,cupom_10,nao,,,nao_aplicavel,,nao,3,139,7,concluido,
PED-00096,CLI-0154,2025-04-22,São Paulo,SP,Sudeste,-23.59,-46.67,loja_fisica,medicamento,Omeprazol 20mg,1,NA,62.72,0.00,56.48,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,1,237,0,concluido,
PED-00097,CLI-0288,2025-07-24,Belo Horizonte,MG,Sudeste,-19.97,-43.96,loja_fisica,medicamento,Soro Fisiologico,1,34.70,32.84,0.00,34.70,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,7,63,6,concluido,
PED-00098,CLI-0340,2025-10-03,Uberlândia,mg,Sudeste,-18.88,-48.34,loja_fisica,medicamento,Dipirona 500mg,1,NA,46.12,0.00,44.61,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,3,15,9,concluido,
PED-00099,CLI-0144,2025-11-17,Uberlândia,MG,Sudeste,-18.92,"-48,24",loja_fisica,medicamento,Soro Fisiologico,1,74.73,85.19,"20,00",59.79,dinheiro,cashback,nao,,,nao_aplicavel,,sim,1,118,6,concluido,cliente reclamou do atraso
PED-00100,CLI-0068,2025-06-13,Brasília,DF,Centro-Oeste,NA,,loja_fisica,vitamina_suplemento,Vitamina D,5,152.36,132.35,0.00,761.82,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,1,226,6,concluido,
PED-00101,CLI-0361,2025-05-07,Belém,pa,Norte,-1.38,-48.43,app,higiene,Creme Dental,1,36.18,36.29,0.00,9999.99,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,5,115,9,concluido,OUTLIER: valor total incompatível com quantidade
PED-00102,CLI-0186,12-31-2025,Ribeirão Preto,SP,Sudeste,-21.24,-47.82,loja_fisica,medicamento,Paracetamol 750mg,5,14.04,11.92,25.00,52.66,cartao_credito,cupom_10,nao,,,nao_aplicavel,,nao,1,212,4,concluido,
PED-00103,CLI-0029,,Uberaba,MG,Sudeste,-19.73,-47.94,loja_fisica,medicamento,Soro Fisiologico,1,48.28,42.80,NA,48.28,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,sim,2,8,7,concluido,produto sem estoque
PED-00104,CLI-0255,2025-11-06,São Paulo,SP,Sudeste,-23.51,-46.61,delivery,infantil,Pomada Assadura,4,103.29,,0.00,413.17,cartao_credito,sem_promocao,nao,,,nao_aplicavel,,nao,2,156,5,concluido,
PED-00105,CLI-0154,2025-08-31,Salvador,BA,Nordeste,NA,-38.53,loja_fisica,medicamento,Soro Fisiologico,3,40.26,38.35,20.00,96.62,pix,cupom_10,nao,,,nao_aplicavel,,nao,,142,7,concluido,
PED-00106,CLI-0347,2025-09-05,Curitiba,PR,Sul,-25.50,"-49,32",loja_fisica,remedio,Omeprazol 20mg,NA,20.74,22.80,20.00,49.79,cartao_credito,delivery_gratis,nao,,,nao_aplicavel,,nao,3,9,9,concluido,preco divergente
