registro_id,data_leitura,cidade,uf,usuario_id,livro,subgenero,classificacao_indicativa,idade_usuario,capitulo,avaliacao_capitulo,comentario,tempo_leitura_min,avaliacao_obra,tags,interacao,escritor_id,qualidade_texto_score,aderencia_genero,status_avaliacao,observacao
RP-00016,2025-08-12,São Paulo,mg,U292,A Santa Que Me Condena,fantasia sombria,18,39,25,4.3,muito bom,14,2.3,aventura,avaliou,E77,1.2,7.8,procesado,
RP-00017,12/05/2025,Goiânia,GO,U85,Im(pureza),fantasia sombria,18,27,1,1.2,,30,4.0,juvenil,avaliou,E54,7.6,6.1,,
RP-00018,2025-05-28,Goiânia,SP,U42,Sombras Eternas,darkromance,,40,1,,NA,39,4.8,sombrio,curtiu,E77,6.7,3.2,procesado,
RP-00019,2025-02-06,Curitiba,SP,U276,Reino das Runas,fantasia,livre,26,15,NA,,115,4.2,magia,curtiu,E98,3.8,1.0,procesado,
RP-00020,06-14-2025,Uberaba,MG,U42,Reino das Runas,darkromance,18,18,27,,muito bom,18,4.8,sombrio,avaliou,E85,4.7,4.6,procesado,
RP-00021,data_invalida,Uberaba,mg,U33,A Santa Que Me Condena,dark_romance,livre,38,29,NA,muito bom,40,4.8,aventura,,E88,2.1,5.5,procesado,
RP-00022,2025-01-21,Uberaba,GO,U59,Im(pureza),fantasia,,21,25,2.7,muito bom,39,4.6,sombrio,comentou,E93,5.5,9.9,valido,
RP-00023,06/04/2025,Uberaba,GO,U180,Reino das Runas,fantasia sombria,14,30,17,2.8,,50,1.2,adulto,avaliou,E74,1.6,3.7,,
RP-00024,2025-06-13,São Paulo,PR,U289,Reino das Runas,darkromance,18,15,14,3.2,muito bom,42,1.0,romance,avaliou,E94,9.5,7.4,procesado,
RP-00025,27/05/2025,São Paulo,GO,U322,Im(pureza),fantasia sombria,14,8,14,,,75,3.1,magia,curtiu,E96,9.7,8.6,valido,IDADE INVALIDA
RP-00026,22/04/2025,Uberaba,PR,U280,Sombras Eternas,fantasia sombria,livre,32,20,1.2,muito bom,77,4.7,adulto,comentou,E64,8.1,8.4,procesado,
RP-00027,2025-03-17,Curitiba,GO,U200,Sombras Eternas,fantasia sombria,14,32,2,NA,ruim,90,1.3,aventura,curtiu,E55,8.4,2.4,valido,
RP-00028,2025-10-09,São Paulo,SP,U369,A Santa Que Me Condena,infanto_juvenil,,18,25,NA,ruim,79,2.2,sombrio,curtiu,E44,1.2,5.1,valido,
RP-00029,data_invalida,Goiânia,PR,U112,A Santa Que Me Condena,dark_romance,14,16,21,,,54,4.3,adulto,,E2,5.7,2.7,,
RP-00030,data_invalida,Uberaba,GO,U177,Sombras Eternas,fantasia sombria,,29,24,NA,NA,101,2.2,romance,,E19,6.4,5.6,valido,
RP-00031,2025-02-06,Uberaba,SP,U381,Im(pureza),dark_romance,livre,12,29,,ruim,93,2.4,aventura,comentou,E70,4.5,6.7,,
RP-00032,2025-02-21,São Paulo,GO,U225,Im(pureza),fantasia,livre,32,15,4.7,muito bom,41,2.6,adulto,curtiu,E96,8.2,4.8,procesado,
RP-00033,2025-05-28,São Paulo,SP,U383,Reino das Runas,fantasia sombria,livre,19,20,3.8,ruim,49,2.5,magia,,E93,3.3,9.7,,
RP-00034,01-25-2025,Curitiba,PR,U115,A Santa Que Me Condena,darkromance,18,14,10,,muito bom,120,4.0,romance,avaliou,E8,3.6,5.1,procesado,
RP-00035,2025-09-30,Curitiba,SP,U262,Sombras Eternas,fantasia sombria,14,32,29,NA,muito bom,115,3.4,romance,,E9,7.8,5.3,,
RP-00036,03-14-2025,Curitiba,GO,U146,Reino das Runas,fantasia sombria,14,18,12,3.2,ruim,90,1.9,magia,avaliou,E63,2.1,5.9,,
RP-00037,2025-06-16,São Paulo,SP,U142,Sombras Eternas,fantasia sombria,18,17,21,,ruim,23,3.2,magia,avaliou,E82,8.9,3.2,,
RP-00038,22/09/2025,Goiânia,GO,U72,Im(pureza),dark_romance,livre,25,7,1.4,,67,4.0,juvenil,comentou,E78,2.6,8.6,,
RP-00039,2025-06-10,São Paulo,MG,U317,A Santa Que Me Condena,fantasia sombria,,28,13,1.7,,33,3.5,aventura,curtiu,E100,7.3,3.7,procesado,
RP-00040,2025-09-14,São Paulo,PR,U338,A Santa Que Me Condena,darkromance,14,23,29,NA,muito bom,500,3.7,juvenil,curtiu,E71,1.7,2.0,valido,OUTLIER
RP-00041,09-30-2025,Goiânia,GO,U102,A Santa Que Me Condena,fantasia sombria,livre,12,10,,ruim,110,3.8,juvenil,avaliou,E48,3.7,8.0,procesado,
RP-00042,08-26-2025,Curitiba,PR,U278,Im(pureza),darkromance,14,39,17,NA,ruim,103,3.8,magia,curtiu,E93,9.1,7.9,valido,
RP-00043,13/07/2025,São Paulo,mg,U28,Reino das Runas,infanto_juvenil,18,27,20,,ruim,109,1.3,magia,comentou,E88,9.2,5.1,,
RP-00044,08-04-2025,São Paulo,mg,U210,Reino das Runas,fantasia sombria,livre,25,10,NA,,95,3.1,sombrio,comentou,E90,1.1,8.7,,
RP-00045,2025-08-29,Uberaba,MG,U74,A Santa Que Me Condena,infanto_juvenil,14,17,23,,muito bom,20,2.9,romance,,E92,3.5,9.3,procesado,
RP-00046,2025-04-04,Goiânia,PR,U302,A Santa Que Me Condena,fantasia sombria,,40,4,NA,NA,61,2.8,juvenil,curtiu,E69,4.9,7.5,valido,
RP-00047,2025-04-20,Uberaba,MG,U339,Sombras Eternas,fantasia sombria,18,28,2,3.6,NA,81,5.0,adulto,comentou,E67,2.8,4.6,valido,
RP-00048,2025-04-09,Uberaba,PR,U189,A Santa Que Me Condena,fantasia sombria,18,28,7,,,117,3.1,aventura,avaliou,E55,9.4,3.5,procesado,
RP-00049,2025-08-22,Uberaba,PR,U314,A Santa Que Me Condena,darkromance,14,23,27,,NA,101,3.6,magia,avaliou,E39,1.9,2.7,procesado,
RP-00050,data_invalida,São Paulo,MG,U378,A Santa Que Me Condena,fantasia_sombria,18,13,21,,NA,74,3.8,romance,,E67,8.2,9.9,procesado,
RP-00051,2025-08-24,Uberaba,SP,U395,Reino das Runas,dark_romance,18,12,13,,NA,3,1.4,aventura,,E93,6.8,2.5,procesado,
RP-00052,2025-06-14,Curitiba,GO,U313,Im(pureza),fantasia sombria,18,25,28,,NA,114,3.7,aventura,,E20,2.0,9.6,procesado,
RP-00053,08-30-2025,Goiânia,MG,U96,Sombras Eternas,fantasia sombria,14,29,15,3.4,NA,100,1.4,sombrio,curtiu,E60,8.4,8.9,,
RP-00054,2025-02-25,Goiânia,SP,U394,A Santa Que Me Condena,fantasia sombria,18,23,2,NA,ruim,54,1.5,sombrio,avaliou,E38,4.7,2.3,procesado,
RP-00055,data_invalida,São Paulo,SP,U2,Im(pureza),darkromance,14,33,27,NA,muito bom,31,2.6,adulto,avaliou,E20,20,1.3,,OUTLIER
RP-00056,data_invalida,Goiânia,PR,U185,Sombras Eternas,fantasia sombria,,25,7,,,74,2.0,adulto,,E54,9.1,5.0,,
RP-00057,2025-05-04,Goiânia,mg,U386,Im(pureza),fantasia sombria,livre,15,4,NA,,86,3.9,magia,curtiu,E91,1.9,1.8,valido,
RP-00058,23/05/2025,Curitiba,PR,U196,Im(pureza),infanto_juvenil,,38,1,1.4,,48,3.2,magia,avaliou,E44,1.4,1.9,valido,
RP-00059,2025-03-01,Curitiba,GO,U266,Sombras Eternas,darkromance,livre,22,16,,ruim,110,1.6,magia,avaliou,E53,2.1,7.9,valido,
RP-00060,2025-10-10,Goiânia,MG,U311,Sombras Eternas,infanto_juvenil,livre,27,9,NA,muito bom,9,1.5,sombrio,avaliou,E45,2.2,2.0,,
RP-00061,2025-03-26,Curitiba,GO,U242,Reino das Runas,fantasia_sombria,18,31,22,,ruim,94,3.0,sombrio,comentou,E60,4.9,8.2,,
RP-00062,2025-06-05,Uberaba,PR,U25,Sombras Eternas,fantasia,14,40,23,,muito bom,82,1.9,magia,comentou,E78,7.1,9.9,valido,
RP-00063,2025-03-28,Uberaba,MG,U377,Im(pureza),infanto_juvenil,livre,29,29,,muito bom,102,2.3,adulto,,E16,9.6,6.6,valido,
RP-00064,2025-04-02,Curitiba,SP,U353,A Santa Que Me Condena,darkromance,18,19,11,NA,ruim,52,3.5,romance,curtiu,E33,3.5,9.4,valido,
RP-00065,2025-01-17,Uberaba,mg,U311,Reino das Runas,fantasia,14,19,9,NA,NA,86,3.2,aventura,comentou,E53,8.8,4.8,valido,
RP-00066,16/03/2025,Goiânia,mg,U321,A Santa Que Me Condena,darkromance,livre,14,21,,ruim,61,4.9,romance,comentou,E69,5.5,3.0,,
RP-00067,2025-09-16,Uberaba,PR,U130,Sombras Eternas,fantasia sombria,,34,28,1.1,ruim,42,3.8,magia,avaliou,E25,5.0,8.5,procesado,
RP-00068,2025-09-04,São Paulo,MG,U362,Sombras Eternas,darkromance,14,31,13,NA,,22,3.9,sombrio,avaliou,E51,6.0,1.7,procesado,
RP-00069,2025-08-31,Goiânia,MG,U198,Im(pureza),fantasia sombria,18,24,23,NA,ruim,30,4.7,magia,curtiu,E4,2.2,2.2,valido,
RP-00070,2025-08-19,São Paulo,GO,U290,Reino das Runas,fantasia sombria,18,12,4,,,32,4.9,juvenil,,E59,3.1,0,,OUTLIER
RP-00071,10-20-2025,Goiânia,GO,U221,Reino das Runas,fantasia,livre,17,6,NA,,46,3.3,juvenil,avaliou,E9,2.9,2.3,,
RP-00072,2025-06-01,Curitiba,GO,U250,Reino das Runas,fantasia_sombria,14,32,25,,NA,48,1.7,juvenil,curtiu,E83,6.5,6.1,procesado,
RP-00073,23/03/2025,Curitiba,GO,U272,A Santa Que Me Condena,darkromance,livre,34,3,NA,ruim,27,2.6,romance,comentou,E90,2.9,7.1,,
RP-00074,2025-08-28,Curitiba,PR,U245,Im(pureza),fantasia sombria,18,37,24,NA,muito bom,8,4.0,adulto,,E53,9.1,3.9,procesado,
RP-00075,2025-05-04,São Paulo,PR,U61,Im(pureza),fantasia sombria,,15,30,,ruim,47,1.5,sombrio,curtiu,E26,5.2,1.6,procesado,
RP-00076,2025-01-28,São Paulo,MG,U51,Sombras Eternas,darkromance,14,21,2,1.4,,113,1.6,juvenil,comentou,E36,9.5,6.3,valido,
RP-00077,2025-08-29,Goiânia,mg,U309,A Santa Que Me Condena,fantasia_sombria,14,37,4,,NA,3,4.6,aventura,curtiu,E75,5.8,2.3,procesado,
RP-00078,2025-07-08,São Paulo,MG,U223,Sombras Eternas,fantasia sombria,18,22,15,NA,muito bom,106,4.7,romance,curtiu,E20,1.0,6.0,procesado,
RP-00079,2025-06-11,Uberaba,SP,U20,Sombras Eternas,fantasia sombria,livre,36,3,3.2,NA,5,2.9,aventura,avaliou,E51,2.6,2.9,valido,
RP-00080,2025-10-19,São Paulo,GO,U229,Im(pureza),fantasia sombria,18,28,17,4.8,ruim,23,4.7,juvenil,curtiu,E31,8.4,1.2,procesado,
RP-00081,data_invalida,São Paulo,SP,U359,A Santa Que Me Condena,dark_romance,livre,23,20,,,56,3.2,romance,,E26,8.4,3.3,procesado,
RP-00082,2025-06-27,Goiânia,PR,U160,Im(pureza),fantasia sombria,,16,17,,muito bom,74,2.7,magia,,E94,2.1,5.6,valido,
RP-00083,2025-03-13,Uberaba,SP,U337,Im(pureza),darkromance,18,13,19,4.0,,18,1.1,adulto,,E80,9.1,8.0,valido,
RP-00084,2025-05-23,Curitiba,GO,U333,Im(pureza),fantasia sombria,livre,36,16,NA,,73,1.3,magia,comentou,E54,6.4,3.8,procesado,
RP-00085,2025-10-12,Goiânia,GO,U5,Sombras Eternas,fantasia_sombria,livre,21,30,3.7,ruim,36,1.7,juvenil,curtiu,E38,3.6,2.7,valido,
RP-00086,2025-05-21,Curitiba,PR,U314,A Santa Que Me Condena,darkromance,14,40,19,,muito bom,1,3.5,romance,curtiu,E66,1.1,6.1,valido,
RP-00087,2025-03-29,São Paulo,mg,U190,Im(pureza),infanto_juvenil,livre,38,6,NA,,112,3.9,juvenil,avaliou,E37,7.2,5.5,valido,
RP-00088,21/10/2025,São Paulo,mg,U223,Sombras Eternas,fantasia sombria,,39,9,NA,ruim,34,2.0,juvenil,avaliou,E98,5.7,8.4,,
RP-00089,2025-01-21,São Paulo,MG,U271,Reino das Runas,fantasia sombria,,19,6,,NA,56,2.7,adulto,avaliou,E57,9.8,4.1,valido,
RP-00090,2025-07-07,São Paulo,PR,U357,A Santa Que Me Condena,fantasia sombria,18,28,19,,,7,3.2,romance,,E60,8.2,5.3,,
RP-00091,11/07/2025,Goiânia,GO,U359,Im(pureza),fantasia sombria,18,14,2,,,46,2.2,juvenil,avaliou,E25,8.4,8.8,,
RP-00092,2025-06-04,Uberaba,GO,U135,Reino das Runas,darkromance,18,38,4,,NA,87,3.4,magia,avaliou,E91,2.0,4.4,procesado,
RP-00093,2025-03-12,Uberaba,PR,U79,Im(pureza),darkromance,14,30,13,,ruim,105,1.0,sombrio,curtiu,E47,5.2,7.8,valido,
RP-00094,2025-02-17,São Paulo,PR,U313,Sombras Eternas,darkromance,18,38,30,1.4,NA,17,2.1,sombrio,comentou,E86,5.0,4.1,,
RP-00095,2025-01-04,Goiânia,GO,U394,A Santa Que Me Condena,fantasia,14,24,29,2.8,muito bom,68,1.0,juvenil,,E2,1.6,7.1,valido,
RP-00096,2025-03-20,Goiânia,mg,U221,A Santa Que Me Condena,darkromance,14,37,13,,muito bom,59,3.8,aventura,curtiu,E45,1.5,2.7,procesado,
RP-00097,2025-02-28,Curitiba,mg,U61,Sombras Eternas,fantasia sombria,livre,39,12,,ruim,76,1.7,sombrio,avaliou,E59,8.6,7.1,valido,
RP-00098,2025-10-14,São Paulo,SP,U173,A Santa Que Me Condena,fantasia sombria,14,15,9,NA,muito bom,65,1.2,magia,,E67,1.9,7.2,procesado,
RP-00099,2025-04-22,Curitiba,GO,U232,Im(pureza),fantasia sombria,18,38,5,2.7,NA,94,2.2,magia,comentou,E1,8.6,7.3,,
RP-00100,data_invalida,São Paulo,SP,U289,Reino das Runas,fantasia sombria,14,36,24,2.6,muito bom,118,4.6,romance,avaliou,E76,5.4,9.9,procesado,
RP-00101,2025-09-19,Uberaba,mg,U210,Im(pureza),fantasia sombria,livre,19,8,,NA,75,1.1,juvenil,comentou,E27,3.8,9.3,valido,
RP-00102,2025-07-14,Uberaba,GO,U181,Sombras Eternas,fantasia_sombria,livre,34,12,,muito bom,118,3.7,adulto,comentou,E29,6.6,5.2,,
RP-00103,2025-07-29,Uberaba,MG,U104,Sombras Eternas,darkromance,18,38,8,NA,,26,2.2,romance,,E80,7.7,9.8,valido,
RP-00104,2025-09-10,São Paulo,GO,U258,Reino das Runas,fantasia sombria,livre,37,27,2.8,muito bom,67,3.6,magia,avaliou,E87,7.6,1.2,valido,
RP-00105,07-31-2025,São Paulo,SP,U19,Im(pureza),fantasia sombria,,23,17,NA,NA,63,3.3,sombrio,,E52,7.3,2.8,,
RP-00106,2025-09-20,Uberaba,GO,U199,Sombras Eternas,infanto_juvenil,,33,1,3.7,ruim,115,3.3,aventura,avaliou,E73,6.7,9.7,procesado,
RP-00107,2025-10-21,Curitiba,MG,U306,A Santa Que Me Condena,darkromance,livre,15,9,,ruim,30,4.9,adulto,avaliou,E42,7.4,1.1,,
RP-00108,2025-01-10,São Paulo,MG,U72,A Santa Que Me Condena,fantasia sombria,,26,18,1.4,ruim,84,2.3,adulto,comentou,E21,8.1,3.7,procesado,
RP-00109,2025-06-12,Curitiba,MG,U171,Im(pureza),fantasia,18,24,11,,ruim,28,1.7,magia,avaliou,E69,6.3,6.5,valido,
RP-00110,2025-04-08,Curitiba,mg,U92,A Santa Que Me Condena,darkromance,livre,25,23,3.1,muito bom,17,1.2,adulto,comentou,E15,7.3,1.6,valido,
RP-00111,22/01/2025,Uberaba,GO,U215,Reino das Runas,fantasia,18,34,11,NA,muito bom,94,1.2,aventura,avaliou,E99,4.4,1.6,procesado,
RP-00112,2025-09-14,Uberaba,GO,U350,Sombras Eternas,fantasia sombria,18,27,3,NA,muito bom,17,3.1,adulto,curtiu,E33,2.8,9.7,procesado,
RP-00113,2025-01-22,São Paulo,GO,U152,A Santa Que Me Condena,darkromance,livre,20,4,NA,,78,3.5,adulto,comentou,E8,1.9,2.1,procesado,
RP-00114,2025-07-25,São Paulo,PR,U337,Reino das Runas,darkromance,18,38,2,NA,ruim,80,2.3,magia,avaliou,E73,3.8,2.8,valido,
RP-00115,2025-04-15,São Paulo,GO,U112,Im(pureza),darkromance,18,27,14,3.0,,55,4.4,juvenil,avaliou,E56,7.6,6.4,,
RP-00116,2025-06-03,Uberaba,PR,U200,Im(pureza),infanto_juvenil,18,12,13,4.4,muito bom,75,3.5,sombrio,curtiu,E50,4.1,8.8,valido,
RP-00117,2025-03-16,Uberaba,SP,U340,Reino das Runas,dark_romance,14,33,4,NA,muito bom,55,3.2,adulto,curtiu,E40,9.7,4.3,procesado,
RP-00118,2025-06-18,São Paulo,GO,U216,Sombras Eternas,fantasia,,16,19,1.7,ruim,22,2.4,sombrio,comentou,E61,2.5,7.3,procesado,
RP-00119,2025-07-18,Uberaba,PR,U85,Reino das Runas,darkromance,14,25,18,4.0,ruim,11,4.1,magia,comentou,E79,1.8,4.0,valido,
RP-00120,2025-03-06,Uberaba,mg,U155,Reino das Runas,darkromance,,12,17,,muito bom,69,3.9,aventura,,E20,5.0,1.3,valido,
RP-00121,data_invalida,Uberaba,mg,U141,Im(pureza),darkromance,livre,27,3,,ruim,54,3.5,aventura,comentou,E55,5.6,7.5,valido,
RP-00122,2025-09-29,Curitiba,SP,U42,A Santa Que Me Condena,darkromance,,33,26,,ruim,64,1.1,sombrio,,E75,9.9,4.5,valido,
RP-00123,data_invalida,Curitiba,mg,U301,Reino das Runas,infanto_juvenil,18,32,3,NA,ruim,36,3.2,romance,avaliou,E56,3.8,5.3,procesado,
RP-00124,2025-10-05,São Paulo,PR,U10,Reino das Runas,darkromance,18,24,8,NA,ruim,20,3.0,adulto,,E29,9.2,9.5,,
RP-00125,05-31-2025,São Paulo,mg,U158,Im(pureza),darkromance,,40,30,2.9,NA,109,1.1,romance,curtiu,E87,2.6,2.7,,
RP-00126,2025-07-05,São Paulo,GO,U12,A Santa Que Me Condena,fantasia_sombria,18,31,21,,ruim,48,3.3,aventura,curtiu,E13,7.7,7.1,procesado,
RP-00127,2025-10-05,São Paulo,PR,U386,Sombras Eternas,fantasia,18,20,30,,,82,2.0,aventura,comentou,E89,3.6,5.9,procesado,
RP-00128,2025-02-04,São Paulo,PR,U95,Reino das Runas,infanto_juvenil,14,21,24,NA,muito bom,21,3.9,aventura,avaliou,E71,1.2,1.7,,
RP-00129,10/08/2025,Uberaba,SP,U369,A Santa Que Me Condena,infanto_juvenil,18,36,14,1.7,muito bom,73,1.5,romance,avaliou,E67,1.3,4.4,valido,
RP-00130,02-09-2025,São Paulo,MG,U26,Sombras Eternas,fantasia sombria,14,35,28,3.1,ruim,2,2.1,sombrio,curtiu,E83,6.5,8.8,procesado,
RP-00131,2025-01-22,Uberaba,PR,U364,Sombras Eternas,fantasia_sombria,livre,20,7,3.4,ruim,108,2.0,magia,avaliou,E6,1.7,4.3,,
RP-00132,2025-09-08,Goiânia,MG,U274,Reino das Runas,darkromance,,20,4,,muito bom,25,2.7,romance,,E12,3.2,4.0,,
RP-00133,2025-09-11,Curitiba,SP,U47,Im(pureza),fantasia_sombria,14,35,24,NA,NA,28,3.5,juvenil,avaliou,E10,5.5,9.5,valido,
RP-00134,2025-08-23,Curitiba,GO,U295,Sombras Eternas,darkromance,livre,20,12,,,93,1.6,juvenil,comentou,E2,8.7,7.8,procesado,
RP-00135,data_invalida,São Paulo,GO,U210,Sombras Eternas,darkromance,14,38,20,NA,,113,4.3,aventura,,E95,7.8,6.7,,
RP-00136,2025-08-10,São Paulo,MG,U270,Sombras Eternas,fantasia sombria,18,39,29,,,27,3.5,magia,avaliou,E72,6.2,9.7,procesado,
RP-00137,2025-02-13,Curitiba,SP,U293,A Santa Que Me Condena,darkromance,18,24,21,,muito bom,48,3.0,sombrio,avaliou,E25,9.6,9.0,,
RP-00138,2025-08-15,Uberaba,GO,U265,Im(pureza),fantasia sombria,14,40,3,NA,,47,1.1,sombrio,curtiu,E98,9.3,2.5,,
RP-00139,2025-10-27,Goiânia,MG,U191,A Santa Que Me Condena,darkromance,livre,23,17,,,34,5.0,romance,avaliou,E56,4.8,5.3,valido,
RP-00140,08/05/2025,São Paulo,PR,U116,Reino das Runas,fantasia,livre,34,9,NA,muito bom,22,2.4,adulto,curtiu,E49,2.9,2.5,valido,
RP-00141,data_invalida,Curitiba,MG,U330,Reino das Runas,fantasia_sombria,14,30,14,2.1,NA,83,1.0,aventura,avaliou,E17,7.4,7.2,valido,
RP-00142,2025-01-21,São Paulo,SP,U400,Sombras Eternas,fantasia sombria,18,20,5,,muito bom,41,2.7,romance,,E30,9.5,8.5,valido,
RP-00143,data_invalida,Uberaba,SP,U146,Reino das Runas,fantasia sombria,,17,17,4.7,ruim,21,1.4,juvenil,avaliou,E31,6.6,5.9,procesado,
RP-00144,2025-03-26,Curitiba,MG,U45,Sombras Eternas,fantasia sombria,livre,16,21,NA,,98,3.2,juvenil,curtiu,E90,3.9,9.8,valido,
RP-00145,2025-02-09,Curitiba,mg,U292,Reino das Runas,fantasia sombria,14,39,28,NA,ruim,79,3.7,adulto,curtiu,E53,7.1,5.1,,
RP-00146,2025-02-18,Uberaba,MG,U276,Sombras Eternas,darkromance,18,20,2,2.7,ruim,40,1.4,romance,,E3,9.5,6.6,,
RP-00147,2025-05-18,Uberaba,SP,U220,Im(pureza),fantasia sombria,14,38,28,4.1,ruim,15,3.9,romance,comentou,E69,7.5,4.2,procesado,
RP-00148,2025-01-13,São Paulo,MG,U153,Im(pureza),fantasia sombria,livre,30,20,1.7,NA,14,3.8,aventura,curtiu,E86,10.0,1.9,valido,
RP-00149,2025-10-07,Goiânia,GO,U250,Reino das Runas,infanto_juvenil,livre,27,24,,ruim,75,2.3,sombrio,,E46,7.8,2.0,,
RP-00150,2025-09-04,Curitiba,mg,U384,A Santa Que Me Condena,fantasia,18,36,12,,ruim,9,4.8,aventura,avaliou,E39,6.7,3.0,procesado,
RP-00151,2025-10-23,Goiânia,PR,U229,Sombras Eternas,darkromance,14,16,3,NA,NA,56,2.7,adulto,comentou,E22,7.8,9.7,,
RP-00152,2025-07-12,Curitiba,GO,U85,Im(pureza),dark_romance,18,14,12,NA,,88,2.1,romance,comentou,E67,5.6,7.8,valido,
RP-00153,2025-02-10,Curitiba,GO,U100,Sombras Eternas,fantasia sombria,18,18,26,,ruim,97,3.3,juvenil,,E10,6.2,1.0,,
RP-00154,2025-03-14,Goiânia,PR,U298,Sombras Eternas,fantasia sombria,18,28,4,,muito bom,19,3.8,juvenil,avaliou,E84,8.3,6.1,procesado,
RP-00155,2025-04-06,São Paulo,GO,U397,Im(pureza),dark_romance,18,37,24,1.7,ruim,32,3.4,adulto,curtiu,E16,5.2,8.8,valido,
RP-00156,02-20-2025,Goiânia,MG,U334,Sombras Eternas,darkromance,14,23,29,2.3,ruim,113,1.2,adulto,avaliou,E84,2.3,7.9,valido,
RP-00157,2025-10-11,Goiânia,PR,U175,A Santa Que Me Condena,darkromance,,28,27,NA,muito bom,49,1.0,magia,comentou,E43,8.8,5.3,,
RP-00158,2025-02-20,Curitiba,PR,U243,Im(pureza),darkromance,,19,20,,ruim,47,1.6,romance,comentou,E15,1.8,7.3,procesado,
RP-00159,2025-08-03,Uberaba,PR,U219,A Santa Que Me Condena,darkromance,14,40,21,NA,NA,10,4.5,magia,avaliou,E32,5.4,8.9,procesado,
RP-00160,2025-02-18,Goiânia,GO,U152,A Santa Que Me Condena,darkromance,18,18,14,NA,ruim,50,3.2,romance,curtiu,E6,1.1,1.6,,
RP-00161,2025-08-24,Goiânia,PR,U48,Im(pureza),fantasia sombria,14,21,23,,,103,1.8,magia,avaliou,E81,3.7,7.0,,
RP-00162,2025-10-03,Goiânia,SP,U74,Im(pureza),darkromance,livre,34,23,3.4,,53,4.7,magia,avaliou,E77,9.3,1.9,procesado,
RP-00163,31/01/2025,Goiânia,SP,U253,Sombras Eternas,fantasia sombria,14,19,2,NA,NA,11,1.4,juvenil,comentou,E97,7.8,6.3,valido,
RP-00164,2025-04-06,São Paulo,SP,U364,A Santa Que Me Condena,darkromance,livre,20,6,,ruim,15,3.6,romance,avaliou,E22,3.5,4.3,procesado,
RP-00165,2025-05-07,Curitiba,PR,U89,Sombras Eternas,darkromance,14,31,5,,ruim,100,4.3,sombrio,avaliou,E18,9.2,6.5,valido,
RP-00166,2025-07-03,Curitiba,PR,U53,A Santa Que Me Condena,infanto_juvenil,livre,35,5,,NA,3,1.8,adulto,comentou,E22,4.4,1.2,valido,
RP-00167,2025-04-02,Curitiba,mg,U393,Sombras Eternas,fantasia sombria,livre,24,1,4.6,NA,116,3.3,aventura,,E44,3.2,1.6,procesado,
