registro_id,data_evento,cidade,uf,cliente_id,categoria,produto,preco,frete,etapa_funil,tempo_carrinho_seg,pagamento,dispositivo,origem,comprou,devolucao,motivo_devolucao,tempo_devolucao_dias,avaliacao,frequencia_compra,dias_desde_ultima_compra,cashback,status,observacao
VIT-00030,10/01/2025,São Paulo,SP,C153,roupaa,produto_47,167.1,60.95,visualizou,381,pix,desktop,ads,nao,nao,qualidade,13,3.4,0,53,nao,ok,
VIT-00031,07-23-2025,Salvador,ba,C491,roupaa,produto_96,501.95,35.09,visualizou,882,cartao,desktop,organico,sim,nao,qualidade,13,1.1,2,116,sim,,
VIT-00032,2025-06-21,Salvador,BA,C379,roupaa,produto_69,"403,77",0.51,carrinhu,517,cartao,desktop,ads,nao,nao,,19,1.0,1,118,nao,procesado,
VIT-00033,2025-03-20,Uberlândia,MG,C10,roupa,produto_3,148.45,27.67,carrinhu,908,cartao,mobile,organico,nao,nao,tamanho,18,3.2,3,80,nao,procesado,
VIT-00034,2025-01-11,Curitiba,pr,C83,roupaa,produto_94,"718,11",71.79,visualizou,290,pix,desktop,ads,nao,nao,cor,25,4.9,2,68,nao,ok,
VIT-00035,2025-03-17,Uberlândia,MG,C95,calcado,produto_83,113.97,14.53,pagamento,1047,pix,mobile,ads,nao,nao,tamanho,2,3.1,3,65,nao,ok,
VIT-00036,2025-06-20,Curitiba,PR,C218,roupa,produto_82,399.6,58.03,carrinhu,1341,cartao,mobile,organico,sim,sim,tamanho,8,3.5,4,22,sim,ok,
VIT-00037,data_invalida,Curitiba,PR,C232,roupa,produto_8,699.66,75.0,carrinhu,839,pix,desktop,ads,sim,nao,cor,19,4.2,6,58,nao,ok,
VIT-00038,04-09-2025,Uberlândia,mg,C106,roupaa,produto_112,146.04,70.18,visualizou,692,cartao,mobile,email,sim,nao,,29,1.8,5,99,nao,,
VIT-00039,04-03-2025,Uberlândia,mg,C329,roupa,produto_186,714.02,75.03,carrinhu,1427,,desktop,ads,sim,sim,,5,3.1,5,111,sim,ok,
VIT-00040,2025-05-15,São Paulo,SP,C117,roupa,produto_181,513.5,44.93,carrinho,1645,,mobile,ads,nao,nao,qualidade,23,9,8,41,nao,procesado,INVALIDO
VIT-00041,2025-09-16,Curitiba,pr,C182,roupaa,produto_107,330.8,13.27,carrinhu,297,cartao,desktop,email,nao,nao,tamanho,27,3.2,7,77,nao,ok,
VIT-00042,2025-07-17,São Paulo,SP,C453,roupaa,produto_152,796.12,77.05,visualizou,1622,pix,mobile,ads,sim,nao,qualidade,25,2.2,7,94,nao,ok,
VIT-00043,12/10/2025,São Paulo,sp,C73,roupaa,produto_88,719.94,68.46,pagamento,962,,desktop,email,nao,nao,cor,16,3.6,5,98,nao,procesado,
VIT-00044,2025-07-31,Curitiba,PR,C194,calcado,produto_30,581.83,11.62,visualizou,692,cartao,mobile,email,sim,nao,cor,20,2.4,0,84,nao,procesado,
VIT-00045,07-09-2025,Salvador,ba,C114,roupa,produto_80,574.85,46.06,carrinhu,630,boleto,mobile,organico,sim,nao,,24,1.8,1,73,nao,,
VIT-00046,2025-03-04,Uberlândia,MG,C29,roupaa,produto_91,447.75,76.85,carrinhu,1777,,mobile,ads,sim,nao,tamanho,14,1.4,1,16,sim,,
VIT-00047,11/01/2025,Salvador,BA,C366,roupaa,produto_33,622.51,57.38,carrinhu,456,pix,desktop,organico,nao,nao,,16,2.2,6,64,sim,,
VIT-00048,2025-06-25,Curitiba,pr,C461,roupaa,produto_192,"519,66",14.04,carrinhu,191,boleto,mobile,email,nao,nao,,30,3.9,8,112,nao,ok,
VIT-00049,2025-01-06,São Paulo,sp,C43,roupaa,produto_94,712.66,26.06,carrinho,1250,,desktop,organico,nao,nao,qualidade,7,1.2,7,105,nao,ok,
VIT-00050,02-02-2025,Salvador,ba,C422,calcado,produto_43,690.2,16.72,compra,1162,cartao,desktop,ads,sim,nao,qualidade,7,3.4,3,26,sim,,
VIT-00051,02-16-2025,Curitiba,PR,C295,roupaa,produto_48,172.98,71.87,carrinhu,1873,,desktop,ads,nao,nao,qualidade,4,3.6,1,76,sim,,
VIT-00052,2025-02-12,Salvador,ba,C201,roupaa,produto_10,"353,76",22.63,carrinho,1162,cartao,mobile,email,sim,nao,cor,29,3.5,4,84,nao,ok,
VIT-00053,01/08/2025,Salvador,ba,C130,roupaa,produto_135,75.14,43.29,carrinho,1312,cartao,desktop,organico,sim,nao,cor,2,4.1,10,65,sim,procesado,
VIT-00054,2025-01-27,São Paulo,SP,C261,roupaa,produto_23,265.18,7.17,carrinhu,171,boleto,desktop,ads,sim,nao,tamanho,4,2.4,1,38,nao,procesado,
VIT-00055,24/06/2025,Curitiba,PR,C351,acessorio,produto_97,"525,36",50.66,visualizou,613,pix,mobile,email,nao,nao,tamanho,27,1.3,100,17,nao,procesado,OUTLIER
VIT-00056,2025-08-24,Curitiba,PR,C174,roupaa,produto_165,514.16,77.55,carrinhu,1815,cartao,mobile,ads,sim,nao,cor,23,1.4,2,4,sim,,
VIT-00057,2025-03-05,Salvador,ba,C71,roupaa,produto_182,393.81,49.05,carrinho,282,boleto,mobile,ads,nao,nao,cor,16,2.6,6,43,nao,ok,
VIT-00058,2025-10-24,Salvador,ba,C371,roupa,produto_10,"228,37",59.92,pagamento,557,cartao,desktop,organico,sim,nao,,12,3.4,7,3,nao,,
VIT-00059,2025-04-21,Uberlândia,MG,C149,roupa,produto_47,180.21,32.17,compra,1289,,desktop,ads,sim,nao,qualidade,20,1.0,7,33,nao,ok,
VIT-00060,2025-04-21,São Paulo,sp,C347,calcado,produto_67,773.62,57.14,carrinhu,1221,,mobile,email,sim,nao,tamanho,20,1.4,5,72,nao,ok,
VIT-00061,2025-08-17,São Paulo,SP,C257,roupa,produto_51,128.18,48.22,carrinhu,301,pix,desktop,organico,nao,nao,cor,10,2.5,1,116,sim,ok,
VIT-00062,2025-06-26,Uberlândia,mg,C131,roupa,produto_63,50.25,28.02,visualizou,37,cartao,desktop,ads,nao,nao,qualidade,10,2.5,3,3,nao,procesado,
VIT-00063,2025-08-26,Salvador,BA,C294,roupa,produto_76,"326,09",24.49,compra,1314,,mobile,ads,sim,nao,,2,3.6,10,83,sim,ok,
VIT-00064,2025-03-04,Curitiba,PR,C133,roupaa,produto_71,666.58,23.41,compra,829,pix,mobile,email,sim,nao,qualidade,26,3.4,7,106,sim,ok,
VIT-00065,05-06-2025,Uberlândia,mg,C283,calcado,produto_65,348.42,9.15,compra,1605,,desktop,ads,sim,nao,qualidade,9,4.3,6,87,nao,procesado,
VIT-00066,2025-10-16,Uberlândia,mg,C7,calcado,produto_1,"536,79",50.16,carrinhu,228,boleto,desktop,organico,nao,nao,,15,2.2,0,61,nao,,
VIT-00067,2025-01-14,Salvador,ba,C236,roupa,produto_199,177.65,23.55,carrinhu,1727,boleto,desktop,email,sim,nao,,30,1.4,8,91,sim,ok,
VIT-00068,2025-01-12,Curitiba,pr,C157,calcado,produto_143,"613,51",49.62,carrinhu,1997,cartao,mobile,email,sim,nao,,21,1.9,6,91,nao,procesado,
VIT-00069,2025-08-23,São Paulo,SP,C299,roupaa,produto_187,434.98,32.87,visualizou,1262,cartao,mobile,ads,nao,nao,qualidade,5,2.6,9,45,nao,ok,
VIT-00070,2025-07-21,Salvador,ba,C29,calcado,produto_117,792.93,26.11,carrinhu,1574,cartao,desktop,ads,nao,nao,cor,9,3.5,9,96,nao,ok,
VIT-00071,2025-06-25,Uberlândia,MG,C184,roupaa,produto_145,398.09,13.68,carrinhu,1884,cartao,mobile,email,nao,nao,,24,1.8,2,83,nao,,
VIT-00072,2025-01-20,Uberlândia,mg,C201,calcado,produto_56,644.52,1.36,carrinhu,1073,pix,mobile,ads,sim,nao,cor,28,1.3,6,71,sim,,
VIT-00073,2025-06-28,São Paulo,SP,C424,roupa,produto_7,104.71,58.82,visualizou,1376,cartao,desktop,ads,sim,nao,qualidade,19,3.9,1,41,sim,ok,
VIT-00074,2025-09-29,Salvador,ba,C316,roupaa,produto_187,364.14,34.02,carrinhu,1951,cartao,mobile,organico,nao,nao,,30,2.0,7,56,sim,ok,
VIT-00075,2025-03-30,Salvador,BA,C28,roupa,produto_121,159.17,7.59,visualizou,576,boleto,desktop,organico,sim,nao,,10,1.2,0,12,sim,ok,
VIT-00076,14/04/2025,São Paulo,SP,C344,roupa,produto_120,88.77,27.5,carrinhu,1959,boleto,desktop,organico,sim,nao,,2,2.6,4,59,nao,ok,
VIT-00077,2025-08-03,Curitiba,pr,C321,roupa,produto_173,592.86,19.85,carrinhu,1115,,desktop,email,nao,nao,,14,1.7,0,28,sim,,
VIT-00078,08-07-2025,Salvador,ba,C207,roupaa,produto_84,109.9,37.07,carrinhu,1651,cartao,desktop,organico,sim,nao,tamanho,11,3.4,1,49,nao,procesado,
VIT-00079,2025-04-14,São Paulo,sp,C9,roupa,produto_70,"486,24",67.75,pagamento,74,boleto,desktop,email,nao,nao,,5,1.2,10,60,nao,ok,
VIT-00080,2025-10-08,São Paulo,SP,C42,lifestyle,produto_15,396.16,31.36,carrinhu,1809,cartao,desktop,email,nao,nao,qualidade,3,4.9,8,22,sim,procesado,
VIT-00081,2025-07-12,Curitiba,pr,C217,roupa,produto_168,90.36,53.0,carrinhu,1069,boleto,desktop,organico,sim,sim,,6,4.5,8,85,nao,,
VIT-00082,2025-09-14,São Paulo,SP,C22,lifestyle,produto_152,173.5,45.08,carrinhu,1044,pix,desktop,email,sim,nao,,1,2.4,0,3,sim,ok,
VIT-00083,2025-01-10,São Paulo,SP,C215,roupaa,produto_81,127.73,17.98,pagamento,1993,pix,desktop,organico,nao,nao,cor,30,4.0,5,96,nao,procesado,
VIT-00084,24/03/2025,Salvador,BA,C207,roupaa,produto_109,325.86,75.14,visualizou,153,pix,mobile,email,nao,nao,tamanho,6,1.1,4,77,sim,,
VIT-00085,2025-06-14,São Paulo,sp,C434,roupaa,produto_118,94.42,18.36,carrinhu,864,pix,desktop,email,nao,nao,,30,2.5,9,61,sim,ok,
VIT-00086,2025-03-20,Salvador,ba,C265,calcado,produto_120,678.22,31.36,carrinhu,1173,,desktop,organico,nao,nao,cor,27,3.5,5,29,sim,,
VIT-00087,27/03/2025,Curitiba,pr,C371,roupaa,produto_172,476.76,35.29,carrinhu,81,,desktop,organico,sim,nao,qualidade,3,4.2,4,93,nao,ok,
VIT-00088,2025-01-26,Uberlândia,MG,C461,calcado,produto_88,613.68,57.89,visualizou,1433,pix,mobile,email,sim,nao,tamanho,14,3.5,1,70,sim,,
VIT-00089,data_invalida,São Paulo,sp,C141,calcado,produto_73,492.21,39.76,carrinhu,28,pix,mobile,email,sim,nao,cor,26,4.0,2,12,nao,procesado,
VIT-00090,2025-08-22,Curitiba,pr,C187,roupa,produto_149,"308,43",31.74,visualizou,964,boleto,desktop,ads,sim,nao,cor,2,4.8,6,61,nao,ok,
VIT-00091,2025-03-20,São Paulo,SP,C70,roupa,produto_86,631.32,18.05,carrinhu,974,boleto,mobile,organico,sim,nao,cor,16,3.7,4,5,sim,procesado,
VIT-00092,2025-04-30,Uberlândia,mg,C440,calcado,produto_85,"160,74",32.1,carrinhu,891,,mobile,ads,sim,nao,,27,2.4,8,59,nao,ok,
VIT-00093,2025-09-02,Uberlândia,MG,C326,roupaa,produto_52,748.78,70.95,carrinho,1605,,mobile,email,sim,nao,,5,1.9,6,104,nao,ok,
VIT-00094,01/04/2025,Curitiba,pr,C192,acessorio,produto_22,692.93,35.64,carrinhu,1360,boleto,desktop,organico,sim,nao,,3,2.1,9,60,nao,ok,
VIT-00095,01-19-2025,Salvador,BA,C136,roupaa,produto_2,464.09,72.11,carrinhu,1840,boleto,mobile,email,sim,nao,tamanho,20,3.4,6,50,nao,,
VIT-00096,2025-10-19,Curitiba,PR,C398,roupa,produto_84,204.94,6.04,carrinhu,1984,cartao,desktop,ads,sim,nao,,28,3.5,3,116,nao,procesado,
VIT-00097,2025-01-24,São Paulo,sp,C499,calcado,produto_139,"116,8",47.16,pagamento,1024,pix,mobile,organico,nao,nao,tamanho,1,4.3,0,0,nao,,
VIT-00098,2025-09-30,Salvador,ba,C256,roupaa,produto_186,"201,68",37.0,carrinhu,100,boleto,mobile,email,sim,nao,tamanho,30,1.1,1,9,nao,ok,
VIT-00099,2025-04-15,São Paulo,SP,C305,lifestyle,produto_14,"380,8",74.35,carrinhu,95,cartao,desktop,email,sim,nao,tamanho,26,2.2,10,37,nao,,
VIT-00100,2025-05-10,Uberlândia,mg,C320,roupaa,produto_93,716.08,43.86,carrinhu,1979,,desktop,ads,nao,nao,qualidade,14,1.9,5,119,nao,ok,
VIT-00101,03-27-2025,Curitiba,PR,C328,roupaa,produto_188,711.02,52.51,carrinhu,1527,cartao,desktop,email,sim,nao,qualidade,18,2.9,8,55,nao,,
VIT-00102,07-23-2025,Curitiba,PR,C293,roupaa,produto_112,749.44,10.62,pagamento,1707,cartao,mobile,organico,nao,nao,cor,21,3.5,7,62,nao,,
VIT-00103,2025-01-23,Salvador,BA,C54,roupa,produto_4,361.75,15.68,pagamento,609,pix,desktop,organico,nao,nao,qualidade,14,4.6,10,75,sim,,
VIT-00104,2025-03-24,Curitiba,PR,C5,roupaa,produto_61,109.49,67.35,compra,1919,boleto,desktop,email,sim,sim,,14,2.9,2,70,sim,procesado,
VIT-00105,2025-10-21,Uberlândia,MG,C92,roupaa,produto_47,201.05,63.47,carrinhu,401,,mobile,organico,nao,nao,qualidade,3,3.5,5,49,nao,ok,
VIT-00106,2025-05-22,Curitiba,PR,C45,acessorio,produto_138,"606,6",33.3,pagamento,1693,pix,mobile,email,sim,nao,cor,7,1.4,0,10,sim,ok,
VIT-00107,2025-10-01,Curitiba,PR,C345,calcado,produto_55,660.66,74.73,carrinhu,166,,desktop,email,nao,nao,,8,3.5,4,36,sim,ok,
VIT-00108,2025-02-27,Uberlândia,mg,C13,roupaa,produto_44,464.54,59.11,pagamento,1559,pix,mobile,email,sim,nao,tamanho,23,1.0,7,79,sim,procesado,
VIT-00109,2025-08-07,Salvador,BA,C51,roupa,produto_122,488.04,68.41,carrinho,427,boleto,mobile,organico,nao,nao,tamanho,24,4.5,4,102,nao,procesado,
VIT-00110,2025-08-09,Uberlândia,MG,C273,roupaa,produto_36,"242,96",19.5,carrinhu,1887,cartao,mobile,email,nao,nao,,13,2.9,10,54,nao,ok,
VIT-00111,2025-10-21,Curitiba,pr,C227,roupaa,produto_75,625.68,70.68,carrinhu,1656,pix,desktop,ads,sim,sim,,5,2.5,1,58,nao,procesado,
VIT-00112,2025-06-21,São Paulo,sp,C155,roupaa,produto_44,519.58,79.93,visualizou,750,pix,mobile,email,nao,nao,qualidade,10,2.4,3,77,nao,,
VIT-00113,2025-02-15,Curitiba,PR,C80,roupa,produto_100,418.89,23.6,compra,513,cartao,desktop,organico,sim,nao,tamanho,23,1.6,8,57,nao,ok,
VIT-00114,2025-10-18,Salvador,ba,C299,acessorio,produto_39,447.51,57.62,visualizou,400,,mobile,ads,nao,nao,cor,26,4.1,7,28,sim,procesado,
VIT-00115,01/03/2025,Curitiba,pr,C460,roupaa,produto_130,"259,81",39.68,pagamento,232,cartao,desktop,ads,sim,sim,tamanho,22,4.9,5,77,sim,,
VIT-00116,06/06/2025,Uberlândia,MG,C74,roupaa,produto_192,474.44,5.51,carrinhu,1896,cartao,mobile,email,nao,nao,tamanho,19,3.7,0,101,nao,,
VIT-00117,2025-05-24,Salvador,ba,C464,roupa,produto_146,695.4,48.92,carrinhu,1565,boleto,mobile,email,nao,nao,tamanho,30,2.1,10,30,sim,procesado,
VIT-00118,2025-02-06,Salvador,BA,C104,roupaa,produto_158,482.29,34.61,pagamento,1247,boleto,desktop,organico,sim,nao,tamanho,14,1.1,6,60,sim,ok,
VIT-00119,2025-05-05,Salvador,ba,C260,calcado,produto_100,"438,69",36.92,carrinhu,806,boleto,mobile,ads,sim,nao,tamanho,11,4.1,6,28,nao,,
VIT-00120,06-29-2025,Curitiba,pr,C440,roupa,produto_23,431.74,66.15,carrinhu,1198,cartao,mobile,ads,sim,sim,tamanho,10,4.0,2,51,sim,ok,
VIT-00121,2025-01-21,São Paulo,sp,C91,roupaa,produto_147,520.25,73.39,carrinhu,1035,boleto,desktop,email,sim,nao,qualidade,18,2.0,5,82,sim,,
VIT-00122,2025-05-26,Uberlândia,mg,C176,roupaa,produto_51,400.99,76.17,pagamento,479,,mobile,ads,nao,nao,qualidade,8,2.0,6,90,sim,,
VIT-00123,2025-09-05,São Paulo,SP,C479,calcado,produto_122,355.19,28.59,carrinhu,1318,cartao,mobile,email,sim,sim,cor,5,4.0,9,80,nao,ok,
VIT-00124,data_invalida,Uberlândia,MG,C60,roupaa,produto_152,317.21,71.89,carrinho,1450,,desktop,organico,nao,nao,,25,2.0,4,103,nao,ok,
VIT-00125,10-01-2025,Uberlândia,mg,C76,roupaa,produto_94,232.66,14.96,compra,1655,,mobile,email,sim,sim,,30,2.3,8,81,nao,ok,
VIT-00126,2025-10-24,Uberlândia,mg,C20,roupaa,produto_45,620.39,60.84,visualizou,1073,pix,desktop,ads,sim,nao,,8,1.8,10,118,nao,,
VIT-00127,2025-04-01,São Paulo,sp,C243,calcado,produto_76,"350,64",48.99,visualizou,259,boleto,mobile,email,sim,nao,qualidade,1,4.3,3,51,nao,ok,
VIT-00128,2025-08-15,Uberlândia,MG,C397,acessorio,produto_163,242.24,24.2,carrinhu,1610,cartao,desktop,organico,nao,nao,,3,2.7,8,34,sim,ok,
VIT-00129,21/04/2025,Uberlândia,MG,C300,calcado,produto_155,572.32,21.12,carrinhu,1167,pix,mobile,organico,sim,nao,qualidade,18,3.2,8,109,nao,procesado,
VIT-00130,2025-05-11,São Paulo,SP,C490,roupa,produto_117,505.63,28.94,carrinho,1319,boleto,desktop,organico,nao,nao,cor,10,4.5,9,38,sim,,
VIT-00131,2025-05-21,Curitiba,PR,C378,roupa,produto_193,570.91,70.28,visualizou,724,cartao,mobile,ads,sim,nao,,15,1.7,9,86,nao,procesado,
VIT-00132,2025-06-09,Uberlândia,mg,C247,roupaa,produto_196,637.77,20.86,carrinhu,726,pix,mobile,email,sim,nao,tamanho,16,4.4,3,19,nao,ok,
VIT-00133,2025-07-15,Uberlândia,mg,C374,roupaa,produto_68,"592,61",21.17,carrinhu,1626,cartao,desktop,organico,nao,nao,,7,1.6,0,47,nao,ok,
VIT-00134,2025-06-27,São Paulo,SP,C285,roupaa,produto_63,"781,11",21.96,compra,889,pix,desktop,ads,sim,nao,qualidade,17,2.9,2,12,nao,,
VIT-00135,28/06/2025,Curitiba,pr,C478,roupaa,produto_68,586.55,25.62,carrinhu,901,,desktop,ads,sim,sim,qualidade,18,2.4,9,47,sim,ok,
VIT-00136,03-26-2025,Curitiba,PR,C101,roupa,produto_129,714.12,23.45,pagamento,1821,boleto,mobile,ads,sim,nao,cor,17,1.1,6,6,sim,ok,
VIT-00137,2025-01-22,Curitiba,pr,C59,roupaa,produto_135,409.17,66.35,visualizou,482,cartao,mobile,ads,nao,nao,,12,4.2,8,43,sim,procesado,
VIT-00138,2025-09-21,Curitiba,PR,C15,roupa,produto_57,695.07,27.5,compra,73,boleto,mobile,email,sim,nao,tamanho,22,2.1,10,18,nao,procesado,
VIT-00139,2025-06-19,Salvador,ba,C486,calcado,produto_165,485.37,50.32,pagamento,270,cartao,desktop,ads,sim,nao,,19,4.7,4,6,sim,ok,
VIT-00140,2025-09-23,São Paulo,SP,C136,lifestyle,produto_146,"157,32",8.25,carrinho,1341,,desktop,organico,nao,nao,cor,21,4.8,9,17,nao,procesado,
VIT-00141,2025-06-01,Curitiba,PR,C475,acessorio,produto_151,537.68,69.46,carrinhu,1303,,desktop,ads,sim,sim,tamanho,12,2.2,2,94,sim,,
VIT-00142,2025-09-23,Salvador,BA,C420,roupaa,produto_26,690.58,7.82,carrinho,1337,,desktop,organico,nao,nao,cor,9,3.8,9,100,sim,ok,
VIT-00143,2025-10-03,Curitiba,pr,C367,acessorio,produto_126,"166,0",36.2,carrinhu,491,cartao,desktop,ads,nao,nao,cor,13,3.6,2,56,nao,,
VIT-00144,data_invalida,Salvador,BA,C269,roupa,produto_118,"680,16",79.01,carrinhu,1455,boleto,desktop,email,sim,nao,,26,2.4,10,15,sim,,
VIT-00145,2025-02-02,São Paulo,SP,C481,calcado,produto_87,682.26,3.62,carrinho,1045,,mobile,organico,sim,nao,tamanho,6,2.4,5,60,nao,ok,
VIT-00146,2025-09-14,Salvador,BA,C124,lifestyle,produto_171,132.86,73.19,visualizou,1710,boleto,desktop,organico,sim,sim,,23,1.4,1,113,nao,ok,
VIT-00147,2025-09-08,Uberlândia,mg,C381,roupaa,produto_80,256.58,26.65,visualizou,1421,pix,desktop,email,nao,nao,tamanho,20,3.5,9,17,sim,ok,
VIT-00148,2025-06-01,Curitiba,pr,C107,calcado,produto_68,519.35,36.31,compra,1164,boleto,desktop,ads,sim,sim,cor,27,4.8,0,50,sim,procesado,
VIT-00149,2025-10-03,Salvador,BA,C332,roupa,produto_129,"492,13",6.93,visualizou,875,,mobile,ads,nao,nao,cor,3,2.8,7,92,nao,,
VIT-00150,2025-10-20,Curitiba,PR,C278,acessorio,produto_117,80.87,61.02,pagamento,1365,cartao,desktop,ads,nao,nao,cor,28,1.9,1,20,nao,,
VIT-00151,2025-05-14,Curitiba,PR,C500,calcado,produto_127,584.85,6.65,pagamento,1144,boleto,desktop,email,nao,nao,tamanho,1,4.8,7,25,nao,procesado,
VIT-00152,2025-08-14,São Paulo,SP,C335,calcado,produto_128,65.76,67.32,carrinhu,1450,,mobile,organico,sim,nao,cor,28,2.4,3,67,sim,,
VIT-00153,2025-04-01,Salvador,ba,C329,calcado,produto_136,58.94,31.04,carrinhu,1333,,mobile,organico,sim,nao,qualidade,20,1.3,2,15,sim,,
VIT-00154,08/10/2025,Curitiba,pr,C104,roupaa,produto_19,692.56,1.92,pagamento,1692,cartao,desktop,organico,sim,nao,,2,3.2,0,6,nao,,
VIT-00155,2025-07-10,São Paulo,sp,C332,roupaa,produto_152,798.31,69.28,carrinho,1796,pix,desktop,ads,nao,nao,tamanho,6,4.1,9,98,sim,,
VIT-00156,2025-05-18,Uberlândia,MG,C137,roupaa,produto_193,791.73,33.8,carrinhu,1972,pix,desktop,organico,sim,nao,,16,1.7,6,75,sim,,
