registro_id,data_pedido,cidade,uf,canal,tipo_pedido,cliente_id,frequencia_cliente_mes,dias_desde_ultimo_pedido,ticket_medio,prato,categoria_prato,quantidade_produzida,quantidade_vendida,custo_prato,preco_prato,tempo_entrega_min,avaliacao,dia_semana,hora,clima,promocao_ativa,status_pedido,observacao
SAB-00069,2025-09-16,São Paulo,sp,ifood,delivery,C438,7,52,62.1,feijao,proteina,67,42,24.6,38.47,71,4.5,quinta,15,chuva,,cancelado,
SAB-00070,2025-03-15,São Paulo,SP,local,delivery,C157,50,44,"51,98",lasanha,acompanhamento,14,4,15.71,39.57,37,5.0,quarta,22,nublado,sim,finalizado,OUTLIER frequencia
SAB-00071,02/05/2025,São Paulo,sp,app,local,C147,0,33,44.48,lasanha,massa,35,27,26.58,71.38,59,4.2,sabado,16,sol,,procesado,
SAB-00072,2025-02-13,São Paulo,sp,ifood,local,C362,6,11,79.24,salada,acompanhamento,76,11,23.93,70.21,68,1.3,domingo,17,sol,sim,finalizado,
SAB-00073,07-19-2025,São Paulo,SP,app,delivery,C338,10,24,62.87,feijao,proteina,41,8,22.01,36.7,57,3.7,quarta,20,sol,sim,procesado,
SAB-00074,2025-08-14,São Paulo,SP,local,local,C143,6,7,"26,66",salada,acompanhamento,98,19,24.95,57.68,75,3.0,terça,14,sol,nao,procesado,
SAB-00075,2025-04-14,São Paulo,sp,app,local,C153,6,37,60.59,arroz,proteina,49,25,29.74,64.05,81,2.5,domingo,22,sol,,cancelado,
SAB-00076,2025-07-27,São Paulo,sp,local,local,C66,3,34,77.63,lasanha,acompanhamento,113,103,25.41,63.73,47,3.3,terça,18,nublado,sim,cancelado,
SAB-00077,04-17-2025,São Paulo,SP,ifood,local,C226,5,33,64.98,carne_assada,acompanhamento,44,2,13.42,24.65,89,2.7,sabado,20,nublado,nao,cancelado,
SAB-00078,2025-10-24,São Paulo,sp,ifood,local,C347,7,12,49.73,frango_grelhado,acompanhamento,118,15,9.65,24.1,49,1.4,quarta,14,sol,sim,procesado,
SAB-00079,2025-04-09,São Paulo,SP,app,delivery,C66,4,31,38.05,frango_grelhado,massa,57,37,21.04,51.25,67,2.6,sexta,21,chuva,,,
SAB-00080,2025-04-12,São Paulo,SP,ifood,delivery,C476,7,60,77.38,salada,acompanhamento,51,13,19.55,38.62,41,1.3,terça,14,sol,nao,finalizado,
SAB-00081,08/05/2025,São Paulo,sp,local,local,C5,0,8,52.76,salada,massa,45,34,18.4,44.64,44,2.4,terça,12,chuva,nao,,
SAB-00082,09-19-2025,São Paulo,SP,ifood,delivery,C470,2,8,28.84,arroz,proteina,50,30,22.67,38.81,36,4.7,domingo,21,nublado,,finalizado,
SAB-00083,2025-07-29,São Paulo,SP,local,local,C446,3,28,60.98,feijao,massa,42,37,22.26,60.68,88,1.7,terça,16,sol,sim,finalizado,
SAB-00084,2025-03-17,São Paulo,sp,local,delivery,C74,8,27,40.2,arroz,massa,88,44,12.27,22.93,57,3.0,sabado,15,nublado,,cancelado,
SAB-00085,2025-04-25,São Paulo,sp,app,delivery,C470,5,14,52.56,salada,proteina,13,2,11.5,24.32,76,4.4,quarta,16,sol,nao,finalizado,
SAB-00086,2025-03-21,São Paulo,SP,ifood,local,C321,0,45,70.54,feijao,proteina,63,25,18.19,30.93,13,3.4,terça,15,chuva,sim,,
SAB-00087,04/05/2025,São Paulo,SP,local,delivery,C216,4,13,46.43,carne_assada,vegetariano,59,6,21.01,36.66,32,2.5,segunda,15,nublado,,procesado,
SAB-00088,2025-08-18,São Paulo,sp,app,local,C288,0,58,"23,34",arroz,vegetariano,95,12,27.76,78.09,12,4.0,segunda,14,sol,nao,cancelado,
SAB-00089,2025-09-05,São Paulo,sp,ifood,delivery,C169,7,28,70.48,feijao,proteina,56,54,15.03,32.1,43,1.3,terça,16,chuva,nao,cancelado,
SAB-00090,2025-01-17,São Paulo,SP,ifood,delivery,C52,1,14,"57,21",salada,massa,95,82,15.1,42.33,51,1.3,quinta,11,sol,sim,,
SAB-00091,2025-03-09,São Paulo,sp,app,delivery,C375,6,37,"67,23",lasanha,proteina,75,50,18.37,39.77,18,4.0,sabado,15,nublado,sim,procesado,
SAB-00092,2025-05-20,São Paulo,sp,app,local,C457,2,23,41.93,feijao,proteina,86,67,15.95,39.71,10,2.5,quinta,15,sol,,procesado,
SAB-00093,2025-02-09,São Paulo,sp,ifood,local,C336,3,4,44.74,feijao,acompanhamento,68,51,29.98,86.04,44,2.5,segunda,18,sol,sim,finalizado,
SAB-00094,2025-10-06,São Paulo,SP,ifood,delivery,C35,1,36,62.01,lasanha,acompanhamento,119,96,14.88,33.76,49,4.5,domingo,17,sol,sim,cancelado,
SAB-00095,04-27-2025,São Paulo,SP,app,local,C488,8,3,32.18,lasanha,proteina,79,57,27.3,47.56,50,2.0,quinta,13,chuva,nao,finalizado,
SAB-00096,2025-02-21,São Paulo,sp,ifood,delivery,C14,7,10,42.46,lasanha,proteina,15,7,28.36,44.74,80,4.9,quinta,22,sol,nao,cancelado,
SAB-00097,2025-08-17,São Paulo,SP,ifood,delivery,C380,0,23,58.96,carne_assada,acompanhamento,81,79,7.14,16.16,15,1.7,domingo,15,sol,sim,procesado,
SAB-00098,2025-05-24,São Paulo,SP,ifood,local,C31,5,30,33.1,feijao,massa,77,35,29.5,69.06,77,2.3,quinta,16,chuva,sim,,
SAB-00099,2025-08-03,São Paulo,sp,ifood,local,C421,6,40,26.81,salada,vegetariano,103,26,6.46,13.88,37,3.9,segunda,18,chuva,nao,,
SAB-00100,2025-09-30,São Paulo,sp,local,local,C335,7,54,27.74,salada,massa,21,13,13.04,26.9,32,4.5,quarta,10,chuva,,finalizado,
SAB-00101,2025-08-18,São Paulo,sp,local,local,C443,5,43,23.13,frango_grelhado,massa,54,23,8.72,18.02,88,2.9,quarta,17,sol,sim,cancelado,
SAB-00102,2025-06-17,São Paulo,SP,ifood,local,C131,4,48,"36,8",feijao,massa,94,2,25.17,57.48,74,4.1,quinta,22,chuva,nao,,
SAB-00103,data_invalida,São Paulo,SP,local,delivery,C205,3,48,51.97,carne_assada,vegetariano,43,26,26.16,73.74,87,4.8,sabado,13,chuva,sim,finalizado,
SAB-00104,2025-09-27,São Paulo,SP,ifood,local,C180,2,9,46.95,frango_grelhado,vegetariano,91,19,8.26,14.57,82,2.0,terça,12,nublado,nao,finalizado,
SAB-00105,07-22-2025,São Paulo,SP,local,delivery,C264,2,13,31.8,feijao,proteina,69,29,23.98,36.59,41,3.5,terça,10,chuva,sim,finalizado,
SAB-00106,09/08/2025,São Paulo,SP,app,delivery,C310,4,44,"39,24",frango_grelhado,proteina,26,20,6.48,14.62,51,1.5,sabado,11,nublado,sim,cancelado,
SAB-00107,09-28-2025,São Paulo,SP,local,delivery,C336,6,35,72.65,carne_assada,vegetariano,81,55,18.1,50.74,77,4.4,quarta,19,sol,,cancelado,
SAB-00108,01-10-2025,São Paulo,SP,ifood,delivery,C67,4,48,28.26,carne_assada,proteina,61,61,20.15,35.01,90,1.2,domingo,12,sol,sim,procesado,
SAB-00109,2025-02-27,São Paulo,SP,app,local,C74,3,17,41.3,arroz,vegetariano,44,8,18.01,38.92,79,4.8,domingo,10,chuva,,cancelado,
SAB-00110,2025-09-11,São Paulo,sp,ifood,local,C25,3,5,65.48,salada,vegetariano,45,11,20.42,39.15,26,4.4,domingo,15,chuva,,cancelado,
SAB-00111,02-15-2025,São Paulo,sp,ifood,local,C287,8,1,38.53,carne_assada,proteina,88,84,9.47,17.12,54,3.8,sexta,18,chuva,,cancelado,
SAB-00112,2025-09-24,São Paulo,sp,ifood,delivery,C302,9,6,75.41,salada,vegetariano,92,90,5.48,15.09,65,3.9,segunda,10,nublado,sim,procesado,
SAB-00113,28/07/2025,São Paulo,SP,ifood,local,C129,5,5,49.18,feijao,vegetariano,57,24,8.47,20.78,60,3.3,quinta,13,sol,,procesado,
SAB-00114,2025-01-13,São Paulo,SP,app,delivery,C441,6,52,24.05,lasanha,massa,88,63,24.35,70.62,24,3.4,quinta,20,chuva,nao,cancelado,
SAB-00115,data_invalida,São Paulo,SP,ifood,delivery,C95,4,8,57.53,salada,massa,25,16,26.27,59.52,63,4.7,segunda,16,sol,sim,cancelado,
SAB-00116,2025-03-26,São Paulo,sp,ifood,delivery,C98,8,48,"50,97",feijao,massa,39,7,9.76,23.28,73,4.2,sexta,13,chuva,sim,,
SAB-00117,2025-06-12,São Paulo,sp,ifood,local,C84,3,39,41.7,salada,massa,85,6,29.76,58.04,57,2.3,sexta,17,chuva,,finalizado,
SAB-00118,2025-10-04,São Paulo,SP,app,local,C240,10,3,35.01,lasanha,vegetariano,84,76,22.0,41.3,57,4.0,quinta,15,chuva,nao,,
SAB-00119,16/02/2025,São Paulo,sp,app,delivery,C242,8,57,36.74,frango_grelhado,vegetariano,78,35,21.98,40.46,43,4.9,segunda,14,sol,nao,cancelado,
SAB-00120,03-05-2025,São Paulo,sp,ifood,local,C55,5,41,"65,76",feijao,massa,87,33,15.39,41.56,59,3.7,sexta,14,chuva,,finalizado,
SAB-00121,09-10-2025,São Paulo,SP,ifood,local,C269,10,13,30.86,arroz,massa,77,66,16.34,48.06,90,2.9,domingo,14,sol,nao,,
SAB-00122,2025-09-30,São Paulo,SP,local,local,C410,6,25,47.92,frango_grelhado,vegetariano,59,46,13.8,28.66,54,4.9,terça,20,nublado,sim,cancelado,
SAB-00123,2025-01-17,São Paulo,sp,app,local,C185,5,2,42.16,feijao,massa,85,25,21.98,38.13,34,1.2,segunda,22,sol,nao,cancelado,
SAB-00124,2025-07-27,São Paulo,sp,app,delivery,C128,9,47,53.51,carne_assada,massa,71,3,16.64,41.34,90,1.0,quinta,12,chuva,nao,cancelado,
SAB-00125,2025-10-08,São Paulo,sp,ifood,local,C151,4,54,56.96,feijao,acompanhamento,34,3,7.89,17.37,68,1.5,quarta,13,sol,sim,,
SAB-00126,2025-09-10,São Paulo,SP,local,delivery,C85,3,18,70.01,salada,acompanhamento,46,30,9.39,14.32,66,4.3,sexta,18,nublado,nao,cancelado,
SAB-00127,2025-05-14,São Paulo,sp,local,delivery,C239,8,59,72.9,frango_grelhado,acompanhamento,33,2,19.69,32.6,89,4.1,quinta,20,sol,nao,,
SAB-00128,24/07/2025,São Paulo,sp,local,local,C116,1,28,60.68,lasanha,proteina,119,37,25.57,52.52,86,3.9,quarta,13,nublado,,procesado,
SAB-00129,2025-03-02,São Paulo,sp,local,local,C76,4,40,"56,87",lasanha,acompanhamento,22,14,6.7,15.52,42,4.6,sexta,18,sol,nao,procesado,
SAB-00130,2025-09-29,São Paulo,sp,app,local,C126,5,25,"69,13",carne_assada,massa,70,44,7.07,15.33,75,2.2,segunda,20,nublado,,cancelado,
SAB-00131,2025-10-03,São Paulo,sp,app,delivery,C496,1,30,77.77,salada,massa,36,8,7.14,14.22,60,1.3,terça,15,chuva,,cancelado,
SAB-00132,2025-04-07,São Paulo,SP,app,delivery,C437,9,19,32.35,carne_assada,vegetariano,94,71,11.4,34.16,79,2.0,sexta,12,sol,nao,,
SAB-00133,2025-05-10,São Paulo,sp,ifood,delivery,C381,1,52,42.91,feijao,acompanhamento,19,13,25.89,63.69,57,3.1,quinta,13,nublado,nao,procesado,
SAB-00134,data_invalida,São Paulo,sp,local,local,C310,3,23,"43,24",arroz,vegetariano,100,58,6.08,16.88,25,4.7,terça,10,nublado,sim,finalizado,
SAB-00135,2025-07-24,São Paulo,SP,app,local,C113,5,15,"51,35",carne_assada,vegetariano,52,52,11.76,18.26,83,2.4,sabado,14,nublado,nao,procesado,
SAB-00136,03/07/2025,São Paulo,sp,app,delivery,C452,4,46,61.23,salada,acompanhamento,30,2,22.36,46.31,87,4.6,quinta,11,chuva,nao,procesado,
SAB-00137,2025-06-06,São Paulo,SP,app,local,C197,12,30,27.13,arroz,vegetariano,105,38,11.24,23.58,83,3.3,terça,19,nublado,nao,finalizado,
SAB-00138,2025-07-25,São Paulo,SP,local,delivery,C472,1,54,"67,25",carne_assada,massa,67,28,27.01,58.82,46,3.2,quinta,15,chuva,nao,,
SAB-00139,22/09/2025,São Paulo,SP,ifood,delivery,C372,2,1,68.43,frango_grelhado,massa,14,3,12.79,34.63,82,3.1,segunda,15,chuva,nao,cancelado,
SAB-00140,06-27-2025,São Paulo,sp,app,delivery,C475,10,35,47.99,lasanha,vegetariano,52,9,24.98,72.61,39,2.2,quinta,19,nublado,nao,,
SAB-00141,10-23-2025,São Paulo,sp,app,local,C66,4,43,23.02,frango_grelhado,massa,75,8,27.28,56.37,84,2.1,quarta,21,chuva,,procesado,
SAB-00142,2025-01-23,São Paulo,sp,app,delivery,C227,2,45,53.69,lasanha,vegetariano,46,4,19.06,34.55,13,3.3,sabado,20,sol,,procesado,
SAB-00143,2025-10-26,São Paulo,sp,ifood,delivery,C363,1,5,"56,59",salada,massa,23,20,6.44,17.73,84,3.8,sabado,22,nublado,,,
SAB-00144,data_invalida,São Paulo,sp,ifood,delivery,C215,5,40,53.51,arroz,proteina,38,16,29.28,57.06,39,4.3,segunda,14,sol,,finalizado,
SAB-00145,2025-05-04,São Paulo,sp,local,delivery,C51,10,42,"66,92",salada,massa,66,47,21.08,33.39,39,3.5,quarta,11,sol,sim,finalizado,
SAB-00146,06/03/2025,São Paulo,SP,ifood,local,C447,2,45,62.62,arroz,massa,50,1,26.48,66.74,45,3.3,quinta,16,chuva,,procesado,
SAB-00147,2025-01-07,São Paulo,sp,ifood,local,C369,5,17,42.78,arroz,proteina,40,8,28.64,85.72,22,1.3,segunda,14,nublado,nao,finalizado,
SAB-00148,10-04-2025,São Paulo,sp,ifood,local,C445,3,2,48.09,lasanha,massa,102,0,6.46,14.57,22,3.3,domingo,10,nublado,,finalizado,
SAB-00149,2025-10-15,São Paulo,sp,ifood,delivery,C371,3,17,67.89,arroz,acompanhamento,64,15,16.49,41.78,33,4.4,quarta,17,chuva,sim,finalizado,
SAB-00150,2025-03-27,São Paulo,sp,ifood,delivery,C341,8,24,46.09,arroz,vegetariano,90,58,21.93,44.1,70,2.0,quinta,15,chuva,nao,procesado,
SAB-00151,2025-06-29,São Paulo,SP,ifood,local,C483,0,8,"31,63",frango_grelhado,acompanhamento,30,17,29.94,77.37,59,3.0,quinta,10,nublado,,procesado,
SAB-00152,2025-02-26,São Paulo,SP,ifood,local,C340,4,4,39.93,carne_assada,acompanhamento,88,28,13.43,27.76,10,1.8,quinta,11,chuva,sim,finalizado,
SAB-00153,2025-06-13,São Paulo,SP,ifood,local,C95,0,12,48.35,carne_assada,acompanhamento,35,8,29.06,59.57,11,1.9,quarta,20,chuva,nao,cancelado,
SAB-00154,2025-01-25,São Paulo,sp,ifood,delivery,C327,5,5,28.61,carne_assada,vegetariano,100,5,16.49,48.91,20,4.8,quinta,20,chuva,,finalizado,
SAB-00155,data_invalida,São Paulo,sp,ifood,delivery,C36,3,8,21.77,carne_assada,massa,95,62,8.2,13.11,22,1.8,quinta,20,nublado,nao,cancelado,
SAB-00156,2025-05-22,São Paulo,SP,app,local,C155,4,0,36.22,feijao,acompanhamento,49,20,24.68,62.07,48,3.7,domingo,11,nublado,sim,cancelado,
SAB-00157,2025-04-09,São Paulo,SP,ifood,delivery,C161,5,17,60.11,frango_grelhado,proteina,112,9,25.47,38.84,16,1.0,domingo,14,sol,sim,,
SAB-00158,2025-08-10,São Paulo,SP,app,delivery,C134,4,32,77.34,lasanha,vegetariano,69,6,6.49,13.09,27,3.5,quarta,13,nublado,,cancelado,
SAB-00159,2025-06-10,São Paulo,SP,ifood,local,C294,4,49,"44,68",frango_grelhado,proteina,89,40,28.92,58.84,72,4.0,sexta,20,sol,,,
SAB-00160,2025-02-13,São Paulo,sp,app,delivery,C497,4,2,"21,2",feijao,proteina,58,37,6.37,17.75,79,2.8,segunda,13,chuva,nao,,
