registro_id,data,ativo,setor,preco,volume,pl,roe,dy,volatilidade,perfil_usuario,rentabilidade_usuario,benchmark_ibov,taxa_operacao,recomendacao_ia,status_operacao,observacao
INV-00018,2025-05-03,VALE3,mineracao,47.77,347731,35.26,17.32,1.18,3.07,moderado,1.54,3.6,3.59,manter,pendente,
INV-00019,2025-04-29,BBDC4,varejo,88.6,276304,26.32,26.51,4.12,2.75,moderado,12.37,-1.24,2.13,venda,procesado,
INV-00020,2025-09-26,ITUB4,industria,39.75,92108,32.41,7.46,4.01,2.41,conservador,16.73,-6.21,2.54,compra,cancelado,
INV-00021,2025-03-03,WEGE3,energia,"132,06",406313,39.65,8.55,6.66,2.42,conservador,14.24,0.02,2.87,comprar,executado,
INV-00022,2025-09-27,ABEV3,industria,37.99,180349,12.68,24.58,1.96,1.94,moderado,24.38,4.84,2.62,comprar,executado,
INV-00023,2025-01-01,BBDC4,banco,"172,16",49066,30.17,11.55,7.84,4.97,moderado,-18.77,8.09,1.74,vend,cancelado,
INV-00024,2025-08-03,ABEV3,banco,117.12,163695,24.0,28.78,0.94,4.28,conservador,-12.34,6.4,0.52,venda,cancelado,
INV-00025,2025-09-27,ITUB4,mineracao,140.26,9999999,37.84,10.56,9.99,1.63,conservador,12.06,-8.68,4.84,venda,procesado,OUTLIER volume
INV-00026,2025-07-07,ABEV3,banco,125.98,73573,5.29,24.95,9.16,1.45,conservador,-17.05,-1.02,0.69,manter,cancelado,
INV-00027,2025-01-08,BBDC4,mineracao,66.46,317442,17.22,11.21,6.16,1.87,conservador,19.12,3.96,2.83,venda,executado,
INV-00028,data_invalida,MGLU3,mineracao,122.12,218113,18.76,24.97,5.94,3.44,conservador,13.29,13.15,0.48,manter,pendente,
INV-00029,2025-04-27,VALE3,banco,21.88,157033,19.98,28.84,5.49,4.79,agressivo,5.96,-6.14,0.92,comprar,procesado,
INV-00030,03/01/2025,VALE3,energia,23.62,188084,18.85,24.89,1.08,2.71,agressivo,2.15,12.5,3.1,compra,procesado,
INV-00031,2025-08-30,WEGE3,industria,129.29,434586,11.51,15.58,1.79,3.87,conservador,14.58,-7.12,0.79,venda,pendente,
INV-00032,2025-09-28,WEGE3,varejo,168.51,164114,18.47,20.73,1.26,4.09,conservador,-10.5,-6.24,1.71,venda,cancelado,
INV-00033,2025-03-19,WEGE3,varejo,168.45,29449,21.08,8.35,7.13,2.61,agressivo,19.42,7.56,2.16,comprar,pendente,
INV-00034,2025-08-23,ABEV3,mineracao,130.14,353902,14.79,17.07,3.62,0.61,conservador,-18.78,12.77,2.73,compra,procesado,
INV-00035,2025-08-29,ABEV3,varejo,"107,92",74254,17.85,8.72,5.44,0.58,conservador,4.7,-0.2,1.85,compra,pendente,
INV-00036,2025-10-07,VALE3,energia,161.16,485815,18.39,13.07,9.13,2.15,conservador,17.02,3.03,4.32,vend,cancelado,
INV-00037,2025-06-01,WEGE3,mineracao,"154,3",62737,27.51,24.76,5.78,2.52,moderado,0.79,2.37,4.36,comprar,cancelado,
INV-00038,07/04/2025,ABEV3,industria,58.73,447775,33.99,19.37,4.57,1.49,moderado,-19.76,-5.55,2.35,vend,procesado,
INV-00039,2025-10-08,WEGE3,banco,155.09,125892,25.51,22.86,1.65,4.74,conservador,-2.34,-9.38,1.38,compra,pendente,
INV-00040,2025-03-03,BBDC4,mineracao,21.81,357106,35.82,20.25,0.12,4.18,conservador,-99.99,-7.53,2.13,manter,cancelado,OUTLIER perda extrema
INV-00041,2025-06-05,ITUB4,banco,"119,07",219429,37.97,10.16,4.63,3.82,conservador,8.18,10.35,1.97,compra,pendente,
INV-00042,2025-07-17,MGLU3,mineracao,15.65,89950,33.08,11.5,6.58,3.97,conservador,-14.07,-9.84,4.47,vend,pendente,
INV-00043,25/02/2025,PETR4,energia,108.93,447735,22.68,13.93,0.11,1.92,conservador,-9.68,-1.13,4.93,vend,procesado,
INV-00044,2025-04-11,MGLU3,banco,"43,08",322436,22.1,27.66,4.26,2.61,conservador,1.88,3.73,1.21,manter,cancelado,
INV-00045,02/06/2025,MGLU3,energia,115.93,124588,29.08,12.22,2.38,4.14,conservador,9.83,-8.05,4.18,manter,procesado,
INV-00046,2025-02-19,ITUB4,industria,167.24,47955,34.75,5.78,4.81,3.17,conservador,-4.87,-4.69,2.65,compra,cancelado,
INV-00047,2025-09-19,VALE3,industria,166.28,476778,15.57,8.13,0.01,4.44,conservador,-5.29,7.57,1.47,venda,cancelado,
INV-00048,02-08-2025,ABEV3,energia,142.21,106339,35.31,16.71,5.45,2.37,conservador,-16.77,-3.5,1.04,comprar,cancelado,
INV-00049,10-22-2025,BBDC4,mineracao,117.47,52849,12.67,19.32,4.69,2.52,conservador,17.67,-3.04,0.38,manter,executado,
INV-00050,2025-03-20,PETR4,mineracao,108.42,368340,13.13,16.97,7.27,2.89,moderado,-3.18,13.35,3.68,venda,procesado,
INV-00051,2025-03-04,ITUB4,industria,"16,69",425161,26.41,20.61,9.35,4.46,conservador,-11.33,13.21,4.99,vend,procesado,
INV-00052,2025-09-04,PETR4,banco,47.47,494289,38.31,18.29,7.28,2.24,moderado,20.18,-3.81,4.03,vend,cancelado,
INV-00053,2025-03-17,VALE3,varejo,92.83,50810,16.29,27.13,8.27,1.46,moderado,-17.37,-3.87,1.15,manter,cancelado,
INV-00054,2025-07-13,BBDC4,banco,90.39,480233,24.08,24.17,3.07,2.84,moderado,-11.42,6.79,0.84,comprar,executado,
INV-00055,2025-02-02,ITUB4,banco,185.34,179200,27.4,24.5,4.01,4.5,conservador,-15.29,-2.52,25.00,vend,procesado,OUTLIER taxa alta
INV-00056,10-02-2025,MGLU3,varejo,16.55,234748,36.93,16.37,5.69,4.73,conservador,17.01,-7.62,2.53,comprar,executado,
INV-00057,2025-06-02,ABEV3,mineracao,195.08,119737,37.79,22.39,3.51,2.32,conservador,18.35,5.75,3.97,venda,pendente,
INV-00058,2025-10-03,ITUB4,banco,82.84,150720,39.06,16.67,7.42,4.78,agressivo,20.94,3.24,0.08,vend,executado,
INV-00059,29/01/2025,VALE3,mineracao,17.42,66516,26.5,6.35,5.37,2.1,moderado,10.8,-8.85,0.53,vend,cancelado,
INV-00060,2025-08-25,BBDC4,energia,"75,03",205031,32.71,22.86,6.15,0.89,conservador,10.61,-2.46,0.65,comprar,pendente,
INV-00061,2025-02-24,ITUB4,energia,8.54,2772,20.2,12.21,9.34,3.78,conservador,22.41,-8.25,2.71,comprar,cancelado,
INV-00062,12/09/2025,WEGE3,banco,116.17,46847,18.29,8.67,4.51,4.9,conservador,-5.31,1.6,2.42,vend,executado,
INV-00063,data_invalida,BBDC4,industria,190.98,304141,14.04,7.93,4.14,4.66,agressivo,-14.7,9.0,3.68,venda,cancelado,
INV-00064,2025-09-26,PETR4,mineracao,127.55,188387,30.4,6.05,5.31,3.74,moderado,8.26,9.5,1.41,comprar,executado,
INV-00065,2025-07-11,MGLU3,energia,161.17,420121,12.3,24.63,7.83,4.91,moderado,7.18,-2.94,4.42,vend,pendente,
INV-00066,2025-09-15,BBDC4,industria,137.27,434736,11.21,17.85,2.92,1.85,conservador,-2.34,1.29,4.64,manter,cancelado,
INV-00067,2025-04-12,VALE3,varejo,191.38,231088,29.31,25.48,6.12,3.05,conservador,15.13,4.04,4.2,compra,procesado,
INV-00068,2025-08-06,ITUB4,mineracao,8.7,56301,29.1,6.67,4.34,4.17,conservador,17.16,5.78,2.35,vend,cancelado,
INV-00069,2025-10-08,WEGE3,banco,144.54,140404,5.53,12.49,9.58,2.3,agressivo,12.3,5.29,4.74,vend,procesado,
INV-00070,2025-10-11,MGLU3,varejo,190.71,82381,10.48,26.9,2.02,20.00,moderado,14.84,-5.91,1.97,vend,cancelado,OUTLIER volatilidade
INV-00071,data_invalida,PETR4,energia,38.5,232053,13.36,19.0,1.59,1.53,agressivo,20.19,-9.04,2.54,manter,procesado,
INV-00072,02-27-2025,WEGE3,mineracao,166.35,110760,5.3,11.44,7.15,1.9,moderado,1.87,-2.02,3.21,venda,executado,
INV-00073,2025-05-01,ABEV3,varejo,"181,12",294651,14.29,10.07,7.27,4.7,moderado,17.63,-2.93,3.68,vend,executado,
INV-00074,2025-01-10,ITUB4,banco,123.12,208674,23.27,19.21,8.99,3.55,moderado,23.14,-1.92,4.09,vend,procesado,
INV-00075,2025-05-07,WEGE3,energia,98.88,221640,18.88,17.44,0.07,3.44,moderado,15.05,-3.22,3.6,comprar,procesado,
INV-00076,2025-09-25,ITUB4,industria,62.43,465937,16.8,28.14,7.58,3.65,conservador,13.68,11.12,2.86,vend,procesado,
INV-00077,07/08/2025,VALE3,banco,25.69,401376,10.65,8.97,6.77,1.0,conservador,-2.98,-2.6,1.41,manter,procesado,
INV-00078,2025-02-27,ITUB4,mineracao,69.73,441738,30.73,6.05,3.53,0.8,conservador,-11.83,-5.29,3.98,venda,procesado,
INV-00079,2025-04-19,ITUB4,banco,121.86,79825,11.76,10.48,9.27,2.2,agressivo,16.7,0.32,4.48,manter,pendente,
INV-00080,2025-01-04,PETR4,varejo,68.44,244938,25.32,16.04,0.34,0.64,agressivo,-9.64,-1.74,1.8,comprar,executado,
INV-00081,2025-06-28,BBDC4,mineracao,122.52,370602,15.26,15.48,1.64,4.38,moderado,8.83,6.59,0.64,vend,cancelado,
INV-00082,2025-06-08,ABEV3,varejo,102.16,421956,24.18,13.9,0.79,2.56,conservador,-0.81,-2.59,3.91,vend,cancelado,
INV-00083,01/09/2025,PETR4,banco,162.78,442805,19.36,29.4,4.36,0.51,agressivo,-13.96,-4.28,0.91,comprar,executado,
INV-00084,2025-02-13,ABEV3,mineracao,"21,41",194577,34.69,29.04,1.8,1.69,agressivo,20.89,8.76,4.39,venda,executado,
INV-00085,17/06/2025,ITUB4,banco,157.44,415444,6.04,20.03,2.98,4.63,moderado,14.92,-0.25,0.43,compra,procesado,
INV-00086,01-14-2025,PETR4,mineracao,"61,59",493649,36.78,13.16,6.85,3.66,conservador,5.2,-2.36,0.04,vend,procesado,
INV-00087,2025-04-13,ITUB4,energia,61.87,61502,36.11,23.58,5.67,4.47,conservador,11.43,-5.69,3.26,comprar,pendente,
INV-00088,2025-01-04,ABEV3,energia,45.51,282078,23.56,25.72,6.43,2.77,conservador,-3.59,-5.39,1.85,vend,executado,
INV-00089,2025-08-23,ITUB4,energia,136.06,480165,10.84,27.28,9.2,3.49,conservador,0.94,3.03,3.07,vend,cancelado,
INV-00090,2025-03-12,ITUB4,mineracao,160.59,134001,33.27,11.79,7.68,2.51,conservador,-4.36,8.61,2.06,compra,executado,
INV-00091,2025-04-28,ITUB4,banco,36.17,8613,6.66,16.67,8.45,2.75,conservador,-16.23,-0.39,2.6,venda,pendente,
INV-00092,2025-06-05,PETR4,varejo,128.17,346738,22.59,11.46,7.1,1.47,conservador,-5.08,4.64,1.0,manter,procesado,
INV-00093,08/08/2025,MGLU3,mineracao,125.74,363193,14.08,24.47,0.6,2.84,conservador,-8.49,1.7,2.58,compra,pendente,
INV-00094,2025-09-24,MGLU3,industria,113.96,61751,38.77,11.12,9.79,4.84,moderado,-6.54,12.98,4.41,vend,cancelado,
INV-00095,03-07-2025,ABEV3,industria,"64,35",240782,11.05,14.94,6.57,4.11,conservador,-18.69,3.28,0.67,compra,procesado,
INV-00096,2025-01-04,BBDC4,mineracao,71.13,162341,36.34,20.24,5.39,4.31,conservador,7.68,-5.28,3.71,manter,procesado,
INV-00097,2025-01-10,ITUB4,industria,107.09,58727,27.92,8.48,0.67,4.93,conservador,-10.54,14.4,4.69,compra,cancelado,
INV-00098,05/01/2025,BBDC4,industria,127.3,498180,31.48,5.95,4.03,1.09,moderado,-17.25,9.1,2.37,compra,pendente,
INV-00099,2025-07-09,ITUB4,energia,100.16,315556,34.4,12.75,2.84,4.64,conservador,2.66,1.79,3.42,compra,procesado,
INV-00100,2025-06-05,MGLU3,varejo,141.54,76163,28.74,28.64,5.85,3.07,conservador,2.42,-4.16,0.69,comprar,executado,
INV-00101,2025-06-20,MGLU3,energia,73.74,244305,22.72,26.98,3.43,4.76,moderado,-14.13,0.9,0.89,vend,pendente,
INV-00102,04-27-2025,PETR4,varejo,180.33,218977,36.08,15.68,1.18,4.13,conservador,22.45,13.69,3.68,comprar,procesado,
INV-00103,data_invalida,PETR4,industria,"38,36",46667,18.07,9.95,5.25,4.87,moderado,23.86,5.36,3.08,vend,executado,
INV-00104,2025-01-02,BBDC4,industria,105.13,235273,17.27,5.67,7.29,0.7,conservador,0.68,-0.64,4.68,compra,pendente,
INV-00105,2025-06-28,PETR4,banco,92.42,41448,23.89,9.98,0.26,2.89,conservador,-7.33,11.82,0.49,compra,procesado,
INV-00106,2025-07-20,ABEV3,varejo,57.46,68453,23.9,9.03,2.42,3.16,moderado,6.86,7.28,4.44,vend,procesado,
INV-00107,02/05/2025,WEGE3,industria,90.69,28025,12.75,16.7,1.39,4.01,conservador,1.41,14.59,1.1,manter,cancelado,
INV-00108,2025-10-24,MGLU3,industria,96.92,96328,38.5,21.69,8.98,1.7,agressivo,-5.47,7.78,1.43,vend,cancelado,
INV-00109,2025-09-21,WEGE3,banco,173.62,477131,5.29,13.84,2.02,1.58,conservador,9.57,-0.96,4.78,comprar,executado,
INV-00110,14/07/2025,VALE3,energia,178.46,97363,37.26,5.66,8.0,0.7,conservador,-4.67,-6.22,1.56,manter,cancelado,
INV-00111,2025-04-01,MGLU3,industria,62.7,112096,31.77,17.24,4.58,1.86,conservador,-0.61,-1.32,2.8,manter,executado,
INV-00112,10-25-2025,PETR4,industria,43.19,266931,25.92,14.52,7.38,2.58,conservador,-19.36,0.57,1.44,manter,pendente,
INV-00113,2025-05-24,VALE3,mineracao,56.7,51656,15.78,17.7,1.27,4.11,moderado,-1.04,9.06,2.0,compra,procesado,
INV-00114,2025-04-05,PETR4,energia,62.02,248087,31.8,9.82,8.01,2.84,conservador,-7.7,1.73,1.61,manter,cancelado,
INV-00115,30/05/2025,ABEV3,mineracao,"109,93",449868,21.16,12.16,7.8,3.06,moderado,-13.19,-5.94,4.53,venda,pendente,
INV-00116,2025-09-11,WEGE3,industria,134.56,414584,28.41,28.2,4.98,1.62,moderado,-5.05,13.05,0.97,compra,executado,
INV-00117,2025-07-09,MGLU3,energia,35.27,7629,11.37,19.16,5.17,2.91,agressivo,19.73,7.98,1.88,manter,cancelado,
INV-00118,2025-10-10,PETR4,varejo,40.22,41162,26.44,23.41,4.7,0.97,conservador,-3.0,-7.46,3.62,compra,cancelado,
INV-00119,2025-01-20,BBDC4,energia,170.83,77995,11.46,27.45,1.37,1.39,conservador,-5.99,6.21,2.88,vend,procesado,
INV-00120,2025-07-17,WEGE3,industria,"147,01",457078,36.89,10.44,0.78,2.06,conservador,-6.51,-2.38,4.77,compra,pendente,
INV-00121,2025-02-26,WEGE3,mineracao,77.12,46033,18.41,15.61,4.92,1.14,conservador,-14.14,3.78,3.64,compra,procesado,
INV-00122,2025-07-06,BBDC4,banco,112.89,358552,31.56,29.23,7.15,3.34,conservador,-16.78,4.6,1.29,comprar,procesado,
INV-00123,2025-03-24,VALE3,varejo,165.15,365349,12.39,18.69,6.21,4.31,conservador,-11.46,-2.51,2.76,manter,cancelado,
INV-00124,2025-03-30,VALE3,banco,"122,37",333671,23.7,9.74,2.31,3.7,conservador,18.61,13.13,4.62,compra,procesado,
INV-00125,2025-03-03,WEGE3,banco,188.68,363307,39.71,5.57,10.0,0.59,conservador,4.16,12.63,1.92,comprar,executado,
INV-00126,04-17-2025,ABEV3,varejo,"186,65",271842,21.72,14.18,2.37,1.04,conservador,13.65,1.2,4.85,venda,executado,
INV-00127,2025-04-14,PETR4,banco,177.62,161356,17.3,13.15,3.51,4.66,moderado,-9.13,14.33,3.2,comprar,cancelado,
INV-00128,2025-03-08,VALE3,varejo,"132,26",74267,10.7,13.64,6.66,3.1,agressivo,15.07,8.52,2.12,manter,procesado,
INV-00129,08-04-2025,VALE3,mineracao,19.75,101164,22.27,28.57,7.25,2.4,conservador,-13.01,7.61,2.84,venda,procesado,
INV-00130,2025-06-01,PETR4,industria,41.83,295107,31.06,22.81,1.18,2.79,moderado,-13.04,-8.54,1.48,venda,cancelado,
INV-00131,2025-07-08,PETR4,banco,153.56,51878,13.68,16.19,0.45,0.85,conservador,11.72,4.16,2.61,comprar,executado,
INV-00132,2025-02-17,ITUB4,industria,118.32,10667,9.72,9.75,3.95,1.86,conservador,15.26,-4.49,3.29,manter,cancelado,
INV-00133,2025-05-26,VALE3,industria,153.9,171263,22.88,9.88,3.16,4.34,conservador,5.5,4.99,2.24,compra,cancelado,
INV-00134,2025-02-16,BBDC4,mineracao,199.34,252907,29.71,26.3,7.03,0.51,moderado,-2.02,-6.75,1.41,venda,executado,
INV-00135,2025-07-27,VALE3,varejo,29.02,461921,14.37,20.81,4.96,2.16,moderado,21.58,13.48,1.42,comprar,procesado,
INV-00136,2025-04-24,PETR4,varejo,17.33,143331,24.94,27.09,2.35,3.7,agressivo,-16.44,13.96,2.23,compra,pendente,
INV-00137,2025-04-12,ITUB4,industria,106.46,352276,18.32,6.42,4.46,2.99,moderado,9.56,4.65,0.68,vend,executado,
INV-00138,11/06/2025,PETR4,industria,"57,16",282510,17.32,15.31,9.14,4.8,moderado,-2.45,14.1,0.49,vend,pendente,
INV-00139,2025-08-12,ABEV3,varejo,"99,85",9542,37.36,24.05,1.85,3.14,moderado,10.18,-9.2,1.0,compra,cancelado,
INV-00140,08-07-2025,ITUB4,mineracao,71.83,139336,30.35,28.55,5.08,4.68,conservador,5.15,14.67,4.89,venda,executado,
INV-00141,09-28-2025,ABEV3,industria,11.63,145542,9.6,22.01,1.85,2.99,conservador,-6.44,6.44,0.05,comprar,cancelado,
INV-00142,2025-08-14,BBDC4,industria,77.22,461522,29.72,21.63,0.21,0.59,agressivo,13.85,13.97,1.31,venda,cancelado,
INV-00143,05-28-2025,BBDC4,banco,17.29,87320,13.63,26.49,1.83,4.03,conservador,-7.41,14.75,3.51,venda,cancelado,
INV-00144,2025-05-02,ABEV3,industria,31.56,36683,10.09,5.4,5.96,2.2,agressivo,23.6,-2.92,2.46,vend,pendente,
INV-00145,2025-04-02,PETR4,varejo,106.94,343987,35.54,5.01,5.27,4.78,conservador,15.06,-3.1,0.76,venda,executado,
INV-00146,2025-09-09,ITUB4,energia,"116,18",212993,17.89,26.24,4.25,4.09,conservador,-16.47,13.59,3.34,vend,pendente,
INV-00147,2025-08-28,ABEV3,banco,197.25,97237,10.67,22.05,5.38,4.05,moderado,-11.28,-5.29,4.27,comprar,pendente,
INV-00148,2025-08-25,ABEV3,energia,25.13,182001,9.3,25.33,1.79,4.55,conservador,-14.44,-3.48,4.32,comprar,cancelado,
INV-00149,2025-10-03,BBDC4,mineracao,111.6,319568,19.79,10.6,7.31,2.26,moderado,-14.64,-6.52,4.14,venda,procesado,
INV-00150,2025-04-25,VALE3,mineracao,149.88,236570,8.51,19.1,9.49,3.43,moderado,17.25,13.44,1.74,compra,pendente,
INV-00151,2025-05-24,ABEV3,energia,"140,64",36785,10.38,23.07,2.46,2.65,conservador,-5.32,-0.39,2.48,compra,cancelado,
INV-00152,2025-08-28,ITUB4,varejo,7.55,97161,34.79,13.67,5.11,0.61,conservador,5.04,6.32,1.71,venda,executado,
INV-00153,2025-09-19,WEGE3,varejo,"196,7",200476,37.66,17.45,1.36,2.94,agressivo,1.91,-1.44,0.21,vend,cancelado,
INV-00154,2025-09-27,VALE3,varejo,130.73,371824,26.16,14.83,4.5,3.42,conservador,24.96,-2.7,2.5,compra,procesado,
INV-00155,2025-02-19,PETR4,varejo,176.18,33080,19.77,15.66,8.69,3.91,conservador,-3.81,9.68,2.11,manter,procesado,
INV-00156,2025-08-29,ITUB4,mineracao,8.86,159627,17.82,23.47,3.95,3.62,agressivo,-17.24,-4.69,3.08,vend,executado,
INV-00157,2025-03-15,PETR4,varejo,73.9,421878,36.68,11.44,2.3,2.57,conservador,14.69,6.44,2.52,manter,executado,
INV-00158,14/02/2025,WEGE3,varejo,191.38,127928,29.4,28.48,5.48,4.53,conservador,-18.16,12.7,4.02,compra,procesado,
INV-00159,2025-04-26,WEGE3,varejo,88.51,200778,35.19,19.38,4.48,3.04,moderado,11.18,3.14,1.81,venda,pendente,
INV-00160,2025-06-05,WEGE3,banco,158.93,463311,15.2,25.56,7.63,1.45,conservador,-1.55,-5.25,3.39,manter,procesado,
INV-00161,2025-01-26,WEGE3,industria,191.0,357811,12.02,15.51,8.85,2.15,moderado,7.58,1.15,3.07,manter,pendente,
INV-00162,01-28-2025,WEGE3,mineracao,73.19,458125,7.72,14.82,1.26,4.18,moderado,24.19,-6.67,2.27,vend,executado,
INV-00163,2025-06-23,WEGE3,mineracao,157.1,368704,32.26,28.92,1.21,4.72,conservador,17.15,12.33,4.79,vend,procesado,
INV-00164,2025-03-06,WEGE3,energia,11.13,430354,25.45,21.26,8.39,2.48,conservador,20.22,11.26,0.46,venda,pendente,
INV-00165,2025-02-22,BBDC4,industria,19.84,360395,37.5,26.24,0.64,0.94,conservador,-9.37,12.45,4.59,compra,executado,
INV-00166,2025-10-26,WEGE3,energia,100.97,6027,17.94,6.7,9.38,0.8,moderado,-8.32,11.2,2.23,venda,pendente,
INV-00167,2025-01-15,MGLU3,banco,101.77,300243,10.25,29.34,9.19,3.34,agressivo,-12.24,-2.92,4.92,comprar,cancelado,
INV-00168,2025-07-05,WEGE3,mineracao,172.85,335676,15.32,24.48,2.96,0.8,moderado,-8.76,14.95,1.19,manter,pendente,
INV-00169,2025-03-16,MGLU3,mineracao,"19,41",18354,30.97,9.63,1.08,1.36,conservador,14.98,-4.82,4.53,compra,pendente,
INV-00170,07-24-2025,WEGE3,energia,"65,75",337835,28.81,5.57,7.24,1.88,conservador,13.46,7.1,4.76,compra,cancelado,
INV-00171,05/01/2025,PETR4,mineracao,67.27,484287,36.35,6.32,1.0,4.61,conservador,18.33,6.93,3.66,venda,procesado,
INV-00172,2025-07-27,BBDC4,energia,92.19,15341,14.14,10.47,8.9,3.16,agressivo,-10.08,10.22,3.7,compra,procesado,
INV-00173,2025-02-10,PETR4,mineracao,26.4,211836,29.98,17.03,1.94,0.58,moderado,22.37,-5.13,4.82,manter,cancelado,
INV-00174,2025-10-21,VALE3,varejo,187.4,14514,35.97,29.86,5.09,3.4,conservador,4.74,8.46,1.5,venda,cancelado,
INV-00175,2025-08-05,ABEV3,mineracao,"31,9",33271,22.67,10.25,6.69,4.08,conservador,-1.87,8.57,2.58,vend,pendente,
INV-00176,2025-09-19,ABEV3,mineracao,19.78,13044,15.36,25.28,9.27,3.18,conservador,24.45,-6.85,3.62,compra,pendente,
INV-00177,2025-06-16,VALE3,banco,"186,47",34906,23.96,8.2,3.61,3.58,agressivo,-5.84,10.7,3.6,venda,cancelado,
INV-00178,2025-09-18,PETR4,mineracao,147.26,295572,23.73,13.63,2.73,3.28,conservador,-1.31,-0.46,0.25,comprar,procesado,
INV-00179,2025-07-12,BBDC4,industria,105.32,32936,25.41,13.34,2.21,4.54,conservador,18.57,-6.99,0.07,compra,pendente,
INV-00180,2025-03-11,WEGE3,energia,"166,86",47867,38.29,27.16,5.17,2.0,moderado,8.27,1.89,0.41,compra,procesado,
INV-00181,2025-07-12,ABEV3,mineracao,147.67,108359,38.28,27.79,4.42,1.97,conservador,-19.47,-2.0,4.19,compra,cancelado,
INV-00182,19/10/2025,MGLU3,banco,113.18,165725,30.45,23.65,5.89,3.13,agressivo,11.93,-3.22,2.94,venda,cancelado,
INV-00183,2025-07-24,ITUB4,mineracao,41.08,20721,27.89,18.15,3.12,2.17,moderado,15.59,-2.59,3.08,venda,cancelado,
INV-00184,2025-02-03,ABEV3,energia,"54,37",310989,35.03,13.61,8.64,4.66,conservador,-18.28,10.57,2.79,compra,pendente,
INV-00185,2025-10-02,ABEV3,banco,31.49,30299,17.79,9.85,7.16,4.1,conservador,5.88,7.05,2.19,compra,executado,
INV-00186,2025-09-23,BBDC4,varejo,64.93,356228,32.79,17.62,8.5,2.31,conservador,-6.64,-2.32,0.75,comprar,cancelado,
INV-00187,data_invalida,ABEV3,industria,77.57,173881,33.34,11.89,5.48,4.53,moderado,15.88,-2.6,2.73,venda,cancelado,
INV-00188,2025-07-02,ABEV3,banco,194.99,338718,7.08,5.42,3.92,4.46,moderado,16.87,-8.23,0.26,manter,procesado,
INV-00189,2025-08-31,MGLU3,varejo,89.98,438361,7.71,22.65,3.31,2.15,conservador,-14.42,2.83,4.17,venda,pendente,
INV-00190,2025-10-26,ABEV3,mineracao,86.43,98338,17.93,11.65,9.69,2.45,moderado,8.99,-1.26,0.02,compra,procesado,
INV-00191,2025-02-07,ABEV3,industria,43.97,49708,10.48,10.47,9.5,3.2,moderado,18.84,-6.41,3.24,manter,cancelado,
INV-00192,2025-08-14,PETR4,industria,40.16,77928,8.1,5.82,2.24,2.24,conservador,-7.67,3.56,1.19,venda,procesado,
INV-00193,2025-01-10,WEGE3,banco,"83,42",88138,35.78,8.83,5.55,2.82,conservador,-11.28,9.78,1.06,vend,cancelado,
