registro_id,data_ocorrencia,cidade,uf,bairro,latitude,longitude,canal_registro,tipo_ocorrencia,tempo_espera_min,tempo_preenchimento_bo_min,atendentes_disponiveis,turno,status_inquerito,tempo_resolucao_dias,bo_online_iniciado,bo_online_concluido,abandono_formulario,avaliacao_atendimento,chamados_190,bo_registrados,prioridade_triagem,status_registro,observacao
DD-00028,2025-09-29,Campinas,sp,Morumbi,-22.980609,-47.127442,presencial,perda_documento,0,30,1,madrugada,aberto,114,sim,sim,nao,3.79,0,0,media,procesado,
DD-00029,2025-03-11,Uberaba,mg,Industrial,-19.801675,-47.859742,app,fraude_online,0,13,4,manha,concluido,40,nao,nao,nao,1.73,3,2,baixa,validado,
DD-00030,2025-04-17,São Paulo,SP,Morumbi,-23.588704,"-46,669962",site,furto,0,18,4,manha,,14,sim,sim,nao,3.19,17,12,urgente,pendente,
DD-00031,2025-04-22,Uberlândia,MG,Morumbi,-18.947861,-48.200509,totem,perda_documento,27,41,3,madrugada,aberto,87,sim,sim,nao,3.87,16,5,media,,
DD-00032,10-16-2025,Uberaba,MG,Universitario,-19.76173,-47.973817,site,fraude on-line,0,20,4,tarde,,49,sim,sim,nao,3.89,0,0,media,procesado,
DD-00033,2025-10-11,São Paulo,SP,Boa Vista,-23.568659,-46.667851,app,roubo_celular,3,23,4,manha,procesado,62,sim,nao,sim,3.52,14,5,alta,procesado,
DD-00034,2025-04-08,Uberaba,MG,Morumbi,"-19,701903",-48.001056,presencial,fraude_online,25,18,3,tarde,arquivado,54,sim,sim,nao,1.45,45,35,baixa,cancelado,
DD-00035,2025-07-01,Curitiba,PR,Industrial,-25.41252,-49.234848,app,ameaca,21,19,3,noite,arquivado,66,sim,sim,nao,5,36,24,media,,
DD-00036,2025-03-02,Campinas,SP,Industrial,-22.826248,-47.131086,app,fraude_online,1,25,3,noite,em_andamento,0,sim,sim,nao,4.01,27,15,baixa,,
DD-00037,2025-04-01,Belo Horizonte,MG,Morumbi,-19.843087,-43.996536,presencial,roubo_celular,26,34,3,manha,arquivado,83,nao,nao,nao,"3,11",12,8,alta,,
DD-00038,2025-10-12,Uberlândia,MG,Planalto,"-18,945428",-48.262961,site,perda_documento,0,12,6,tarde,em_andamento,28,sim,sim,nao,3.45,55,45,media,cancelado,
DD-00039,2025-02-26,Campinas,SP,Centro,-22.888247,-47.139701,app,ameaca,0,22,4,noite,,0,nao,nao,nao,3.3,42,17,baixa,cancelado,
DD-00040,2025-10-24,Uberlândia,MG,Boa Vista,"-18,902537",-48.24078,presencial,furto,60,15,0,manha,,25,nao,nao,nao,2.61,22,16,baixa,cancelado,VALOR INVALIDO nenhum atendente
DD-00041,2025-10-06,Uberlândia,MG,Santa Maria,-18.953873,-48.217951,app,roubo celular,10,18,1,noite,procesado,1,nao,nao,nao,3.45,28,17,urgente,,
DD-00042,2025-10-23,Salvador,BA,Centro,-12.897765,-38.475797,presencial,perda_documento,44,36,6,noite,concluido,0,sim,sim,nao,4.34,38,17,baixa,validado,
DD-00043,2025-01-22,Uberaba,MG,Morumbi,-19.791197,-47.969987,site,perda_documento,1,33,3,manha,aberto,15,sim,sim,nao,"3,54",50,42,media,pendente,
DD-00044,2025-04-17,Belo Horizonte,MG,Jardim America,"-19,953855",-43.863299,site,furto,12,12,3,manha,procesado,88,sim,sim,nao,2.23,59,28,media,validado,
DD-00045,2025-06-06,Uberaba,MG,Centro,-19.80958,-47.979065,app,furto,3,25,9,manha,arquivado,16,sim,sim,nao,5,31,17,baixa,validado,
DD-00046,2025-04-14,campinas,SP,Boa Vista,-22.958817,"-47,118726",presencial,perda_documento,48,2,2,madrugada,,22,sim,nao,sim,"3,33",34,14,baixa,,
DD-00047,2025-01-11,Salvador,BA,Industrial,-12.93491,-38.449402,app,roubo celular,17,7,2,manha,concluido,51,sim,nao,sim,2.99,31,17,baixa,procesado,
DD-00048,2025-03-25,Salvador,BA,Morumbi,-12.999004,-38.441538,app,outros,3,21,7,tarde,arquivado,53,sim,nao,sim,3.67,28,14,media,procesado,
DD-00049,08-05-2025,Curitiba,PR,Santa Maria,-25.389286,-49.257952,presencial,furto,26,16,4,noite,aberto,0,sim,sim,nao,2.91,37,13,media,,
DD-00050,2025-09-02,Belo Horizonte,MG,Jardim America,-19.914432,-43.888408,presencial,roubo_celular,55,37,3,noite,arquivado,68,sim,nao,sim,4.23,5,2,media,validado,
DD-00051,2025-02-07,Belo Horizonte,MG,Planalto,-19.937019,-44.003846,presencial,fraude_online,84,23,1,manha,aberto,73,sim,sim,nao,"3,45",29,13,baixa,cancelado,
DD-00052,2025-07-21,uberaba,MG,Industrial,-19.759574,-47.946701,presencial,ameaca,6,29,2,tarde,,3,nao,nao,nao,3.29,61,48,baixa,cancelado,
DD-00053,2025-04-25,Goiânia,GO,Centro,-16.754731,-49.217939,presencial,furto,105,12,2,tarde,aberto,137,sim,nao,sim,"4,0",53,36,baixa,cancelado,
DD-00054,2025-03-12,belo horizonte,mg,Santa Maria,"-19,9348",-43.864827,app,furto,11,14,6,tarde,aberto,6,sim,sim,nao,3.65,25,19,alta,procesado,
DD-00055,03-06-2025,Uberlândia,MG,Universitario,12.500000,-20.000000,presencial,furto,44,39,6,noite,arquivado,41,sim,sim,nao,3.36,17,15,alta,,COORDENADA FORA DO BRASIL
DD-00056,2025-06-30,uberaba,MG,Morumbi,-19.735069,"-48,00781",site,fraude_online,9,20,5,tarde,procesado,39,sim,sim,nao,5,12,4,media,procesado,
DD-00057,08-24-2025,Uberaba,MG,Industrial,-19.696463,"-47,990677",site,fraude_online,10,20,5,tarde,procesado,26,sim,sim,nao,1.99,54,39,baixa,pendente,
DD-00058,02/09/2025,belo horizonte,MG,Morumbi,-19.958893,-43.882736,presencial,roubo_celular,55,30,1,noite,aberto,0,sim,sim,nao,5,20,9,baixa,validado,
DD-00059,2025-04-19,Campinas,sp,Centro,-22.901628,-47.086773,site,roubo_celular,10,22,4,madrugada,em_andamento,28,nao,nao,nao,2.98,21,11,media,validado,
DD-00060,24/03/2025,Curitiba,PR,Boa Vista,-25.43795,-49.315318,presencial,perda_doc,45,20,3,noite,em_andamento,38,sim,nao,sim,2.64,31,23,baixa,pendente,
DD-00061,2025-05-06,São Paulo,SP,Industrial,-23.472771,"-46,704127",presencial,roubo celular,68,20,3,noite,,26,sim,sim,nao,2.6,0,0,baixa,,
DD-00062,2025-06-21,Uberlândia,mg,Industrial,-18.992045,"-48,260341",site,fraude_online,1,41,1,noite,aberto,57,sim,nao,sim,3.07,52,44,alta,cancelado,
DD-00063,06/03/2025,Salvador,BA,Universitario,-13.038487,-38.457455,presencial,furto,43,4,4,noite,,67,sim,sim,nao,3.5,25,10,media,procesado,
DD-00064,data_invalida,São Paulo,SP,Boa Vista,-23.607906,-46.669088,app,fraude on-line,7,13,4,manha,concluido,44,nao,nao,nao,"3,84",26,12,media,cancelado,
DD-00065,10/08/2025,Goiânia,GO,Centro,"-16,727373","-49,208735",site,furto,10,19,4,noite,concluido,10,sim,nao,sim,1.43,25,16,media,pendente,
DD-00066,2025-07-13,Curitiba,PR,Jardim America,-25.356663,-49.350678,presencial,ameaca,28,10,1,tarde,procesado,0,sim,nao,sim,3.65,8,4,baixa,validado,
DD-00067,10-16-2025,São Paulo,SP,Centro,-23.534254,-46.613956,presencial,furto,25,9,1,noite,aberto,50,nao,nao,nao,3.53,7,5,media,pendente,
DD-00068,data_invalida,Campinas,SP,Morumbi,"-22,851675","-47,069332",presencial,ameaca,65,34,2,madrugada,aberto,62,sim,sim,nao,4.21,22,17,media,pendente,
DD-00069,2025-08-06,Campinas,SP,Planalto,"-22,863589",-47.03897,site,furto,0,19,1,manha,procesado,60,sim,sim,nao,3.35,50,27,media,validado,
DD-00070,06-26-2025,Campinas,SP,Santa Maria,-22.90832,"-47,027534",app,furto,0,46,6,manha,aberto,22,nao,nao,nao,2.53,5000,12,baixa,pendente,OUTLIER discrepancia chamados x BO
DD-00071,02/06/2025,Campinas,SP,Boa Vista,-22.866972,-47.017732,presencial,perda_documento,9,35,4,madrugada,concluido,79,nao,nao,nao,4.93,44,24,baixa,pendente,
DD-00072,2025-01-13,Curitiba,PR,Centro,"-25,444895",-49.324271,app,furto,20,26,5,tarde,,19,nao,nao,nao,"4,16",8,5,baixa,cancelado,
DD-00073,2025-01-12,Salvador,BA,Planalto,-12.933854,"-38,438657",site,furto,2,11,4,tarde,aberto,40,sim,nao,sim,3.78,11,6,baixa,procesado,
DD-00074,03-25-2025,São Paulo,SP,Jardim America,-23.561957,-46.563584,site,roubo_celular,11,23,2,tarde,arquivado,89,sim,sim,nao,3.47,38,27,baixa,cancelado,
DD-00075,2025-10-12,Uberaba,MG,Morumbi,"-19,723888",-47.867732,site,outros,15,28,4,tarde,aberto,88,nao,nao,nao,5,2,1,media,validado,
DD-00076,2025-02-26,Uberlândia,MG,Universitario,-18.952828,-48.215389,presencial,perda_documento,81,10,2,tarde,procesado,64,sim,sim,nao,1.92,40,18,baixa,pendente,
DD-00077,2025-02-13,Goiânia,GO,Jardim America,"-16,701751",-49.307078,totem,furto,38,18,2,manha,aberto,78,sim,nao,sim,4.07,6,4,baixa,,
DD-00078,2025-09-09,Goiânia,GO,Centro,-16.647683,"-49,283857",presencial,furto,87,26,4,tarde,em_andamento,106,sim,sim,nao,"4,67",28,22,alta,pendente,
DD-00079,2025-07-21,campinas,SP,Santa Maria,-22.983776,"-47,08505",site,outros,7,23,3,madrugada,procesado,116,sim,sim,nao,4.4,22,16,baixa,validado,
DD-00080,2025-08-30,Goiânia,GO,Universitario,-16.734233,-49.217773,presencial,furto,0,20,7,manha,concluido,0,sim,nao,sim,"3,65",12,5,baixa,cancelado,
DD-00081,2025-07-08,Campinas,SP,Jardim America,-22.919057,-47.138199,presencial,outros,72,11,6,noite,em_andamento,39,nao,nao,nao,3.76,32,24,alta,procesado,
DD-00082,data_invalida,Salvador,BA,Boa Vista,-12.903372,-38.505751,presencial,furto,18,21,7,noite,arquivado,50,sim,nao,sim,3.56,0,0,baixa,,
DD-00083,24/08/2025,Goiânia,GO,Santa Maria,-16.709826,-49.212639,presencial,roubo_celular,25,27,3,manha,em_andamento,97,sim,sim,nao,3.37,0,0,media,validado,
DD-00084,2025-06-07,Campinas,SP,Santa Maria,-22.890341,"-47,065324",site,furto,18,16,4,manha,arquivado,62,nao,nao,nao,4.14,35,23,baixa,validado,
DD-00085,2025-02-28,Salvador,BA,Morumbi,-13.027125,-38.50167,app,furto,8,20,3,tarde,arquivado,73,nao,nao,nao,9.5,13,5,media,cancelado,VALOR INVALIDO avaliacao fora da escala
DD-00086,2025-07-24,Campinas,SP,Industrial,-22.878075,-47.113441,presencial,roubo_celular,25,21,1,tarde,aberto,28,sim,sim,nao,"3,93",36,30,baixa,validado,
DD-00087,2025-03-10,Campinas,SP,Universitario,-22.83202,-47.024522,presencial,furto,51,28,5,madrugada,,106,sim,nao,sim,5,12,10,baixa,pendente,
DD-00088,2025-03-02,Salvador,BA,Centro,"-13,042834",-38.430111,app,perda_documento,2,15,3,noite,,0,sim,sim,nao,4.9,28,16,media,procesado,
DD-00089,2025-02-20,Goiânia,GO,Universitario,-16.762081,-49.200236,site,fraude_online,1,25,2,madrugada,procesado,86,sim,sim,nao,3.94,22,10,media,validado,
DD-00090,2025-10-18,Campinas,SP,Santa Maria,-22.902386,-47.056162,presencial,outros,50,12,4,tarde,,31,sim,sim,nao,1.28,35,13,media,,
DD-00091,2025-07-22,Curitiba,PR,Jardim America,-25.372734,-49.273752,presencial,outros,0,2,1,madrugada,em_andamento,55,sim,nao,sim,3.35,36,23,baixa,,
DD-00092,2025-04-18,Salvador,BA,Centro,"-12,945124",-38.528385,site,outros,0,12,1,noite,aberto,23,sim,sim,nao,4.27,9,6,media,cancelado,
DD-00093,2025-04-13,Belo Horizonte,MG,Jardim America,-19.880421,-43.8951,presencial,fraude_online,29,29,1,noite,aberto,8,sim,sim,nao,2.73,32,18,baixa,procesado,
DD-00094,data_invalida,São Paulo,SP,Boa Vista,-23.603625,-46.591628,presencial,fraude_online,24,23,1,tarde,arquivado,26,sim,sim,nao,3.1,0,0,baixa,,
DD-00095,2025-09-24,Campinas,sp,Santa Maria,-22.889653,-47.112396,presencial,perda_documento,40,16,4,tarde,arquivado,91,nao,nao,nao,2.06,5,3,baixa,validado,
DD-00096,2025-08-16,Goiânia,GO,Centro,-16.741321,-49.302806,presencial,outros,38,2,8,manha,,9,nao,nao,nao,4.25,38,31,media,pendente,
DD-00097,2025-06-20,Uberlândia,MG,Boa Vista,-18.875122,-48.344329,presencial,roubo_celular,22,12,3,manha,procesado,93,sim,sim,nao,4.04,27,23,media,validado,
DD-00098,29/01/2025,Uberlândia,MG,Santa Maria,-18.928126,-48.339289,presencial,roubo_celular,49,22,3,tarde,aberto,0,sim,sim,nao,"4,66",21,7,media,,
DD-00099,2025-06-07,Goiânia,GO,Universitario,-16.754278,-49.31138,site,fraude_online,19,17,5,tarde,concluido,0,sim,sim,nao,5,2,0,alta,pendente,
DD-00100,07-29-2025,Uberaba,MG,Santa Maria,"-19,70439",-47.929755,site,furto,12,300,2,noite,concluido,49,sim,nao,sim,4.75,35,20,alta,procesado,OUTLIER preenchimento muito longo
DD-00101,2025-08-29,são paulo,SP,Santa Maria,-23.517071,-46.580255,presencial,outros,50,26,5,noite,,107,nao,nao,nao,"2,77",0,0,baixa,cancelado,
DD-00102,2025-02-17,são paulo,SP,Santa Maria,-23.592795,-46.619352,presencial,roubo_celular,41,27,3,tarde,em_andamento,39,sim,sim,nao,4.26,0,0,baixa,cancelado,
DD-00103,2025-03-17,São Paulo,SP,Centro,"-23,601174",-46.655887,presencial,furto,54,28,1,manha,concluido,4,sim,sim,nao,2.92,44,31,media,validado,
DD-00104,07-23-2025,Belo Horizonte,MG,Santa Maria,-19.851685,-43.859582,presencial,roubo_celular,75,4,1,tarde,procesado,21,sim,sim,nao,2.27,11,9,alta,procesado,
DD-00105,2025-04-21,Uberlândia,MG,Santa Maria,-18.876115,-48.339538,site,fraude_online,2,10,5,noite,procesado,16,nao,nao,nao,"2,11",54,23,media,cancelado,
DD-00106,11/05/2025,Goiânia,GO,Industrial,-16.621139,-49.268604,presencial,roubo_celular,19,19,1,noite,arquivado,34,sim,nao,sim,4.65,28,14,baixa,procesado,
DD-00107,2025-08-03,Uberlândia,MG,Santa Maria,-18.991639,-48.333611,site,perda_documento,,30,3,madrugada,procesado,32,sim,sim,nao,2.23,32,25,baixa,cancelado,
DD-00108,2025-03-11,Curitiba,PR,Industrial,"-25,408799",-49.316851,app,outros,5,36,5,manha,arquivado,43,sim,nao,sim,5,33,12,baixa,validado,
DD-00109,data_invalida,salvador,BA,Morumbi,-12.998829,-38.445672,site,perda_documento,0,19,4,manha,,77,sim,sim,nao,2.71,2,0,baixa,,
DD-00110,03/04/2025,Uberlândia,MG,Centro,-18.981275,-48.355389,presencial,roubo_celular,44,18,4,tarde,arquivado,91,sim,sim,nao,2.39,59,28,media,pendente,
DD-00111,2025-03-06,Salvador,BA,Jardim America,-12.946358,-38.581363,presencial,furto,35,14,5,tarde,,10,sim,nao,sim,4.56,13,10,baixa,,
DD-00112,2025-01-04,Curitiba,PR,Planalto,-25.479701,-49.32126,presencial,roubo_celular,29,40,3,tarde,,66,sim,sim,nao,3.48,64,26,baixa,cancelado,
DD-00113,2025-08-08,Salvador,BA,Planalto,-12.903236,-38.461695,site,furto,6,27,6,noite,concluido,61,sim,sim,nao,3.53,17,13,baixa,cancelado,
DD-00114,2025-04-05,Uberlândia,MG,Planalto,"-18,91445",-48.287293,presencial,fraude_online,,27,4,tarde,arquivado,1,sim,sim,nao,4.39,19,13,baixa,procesado,
DD-00115,2025-07-29,Curitiba,pr,Universitario,-25.485962,-49.278013,presencial,furto,0,26,1,tarde,em_andamento,4,nao,nao,nao,3.78,1,0,baixa,validado,
DD-00116,2025-06-24,Uberlândia,MG,Jardim America,"-18,953805","-48,314732",site,roubo_celular,7,30,1,madrugada,procesado,60,nao,nao,nao,5,44,25,baixa,validado,
DD-00117,2025-02-20,Curitiba,PR,Universitario,"-25,415299",-49.276133,presencial,perda_documento,56,31,5,manha,procesado,70,sim,sim,nao,3.19,11,9,baixa,cancelado,
DD-00118,2025-04-26,Uberlândia,MG,Planalto,-18.991666,"-48,222569",presencial,outros,39,19,2,tarde,aberto,56,nao,nao,nao,1.22,3,2,urgente,procesado,
DD-00119,2025-02-22,São Paulo,SP,Jardim America,-23.571964,-46.696279,site,fraude on-line,3,20,3,tarde,em_andamento,0,nao,nao,nao,4.13,27,23,baixa,,
DD-00120,2025-09-17,Salvador,ba,Planalto,-12.942632,-38.533282,site,perda_documento,0,20,4,manha,arquivado,71,sim,sim,nao,5,25,10,alta,validado,
DD-00121,data_invalida,salvador,BA,Santa Maria,-12.923738,"-38,56474",totem,roubo_celular,74,12,6,manha,procesado,11,nao,nao,nao,"3,07",20,13,baixa,validado,
DD-00122,2025-06-22,Belo Horizonte,MG,Centro,-19.89157,-43.909045,app,perda_doc,0,28,1,tarde,em_andamento,3,sim,sim,nao,3.3,21,7,alta,procesado,
DD-00123,data_invalida,Belo Horizonte,MG,Boa Vista,-19.846685,-43.915683,presencial,perda_documento,7,28,4,tarde,concluido,74,nao,nao,nao,1.87,68,24,baixa,validado,
DD-00124,2025-04-13,Uberaba,MG,Santa Maria,-19.697264,-47.89113,app,fraude_online,14,2,2,noite,em_andamento,62,sim,sim,nao,1.65,31,11,media,cancelado,
DD-00125,2025-06-17,Uberaba,MG,Boa Vista,-19.730805,-47.898683,presencial,furto,66,11,2,madrugada,arquivado,10,nao,nao,nao,3.32,13,6,baixa,procesado,
DD-00126,2025-04-20,Curitiba,PR,Santa Maria,-25.42522,-49.285606,presencial,perda_documento,15,31,3,noite,em_andamento,63,sim,nao,sim,3.04,36,17,media,cancelado,
DD-00127,2025-08-27,Goiânia,GO,Boa Vista,-16.741269,-49.335314,presencial,fraude_online,34,19,5,noite,concluido,86,nao,nao,nao,2.15,21,13,media,,
DD-00128,2025-08-07,São Paulo,SP,Jardim America,"-23,515365","-46,68012",presencial,furto,36,16,4,tarde,concluido,48,sim,sim,nao,3.22,29,22,baixa,cancelado,
DD-00129,2025-06-13,Curitiba,PR,Industrial,-25.46854,-49.220472,site,fraude_online,13,14,2,noite,concluido,77,sim,nao,sim,4.43,50,23,urgente,cancelado,
DD-00130,2025-04-01,São Paulo,SP,Centro,-23.617425,-46.682348,app,furto,2,14,1,manha,,116,sim,sim,nao,4.48,3,1,baixa,,
DD-00131,data_invalida,Belo Horizonte,MG,Planalto,"-19,918769",-43.939086,app,perda_documento,10,27,5,tarde,aberto,107,nao,nao,nao,"3,81",18,8,baixa,pendente,
DD-00132,2025-04-29,São Paulo,SP,Boa Vista,-23.553627,"-46,590833",presencial,perda_documento,40,24,1,madrugada,concluido,0,sim,sim,nao,3.5,18,13,media,validado,
DD-00133,2025-01-23,Uberaba,MG,Jardim America,"-19,79151",-47.960266,presencial,furto,6,11,4,madrugada,concluido,62,sim,nao,sim,4.05,0,0,media,validado,
DD-00134,2025-02-19,Goiânia,GO,Santa Maria,-16.748979,-49.218256,presencial,furto,33,26,5,tarde,arquivado,26,nao,nao,nao,2.61,4,2,urgente,pendente,
DD-00135,28/07/2025,Campinas,SP,Centro,-22.848942,-47.077903,presencial,fraude_online,48,29,3,manha,,75,sim,sim,nao,3.38,7,4,baixa,pendente,
DD-00136,2025-10-14,Campinas,SP,Planalto,-22.845995,-47.096043,site,roubo_celular,0,30,1,manha,procesado,47,nao,nao,nao,5,40,16,alta,cancelado,
DD-00137,2025-09-10,são paulo,SP,Universitario,"-23,537329",-46.643538,presencial,furto,63,13,2,noite,,86,sim,sim,nao,3.71,10,6,baixa,validado,
DD-00138,2025-01-18,Belo Horizonte,MG,Morumbi,-19.966528,-43.952196,presencial,ameaca,33,15,2,tarde,arquivado,12,sim,nao,sim,2.54,36,17,alta,procesado,
DD-00139,2025-01-19,Campinas,SP,Morumbi,"-22,975238","-47,064805",site,perda_documento,15,21,4,madrugada,em_andamento,36,sim,sim,nao,3.44,5,4,media,validado,
DD-00140,04-21-2025,Curitiba,PR,Universitario,-25.364106,-49.215745,presencial,furto,39,14,2,noite,procesado,93,sim,sim,nao,"4,88",24,19,media,,
DD-00141,2025-05-28,Campinas,SP,Industrial,"-22,943078",-47.019107,presencial,fraude_online,0,28,5,noite,aberto,35,sim,sim,nao,4.26,6,4,baixa,,
DD-00142,2025-03-21,Salvador,BA,Universitario,-13.019478,"-38,456805",app,perda_documento,7,21,2,noite,arquivado,88,nao,nao,nao,1.61,46,20,media,procesado,
DD-00143,2025-05-02,Uberlândia,mg,Centro,-18.951078,-48.302238,app,roubo_celular,14,5,1,tarde,em_andamento,79,sim,nao,sim,2.5,31,26,baixa,cancelado,
DD-00144,2025-04-05,Salvador,BA,Universitario,"-12,902023",-38.521004,presencial,furto,57,22,5,noite,arquivado,38,nao,nao,nao,2.64,9,4,media,validado,
DD-00145,2025-03-08,uberaba,MG,Boa Vista,-19.766108,-48.005655,app,furto,17,10,4,madrugada,aberto,0,sim,nao,sim,2.95,26,9,alta,validado,
DD-00146,data_invalida,São Paulo,sp,Santa Maria,-23.524697,-46.6954,site,furto,,30,2,manha,aberto,39,nao,nao,nao,2.94,28,15,baixa,,
DD-00147,2025-01-26,Campinas,SP,Boa Vista,-22.827835,-47.126882,presencial,fraude_online,3,12,5,noite,aberto,0,nao,nao,nao,4.92,29,20,alta,pendente,
DD-00148,2025-06-10,Goiânia,GO,Santa Maria,-16.680405,-49.229949,presencial,furto,83,20,2,tarde,em_andamento,115,sim,sim,nao,2.1,40,22,media,pendente,
DD-00149,26/08/2025,Curitiba,PR,Planalto,-25.418972,-49.234775,presencial,ameaca,60,23,3,tarde,procesado,68,sim,sim,nao,4.71,0,0,baixa,validado,
DD-00150,2025-06-26,Belo Horizonte,mg,Universitario,-19.912476,-43.892173,presencial,perda_doc,39,20,5,manha,arquivado,65,sim,sim,nao,"3,31",32,28,baixa,pendente,
DD-00151,29/05/2025,Belo Horizonte,MG,Industrial,"-19,953085",-43.865168,site,perda_documento,17,13,3,tarde,,24,sim,sim,nao,2.9,25,18,baixa,procesado,
DD-00152,2025-02-21,Salvador,BA,Boa Vista,-12.963138,"-38,570423",site,furto,7,26,3,manha,procesado,61,sim,sim,nao,"3,03",58,25,media,cancelado,
