registro_id,data_pedido,cidade,uf,cliente_id,tipo_pedido,sabor_pizza,categoria,ingrediente_principal,quantidade_ingrediente_g,validade_ingrediente,ingrediente_vencido,desperdicio_g,valor_pedido,tempo_preparo_min,tempo_entrega_min,dia_semana,hora_pedido,promocao,pedido_cancelado,motivo_cancelamento,tempo_cancelamento_min,avaliacao_cliente,forma_pagamento,status,observacao
BM-00064,21/01/2025,Franca,MG,C274,online,especial,especial,quejio,782,18/08/2025,nao,56,107.89,16,24,quarta,21,nenhuma,nao,,24,1.1,pix,finalizado,
BM-00065,09/04/2025,Franca,MG,C94,online,calabreza,tradicional,quejio,87,2025-08-29,sim,41,42.17,24,62,sabado,19,cupom,nao,,35,3.1,pix,finalizado,
BM-00066,2025-01-09,Franca,SP,C219,delivery,calabresa,tradicional,quejio,443,2025-03-13,sim,165,118.0,16,13,sexta,23,nenhuma,sim,,12,2.3,pix,,
BM-00067,2025-01-15,Uberlândia,mg,C123,balcao,frango_catupiry,especial,quejio,434,2025-01-20,sim,0,138.9,11,44,terça,18,cupom,nao,,1,3.2,cartao,,
BM-00068,2025-10-22,São Paulo,SP,C43,delivery,calabreza,doce,quejio,339,2025-07-13,nao,233,130.9,16,27,sabado,21,cupom,nao,,23,3.5,dinheiro,procesado,
BM-00069,2025-01-11,Uberlândia,SP,C497,online,calabresa,especial,quejio,207,2025-09-03,sim,41,47.24,16,26,sexta,19,nenhuma,nao,,15,1.7,cartao,cancelado,
BM-00070,07/09/2025,São Paulo,mg,C15,online,calabresa,especial,quejio,10000,2025-04-17,nao,153,121.77,5,74,quarta,17,cupom,nao,,11,4.2,cartao,procesado,OUTLIER ingrediente
BM-00071,data_invalida,Franca,SP,C476,delivery,mussarelaa,tradicional,quejio,161,2025-08-31,nao,102,86.32,26,27,quinta,23,cupom,sim,,21,2.2,cartao,procesado,
BM-00072,08-30-2025,Franca,SP,C281,online,calabreza,doce,bacon,634,2025-02-11,nao,172,90.37,21,18,quarta,18,combo,sim,demora,23,2.7,pix,finalizado,
BM-00073,2025-03-07,São Paulo,mg,C35,delivery,mussarela,doce,quejio,640,2025-08-23,nao,204,"91,05",16,56,sabado,17,cupom,nao,,32,4.4,pix,procesado,
BM-00074,2025-01-09,São Paulo,mg,C191,balcao,frango_catupiry,especial,queijo,671,2025-07-24,nao,106,"134,66",8,57,sexta,18,combo,nao,,26,4.8,dinheiro,procesado,
BM-00075,2025-09-17,Uberaba,SP,C194,delivery,portuguesa,especial,molho,392,2025-09-17,nao,142,106.48,26,17,quarta,22,cupom,nao,,19,3.3,pix,finalizado,
BM-00076,2025-08-24,Franca,SP,C298,delivery,mussarelaa,doce,molho,626,04-25-2025,sim,188,66.49,13,38,sabado,20,combo,nao,,8,2.6,pix,cancelado,
BM-00077,2025-02-05,Franca,SP,C339,online,calabresa,doce,queijo,508,2025-03-14,nao,0,38.62,26,21,terça,17,nenhuma,sim,erro_pedido,7,1.8,cartao,procesado,
BM-00078,2025-09-19,Uberlândia,MG,C42,balcao,calabreza,especial,catupiry,570,2025-02-21,sim,182,59.4,15,28,sabado,18,,nao,,14,1.7,cartao,procesado,
BM-00079,06/09/2025,Uberaba,MG,C324,online,chocolate,doce,queijo,614,26/05/2025,nao,151,119.14,10,45,quinta,21,,nao,,33,2.3,cartao,,
BM-00080,2025-07-26,Franca,SP,C377,online,calabresa,tradicional,quejio,50,2025-03-25,sim,48,82.45,23,62,sabado,21,nenhuma,nao,,19,2.9,pix,procesado,
BM-00081,2025-08-02,Uberaba,SP,C147,delivery,mussarelaa,tradicional,catupiry,269,09-06-2025,nao,219,"134,03",23,33,terça,21,,nao,,2,3.9,pix,finalizado,
BM-00082,2025-09-10,Uberaba,SP,C467,delivery,calabreza,especial,quejio,402,2025-05-28,sim,210,77.95,19,57,quinta,19,cupom,nao,,8,1.5,dinheiro,,
BM-00083,2025-01-16,Uberlândia,MG,C63,delivery,calabreza,especial,quejio,398,2025-07-13,nao,0,71.3,17,20,quinta,17,combo,nao,,12,2.0,dinheiro,cancelado,
BM-00084,2025-10-01,Uberaba,MG,C485,delivery,calabreza,tradicional,catupiry,413,15/04/2025,sim,132,130.47,23,49,segunda,21,nenhuma,nao,,23,2.6,cartao,procesado,
BM-00085,2025-01-30,Uberlândia,SP,C5,delivery,portuguesa,especial,quejio,762,2025-02-14,nao,31,"135,58",24,46,quinta,22,combo,nao,,24,3.6,cartao,cancelado,
BM-00086,2025-02-09,Uberlândia,MG,C394,online,frango_catupiry,especial,quejio,681,2025-08-06,nao,30,"134,31",6,64,terça,19,cupom,nao,,22,2.8,cartao,finalizado,
BM-00087,2025-06-13,Franca,mg,C160,online,portuguesa,doce,catupiry,576,2025-07-19,nao,183,"118,86",23,20,segunda,20,nenhuma,nao,,37,1.3,cartao,finalizado,
BM-00088,2025-08-15,Franca,SP,C401,delivery,mussarelaa,tradicional,quejio,380,04-27-2025,nao,180,139.23,12,47,sexta,20,cupom,nao,,11,4.2,pix,finalizado,
BM-00089,2025-05-25,São Paulo,MG,C337,delivery,portuguesa,doce,catupiry,150,25/03/2025,sim,90,76.04,26,38,quinta,22,combo,nao,,6,4.0,dinheiro,finalizado,
BM-00090,2025-06-01,Uberlândia,SP,C254,balcao,calabreza,doce,queijo,344,08-26-2025,sim,114,68.53,20,51,sabado,23,cupom,sim,,35,1.0,pix,procesado,
BM-00091,2025-03-03,Franca,SP,C448,balcao,calabresa,especial,quejio,77,08/06/2025,sim,177,49.28,23,10,quinta,21,nenhuma,nao,,5,1.3,dinheiro,procesado,
BM-00092,2025-08-05,São Paulo,SP,C136,online,calabreza,especial,queijo,532,08-06-2025,sim,132,62.28,19,23,sabado,21,combo,nao,,23,1.8,cartao,procesado,
BM-00093,2025-02-27,Franca,SP,C133,balcao,mussarelaa,doce,molho,626,01/05/2025,sim,37,108.47,33,33,quinta,18,nenhuma,nao,,17,2.2,cartao,cancelado,
BM-00094,08-28-2025,Uberaba,mg,C130,online,mussarelaa,tradicional,queijo,722,2025-01-23,nao,142,40.09,20,49,terça,20,cupom,nao,,13,1.9,cartao,,
BM-00095,2025-02-24,Uberlândia,mg,C281,delivery,calabreza,especial,bacon,774,2025-09-17,sim,107,73.85,15,20,segunda,19,combo,nao,,40,4.6,dinheiro,procesado,
BM-00096,2025-05-09,São Paulo,SP,C333,online,mussarelaa,tradicional,quejio,164,06/06/2025,sim,116,125.85,15,26,quinta,20,cupom,nao,,18,3.5,dinheiro,finalizado,
BM-00097,2025-10-13,Uberlândia,SP,C46,balcao,portuguesa,especial,quejio,88,2025-02-22,sim,20,83.3,11,46,segunda,17,cupom,nao,,29,3.6,pix,procesado,
BM-00098,2025-03-14,Uberaba,SP,C247,online,calabreza,especial,quejio,453,2025-02-10,nao,113,63.61,22,22,terça,22,cupom,nao,,2,3.2,cartao,finalizado,
BM-00099,data_invalida,Franca,mg,C288,online,calabreza,tradicional,molho,735,14/09/2025,sim,101,52.23,13,10,segunda,17,combo,sim,,37,1.6,pix,procesado,
BM-00100,2025-06-08,Uberlândia,MG,C92,delivery,mussarelaa,doce,quejio,624,13/04/2025,sim,4,126.25,23,25,sabado,19,nenhuma,nao,,23,3.0,cartao,cancelado,
BM-00101,2025-06-22,Uberlândia,MG,C328,online,calabreza,especial,quejio,408,2025-07-13,nao,72,125.48,14,38,quarta,22,nenhuma,sim,,1,1.2,dinheiro,cancelado,
BM-00102,05-04-2025,Uberlândia,mg,C114,balcao,mussarela,tradicional,quejio,243,10-17-2025,sim,85,133.6,16,10,quarta,17,nenhuma,nao,,11,3.4,dinheiro,procesado,
BM-00103,2025-06-16,São Paulo,SP,C490,delivery,mussarela,doce,quejio,740,2025-09-19,nao,113,117.89,20,33,terça,21,combo,nao,,12,4.9,dinheiro,cancelado,
BM-00104,2025-02-03,São Paulo,mg,C293,online,calabreza,doce,quejio,684,2025-01-27,sim,87,"54,72",8,44,terça,20,combo,sim,cliente_desistiu,35,3.3,dinheiro,procesado,
BM-00105,2025-03-31,São Paulo,mg,C224,balcao,especial,doce,quejio,362,09-30-2025,nao,158,80.19,17,33,sabado,21,combo,sim,demora,6,2.9,pix,finalizado,
BM-00106,2025-04-23,São Paulo,SP,C484,online,calabreza,tradicional,queijo,545,2025-03-28,sim,97,135.12,12,55,quinta,19,combo,nao,,10,1.5,cartao,cancelado,
BM-00107,2025-08-15,Franca,SP,C114,balcao,calabreza,doce,queijo,413,2025-09-02,sim,227,"82,28",17,32,segunda,23,cupom,nao,,37,3.8,cartao,procesado,
BM-00108,2025-04-17,Uberlândia,SP,C383,delivery,mussarelaa,especial,queijo,536,data_invalida,nao,17,53.62,9,46,terça,18,nenhuma,nao,,38,3.1,pix,finalizado,
BM-00109,2025-06-23,Franca,mg,C299,delivery,calabreza,tradicional,queijo,366,2025-10-16,nao,123,41.04,10,37,segunda,17,nenhuma,nao,,6,2.7,dinheiro,finalizado,
BM-00110,22/09/2025,Franca,MG,C214,online,calabreza,tradicional,quejio,731,2025-03-29,sim,165,112.04,8,42,segunda,23,cupom,nao,,21,3.4,dinheiro,procesado,
BM-00111,data_invalida,Uberlândia,SP,C294,balcao,calabreza,doce,quejio,733,2025-06-02,sim,0,120.3,5,36,terça,21,nenhuma,sim,,9,1.2,dinheiro,procesado,
BM-00112,03-28-2025,São Paulo,SP,C327,online,calabreza,especial,catupiry,273,05-05-2025,sim,216,103.28,18,48,segunda,23,,nao,,39,4.2,cartao,procesado,
BM-00113,2025-08-28,Uberlândia,mg,C393,balcao,mussarelaa,especial,queijo,192,09-06-2025,nao,211,118.53,6,53,domingo,21,nenhuma,nao,,24,4.4,cartao,cancelado,
BM-00114,2025-10-04,Uberaba,SP,C246,online,frango_catupiry,tradicional,calabresa,240,2025-07-08,nao,0,111.07,25,23,domingo,23,nenhuma,nao,,36,1.4,dinheiro,,
BM-00115,04/04/2025,São Paulo,SP,C183,online,especial,especial,quejio,105,2025-07-31,sim,158,124.01,16,10,quinta,22,nenhuma,nao,,38,4.4,cartao,,
BM-00116,2025-04-11,Uberaba,SP,C71,delivery,chocolate,tradicional,quejio,344,2025-06-06,nao,143,"65,68",18,58,quarta,18,cupom,sim,erro_pedido,19,2.8,pix,,
BM-00117,2025-01-02,Franca,mg,C44,balcao,mussarelaa,tradicional,quejio,523,2025-08-13,sim,166,93.26,25,28,sexta,23,,nao,,40,1.4,pix,cancelado,
BM-00118,05-26-2025,Uberaba,MG,C484,delivery,frango_catupiry,tradicional,quejio,764,2025-01-29,nao,143,111.43,5,28,terça,20,,nao,,9,1.5,cartao,cancelado,
BM-00119,2025-10-02,Uberaba,SP,C11,balcao,frango_catupiry,especial,quejio,583,2025-09-29,nao,140,57.58,10,67,sabado,19,cupom,nao,,17,2.6,dinheiro,procesado,
BM-00120,2025-04-04,São Paulo,mg,C265,delivery,mussarelaa,tradicional,bacon,742,2025-08-22,sim,167,65.67,17,25,domingo,21,,nao,,38,4.6,dinheiro,,
BM-00121,2025-05-11,Uberaba,SP,C129,balcao,mussarelaa,tradicional,calabresa,635,2025-01-21,sim,72,"119,9",17,26,quinta,22,combo,nao,,33,2.8,dinheiro,cancelado,
BM-00122,2025-07-21,São Paulo,mg,C59,online,especial,especial,queijo,153,2025-07-15,sim,185,134.08,28,38,terça,22,cupom,sim,cliente_desistiu,37,1.4,cartao,cancelado,
BM-00123,2025-02-28,Franca,SP,C4,online,mussarelaa,especial,queijo,494,2025-02-18,sim,49,60.78,16,15,terça,21,combo,nao,,24,5.0,dinheiro,finalizado,
BM-00124,01/06/2025,São Paulo,SP,C131,delivery,calabreza,especial,queijo,199,2025-09-07,nao,211,"45,17",14,33,quinta,19,combo,nao,,29,1.2,cartao,finalizado,
BM-00125,2025-05-14,Uberlândia,MG,C235,balcao,mussarelaa,tradicional,quejio,342,2025-09-20,sim,0,83.96,5,34,segunda,23,,nao,,37,1.8,cartao,cancelado,
BM-00126,2025-02-25,Franca,mg,C345,delivery,calabreza,doce,quejio,448,2025-02-13,nao,39,129.78,19,46,sexta,19,cupom,sim,demora,40,1.5,dinheiro,finalizado,
BM-00127,21/03/2025,Uberlândia,SP,C70,delivery,mussarelaa,tradicional,queijo,500,2025-01-22,sim,108,76.25,17,38,terça,22,nenhuma,nao,,13,3.8,cartao,,
BM-00128,2025-09-21,São Paulo,mg,C95,balcao,calabreza,tradicional,quejio,387,2025-10-18,nao,111,134.21,11,63,quarta,23,nenhuma,nao,,22,3.9,dinheiro,cancelado,
BM-00129,2025-04-05,Franca,MG,C290,delivery,mussarelaa,doce,queijo,160,2025-08-29,nao,0,76.68,28,29,terça,18,cupom,nao,,20,1.9,dinheiro,finalizado,
BM-00130,07-26-2025,Franca,SP,C160,online,especial,doce,quejio,700,2025-06-17,nao,221,78.47,9,35,sabado,18,nenhuma,nao,,10,4.1,pix,,
BM-00131,2025-01-03,Uberlândia,MG,C407,balcao,mussarelaa,doce,quejio,575,2025-07-14,nao,6,47.64,22,45,quarta,19,combo,nao,,30,3.3,pix,procesado,
BM-00132,07-18-2025,Franca,mg,C54,balcao,frango_catupiry,especial,quejio,230,data_invalida,nao,52,52.42,32,10,sexta,18,,nao,,34,4.8,pix,finalizado,
BM-00133,08/02/2025,Franca,mg,C264,delivery,calabreza,doce,queijo,291,2025-03-26,sim,73,89.59,10,12,sexta,19,cupom,sim,cliente_desistiu,32,3.9,cartao,cancelado,
BM-00134,2025-02-21,Uberaba,SP,C52,delivery,frango_catupiry,tradicional,quejio,311,08-24-2025,nao,72,"120,41",13,40,quarta,20,combo,nao,,27,3.2,pix,procesado,
BM-00135,2025-06-26,Uberaba,mg,C408,online,mussarelaa,tradicional,molho,212,2025-06-16,sim,145,134.6,23,18,sabado,18,combo,nao,,31,2.9,pix,cancelado,
BM-00136,06-19-2025,São Paulo,SP,C221,online,calabresa,tradicional,quejio,512,data_invalida,sim,87,"124,71",16,47,domingo,23,combo,nao,,2,3.9,cartao,finalizado,
BM-00137,2025-03-29,Uberlândia,mg,C41,online,mussarelaa,doce,queijo,723,10-06-2025,sim,0,125.51,17,34,terça,17,nenhuma,nao,,36,4.9,cartao,cancelado,
BM-00138,2025-01-18,São Paulo,SP,C363,delivery,frango_catupiry,especial,molho,113,2025-03-10,nao,78,71.35,13,63,terça,19,,nao,,1,2.4,dinheiro,cancelado,
BM-00139,2025-08-22,Franca,MG,C215,online,calabreza,doce,queijo,443,2025-09-12,sim,104,135.38,31,16,quinta,23,nenhuma,nao,,19,2.5,cartao,procesado,
BM-00140,2025-07-20,São Paulo,MG,C449,balcao,calabreza,tradicional,quejio,135,2025-08-14,sim,171,64.53,5,44,domingo,20,nenhuma,nao,,12,1.3,pix,procesado,
BM-00141,2025-06-03,Franca,mg,C34,balcao,calabresa,tradicional,quejio,283,2025-04-08,nao,74,86.96,5,15,sabado,19,nenhuma,nao,,29,1.5,cartao,,
BM-00142,2025-08-14,Uberaba,mg,C188,balcao,calabresa,tradicional,molho,243,2025-07-03,nao,74,94.47,19,25,domingo,21,nenhuma,nao,,24,4.6,cartao,cancelado,
BM-00143,10-09-2025,São Paulo,SP,C101,delivery,mussarelaa,doce,bacon,411,08-23-2025,sim,259,57.96,30,18,sabado,23,nenhuma,nao,,5,1.3,cartao,procesado,
BM-00144,2025-03-24,Uberlândia,mg,C175,delivery,calabresa,tradicional,calabresa,200,03/02/2025,nao,198,57.96,10,45,domingo,18,cupom,nao,,13,2.2,pix,finalizado,
