registro_id,data_pedido,cidade,uf,cliente_id,loja_id,canal,categoria_principal,quantidade_itens,produtos_indisponiveis,funcionarios_disponiveis,volume_pedidos_simultaneos,horario_pedido,periodo_pico,tipo_produto,tempo_separacao_min,tempo_entrega_estimado_min,tempo_entrega_real_min,valor_pedido,cupom_utilizado,avaliacao_cliente,cancelado,motivo_cancelamento,frequencia_compra_mes,dias_desde_ultima_compra,status_pedido,observacao
FM-00115,2025-02-18,São Paulo,SP,C34,L45,app,hortifruti,22,1,6,24,16,nao,perecivel,45,30,50,156.43,sim,"2,1",sim,produto_indisponivel,7,19,entregue,
FM-00116,2025-03-18,Goiânia,GO,C270,L11,app,bebidas,8,1,5,36,19,sim,nao_perecivel,18,30,64,308.12,nao,2.9,nao,,4,81,procesado,
FM-00117,2025-01-31,Curitiba,pr,C124,L25,app,mercearia,2,1,4,11,12,sim,nao_perecivel,3,40,67,83.8,nao,4.1,nao,,4,46,procesado,
FM-00118,03-21-2025,Salvador,BA,C13,L33,web,mercearia,11,0,5,18,15,nao,nao_perecivel,25,40,43,152.73,,3.9,nao,,0,35,procesado,
FM-00119,2025-09-06,uberaba,mg,C414,L2,app,hortifruti,6,0,1,10,7,nao,nao_perecivel,12,45,69,61.98,nao,1.6,nao,,3,50,,
FM-00120,2025-06-14,uberaba,MG,C2,L18,app,limpeza,1,0,6,0,14,nao,nao_perecivel,3,40,27,123.94,sim,4.1,nao,,3,18,procesado,
FM-00121,2025-05-05,uberlândia,MG,C192,L15,app,bebidas,5,0,2,29,11,sim,nao_perecivel,19,40,45,262.12,,4.9,nao,,2,31,em_rota,
FM-00122,25/07/2025,Curitiba,pr,C489,L3,app,hortifruti,1,1,4,4,23,nao,nao_perecivel,3,50,69,55.26,,"2,2",sim,valor_frete,2,53,,
FM-00123,2025-03-06,Curitiba,PR,C296,L39,web,conveniencia,13,1,3,22,14,nao,perecivel,26,45,41,150.86,nao,5,nao,,14,6,cancelado,
FM-00124,03-14-2025,Curitiba,PR,C326,L50,web,bebidas,1,0,6,18,7,nao,nao_perecivel,3,35,52,172.7,sim,2.2,nao,,13,61,entregue,
FM-00125,2025-10-26,Curitiba,PR,C134,L30,app,limpeza,13,0,3,4,7,nao,perecivel,13,35,10,"188,36",nao,5,nao,,7,89,entregue,
FM-00126,09/08/2025,Uberlândia,MG,C39,L26,app,conveniência,23,0,4,4,17,nao,nao_perecivel,59,30,34,15.75,,4.5,nao,,8,79,cancelado,
FM-00127,02-19-2025,São Paulo,SP,C334,L23,app,hortifruti,23,0,1,17,10,nao,nao_perecivel,71,30,36,174.5,nao,"2,0",sim,erro_pagamento,5,37,cancelado,
FM-00128,27/04/2025,Salvador,BA,C357,L44,app,limpeza,20,1,5,11,16,nao,perecivel,34,40,20,150.13,nao,3.9,nao,,5,59,procesado,
FM-00129,2025-04-03,Salvador,BA,C387,L44,web,hortifruti,3,0,1,0,13,nao,nao perecivel,3,45,64,138.74,sim,2.0,nao,,3,3,em_rota,
FM-00130,2025-02-20,Curitiba,PR,C37,L46,web,mercearia,11,5,4,10,13,nao,nao perecivel,30,35,38,198.56,nao,3.2,sim,produto_indisponivel,3,8,cancelado,
FM-00131,2025-05-22,Salvador,BA,C307,L17,app,mercearia,7,0,5,16,20,sim,perecivel,15,35,40,66.09,,4.8,sim,atraso,11,39,entregue,
FM-00132,data_invalida,Curitiba,PR,C64,L9,web,bebidas,9,0,5,6,17,nao,nao_perecivel,9,50,66,39.42,sim,4.4,nao,,8,20,procesado,
FM-00133,2025-09-07,Curitiba,PR,C310,L23,app,bebidas,20,1,3,15,12,sim,perecivel,56,35,58,97.52,nao,4.9,sim,produto_indisponivel,3,45,em_rota,
FM-00134,2025-10-04,Campinas,SP,C262,L7,app,limpeza,22,1,2,12,12,sim,perecivel,62,50,44,136.73,,3.2,nao,,3,7,procesado,
FM-00135,2025-06-10,São Paulo,SP,C455,L29,app,hortifruti,5,0,3,50,20,sim,perecivel,46,35,42,15,sim,2.0,nao,,3,13,,
FM-00136,data_invalida,São Paulo,SP,C83,L45,web,mercearia,13,0,2,3,8,nao,nao_perecivel,29,50,49,15,sim,2.8,nao,,0,34,procesado,
FM-00137,data_invalida,Goiânia,GO,C44,L27,app,conveniencia,2,2,2,0,20,sim,perecivel,3,40,44,106.92,nao,"4,1",nao,,11,49,em_rota,
FM-00138,2025-05-22,Goiânia,GO,C453,L1,app,bebidas,1,1,6,23,7,nao,nao_perecivel,3,45,63,83.29,nao,4.4,sim,produto_indisponivel,5,38,,
FM-00139,2025-08-18,Uberaba,mg,C250,L57,app,bebidas,2,1,5,23,16,nao,perecivel,12,40,31,187.3,sim,5,nao,,4,90,cancelado,
FM-00140,data_invalida,Goiânia,GO,C220,L60,app,hortifruti,14,1,3,6,15,nao,nao_perecivel,22,35,24,79.45,,2.7,nao,,5,8,entregue,
FM-00141,2025-05-09,Campinas,SP,C189,L33,app,mercearia,4,0,1,15,21,nao,nao_perecivel,12,30,14,"154,18",,3.9,nao,,9,56,cancelado,
FM-00142,2025-10-25,Salvador,BA,C377,L18,web,hortifruti,1,1,5,8,10,nao,perecivel,3,30,29,"41,73",,3.4,nao,,0,15,,
FM-00143,2025-03-12,Goiânia,GO,C108,L47,app,bebidas,13,0,4,33,10,nao,nao_perecivel,41,45,24,180.71,sim,4.2,nao,,3,38,,
FM-00144,19/05/2025,Uberaba,MG,C403,L19,web,limpeza,23,0,4,13,14,nao,nao_perecivel,44,35,30,175.14,sim,5,nao,,4,71,entregue,
FM-00145,10/08/2025,Campinas,SP,C277,L11,app,bebidas,18,0,2,4,14,nao,nao_perecivel,44,40,39,20.84,,3.5,nao,,1,65,,
FM-00146,2025-09-21,Curitiba,PR,C240,L54,app,limpeza,6,0,1,2,14,nao,nao_perecivel,16,50,36,122.56,nao,3.7,nao,,4,53,cancelado,
FM-00147,2025-07-20,Salvador,BA,C259,L49,app,hortifruti,14,3,3,13,18,sim,perecivel,33,50,56,109.68,sim,1.9,nao,,7,21,cancelado,
FM-00148,09/10/2025,Curitiba,PR,C106,L28,app,mercearia,8,1,4,0,20,sim,perecivel,4,45,73,125.28,,2.7,nao,,2,41,,
FM-00149,2025-10-08,Curitiba,PR,C143,L58,web,conveniencia,1,1,5,0,14,nao,nao_perecivel,3,30,25,182.19,,3.8,nao,,0,88,cancelado,
FM-00150,08/05/2025,Goiânia,GO,C524,L26,app,conveniência,6,3,6,0,15,nao,nao_perecivel,6,35,45,199.47,sim,"1,8",nao,,4,57,cancelado,
FM-00151,01-27-2025,Uberlândia,MG,C366,L20,app,hortifruti,5,1,6,6,17,nao,nao_perecivel,4,35,35,209.95,,3.9,nao,,5,74,,
FM-00152,2025-07-10,Goiânia,GO,C125,L54,app,bebidas,28,0,1,16,12,sim,nao_perecivel,52,35,53,132.72,,3.5,nao,,3,74,em_rota,
FM-00153,2025-04-08,Uberlândia,MG,C538,L15,app,mercearia,20,0,7,29,12,sim,nao perecivel,37,35,68,"55,11",,1.9,nao,,0,39,entregue,
FM-00154,2025-05-06,salvador,BA,C32,L37,app,mercearia,8,0,6,30,19,sim,nao_perecivel,35,30,30,135.98,,2.4,nao,,6,41,,
FM-00155,2025-03-11,Uberaba,MG,C281,L28,app,bebidas,12,2,2,20,15,nao,nao_perecivel,30,30,10,215.82,,4.7,nao,,8,3,entregue,
FM-00156,2025-03-22,Campinas,SP,C348,L55,web,bebidas,15,0,4,17,16,nao,nao_perecivel,,45,34,254.18,sim,4.1,nao,,2,16,procesado,
FM-00157,2025-06-15,Curitiba,PR,C265,L14,app,hortifruti,11,0,7,15,17,nao,nao_perecivel,14,30,20,261.77,sim,"4,9",nao,,3,38,,
