registro_id,data_pedido,cidade,uf,sku,categoria_peca,curva_abc,estoque_atual,demanda_mensal,lead_time_dias,custo_aquisicao,preco_venda,imposto_pct,custo_frete,tempo_entrega_dias,status_entrega,avaria,devolucao,margem_lucro,observacao
AUTO-00016,2025-01-29,Uberaba,MG,SKU4739,correiaa,B,53,76,15,365.81,742.62,23.77,46.64,12,,sim,sim,50.74,
AUTO-00017,2025-03-20,Campinas,SP,SKU1581,rolamnto,B,170,136,14,"464,3",702.24,8.57,50.63,6,,sim,sim,33.88,
AUTO-00018,04-11-2025,Uberlândia,MG,SKU5233,eixo,C,38,7,8,130.74,216.36,11.34,64.3,7,procesado,sim,sim,39.57,
AUTO-00019,data_invalida,Campinas,SP,SKU8601,correiaa,A,137,13,9,148.17,171.22,15.5,38.5,9,atrasado,nao,sim,13.46,
AUTO-00020,2025-04-07,São Paulo,SP,SKU3231,rolamento,C,137,121,10,658.45,1395.73,19.48,50.94,4,atrasado,sim,sim,52.82,
AUTO-00021,2025-07-31,Uberaba,MG,SKU8024,rolamnto,C,25,15,15,301.69,618.87,10.53,188.03,1,atrasado,sim,sim,51.25,
AUTO-00022,2025-09-24,Uberaba,MG,SKU7085,correia,C,40,136,6,203.44,504.76,6.18,117.01,8,atrasado,nao,nao,59.7,
AUTO-00023,2025-03-19,Campinas,SP,SKU9477,rolamnto,B,15,48,11,593.35,1073.74,20.91,62.51,7,atrasado,nao,sim,44.74,
AUTO-00024,2025-06-13,São Paulo,SP,SKU3050,rolamnto,B,8,52,16,129.2,254.74,8.97,107.6,4,entregue,sim,sim,49.28,
AUTO-00025,2025-02-12,Uberlândia,mg,SKU1381,rolamnto,B,42,0,16,460.21,899.96,19.75,199.81,11,entregue,sim,nao,48.86,OUTLIER sem demanda
AUTO-00026,2025-07-10,Uberlândia,MG,SKU3903,rolamnto,B,7,14,11,689.12,1677.11,7.3,34.73,6,procesado,sim,sim,58.91,
AUTO-00027,2025-03-22,São Paulo,SP,SKU1932,rolamento,B,63,65,8,438.05,736.56,16.44,32.76,8,atrasado,nao,nao,40.53,
AUTO-00028,2025-05-07,Uberaba,MG,SKU8101,eixo,B,65,90,1,313.78,502.23,24.09,111.06,8,procesado,sim,sim,37.52,
AUTO-00029,2025-09-21,Uberlândia,MG,SKU5551,engrenagem,C,46,71,7,"729,29",1622.81,10.41,66.93,11,atrasado,sim,nao,55.06,
AUTO-00030,2025-08-16,Campinas,SP,SKU9375,rolamnto,A,22,112,15,644.91,1305.14,18.92,129.35,7,atrasado,sim,nao,50.59,
AUTO-00031,data_invalida,Campinas,SP,SKU3344,engrenagem,C,12,45,12,"524,72",788.35,20.43,175.87,10,,nao,sim,33.44,
AUTO-00032,2025-07-20,campinas,sp,SKU8419,rolamnto,C,55,3,13,367.03,543.09,11.29,129.76,5,,sim,sim,32.42,
AUTO-00033,2025-10-20,Uberlândia,MG,SKU1024,engrenagem,C,35,35,11,639.89,1258.12,20.68,184.16,9,entregue,sim,sim,49.14,
AUTO-00034,2025-03-02,Uberlândia,MG,SKU8381,correia,A,137,88,16,122.67,288.32,18.76,122.5,7,atrasado,sim,sim,57.45,
AUTO-00035,2025-06-24,São Paulo,SP,SKU6295,rolamento,B,38,96,4,609.22,1410.3,18.02,49.35,10,procesado,nao,nao,56.8,
AUTO-00036,22/08/2025,Campinas,SP,SKU7305,engrenagem,C,139,105,17,367.63,772.61,20.33,33.13,8,,sim,nao,52.42,
AUTO-00037,2025-04-25,Uberlândia,MG,SKU7758,engrenagem,A,21,58,7,722.86,815.14,17.66,196.81,12,procesado,sim,nao,11.32,
AUTO-00038,2025-06-07,Campinas,SP,SKU3626,eixo,C,4,43,13,611.33,1107.93,13.0,106.98,7,entregue,sim,sim,44.82,
AUTO-00039,2025-08-20,Campinas,SP,SKU2309,correiaa,B,71,129,19,488.5,582.71,19.74,33.24,2,atrasado,nao,nao,16.17,
AUTO-00040,2025-02-27,Uberlândia,MG,SKU3756,eixo,B,30,48,21,-50,662.81,14.9,67.21,1,procesado,sim,sim,30.63,VALOR INVALIDO
AUTO-00041,05-03-2025,Uberaba,mg,SKU1186,rolamnto,C,0,53,11,462.46,815.72,6.18,87.38,6,,nao,nao,43.31,
AUTO-00042,2025-10-25,Campinas,SP,SKU5068,rolamnto,B,241,162,14,457.96,688.24,7.05,138.7,1,,nao,nao,33.46,
AUTO-00043,10-14-2025,São Paulo,SP,SKU1177,eixo,C,106,48,15,324.36,772.67,5.51,157.45,4,,nao,nao,58.02,
AUTO-00044,2025-03-25,Uberlândia,MG,SKU1461,correiaa,C,86,15,7,486.03,801.33,20.67,186.14,7,entregue,nao,sim,39.35,
AUTO-00045,09/08/2025,São Paulo,SP,SKU1013,rolamnto,A,23,41,10,622.47,749.93,12.49,183.27,7,atrasado,nao,sim,17.0,
AUTO-00046,2025-07-03,Uberlândia,MG,SKU3244,correiaa,C,40,95,8,671.22,1029.56,15.72,175.68,5,procesado,sim,sim,34.81,
AUTO-00047,05-17-2025,Campinas,SP,SKU7235,rolamnto,C,145,117,13,58.96,103.76,18.52,98.47,7,atrasado,nao,sim,43.18,
AUTO-00048,2025-09-28,uberlândia,MG,SKU4725,correiaa,B,18,77,9,"376,13",925.2,9.56,181.46,3,entregue,sim,nao,59.35,
AUTO-00049,data_invalida,São Paulo,SP,SKU7407,eixo,C,63,63,8,690.01,1078.11,23.14,126.14,6,procesado,sim,nao,36.0,
AUTO-00050,2025-10-20,Uberaba,MG,SKU8895,correiaa,C,110,123,11,725.69,829.75,15.34,199.29,4,atrasado,sim,sim,12.54,
AUTO-00051,2025-09-27,são paulo,SP,SKU9063,rolamnto,B,79,61,11,579.9,658.43,5.21,91.95,3,,nao,sim,11.93,
AUTO-00052,2025-04-05,uberlândia,MG,SKU7456,rolamnto,C,51,43,4,424.16,918.84,12.05,63.34,11,entregue,sim,sim,53.84,
AUTO-00053,2025-02-23,campinas,SP,SKU8019,correiaa,B,90,132,1,"473,93",1174.93,21.47,164.44,4,entregue,nao,nao,59.66,
AUTO-00054,2025-08-27,São Paulo,sp,SKU2315,engrenagem,C,16,47,17,299.76,549.28,23.42,47.16,6,atrasado,nao,nao,45.43,
AUTO-00055,2025-04-19,campinas,SP,SKU1343,outros,B,71,61,7,"78,07",118.77,19.96,179.86,90,atrasado,sim,sim,34.27,OUTLIER atraso
AUTO-00056,2025-09-04,Uberaba,MG,SKU5369,rolamento,B,15,118,4,156.92,188.09,14.55,66.78,5,,nao,sim,16.57,
AUTO-00057,2025-10-26,Campinas,SP,SKU8972,rolamnto,C,84,86,7,318.74,419.29,5.77,141.0,5,entregue,sim,sim,23.98,
AUTO-00058,2025-06-03,Campinas,SP,SKU8501,correia,C,87,109,10,68.77,142.96,7.56,168.05,6,atrasado,nao,sim,51.9,
AUTO-00059,2025-04-04,Uberlândia,MG,SKU5749,rolamento,C,79,48,13,"698,19",871.92,11.13,51.34,3,entregue,nao,sim,19.92,
AUTO-00060,2025-04-28,Uberlândia,MG,SKU6551,correiaa,B,91,72,6,725.16,1459.36,21.69,23.16,11,entregue,sim,nao,50.31,
AUTO-00061,2025-01-16,Campinas,sp,SKU1193,rolamnto,C,47,97,15,614.64,1316.11,10.32,164.72,11,atrasado,sim,sim,53.3,
AUTO-00062,2025-03-30,São Paulo,SP,SKU1361,outros,A,77,128,1,"362,62",711.41,15.78,147.04,1,atrasado,nao,nao,49.03,
AUTO-00063,09/10/2025,Uberaba,MG,SKU1644,engrenagem,A,83,90,10,44.62,67.49,11.3,103.47,12,procesado,sim,sim,33.89,
AUTO-00064,2025-02-14,Uberlândia,MG,SKU5022,correiaa,A,49,61,11,147.74,346.09,18.2,150.74,7,atrasado,nao,sim,57.31,
AUTO-00065,2025-09-04,São Paulo,SP,SKU5709,rolamnto,B,74,61,12,262.46,568.24,5.97,128.42,6,,nao,nao,53.81,
AUTO-00066,2025-01-01,Uberlândia,MG,SKU1497,correiaa,C,76,135,17,532.54,832.92,8.18,125.82,7,entregue,sim,sim,36.06,
AUTO-00067,data_invalida,Campinas,SP,SKU4773,rolamnto,C,7,110,3,"380,79",439.37,18.24,99.94,1,entregue,sim,nao,13.33,
AUTO-00068,2025-08-20,campinas,SP,SKU1521,outros,B,21,36,6,194.31,455.6,21.01,77.75,15,procesado,nao,sim,57.35,
AUTO-00069,08-26-2025,Campinas,SP,SKU3366,rolamento,C,0,71,11,290.74,711.57,13.63,166.12,6,,nao,nao,59.14,
AUTO-00070,2025-10-08,São Paulo,SP,SKU6208,rolamnto,B,64,59,19,704.82,1558.2,5.7,133.58,5,,nao,sim,200,OUTLIER margem
AUTO-00071,data_invalida,São Paulo,SP,SKU1916,correiaa,A,77,95,9,360.75,762.15,22.19,119.19,15,atrasado,nao,sim,52.67,
AUTO-00072,2025-01-25,uberlândia,MG,SKU8320,rolamnto,A,13,34,9,325.43,774.63,9.14,118.71,10,procesado,nao,sim,57.99,
AUTO-00073,2025-05-27,Campinas,SP,SKU8074,rolamento,B,37,1,8,224.57,438.76,17.83,92.38,8,,sim,nao,48.82,
AUTO-00074,2025-01-22,Uberaba,MG,SKU8675,rolamnto,A,49,80,8,570.3,1179.7,7.96,115.18,11,,sim,nao,51.66,
AUTO-00075,2025-01-24,Campinas,SP,SKU8181,correiaa,B,9,106,7,"291,61",693.63,23.91,135.97,9,entregue,sim,nao,57.96,
AUTO-00076,2025-03-25,São Paulo,SP,SKU8487,correia,B,94,23,10,639.75,1448.33,21.78,104.53,2,procesado,sim,nao,55.83,
AUTO-00077,2025-05-29,Uberlândia,MG,SKU3780,rolamnto,C,52,116,13,"288,68",529.64,12.48,69.62,2,atrasado,sim,nao,45.5,
AUTO-00078,2025-05-19,Uberaba,MG,SKU9101,rolamnto,C,42,34,10,678.85,1384.94,15.43,181.08,12,procesado,sim,nao,50.98,
AUTO-00079,2025-10-26,São Paulo,SP,SKU4874,correia,C,136,82,15,429.25,1062.83,15.08,63.13,11,,nao,nao,59.61,
AUTO-00080,2025-06-19,Uberlândia,MG,SKU6760,correiaa,B,0,46,13,328.51,382.02,19.08,93.39,10,atrasado,sim,nao,14.01,
AUTO-00081,2025-04-07,uberlândia,MG,SKU7770,engrenagem,C,5,65,1,665.55,1056.7,20.09,71.85,1,,nao,sim,37.02,
AUTO-00082,2025-09-13,São Paulo,SP,SKU6526,correiaa,B,105,84,6,"723,2",949.34,11.74,181.42,9,atrasado,nao,nao,23.82,
AUTO-00083,2025-04-24,uberaba,MG,SKU7161,correiaa,C,98,102,13,51.46,125.34,11.51,197.52,8,entregue,sim,sim,58.94,
AUTO-00084,2025-08-23,Uberlândia,MG,SKU6531,rolamnto,B,0,55,15,694.66,1254.55,8.43,111.34,2,atrasado,nao,nao,44.63,
AUTO-00085,2025-09-14,Campinas,SP,SKU9114,engrenagem,C,109,101,13,"232,93",411.83,7.79,188.49,6,entregue,nao,nao,43.44,
AUTO-00086,data_invalida,Uberaba,MG,SKU9434,rolamnto,A,57,126,4,319.87,687.61,9.97,82.9,3,entregue,sim,sim,53.48,
AUTO-00087,24/06/2025,Campinas,SP,SKU2563,correia,C,112,72,13,346.15,628.74,24.42,15.62,4,atrasado,nao,sim,44.95,
AUTO-00088,2025-09-13,Campinas,sp,SKU3659,correiaa,C,105,100,14,149.63,166.85,9.8,160.06,3,procesado,sim,nao,10.32,
AUTO-00089,2025-01-27,Uberlândia,MG,SKU3446,correia,A,144,56,9,281.78,629.73,6.63,149.58,3,,nao,sim,55.25,
AUTO-00090,21/01/2025,Uberaba,MG,SKU3410,rolamnto,B,108,37,11,"365,49",807.36,22.97,26.35,6,procesado,nao,sim,54.73,
AUTO-00091,2025-01-16,Uberlândia,MG,SKU8455,correiaa,C,0,39,11,597.14,1429.75,15.92,72.62,3,,nao,sim,58.23,
AUTO-00092,2025-03-27,Uberlândia,mg,SKU3176,engrenagem,C,11,0,17,"590,87",942.99,18.08,39.53,6,entregue,sim,nao,37.34,
AUTO-00093,2025-02-16,Uberaba,MG,SKU5158,rolamnto,B,127,127,8,335.88,802.45,11.65,191.29,11,procesado,sim,nao,58.14,
AUTO-00094,2025-02-05,São Paulo,SP,SKU8298,rolamento,C,88,100,8,177.53,290.84,9.54,174.03,11,procesado,nao,sim,38.96,
AUTO-00095,2025-05-15,Uberaba,MG,SKU8241,rolamnto,A,33,80,17,642.24,1272.73,7.01,109.22,1,atrasado,sim,nao,49.54,
AUTO-00096,11/09/2025,São Paulo,SP,SKU3805,correiaa,C,145,138,12,52.46,72.86,7.43,47.82,11,procesado,nao,nao,28.0,
AUTO-00097,2025-01-02,Uberaba,MG,SKU8726,correiaa,A,28,96,2,587.62,986.01,5.06,40.92,17,entregue,nao,sim,40.4,
AUTO-00098,2025-06-04,Campinas,SP,SKU6134,rolamnto,B,15,125,8,"181,38",387.39,19.85,77.54,5,atrasado,sim,sim,53.18,
AUTO-00099,2025-02-03,São Paulo,SP,SKU6240,rolamnto,C,34,74,11,733.53,1595.55,17.58,32.53,12,entregue,sim,nao,54.03,
AUTO-00100,04/07/2025,Campinas,SP,SKU7990,rolamnto,A,0,126,15,34.62,48.95,18.0,59.97,9,procesado,nao,sim,29.27,
AUTO-00101,data_invalida,Uberaba,MG,SKU9778,rolamnto,C,94,27,9,"507,31",1183.97,22.04,134.62,1,,nao,nao,57.15,
AUTO-00102,data_invalida,Uberaba,MG,SKU2709,correiaa,C,74,110,8,199.08,234.91,19.71,195.88,8,,nao,nao,15.25,
AUTO-00103,31/07/2025,São Paulo,SP,SKU2531,rolamnto,C,61,74,1,529.46,701.45,11.48,22.35,7,entregue,sim,sim,24.52,
AUTO-00104,2025-04-16,Campinas,SP,SKU5681,engrenagem,C,0,88,13,703.93,954.25,11.12,192.53,6,,nao,nao,26.23,
AUTO-00105,2025-09-20,uberaba,MG,SKU4902,rolamnto,C,32,122,18,396.98,838.4,5.67,127.4,1,procesado,sim,sim,52.65,
AUTO-00106,2025-03-18,São Paulo,SP,SKU8610,rolamento,B,166,103,14,781.06,1241.92,19.03,116.75,10,atrasado,nao,sim,37.11,
AUTO-00107,2025-06-19,São Paulo,SP,SKU6757,rolamento,A,106,0,6,"327,26",650.97,7.0,116.2,7,entregue,sim,sim,49.73,
AUTO-00108,2025-01-11,São Paulo,SP,SKU5224,correia,C,45,122,13,197.9,233.78,10.12,141.36,4,atrasado,sim,nao,15.35,
AUTO-00109,2025-07-30,São Paulo,SP,SKU7651,rolamento,A,53,58,9,318.95,642.29,14.55,182.06,8,,sim,nao,50.34,
AUTO-00110,2025-04-23,Uberaba,mg,SKU4339,correiaa,A,10,89,10,"65,1",132.5,17.53,160.58,2,procesado,nao,nao,50.87,
AUTO-00111,2025-07-24,Campinas,SP,SKU7902,rolamento,A,0,21,3,"496,31",626.72,17.41,97.74,4,entregue,nao,sim,20.81,
AUTO-00112,2025-08-05,Uberaba,MG,SKU4011,engrenagem,C,194,58,11,"485,86",958.11,14.23,112.98,3,entregue,nao,nao,49.29,
AUTO-00113,2025-09-25,São Paulo,SP,SKU1691,correia,C,34,59,10,288.59,327.92,9.68,31.02,8,atrasado,nao,sim,11.99,
AUTO-00114,2025-08-26,Uberlândia,MG,SKU8721,eixo,C,28,36,12,540.92,1246.22,23.54,168.49,9,entregue,nao,nao,56.6,
AUTO-00115,2025-04-28,campinas,SP,SKU2825,rolamnto,B,43,46,5,"525,25",707.36,17.17,95.16,7,entregue,sim,sim,25.75,
AUTO-00116,data_invalida,São Paulo,SP,SKU9313,correiaa,B,21,92,9,511.51,895.72,6.59,121.28,7,entregue,nao,nao,42.89,
AUTO-00117,2025-05-09,Uberaba,MG,SKU5446,eixo,A,0,96,10,154.71,303.94,21.83,107.81,7,entregue,nao,nao,49.1,
AUTO-00118,2025-07-25,São Paulo,SP,SKU1589,correiaa,A,52,101,10,"51,71",123.81,19.78,114.28,10,atrasado,nao,nao,58.23,
AUTO-00119,2025-05-20,Uberaba,MG,SKU8610,rolamento,B,34,68,16,457.71,924.11,5.9,91.76,5,procesado,nao,sim,50.47,
AUTO-00120,10-23-2025,Uberlândia,mg,SKU3878,correiaa,C,0,78,10,299.03,557.63,13.18,104.49,3,entregue,sim,nao,46.37,
AUTO-00121,2025-08-04,São Paulo,SP,SKU2543,rolamento,C,12,100,3,34.73,58.57,24.54,120.4,11,atrasado,nao,nao,40.7,
AUTO-00122,2025-10-08,Uberlândia,MG,SKU7076,correiaa,A,122,29,9,410.03,932.01,12.51,80.5,10,procesado,nao,sim,56.01,
AUTO-00123,2025-01-15,Campinas,SP,SKU8196,engrenagem,A,65,170,3,190.7,424.49,17.17,75.64,12,atrasado,sim,nao,55.08,
AUTO-00124,2025-07-16,Campinas,SP,SKU8500,rolamnto,C,90,70,8,"502,0",799.93,11.78,20.47,3,,nao,nao,37.24,
AUTO-00125,2025-09-15,Campinas,SP,SKU9004,outros,B,18,85,6,292.61,474.44,6.08,76.87,6,entregue,sim,nao,38.33,
AUTO-00126,2025-06-04,Uberlândia,MG,SKU1230,rolamnto,B,97,69,11,704.03,1626.53,24.07,160.03,3,entregue,nao,nao,56.72,
AUTO-00127,data_invalida,Uberlândia,MG,SKU5050,correiaa,A,135,91,10,297.34,505.0,9.18,62.03,8,,sim,nao,41.12,
AUTO-00128,2025-08-03,Uberaba,MG,SKU9611,correiaa,B,54,92,14,579.6,828.77,7.72,12.9,8,procesado,nao,sim,30.07,
AUTO-00129,2025-07-05,Uberaba,MG,SKU9859,correia,A,97,112,9,262.79,580.33,24.43,20.31,13,procesado,sim,sim,54.72,
AUTO-00130,2025-10-13,Uberaba,MG,SKU9507,correiaa,B,3,101,10,"798,81",1029.19,8.83,20.89,7,,sim,nao,22.38,
AUTO-00131,06-25-2025,Campinas,SP,SKU6293,rolamnto,B,115,146,11,347.31,410.48,10.41,165.94,14,,sim,nao,15.39,
AUTO-00132,08-07-2025,Campinas,SP,SKU6158,correiaa,A,58,98,18,"33,09",39.94,21.62,128.85,3,atrasado,sim,sim,17.15,
AUTO-00133,2025-03-30,São Paulo,SP,SKU9012,rolamnto,C,37,117,3,543.02,1324.16,21.64,169.26,10,entregue,sim,nao,58.99,
AUTO-00134,2025-07-29,São Paulo,SP,SKU5186,correiaa,C,145,105,12,518.31,926.79,13.13,190.59,11,,sim,nao,44.07,
AUTO-00135,2025-05-08,Uberaba,MG,SKU9846,correiaa,B,79,57,17,522.17,995.79,5.43,139.51,8,,nao,nao,47.56,
AUTO-00136,2025-08-22,Uberaba,MG,SKU4006,engrenagem,B,63,79,10,408.68,856.56,21.45,14.75,15,procesado,nao,sim,52.29,
AUTO-00137,21/03/2025,Campinas,SP,SKU1883,rolamnto,C,48,64,6,713.23,1189.63,16.64,89.51,8,procesado,nao,nao,40.05,
AUTO-00138,2025-10-12,Uberlândia,MG,SKU4568,correiaa,C,126,91,9,651.44,741.45,10.35,154.44,4,,nao,sim,12.14,
AUTO-00139,data_invalida,Uberlândia,MG,SKU3746,correiaa,B,109,64,6,235.38,340.86,5.22,153.16,1,procesado,nao,sim,30.95,
AUTO-00140,12/03/2025,Campinas,SP,SKU3029,correiaa,B,90,13,7,107.44,221.14,19.97,20.69,5,atrasado,sim,nao,51.42,
AUTO-00141,2025-08-06,São Paulo,SP,SKU5451,correiaa,A,119,128,3,430.86,865.5,10.75,44.98,7,entregue,sim,nao,50.22,
AUTO-00142,2025-10-28,uberlândia,mg,SKU8325,correiaa,C,56,59,14,703.87,833.16,18.24,82.1,7,procesado,nao,sim,15.52,
AUTO-00143,2025-09-02,Uberlândia,MG,SKU1315,engrenagem,A,19,109,16,638.74,1167.88,9.77,165.62,7,,sim,sim,45.31,
AUTO-00144,2025-09-03,uberlândia,MG,SKU3778,eixo,C,32,67,8,212.13,244.53,7.18,49.57,9,,sim,sim,13.25,
AUTO-00145,2025-04-14,Uberaba,MG,SKU5752,rolamento,B,37,57,8,67.71,99.02,19.0,168.38,12,procesado,sim,sim,31.62,
AUTO-00146,2025-02-10,São Paulo,SP,SKU4256,rolamnto,B,155,140,9,49.65,107.23,5.47,46.63,3,,nao,nao,53.7,
AUTO-00147,05-03-2025,Uberlândia,MG,SKU4394,correiaa,A,75,73,10,112.69,214.88,23.4,30.84,9,atrasado,sim,sim,47.56,
AUTO-00148,12/08/2025,Uberaba,MG,SKU1130,rolamento,C,4,67,15,220.43,257.89,7.17,167.25,10,entregue,sim,nao,14.53,
AUTO-00149,2025-06-21,campinas,SP,SKU4019,correiaa,B,35,31,8,597.21,858.0,16.62,46.84,6,atrasado,sim,nao,30.4,
AUTO-00150,data_invalida,Uberaba,MG,SKU2778,correiaa,C,122,60,14,221.82,387.57,12.33,157.83,12,entregue,nao,nao,42.77,
AUTO-00151,2025-01-23,Uberaba,MG,SKU1881,correiaa,C,102,97,9,60.49,148.49,23.06,48.96,9,entregue,nao,nao,59.26,
AUTO-00152,2025-03-08,Uberlândia,MG,SKU8255,rolamento,A,87,31,7,169.36,371.41,24.01,93.93,1,procesado,nao,sim,54.4,
AUTO-00153,2025-05-01,São Paulo,SP,SKU2289,rolamnto,B,61,10,12,77.77,143.38,5.99,195.57,9,procesado,sim,sim,45.76,
AUTO-00154,2025-01-01,São Paulo,SP,SKU6744,outros,A,93,107,5,647.5,1117.21,14.61,133.92,8,atrasado,nao,sim,42.04,
AUTO-00155,2025-02-02,Uberlândia,MG,SKU6346,correiaa,C,93,68,6,262.52,575.39,19.75,62.86,7,procesado,sim,nao,54.38,
AUTO-00156,2025-02-22,São Paulo,SP,SKU7468,rolamnto,C,0,57,15,174.76,393.82,20.4,31.27,12,entregue,nao,nao,55.62,
AUTO-00157,2025-10-22,Campinas,SP,SKU3083,rolamento,C,32,125,11,286.14,319.33,16.85,107.17,4,,nao,nao,10.39,
AUTO-00158,2025-08-11,Campinas,SP,SKU2796,outros,B,59,130,4,275.32,346.1,9.05,47.45,12,atrasado,sim,nao,20.45,
AUTO-00159,2025-02-12,São Paulo,SP,SKU8572,correiaa,B,25,60,12,"385,32",906.29,5.32,19.58,1,entregue,sim,nao,57.48,
AUTO-00160,2025-06-27,São Paulo,SP,SKU3197,rolamnto,C,15,79,8,342.31,636.72,5.25,130.36,11,,nao,sim,46.24,
AUTO-00161,2025-05-27,Uberlândia,MG,SKU5749,correiaa,B,37,127,6,384.14,903.76,23.59,35.21,9,,nao,sim,57.5,
AUTO-00162,2025-06-29,Uberaba,MG,SKU7488,rolamnto,A,36,180,12,355.3,392.02,12.74,149.99,5,procesado,nao,nao,9.37,
AUTO-00163,2025-07-15,Uberlândia,MG,SKU1911,correia,C,82,103,9,268.12,492.18,18.89,19.56,12,procesado,sim,nao,45.52,
AUTO-00164,2025-08-15,São Paulo,SP,SKU4017,rolamnto,B,35,114,1,"291,2",610.95,7.58,145.25,7,entregue,nao,nao,52.34,
AUTO-00165,data_invalida,Uberlândia,MG,SKU9200,rolamnto,B,0,101,8,134.42,245.15,16.8,191.64,6,entregue,sim,nao,45.17,
AUTO-00166,2025-04-18,Campinas,SP,SKU5842,rolamnto,B,115,68,3,398.18,566.22,23.24,62.69,5,procesado,nao,sim,29.68,
AUTO-00167,2025-08-19,campinas,SP,SKU5602,rolamnto,C,42,0,5,84.58,154.73,12.94,40.73,5,atrasado,nao,sim,45.34,
AUTO-00168,28/05/2025,Campinas,SP,SKU8315,rolamnto,B,72,135,7,744.82,1210.21,9.04,28.96,6,,nao,sim,38.46,
AUTO-00169,03-09-2025,Campinas,SP,SKU6185,correiaa,C,121,62,17,280.03,422.51,10.48,114.47,11,entregue,sim,sim,33.72,
AUTO-00170,2025-01-09,Uberlândia,MG,SKU4513,rolamnto,C,63,73,10,138.32,315.92,18.87,16.08,7,,sim,sim,56.22,
AUTO-00171,05-14-2025,Uberaba,MG,SKU3004,correiaa,C,99,62,1,390.86,588.94,22.86,23.09,2,,nao,sim,33.63,
AUTO-00172,2025-01-05,Uberaba,MG,SKU7376,engrenagem,C,102,74,6,486.09,1057.64,8.27,11.81,9,entregue,nao,nao,54.04,
AUTO-00173,2025-07-12,são paulo,SP,SKU7817,correiaa,A,0,63,14,578.7,1318.16,16.76,116.93,2,entregue,sim,sim,56.1,
AUTO-00174,2025-06-06,Uberlândia,MG,SKU5566,rolamnto,B,41,31,3,637.47,902.42,18.6,33.66,3,atrasado,sim,nao,29.36,
AUTO-00175,2025-04-11,São Paulo,SP,SKU2877,correiaa,B,0,58,15,279.35,652.75,5.53,16.51,3,procesado,sim,nao,57.2,
AUTO-00176,2025-06-05,Campinas,SP,SKU3074,rolamento,C,36,103,17,"527,25",1192.92,13.51,132.35,6,atrasado,nao,nao,55.8,
AUTO-00177,2025-09-07,Uberaba,MG,SKU2881,rolamnto,C,4,113,19,430.59,927.26,24.6,142.25,10,procesado,nao,sim,53.56,
AUTO-00178,06/04/2025,Uberaba,MG,SKU4874,eixo,A,23,89,7,134.0,156.33,11.01,185.86,7,procesado,nao,nao,14.28,
AUTO-00179,2025-06-08,Uberaba,MG,SKU2344,rolamnto,A,162,89,18,239.94,305.76,9.59,93.13,6,entregue,nao,sim,21.53,
