registro_id,data_evento,cidade,uf,canal,dispositivo,categoria_produto,produto,preco_produto,valor_frete,cupom_utilizado,desconto_pct,etapa_funil,adicionou_carrinho,iniciou_pagamento,pagamento_aprovado,motivo_falha_pagamento,tempo_site_seg,quantidade_cliques,avaliacao_experiencia,origem_trafego,status_pedido,observacao
ECOM-00101,25/04/2025,Campinas,SP,app,desktop,notebook,Ultrabook,8062.7,32.15,nao,10,visualizou,nao,nao,nao,,,1,3.2,google_ads,finalizado,
ECOM-00102,2025-05-23,Campinas,SP,site,mobile,fone,Earbuds,845.16,"40,77",sim,0,visualizou,sim,nao,nao,,644,15,3.5,email,falha_pagamento,
ECOM-00103,04/06/2025,Goiânia,GO,site,desktop,notebook,Notebook Office,8012.47,"51,47",sim,15,compra,sim,sim,sim,,369,27,"3,9",organico,abandonado,
ECOM-00104,2025-05-30,Goiânia,GO,site,mobile,smartwatch,Watch Pro,809.47,67.51,nao,0,carrinho,sim,nao,nao,,,10,4.4,organico,,
ECOM-00105,13/04/2025,São Paulo,SP,site,mobile,smartphone,Redmi Pro,5566.57,"21,56",sim,0,compra,sim,sim,sim,,256,14,2.7,google_ads,,
ECOM-00106,06-04-2025,Uberlândia,MG,site,mobile,fone,Earbuds,679.91,76.65,sim,0,compra,sim,sim,nao,erro_gateway,240,25,3.0,google_ads,falha_pagamento,
ECOM-00107,2025-05-25,Salvador,BA,site,desktop,fone,Fone Bluetooth,"894,4",51.78,nao,5,visualizou,nao,nao,nao,,365,9,4.0,google_ads,,
ECOM-00108,2025-07-21,curitiba,PR,site,desktop,notebook,Notebook Gamer,2639.15,72.44,sim,5,pagamento,sim,sim,nao,,521,3,4.2,organico,falha_pagamento,
ECOM-00109,27/06/2025,Goiânia,GO,site,desktop,smartphone,Galaxy X,4901.34,44.91,nao,20,visualizou,sim,nao,nao,,5,1,5,instagram,finalizado,
ECOM-00110,2025-03-09,Uberaba,MG,site,mobile,smartphone,Redmi Pro,2701.04,"54,02",nao,15,pagamento,sim,sim,nao,pix_expirado,436,1,3.5,google_ads,abandonado,
ECOM-00111,2025-05-26,Salvador,BA,app,tablet,smartphone,Redmi Pro,"5888,98",33.65,sim,15,pagamento,sim,sim,nao,limite_insuficiente,192,9,5,organico,procesado,
ECOM-00112,2025-01-18,Campinas,SP,app,desktop,notebook,Notebook Office,8122.97,55.53,,0,pagamento,sim,sim,nao,erro_gateway,570,14,5,google_ads,,
ECOM-00113,data_invalida,Campinas,SP,site,mobile,smartphone,Galaxy X,6019.27,16.86,sim,10,visualizou,nao,nao,nao,,560,17,4.4,email,abandonado,
ECOM-00114,2025-04-20,São Paulo,SP,app,mobile,smartphone,Galaxy X,"5008,81",48.55,,0,visualizou,nao,nao,nao,,264,1,"3,6",organico,falha_pagamento,
ECOM-00115,06/09/2025,Uberlândia,MG,site,mobile,fone,Headset Gamer,586.39,"44,04",nao,15,compra,sim,sim,sim,,264,5,4.2,google_ads,falha_pagamento,
ECOM-00116,2025-06-19,São Paulo,SP,site,mobile,notebook,Notebook Gamer,9231.67,22.97,,0,carrinho,sim,nao,nao,,446,12,4.2,email,abandonado,
ECOM-00117,22/10/2025,Campinas,SP,app,mobile,fone,Headset Gamer,"453,95",40.18,sim,0,carrinho,sim,nao,nao,,597,19,3.4,instagram,falha_pagamento,
ECOM-00118,2025-02-05,São Paulo,SP,site,mobile,notbook,Watch Pro,2182.89,11.87,,5,carrinho,sim,nao,nao,,338,6,4.2,google_ads,falha_pagamento,
ECOM-00119,2025-10-14,Uberaba,MG,site,mobile,smartphone,Redmi Pro,4566.7,19.38,,10,visualizou,sim,nao,nao,,260,5,5.0,instagram,,
ECOM-00120,2025-08-14,salvador,BA,app,desktop,notebook,Ultrabook,"4478,09",11.81,nao,20,carrinho,sim,nao,nao,,348,14,4.4,organico,abandonado,
ECOM-00121,2025-01-19,Goiânia,GO,site,mobile,notebook,Notebook Gamer,5346.32,39.75,nao,0,compra,sim,sim,nao,cartao_recusado,63,1,2.9,organico,procesado,
ECOM-00122,2025-03-08,Campinas,SP,site,mobile,smartwatch,Smartwatch Fit,2447.27,68.15,sim,5,visualizou,sim,nao,nao,,430,9,3.2,direto,abandonado,
ECOM-00123,data_invalida,Goiânia,GO,app,mobile,smartwatch,Watch Pro,2055.33,12.44,,15,visualizou,nao,nao,nao,,191,12,3.7,google_ads,finalizado,
ECOM-00124,2025-06-21,Uberlândia,MG,site,mobile,smartphone,iPhone Z,1077.9,47.32,nao,15,pagamento,sim,sim,nao,erro_gateway,110,1,2.2,direto,,
ECOM-00125,07-05-2025,Goiânia,GO,app,mobile,fone,Headset Gamer,110.63,19.11,,0,visualizou,nao,nao,nao,,194,1,4.0,google_ads,finalizado,
ECOM-00126,2025-05-15,Uberlândia,MG,site,mobile,smartphone,Moto Plus,"4740,46","5,23",sim,0,pagamento,sim,sim,nao,,261,1,5,instagram,finalizado,
ECOM-00127,data_invalida,São Paulo,SP,site,mobile,smartphone,Galaxy X,3982.87,71.51,sim,15,compra,sim,sim,nao,cartao_recusado,,12,5,organico,falha_pagamento,
ECOM-00128,2025-07-19,Salvador,BA,site,tablet,notebook,Ultrabook,9495.66,59.31,sim,0,pagamento,sim,sim,nao,erro_gateway,5,8,2.8,google_ads,falha_pagamento,
ECOM-00129,2025-04-07,Uberlândia,mg,app,mobile,notebook,Notebook Gamer,"7651,5",62.69,,15,visualizou,nao,nao,nao,,5,7,"2,1",google_ads,abandonado,
ECOM-00130,2025-02-21,Goiânia,GO,site,mobile,smartphone,Redmi Pro,4738.21,11.92,nao,5,visualizou,nao,nao,nao,,140,5,4.9,direto,,
ECOM-00131,01-26-2025,Curitiba,PR,site,mobile,smartphone,Moto Plus,5529.57,31.54,,20,carrinho,sim,nao,nao,,179,8,"3,3",instagram,finalizado,
ECOM-00132,2025-01-17,Curitiba,PR,site,mobile,smartphone,iPhone Z,2898.85,63.02,nao,0,compra,sim,sim,sim,,253,13,3.1,google_ads,,
ECOM-00133,2025-10-06,Campinas,SP,app,desktop,fone,Headset Gamer,131.03,"50,82",nao,15,visualizou,sim,nao,nao,,45,7,5,email,,
ECOM-00134,2025-01-25,Uberaba,MG,site,mobile,fone,Fone Bluetooth,"487,45",1.29,sim,0,compra,sim,sim,sim,,343,11,3.4,organico,,
ECOM-00135,2025-10-03,Campinas,SP,site,mobile,notebook,Notebook Gamer,3710.49,"59,07",sim,0,visualizou,nao,nao,nao,,68,1,3.0,google_ads,finalizado,
ECOM-00136,2025-02-02,Uberlândia,MG,app,mobile,notebook,Notebook Office,"2801,14",71.3,,5,pagamento,sim,sim,nao,erro_gateway,53,15,3.8,organico,procesado,
ECOM-00137,2025-02-11,Campinas,SP,site,mobile,acessorios,Teclado,89.24,74.78,,5,visualizou,sim,nao,nao,,545,1,3.5,instagram,falha_pagamento,
ECOM-00138,16/02/2025,Salvador,BA,site,mobile,smartphone,Galaxy X,4170.81,"15,17",sim,0,pagamento,sim,sim,nao,limite_insuficiente,124,1,3.9,organico,procesado,
ECOM-00139,2025-02-10,São Paulo,SP,site,mobile,smartwatch,Watch Pro,1428.81,53.33,sim,0,carrinho,sim,nao,nao,,473,13,3.4,instagram,finalizado,
ECOM-00140,2025-02-09,Campinas,SP,site,desktop,smartphone,Galaxy X,4917.47,"33,36",nao,0,compra,sim,sim,sim,,252,10,3.9,organico,abandonado,
ECOM-00141,2025-07-26,São Paulo,SP,app,desktop,fone,Headset Gamer,227.34,58.29,sim,0,pagamento,sim,sim,nao,pix_expirado,396,19,2.7,organico,procesado,
ECOM-00142,2025-06-16,Salvador,BA,site,desktop,smartwatch,Watch Pro,1065.56,6.93,nao,0,compra,sim,sim,sim,,429,6,4.1,organico,falha_pagamento,
ECOM-00143,2025-08-05,Uberlândia,MG,site,mobile,smartphone,iPhone Z,6428.73,"58,52",sim,0,pagamento,sim,sim,nao,limite_insuficiente,372,1,4.1,instagram,abandonado,
ECOM-00144,27/06/2025,Campinas,SP,site,desktop,notebook,Notebook Gamer,"5593,37","27,21",,0,visualizou,nao,nao,nao,,143,16,5,instagram,abandonado,
ECOM-00145,2025-07-27,São Paulo,SP,site,desktop,smartphone,iPhone Z,2294.74,47.69,sim,15,carrinho,sim,nao,nao,,610,6,"4,3",organico,abandonado,
ECOM-00146,2025-06-12,São Paulo,SP,site,mobile,smartwatch,Smartwatch Fit,"1911,61",41.64,,15,compra,sim,sim,sim,,384,10,3.6,google_ads,falha_pagamento,
ECOM-00147,2025-05-09,Goiânia,GO,app,tablet,fone,Fone Bluetooth,806.61,68.97,sim,20,compra,sim,sim,sim,,327,5,5,instagram,,
ECOM-00148,2025-03-14,Uberaba,MG,site,mobile,smartphone,iPhone Z,"3493,89",45.34,nao,10,carrinho,sim,nao,nao,,333,15,"4,6",direto,,
ECOM-00149,03-06-2025,Uberlândia,MG,app,mobile,smartphone,Redmi Pro,1126.88,30.16,,15,compra,sim,sim,sim,,146,28,2.4,instagram,,
ECOM-00150,25/09/2025,Goiânia,GO,site,mobile,acessorios,Mouse,380.86,"16,6",,0,visualizou,nao,nao,nao,,272,18,5,instagram,abandonado,
ECOM-00151,2025-04-06,São Paulo,SP,site,mobile,smartphone,iPhone Z,3913.15,34.24,,0,carrino,sim,nao,nao,,283,5,1.3,email,,
ECOM-00152,2025-07-15,Uberaba,MG,app,mobile,fone,Fone Bluetooth,144.8,2.11,sim,5,visualizou,sim,nao,nao,,615,5,3.2,organico,abandonado,
