registro_id,data_pedido,cidade,uf,cliente_id,prime,categoria_produto,produto,vendedor_tipo,valor_produto,valor_frete,prazo_estimado_dias,tempo_processamento_h,tempo_transporte_h,distancia_cd_cliente_km,volume_pacotes_rota,clima_rota,evento_sazonal,entrega_atrasada,avaliacao_cliente,devolucao,motivo_devolucao,produto_wishlist,abandonou_carrinho,comprado_junto,status_pedido,observacao
AMZ-00028,2025-06-04,Campinas,SP,C99,nao,livros,HQ Colecionável,amazon,1250.83,51.53,10,1,56,223.74,26,nublado,nenhum,nao,3.2,nao,,nao,nao,nao,procesado,
AMZ-00029,2025-08-05,Curitiba,PR,C55,sim,supermercado,Café,marketplace,418.55,0,7,9,22,46.16,54,nublado,nenhum,nao,2.9,nao,,sim,nao,sim,procesado,
AMZ-00030,2025-09-02,Curitiba,PR,C390,nao,casa,Filtro de Água,amazon,2789.55,85.52,2,17,17,"113,65",95,chuva,nenhum,nao,4.8,nao,,nao,nao,sim,cancelado,
AMZ-00031,2025-07-31,Uberlândia,MG,C491,sim,eletronicos,Fire TV,amazon,2677.36,71.79,10,8,6,135.2,42,temporal,nenhum,nao,3.5,sim,produto_danificado,nao,nao,,procesado,
AMZ-00032,2025-03-10,Goiânia,GO,C397,nao,casa,Panela,marketplace,1612.93,80.49,3,19,31,1,106,sol,nenhum,nao,5,nao,,sim,nao,,,
AMZ-00033,2025-08-09,Goiânia,GO,C189,nao,eletronicos,Fire TV,marketplace,1337.42,76.49,3,19,2,5.94,61,chuva,nenhum,nao,4.3,nao,,,sim,,,
AMZ-00034,17/02/2025,Campinas,SP,C2,sim,supermercado,Café,amazon,"1679,36",0,3,11,25,75.09,126,sol,black_friday,nao,5,nao,,,nao,nao,cancelado,
AMZ-00035,2025-01-11,Rio de Janeiro,RJ,C323,sim,eletronicos,Smartphone,marketplace,2075.41,0,2,15,55,"27,18",9,sol,nenhum,sim,4.2,nao,,sim,nao,nao,entregue,
AMZ-00036,2025-01-20,Uberlândia,MG,C281,nao,supermercado,Arroz,amazon,"3426,22",40.01,3,1,35,159.8,113,chuva,nenhum,nao,2.8,nao,,nao,sim,sim,procesado,
AMZ-00037,2025-02-07,Curitiba,pr,C524,sim,casa,Organizador,amazon,2634.25,0,1,5,51,122.0,133,chuva,nenhum,sim,3.8,sim,NA,,sim,,devolvido,
AMZ-00038,2025-03-29,Rio de Janeiro,RJ,C563,nao,casa,Organizador,marketplace,607.4,23.4,7,11,54,92.22,118,sol,nenhum,nao,4.6,nao,,nao,nao,sim,cancelado,
AMZ-00039,2025-02-05,Goiânia,GO,C299,nao,eletronicos,Echo Dot,amazon,2667.61,"31,63",5,15,23,"182,52",64,sol,nenhum,nao,4.6,nao,,sim,sim,nao,,
AMZ-00040,2025-03-16,Uberlândia,MG,C68,sim,supermercado,Arroz,marketplace,99999.99,0,4,1,55,170.71,49,chuva,nenhum,nao,3.7,nao,,sim,nao,,entregue,OUTLIER valor produto
AMZ-00041,2025-05-10,Rio de Janeiro,RJ,C19,sim,casa,Filtro de Água,marketplace,1220.28,40.76,1,10,13,247.9,52,sol,prime_day,nao,4.1,nao,,,nao,nao,procesado,
AMZ-00042,2025-07-09,Curitiba,PR,C546,sim,vestuario,Jaqueta,marketplace,2225.28,0,10,9,53,1,101,temporal,prime_day,sim,2.3,nao,,,nao,,devolvido,
AMZ-00043,2025-09-15,Campinas,SP,C249,nao,livros,Kindle eBook,amazon,656.11,49.35,7,25,13,110.16,6,chuva,nenhum,nao,4.9,nao,,nao,nao,sim,cancelado,
AMZ-00044,data_invalida,Salvador,ba,C174,nao,casa,Lâmpada LED,amazon,293.8,74.9,5,16,33,150.83,114,chuva,black_friday,nao,3.7,nao,,sim,nao,nao,entregue,
AMZ-00045,05-13-2025,Curitiba,PR,C562,sim,eletronicos,Echo Dot,marketplace,2707.01,0,5,6,29,147.91,11,sol,nenhum,sim,4.7,nao,,nao,nao,sim,devolvido,
AMZ-00046,10-18-2025,Curitiba,PR,C483,nao,livros,Livro Técnico,marketplace,793.42,63.74,10,20,39,196.73,164,sol,nenhum,nao,4.6,nao,,nao,nao,,cancelado,
AMZ-00047,2025-01-20,Salvador,BA,C142,nao,eletronicos,Carregador USB-C,marketplace,323.19,65.79,3,1,25,162.33,43,sol,nenhum,nao,3.6,nao,,nao,nao,sim,devolvido,
AMZ-00048,2025-07-11,Rio de Janeiro,RJ,C343,sim,livros,Livro Fantasia,marketplace,1405.39,46.45,4,20,2,183.47,124,nublado,nenhum,nao,"3,6",nao,,sim,nao,sim,,
AMZ-00049,2025-01-16,Rio de Janeiro,rj,C73,sim,eletronicos,Echo Dot,marketplace,3374.34,0,1,17,43,36.1,140,chuva,nenhum,sim,3.8,nao,,sim,sim,,devolvido,
AMZ-00050,data_invalida,Salvador,BA,C146,sim,eletronicos,Carregador USB-C,marketplace,1056.42,0,10,13,25,1,26,sol,nenhum,nao,3.1,sim,arrependimento,nao,nao,,cancelado,
AMZ-00051,data_invalida,Curitiba,PR,C413,sim,casa,Organizador,marketplace,2563.67,76.44,7,22,2,14.31,68,sol,nenhum,nao,4.7,nao,,nao,sim,,,
AMZ-00052,2025-09-14,Uberlândia,MG,C34,sim,eletronico,Kindle eBook,marketplace,448.39,0,3,12,41,1,120,sol,nenhum,nao,5,nao,,,sim,sim,procesado,
AMZ-00053,04-18-2025,Curitiba,pr,C160,nao,eletronicos,Carregador USB-C,amazon,2503.4,65.66,5,19,11,131.74,130,nublado,nenhum,nao,"3,5",nao,,nao,nao,,,
AMZ-00054,2025-03-28,Curitiba,PR,C502,nao,livros,Kindle eBook,marketplace,3214.91,"33,97",1,7,39,197.94,74,sol,black_friday,sim,4.1,nao,,sim,nao,nao,devolvido,
AMZ-00055,07-09-2025,Uberlândia,MG,C137,sim,livros,Livro Técnico,amazon,2858.6,1500.00,1,10,2,86.29,56,sol,nenhum,nao,3.4,nao,,sim,nao,sim,cancelado,OUTLIER frete muito alto
AMZ-00056,2025-06-16,Goiânia,GO,C112,nao,eletronicos,Echo Dot,amazon,2344.98,58.34,3,14,71,88.76,130,chuva,prime_day,sim,4.0,nao,,nao,sim,,procesado,
AMZ-00057,2025-05-09,Uberaba,MG,C526,sim,supermercado,Arroz,amazon,1039.64,0,4,13,19,50.0,141,sol,nenhum,nao,5,nao,,,sim,nao,,
AMZ-00058,2025-09-19,Curitiba,PR,C427,nao,vestuario,Camiseta,amazon,1992.13,67.21,7,12,38,56.73,151,sol,nenhum,nao,3.7,nao,,sim,nao,,entregue,
AMZ-00059,2025-10-24,Rio de Janeiro,RJ,C450,sim,eletronico,Tênis,amazon,297.31,22.41,2,20,11,46.77,60,chuva,nenhum,nao,"2,5",nao,,nao,nao,,,
AMZ-00060,2025-09-18,Uberaba,MG,C244,sim,casa,Filtro de Água,amazon,223.51,0,7,2,2,203.94,137,chuva,prime_day,nao,3.2,nao,,sim,nao,nao,cancelado,
AMZ-00061,data_invalida,são paulo,SP,C470,nao,vestuario,Tênis,marketplace,"3239,34",67.36,3,21,51,1,117,sol,nenhum,nao,3.6,nao,,sim,nao,,,
AMZ-00062,2025-04-11,goiânia,GO,C160,nao,vestuario,Camiseta,marketplace,923.17,88.91,10,9,52,"209,05",54,sol,nenhum,nao,3.6,nao,,nao,sim,nao,,
AMZ-00063,data_invalida,São Paulo,SP,C520,sim,casa,Filtro de Água,amazon,3354.52,0,2,17,51,"121,59",137,sol,black_friday,sim,2.1,nao,,nao,sim,nao,procesado,
AMZ-00064,03-12-2025,Campinas,SP,C528,nao,eletronicos,Echo Dot,marketplace,"3334,77",82.06,5,10,62,219.04,126,sol,natal,nao,2.7,nao,,nao,nao,,cancelado,
AMZ-00065,2025-08-12,Uberlândia,MG,C354,sim,casa,Filtro de Água,marketplace,"2833,39",61.81,7,8,20,197.15,123,sol,nenhum,nao,"4,2",nao,,sim,nao,nao,,
AMZ-00066,23/02/2025,Curitiba,PR,C142,sim,eletronicos,Echo Dot,amazon,1308.89,"63,68",7,1,61,69.09,200,sol,natal,sim,2.4,nao,,,nao,nao,entregue,
AMZ-00067,2025-04-09,Goiânia,GO,C347,nao,supermercado,Detergente,amazon,2086.1,70.7,1,23,9,1,115,temporal,nenhum,sim,3.1,nao,,sim,sim,nao,entregue,
AMZ-00068,2025-08-06,Curitiba,pr,C2,sim,casa,Panela,marketplace,560.6,0,3,8,97,36.63,23,nublado,natal,sim,"4,5",nao,,nao,sim,,procesado,
AMZ-00069,15/04/2025,Uberaba,MG,C149,sim,vestuario,Mochila,marketplace,2751.31,0,3,16,46,231.75,100,sol,black_friday,nao,4.2,nao,,,sim,sim,devolvido,
AMZ-00070,2025-07-03,Goiânia,GO,C254,nao,vestuario,Mochila,marketplace,"2362,87","43,1",5,12,36,"119,94",96,chuva,nenhum,nao,9,nao,,,nao,nao,procesado,VALOR INVALIDO avaliacao fora da escala
AMZ-00071,29/09/2025,Campinas,SP,C421,nao,casa,Lâmpada LED,amazon,1665.31,8.04,10,24,2,1,35,sol,nenhum,nao,4.4,nao,,sim,nao,nao,procesado,
AMZ-00072,2025-10-16,Campinas,SP,C472,sim,vestuario,Camiseta,amazon,2757.24,0,4,10,55,58.89,105,chuva,nenhum,nao,2.8,nao,,sim,nao,sim,devolvido,
AMZ-00073,2025-05-08,Curitiba,PR,C232,sim,eletronicos,Smartphone,marketplace,1391.49,66.06,4,10,21,248.02,167,nublado,nenhum,nao,2.8,sim,atraso,,nao,nao,devolvido,
AMZ-00074,03-01-2025,Uberaba,MG,C598,sim,supermercado,Café,amazon,2576.02,0,2,23,80,174.62,43,sol,prime_day,sim,2.9,sim,arrependimento,sim,sim,sim,procesado,
AMZ-00075,2025-02-17,São Paulo,SP,C305,sim,casa,Filtro de Água,marketplace,2226.31,0,10,6,36,129.74,14,sol,natal,sim,1.7,nao,,sim,nao,nao,cancelado,
AMZ-00076,2025-05-24,Uberlândia,MG,C5,sim,eletronicos,Smartphone,amazon,1640.28,41.4,5,16,66,"58,74",87,temporal,nenhum,sim,1.3,nao,,sim,sim,,entregue,
AMZ-00077,2025-03-31,Rio de Janeiro,RJ,C227,sim,supermercado,Café,marketplace,581.17,0,1,1,20,47.49,116,nublado,nenhum,nao,5,nao,,nao,nao,nao,procesado,
AMZ-00078,27/07/2025,Curitiba,PR,C322,sim,supermercado,Detergente,amazon,102.75,0,4,16,63,77.26,82,sol,nenhum,nao,4.5,nao,,nao,nao,sim,,
AMZ-00079,2025-10-28,São Paulo,SP,C255,nao,casa,Filtro de Água,amazon,2070.3,65.9,3,10,79,96.98,86,sol,nenhum,sim,4.0,nao,,,nao,nao,cancelado,
AMZ-00080,2025-03-06,são paulo,SP,C497,sim,eletronicos,Fire TV,marketplace,1138.4,0,5,1,16,"192,48",63,nublado,nenhum,sim,4.5,nao,,nao,sim,sim,procesado,
AMZ-00081,2025-08-08,Uberaba,MG,C183,nao,livros,Livro Técnico,marketplace,"1806,24",33.49,4,1,39,115.68,110,nublado,natal,nao,3.8,nao,,nao,nao,sim,entregue,
AMZ-00082,2025-02-05,Rio de Janeiro,RJ,C234,sim,eletronicos,Fone Bluetooth,amazon,28.94,0,7,16,51,264.19,49,sol,nenhum,nao,4.5,nao,,nao,nao,nao,cancelado,
AMZ-00083,2025-03-22,São Paulo,SP,C559,sim,livros,Livro Técnico,amazon,2590.29,0,1,22,19,232.53,54,sol,nenhum,sim,3.1,sim,falsificado,,nao,nao,entregue,
AMZ-00084,2025-04-05,Uberlândia,MG,C34,nao,supermercado,Café,amazon,"2433,4",29.35,2,10,15,49.27,44,sol,nenhum,nao,4.5,nao,,sim,nao,sim,cancelado,
AMZ-00085,2025-05-12,São Paulo,SP,C553,sim,vestuario,Camiseta,amazon,86.07,0,3,14,53,154.84,10000,sol,nenhum,nao,4.2,nao,,nao,sim,,devolvido,OUTLIER volume de rota
AMZ-00086,2025-06-20,Rio de Janeiro,RJ,C7,sim,eletronicos,Echo Dot,marketplace,"2801,48",55.35,1,7,37,"10,18",80,temporal,nenhum,sim,2.9,nao,,,nao,sim,procesado,
AMZ-00087,2025-03-08,Goiânia,GO,C140,sim,livros,Kindle eBook,amazon,1794.08,83.77,10,1,28,71.5,1,sol,nenhum,nao,3.4,nao,,,nao,nao,devolvido,
AMZ-00088,2025-05-05,campinas,SP,C499,nao,vestuario,Tênis,amazon,1587.03,20.24,4,10,3,140.19,84,sol,natal,nao,"2,6",sim,arrependimento,nao,nao,,devolvido,
AMZ-00089,2025-06-03,Campinas,SP,C535,sim,eletronicos,Fire TV,amazon,2500.34,0,10,11,23,25.17,50,sol,black_friday,nao,3.2,nao,,sim,sim,sim,procesado,
AMZ-00090,2025-04-18,Campinas,SP,C428,sim,eletronicos,Echo Dot,marketplace,"3428,1",0,3,16,58,147.06,46,nublado,nenhum,sim,"1,6",sim,produto_danificado,sim,sim,sim,,
AMZ-00091,2025-01-12,Uberlândia,MG,C534,sim,super mercado,Jaqueta,amazon,27.06,0,4,7,27,173.24,84,chuva,nenhum,sim,2.5,sim,arrependimento,sim,nao,,cancelado,
AMZ-00092,2025-06-27,Uberlândia,MG,C194,nao,vestuario,Jaqueta,amazon,2186.36,32.87,2,1,32,98.03,44,sol,nenhum,nao,4.5,nao,,sim,nao,nao,entregue,
AMZ-00093,2025-08-04,São Paulo,sp,C239,sim,livros,Livro Fantasia,amazon,95.6,14.57,4,17,61,238.8,106,chuva,nenhum,sim,1,sim,falsificado,sim,sim,nao,procesado,
AMZ-00094,2025-01-02,Campinas,SP,C293,sim,eletronicos,Fire TV,amazon,"496,27",0,7,7,42,44.37,11,nublado,nenhum,nao,5,nao,,nao,nao,,devolvido,
AMZ-00095,2025-02-10,Curitiba,pr,C224,nao,casa,Panela,amazon,"1623,71","35,25",1,1,59,44.81,7,sol,nenhum,sim,3.9,nao,,nao,nao,nao,entregue,
AMZ-00096,10-21-2025,Curitiba,PR,C366,nao,casa,Lâmpada LED,amazon,2255.77,70.82,10,1,8,53.79,142,sol,prime_day,nao,2.4,nao,,nao,sim,,cancelado,
AMZ-00097,data_invalida,Curitiba,PR,C102,sim,casa,Lâmpada LED,amazon,3263.97,0,5,6,86,92.33,87,chuva,black_friday,nao,4.2,nao,,,nao,sim,,
AMZ-00098,26/05/2025,Curitiba,PR,C276,nao,vestuario,Jaqueta,marketplace,2658.56,12.63,10,20,33,275.92,78,nublado,prime_day,nao,3.9,nao,,sim,nao,sim,devolvido,
AMZ-00099,22/01/2025,Salvador,BA,C416,nao,eletronico,Echo Dot,marketplace,"878,53",58.04,7,22,34,1,91,nublado,nenhum,nao,5,nao,,sim,nao,,devolvido,
AMZ-00100,15/09/2025,Goiânia,GO,C123,nao,eletronicos,Fone Bluetooth,amazon,"1600,22",44.95,0,1,2,189.89,115,nublado,prime_day,nao,3.4,nao,,nao,nao,,devolvido,VALOR INVALIDO prazo zerado
AMZ-00101,03-31-2025,Uberlândia,MG,C416,nao,livros,HQ Colecionável,amazon,1113.49,14.54,2,12,41,67.87,117,temporal,nenhum,sim,4.4,nao,,,nao,,cancelado,
AMZ-00102,data_invalida,Uberaba,MG,C173,sim,eletronico,Echo Dot,amazon,2450.74,0,7,3,29,58.62,73,nublado,nenhum,nao,3.8,nao,,sim,nao,,,
AMZ-00103,2025-10-01,Salvador,BA,C98,nao,vestuario,Tênis,marketplace,1351.95,16.85,10,25,38,1,93,sol,nenhum,nao,4.0,sim,falsificado,nao,sim,,entregue,
AMZ-00104,2025-03-01,Curitiba,PR,C448,sim,livros,Kindle eBook,amazon,1444.08,33.72,10,1,23,"19,02",37,temporal,black_friday,nao,4.8,nao,,,nao,sim,,
AMZ-00105,2025-06-24,São Paulo,SP,C531,sim,livros,Kindle eBook,marketplace,"1061,07",8.1,7,7,2,63.24,147,nublado,nenhum,nao,3.5,nao,,,sim,nao,,
AMZ-00106,2025-09-07,Campinas,SP,C540,nao,livros,Kindle eBook,amazon,2372.86,19.69,1,18,52,162.75,7,chuva,nenhum,sim,2.9,sim,NA,,nao,sim,cancelado,
AMZ-00107,2025-09-26,Goiânia,GO,C232,sim,eletronicos,Fone Bluetooth,marketplace,566.01,0,4,15,41,15.27,186,sol,nenhum,nao,3.2,sim,NA,,sim,,cancelado,
AMZ-00108,2025-08-11,Curitiba,PR,C554,sim,eletronicos,Fone Bluetooth,amazon,3429.45,0,4,27,29,106.2,1,sol,nenhum,nao,2.6,nao,,nao,nao,,devolvido,
AMZ-00109,2025-06-24,Curitiba,PR,C352,sim,eletronicos,Smartphone,amazon,"2398,42","86,78",2,3,60,157.11,1,chuva,nenhum,sim,4.0,nao,,sim,sim,sim,devolvido,
AMZ-00110,2025-02-05,Uberlândia,mg,C197,nao,eletronicos,Fone Bluetooth,amazon,2574.2,22.62,5,6,39,133.56,71,sol,nenhum,sim,3.5,nao,,sim,nao,nao,entregue,
AMZ-00111,2025-04-03,Rio de Janeiro,RJ,C2,sim,vestuario,Mochila,marketplace,1797.66,68.37,7,7,39,1,74,sol,prime_day,nao,4.4,nao,,,sim,,cancelado,
AMZ-00112,2025-09-06,Uberlândia,MG,C425,nao,casa,Lâmpada LED,amazon,3016.35,79.11,4,3,42,69.51,126,sol,nenhum,nao,"2,5",nao,,sim,nao,,cancelado,
AMZ-00113,2025-02-18,Curitiba,PR,C94,sim,supermercado,Detergente,marketplace,3180.54,0,10,12,28,"143,85",67,nublado,black_friday,nao,3.9,nao,,nao,nao,,devolvido,
AMZ-00114,2025-10-09,Campinas,SP,C229,sim,eletronico,Mochila,marketplace,482.68,0,2,13,37,111.78,101,sol,black_friday,sim,3.5,nao,,nao,nao,nao,cancelado,
AMZ-00115,2025-01-18,Campinas,sp,C195,nao,eletronicos,Smartphone,marketplace,710.76,57.9,7,1,27,116.66,79,nublado,nenhum,nao,4.1,nao,,nao,nao,nao,,
AMZ-00116,2025-06-25,Uberlândia,MG,C359,nao,vestuario,Jaqueta,amazon,447.16,40.61,2,12,45,125.89,40,chuva,nenhum,sim,2.9,nao,,nao,nao,nao,cancelado,
AMZ-00117,2025-07-27,Goiânia,GO,C86,sim,eletronicos,Fone Bluetooth,amazon,727.64,0,10,11,49,49.48,118,chuva,nenhum,nao,2.6,sim,falsificado,sim,nao,sim,entregue,
AMZ-00118,2025-07-31,Salvador,BA,C505,sim,eletronicos,Carregador USB-C,amazon,996.54,"17,78",10,9,77,1,120,sol,prime_day,nao,"4,5",nao,,sim,nao,nao,devolvido,
AMZ-00119,2025-06-29,Salvador,BA,C149,sim,casa,Filtro de Água,marketplace,"939,96",19.73,2,16,43,247.12,76,chuva,prime_day,sim,4.0,nao,,,nao,,devolvido,
AMZ-00120,2025-02-13,Uberlândia,MG,C361,nao,eletronicos,Echo Dot,amazon,1153.45,12.67,4,3,35,"27,39",80,sol,nenhum,nao,4.2,nao,,sim,nao,sim,cancelado,
AMZ-00121,04-26-2025,Campinas,SP,C531,nao,casa,Organizador,marketplace,"3131,73",25.43,7,18,44,202.8,46,temporal,nenhum,nao,3.8,nao,,,sim,sim,procesado,
AMZ-00122,data_invalida,Curitiba,PR,C468,sim,livros,Livro Técnico,marketplace,3289.52,0,5,1,2,1,50,sol,prime_day,sim,"2,2",nao,,,nao,sim,,
AMZ-00123,2025-09-26,Campinas,sp,C507,nao,livros,Livro Técnico,amazon,3090.73,74.41,1,3,33,49.33,71,sol,natal,sim,2.7,nao,,,sim,,entregue,
AMZ-00124,2025-09-20,Campinas,SP,C252,sim,eletronicos,Fire TV,amazon,2422.46,0,5,16,24,41.7,31,nublado,prime_day,nao,4.0,sim,produto_errado,sim,nao,sim,cancelado,
AMZ-00125,14/04/2025,Curitiba,pr,C387,sim,eletronicos,Fire TV,marketplace,2929.6,17.38,1,6,42,231.82,98,sol,nenhum,sim,1.7,nao,,sim,sim,,,
AMZ-00126,2025-06-26,Salvador,BA,C189,sim,livros,Livro Fantasia,marketplace,"2741,68",0,10,13,39,51.24,70,nublado,nenhum,nao,5,nao,,,nao,nao,,
AMZ-00127,data_invalida,Curitiba,PR,C584,sim,vestuario,Tênis,amazon,2183.35,0,2,16,61,59.06,91,sol,nenhum,sim,2.2,nao,,nao,sim,nao,cancelado,
AMZ-00128,2025-08-05,Goiânia,GO,C538,nao,vestuario,Camiseta,marketplace,2355.9,27.44,5,6,34,84.93,128,nublado,nenhum,nao,4.5,nao,,nao,nao,sim,,
AMZ-00129,2025-07-13,uberlândia,MG,C331,sim,eletronicos,Carregador USB-C,amazon,2420.21,0,7,13,41,1,130,temporal,nenhum,nao,2.6,nao,,nao,sim,nao,entregue,
AMZ-00130,08-16-2025,São Paulo,SP,C13,sim,eletronicos,Smartphone,amazon,3155.2,0,3,14,24,"109,66",27,nublado,black_friday,nao,3.2,nao,,,sim,,devolvido,
AMZ-00131,09/07/2025,Curitiba,PR,C403,sim,casa,Filtro de Água,marketplace,154.97,0,5,18,40,182.97,49,nublado,nenhum,nao,2.7,nao,,nao,nao,sim,entregue,
AMZ-00132,2025-09-18,são paulo,SP,C385,nao,casa,Lâmpada LED,amazon,1527.17,39.02,7,8,52,"272,53",62,chuva,nenhum,nao,3.0,nao,,sim,nao,sim,devolvido,
AMZ-00133,2025-06-25,uberlândia,MG,C386,nao,casa,Panela,amazon,"757,18","84,08",2,18,2,"26,87",1,chuva,nenhum,nao,"4,6",nao,,,sim,sim,entregue,
AMZ-00134,2025-09-19,Uberaba,MG,C572,sim,livros,Kindle eBook,marketplace,1751.81,0,5,13,2,63.88,1,temporal,natal,nao,5,nao,,sim,sim,sim,entregue,
AMZ-00135,2025-02-04,Campinas,SP,C221,nao,eletronicos,Carregador USB-C,amazon,2829.81,"36,09",1,10,2,250.44,70,nublado,nenhum,nao,5,sim,produto_danificado,,nao,sim,entregue,
AMZ-00136,2025-04-17,Salvador,BA,C161,sim,vestuario,Mochila,marketplace,3462.53,0,4,3,38,110.66,72,nublado,nenhum,nao,4.4,nao,,sim,nao,sim,,
