registro_id,data_viagem,cidade,uf,regiao,latitude,longitude,modal,tempo_viagem_min,distancia_km,custo,avaliacao_usuario,usuario_id,frequencia_uso_mes,tempo_desde_ultima_viagem_dias,cupom_utilizado,cancelou_viagem,clima,hora,dia_semana,observacao
ECO-00015,2025-03-26,Uberlândia,MG,centro,"-18,868629",-48.260674,patinete,30,7.67,18.99,4.3,U253,6,56,,nao,sol,16,seg,
ECO-00016,2025-04-02,Campinas,SP,norte,"-22,863231",-47.058432,publico,33,4.32,14.52,3.0,U208,30,30,,nao,sol,5,qui,
ECO-00017,24/01/2025,Uberaba,MG,norte,"-19,718422","-47,975029",carro,21,3.97,9.27,1.8,U99,9,0,nao,sim,sol,17,qui,
ECO-00018,2025-03-24,Salvador,BA,centro,-13.013327,-38.497908,bike,13,0.5,1.74,1.4,U337,15,54,,nao,nublado,10,dom,
ECO-00019,2025-06-19,Uberlândia,MG,sul,-18.958578,-48.24119,carro,19,1.82,6.39,2.4,U381,7,12,sim,nao,sol,7,dom,
ECO-00020,2025-03-06,Uberaba,MG,sul,-19.769393,-47.939194,bike,26,"5,52",14.9,1.5,U84,10,8,nao,nao,nublado,22,qui,
ECO-00021,2025-02-03,Curitiba,PR,sul,-25.430582,-49.313553,bike,11,3.02,8.18,3.1,U247,11,5,,nao,chuva,14,ter,
ECO-00022,09/09/2025,Uberlândia,mg,sul,-18.917444,"-48,282078",carro,25,3.57,11.95,4.0,U278,8,55,sim,nao,sol,5,sab,
ECO-00023,18/03/2025,Curitiba,PR,oeste,-25.406921,-49.240066,publico,28,2.11,5.49,1.4,U163,27,12,,nao,sol,2,ter,
ECO-00024,2025-05-21,São Paulo,SP,oeste,-23.539005,-46.623681,bike,3,3.51,6.4,1.3,U142,30,51,sim,nao,sol,12,sab,
ECO-00025,2025-09-17,São Paulo,SP,norte,-23.519261,-46.624793,patinete,22,100,10.86,3.9,U356,25,52,sim,sim,sol,6,seg,OUTLIER distancia
ECO-00026,2025-04-10,Uberaba,MG,centro,"-19,751452",-47.986952,publico,25,3.36,8.86,4.9,U107,16,59,,nao,chuva,21,seg,
ECO-00027,09-30-2025,Campinas,SP,norte,"-22,860343",-47.039659,publico,13,0.5,1.36,3.3,U357,11,9,,nao,sol,0,qui,
ECO-00028,2025-07-10,Uberlândia,MG,leste,-18.869642,-48.321346,patinete,5,3.78,8.53,2.9,U100,1,50,sim,sim,chuva,17,sex,
ECO-00029,2025-08-27,São Paulo,SP,oeste,-23.554197,-46.624969,patinete,14,7.43,21.24,1.5,U258,28,11,,sim,sol,6,qua,
ECO-00030,04-26-2025,Uberaba,MG,oeste,-19.750526,"-47,942865",publico,12,3.15,11.4,3.8,U280,24,28,,sim,sol,16,seg,
ECO-00031,04-06-2025,Curitiba,PR,norte,-25.387797,-49.255168,bike,25,"5,27",16.33,3.4,U115,3,6,nao,sim,sol,12,ter,
ECO-00032,2025-05-11,Uberaba,MG,leste,-19.786441,-47.974125,patinete,3,0.98,3.01,2.3,U310,16,45,sim,sim,nublado,19,qui,
ECO-00033,2025-08-16,Curitiba,PR,norte,-25.386511,-49.250148,carro,7,3.41,8.34,3.3,U149,2,26,nao,sim,nublado,1,qua,
ECO-00034,2025-02-15,Curitiba,PR,norte,-25.439765,-49.257696,bike,13,2.55,10.06,1.4,U267,24,47,nao,sim,sol,23,qui,
ECO-00035,2025-06-12,Curitiba,PR,leste,-25.459392,-49.238268,publico,30,1.91,4.63,3.6,U212,2,16,sim,nao,sol,1,ter,
ECO-00036,07-28-2025,salvador,BA,sul,-12.987944,-38.467436,patinete,3,4.83,11.5,2.7,U284,4,45,sim,sim,sol,22,qua,
ECO-00037,2025-07-22,Uberlândia,MG,norte,-18.949281,-48.283903,patinete,9,3.92,14.94,3.4,U32,10,17,sim,nao,nublado,13,sab,
ECO-00038,2025-01-29,salvador,BA,oeste,"-13,012906",-38.547392,publico,11,4.72,14.59,4.0,U338,16,43,,nao,nublado,11,sex,
ECO-00039,data_invalida,Uberlândia,MG,leste,"-18,959278",-48.311267,publico,16,4.69,11.95,1.2,U4,11,46,sim,nao,sol,19,qua,
ECO-00040,2025-08-14,Curitiba,PR,centro,-25.410835,-49.246396,bike,19,"2,62",999.99,2.0,U32,25,28,,sim,chuva,17,sab,OUTLIER custo
ECO-00041,06-20-2025,Uberaba,MG,centro,-19.711646,"-47,937095",bike,18,5.65,21.09,3.1,U114,18,41,nao,nao,nublado,17,qui,
ECO-00042,2025-07-09,Uberlândia,MG,centro,"-18,91491",-48.284377,patinete,36,7.99,30.57,2.5,U315,23,12,nao,nao,sol,12,dom,
ECO-00043,2025-07-26,Uberlândia,MG,centro,-18.914778,-48.282809,carro,22,0.5,0.8,3.9,U164,7,17,sim,sim,sol,1,dom,
ECO-00044,2025-09-16,Salvador,BA,oeste,-12.960736,-38.47965,patinete,19,7.17,10.9,1.5,U261,19,34,nao,sim,sol,6,sex,
ECO-00045,29/09/2025,Campinas,SP,centro,"-22,877787",-47.070495,patinete,15,"4,97",19.0,3.2,U180,20,12,sim,sim,nublado,6,qui,
ECO-00046,06-27-2025,Salvador,BA,centro,-13.025864,-38.490583,patinete,27,5.8,11.07,3.9,U319,4,44,sim,nao,nublado,12,qui,
ECO-00047,10/01/2025,Campinas,SP,leste,"-22,868002","-47,017413",publico,13,2.17,5.89,2.3,U222,4,25,,nao,sol,0,sex,
ECO-00048,04/08/2025,Salvador,BA,oeste,-13.002809,-38.546566,bike,28,4.07,14.79,1.3,U332,23,9,sim,nao,nublado,16,dom,
ECO-00049,27/07/2025,Uberlândia,MG,oeste,"-18,884798",-48.322571,bike,5,4.66,15.15,1.9,U63,9,14,,nao,chuva,1,sab,
ECO-00050,2025-06-15,Uberlândia,MG,norte,-18.929866,-48.294029,bike,23,2.73,8.86,2.1,U105,15,0,,nao,sol,11,sab,
ECO-00051,2025-05-20,Campinas,SP,centro,-22.940397,-47.035668,patinete,17,0.5,1.54,1.8,U126,14,15,nao,nao,sol,7,sab,
ECO-00052,2025-09-18,Uberaba,MG,centro,-19.72976,-47.916738,publico,13,0.5,2.0,4.5,U306,0,13,sim,nao,sol,12,sex,
ECO-00053,2025-09-25,Salvador,BA,centro,-13.024114,-38.485279,bike,10,4.14,14.38,4.5,U120,26,40,sim,nao,sol,3,qui,
ECO-00054,2025-08-24,São Paulo,sp,norte,-23.51459,-46.596515,bike,19,5.56,12.09,3.3,U56,3,14,nao,nao,nublado,21,sex,
ECO-00055,08/01/2025,Salvador,BA,oeste,-13.016028,-38.497713,patinete,20,4.62,13.99,4.5,U47,200,16,nao,sim,nublado,22,qua,OUTLIER frequencia
ECO-00056,2025-08-31,São Paulo,sp,centro,-23.59048,"-46,665639",patinete,17,4.98,13.9,2.4,U328,2,45,,sim,chuva,10,sab,
ECO-00057,data_invalida,São Paulo,SP,sul,-23.547017,-46.583882,patinete,20,9.16,32.78,2.6,U243,3,48,,sim,sol,20,ter,
ECO-00058,02-06-2025,Uberaba,MG,oeste,"-19,733481",-47.980658,patinete,4,4.62,14.93,3.7,U29,5,5,nao,nao,chuva,7,qua,
ECO-00059,2025-10-22,Uberaba,MG,oeste,-19.706358,"-47,97455",patinete,27,0.5,1.91,4.3,U399,8,51,,nao,nublado,21,qui,
ECO-00060,2025-05-13,Salvador,BA,oeste,-13.001218,-38.505794,bike,11,4.74,9.78,3.3,U257,4,34,,sim,sol,11,ter,
ECO-00061,02-09-2025,Campinas,SP,norte,-22.889793,-47.05937,bike,3,"0,5",1.89,3.3,U306,17,31,sim,nao,sol,12,dom,
ECO-00062,2025-05-19,Salvador,BA,centro,-12.972143,-38.533606,bike,19,"4,91",14.83,1.9,U106,17,21,nao,sim,chuva,19,sex,
ECO-00063,2025-01-01,São Paulo,SP,norte,-23.534256,"-46,649388",patinete,30,"3,83",10.27,3.8,U84,24,40,,nao,nublado,3,dom,
ECO-00064,23/06/2025,Uberaba,MG,sul,-19.721893,"-47,977787",publico,37,"0,5",0.76,5.0,U302,26,29,sim,nao,sol,1,qui,
ECO-00065,2025-06-03,Campinas,SP,sul,-22.939194,-47.058317,bike,17,0.9,2.62,2.3,U213,26,45,,nao,nublado,1,dom,
ECO-00066,2025-03-28,Uberlândia,MG,centro,-18.925699,-48.268014,carro,18,"0,96",3.61,3.4,U283,29,37,sim,sim,sol,17,qui,
ECO-00067,2025-01-03,Salvador,BA,leste,"-12,965372",-38.461606,carro,25,"4,81",12.78,3.8,U191,26,43,nao,nao,chuva,0,qua,
ECO-00068,2025-02-04,Curitiba,PR,norte,-25.392785,-49.300059,publico,28,"7,08",17.7,3.1,U166,13,23,sim,sim,sol,0,dom,
ECO-00069,11/10/2025,Uberlândia,MG,leste,-18.939261,-48.256491,carro,6,4.51,15.07,4.8,U184,6,19,,nao,sol,5,ter,
ECO-00070,2025-08-05,Uberaba,MG,leste,-19.730144,-47.9821,patinete,25,8.51,30.04,9,U57,26,22,nao,sim,nublado,7,dom,INVALIDO avaliacao
ECO-00071,2025-06-15,Curitiba,PR,sul,"-25,401617",-49.320249,publico,21,3.36,9.53,2.0,U181,4,16,nao,nao,chuva,11,ter,
ECO-00072,2025-09-08,Uberlândia,MG,centro,"-18,886252",-48.3256,bike,26,0.5,1.48,3.8,U251,24,5,,sim,nublado,1,ter,
ECO-00073,2025-09-27,Salvador,BA,norte,-12.999856,-38.530837,bike,18,2.4,6.24,2.9,U52,22,26,,sim,nublado,18,seg,
ECO-00074,2025-05-14,Curitiba,PR,leste,-25.413579,"-49,310732",publico,20,"2,88",5.05,2.0,U337,13,53,sim,nao,sol,20,qui,
ECO-00075,2025-06-20,Salvador,BA,sul,-12.965914,"-38,499207",patinete,10,2.24,3.39,3.3,U271,25,30,,sim,nublado,7,sab,
ECO-00076,2025-09-27,Uberaba,MG,centro,-19.74964,-47.927098,bike,29,9.17,18.07,3.1,U112,28,0,sim,nao,sol,14,sab,
ECO-00077,2025-08-05,curitiba,PR,leste,-25.440735,-49.27809,carro,18,"6,07",16.51,4.7,U206,17,51,nao,sim,sol,0,sex,
ECO-00078,2025-04-24,Salvador,BA,centro,-12.986403,-38.468932,bike,22,9.78,24.58,3.9,U246,13,12,sim,sim,chuva,5,seg,
ECO-00079,2025-04-11,Uberlândia,MG,leste,-18.900084,-48.268085,patinete,11,"3,62",6.81,3.9,U324,1,27,,sim,sol,21,sab,
ECO-00080,2025-09-26,Campinas,SP,norte,-22.954333,-47.024908,patinete,10,"6,15",19.13,3.6,U21,6,26,,nao,sol,5,sab,
ECO-00081,2025-02-03,uberaba,MG,oeste,-19.794891,-47.943108,patinete,10,2.76,4.79,3.0,U398,12,50,sim,sim,sol,4,seg,
ECO-00082,2025-08-31,Campinas,SP,centro,-22.952691,-47.080779,patinete,25,"0,5",1.33,1.0,U205,19,32,sim,nao,sol,2,sab,
ECO-00083,10-22-2025,São Paulo,SP,centro,"-23,565165",-46.596104,bike,28,6.55,16.1,3.2,U80,24,41,sim,sim,sol,3,ter,
ECO-00084,data_invalida,Curitiba,PR,leste,-25.380338,"-49,28552",bike,20,0.5,1.65,3.5,U15,3,17,sim,nao,nublado,3,seg,
ECO-00085,06-22-2025,São Paulo,SP,norte,-23.570256,-46.669339,bike,3,"1,82",5.89,4.7,U139,16,27,sim,nao,sol,18,qui,
ECO-00086,2025-05-28,Curitiba,PR,centro,-25.411597,-49.242082,carro,15,5.6,18.92,3.0,U233,23,42,nao,sim,sol,1,ter,
ECO-00087,03/10/2025,são paulo,SP,oeste,-23.53477,-46.622696,publico,12,2.49,7.53,1.4,U294,21,58,nao,nao,nublado,16,seg,
ECO-00088,2025-04-03,Campinas,SP,sul,"-22,898273",-47.019518,bike,11,3.38,9.92,4.8,U213,4,43,nao,sim,chuva,2,seg,
ECO-00089,02-01-2025,Campinas,SP,sul,-22.903449,-47.080505,patinete,17,3.2,9.61,5.0,U96,18,39,,nao,sol,3,sex,
ECO-00090,2025-01-08,Curitiba,PR,norte,-25.406356,"-49,259486",carro,9,4.93,11.99,2.0,U340,6,3,,sim,nublado,23,sab,
ECO-00091,2025-08-06,campinas,SP,centro,-22.951826,-47.016908,patinete,13,3.23,9.15,4.3,U244,0,43,nao,nao,sol,4,dom,
ECO-00092,2025-10-20,Salvador,ba,oeste,-12.931178,"-38,528063",carro,27,4.08,6.95,1.7,U371,9,13,nao,sim,nublado,6,qui,
ECO-00093,12/06/2025,Campinas,SP,leste,-22.937144,-47.076155,bike,22,2.44,4.05,2.1,U38,8,46,,sim,nublado,1,qui,
ECO-00094,2025-03-07,Curitiba,PR,norte,-25.416937,-49.248492,publico,3,4.85,13.64,4.0,U238,25,48,nao,sim,sol,16,dom,
ECO-00095,2025-06-22,Campinas,SP,oeste,-22.942671,-47.011602,bike,28,4.21,11.32,2.5,U150,23,40,nao,nao,chuva,12,sex,
ECO-00096,2025-10-01,Uberlândia,MG,centro,-18.890239,-48.320648,bike,7,0.5,1.17,2.2,U241,3,33,,sim,sol,13,qua,
ECO-00097,2025-01-01,Salvador,BA,leste,-12.978588,"-38,528541",patinete,28,0.5,0.83,3.7,U200,7,45,nao,nao,sol,20,qui,
ECO-00098,data_invalida,Uberaba,MG,oeste,-19.766738,-47.92512,patinete,10,1.03,1.86,2.2,U204,25,37,sim,nao,sol,22,dom,
ECO-00099,25/02/2025,Curitiba,PR,centro,-25.468273,-49.248926,patinete,15,0.5,1.21,1.1,U237,14,34,nao,nao,chuva,6,sex,
ECO-00100,2025-01-22,Campinas,SP,leste,-22.906744,-47.013626,publico,38,6.26,11.35,2.0,U5,7,8,nao,sim,nublado,15,seg,
ECO-00101,2025-10-09,Salvador,BA,norte,-12.989374,-38.509785,carro,14,2.43,4.04,2.6,U321,24,53,,sim,sol,11,sab,
ECO-00102,2025-06-11,Salvador,BA,norte,"-12,985719",-38.508622,patinete,3,3.36,10.81,4.0,U117,12,10,,nao,sol,16,ter,
ECO-00103,2025-09-09,uberlândia,MG,sul,-18.949866,"-48,233479",bike,22,"8,39",22.64,2.0,U337,28,55,sim,nao,nublado,11,ter,
ECO-00104,02/02/2025,Campinas,SP,norte,-22.905763,-47.085057,patinete,8,3.9,14.78,3.3,U173,16,50,sim,nao,sol,10,qui,
ECO-00105,2025-03-12,Curitiba,PR,centro,-25.380998,-49.255504,bike,25,"2,79",5.42,3.9,U328,25,33,sim,nao,sol,11,sab,
ECO-00106,2025-03-30,Campinas,SP,leste,-22.891575,-47.080351,patinete,3,10.04,21.82,4.2,U251,24,50,,sim,chuva,18,qui,
ECO-00107,2025-08-05,Campinas,SP,oeste,-22.913202,-47.086445,publico,32,2.82,11.11,2.5,U82,16,22,nao,sim,chuva,1,qua,
ECO-00108,2025-04-01,Uberlândia,mg,sul,-18.873314,-48.229468,bike,3,6.95,15.49,1.6,U358,18,28,nao,sim,chuva,13,seg,
ECO-00109,2025-07-26,Campinas,SP,leste,-22.879999,-47.110714,patinete,21,1.54,4.03,4.6,U311,19,51,sim,nao,chuva,21,dom,
ECO-00110,2025-05-02,Campinas,SP,centro,-22.930622,-47.077679,patinete,13,6.86,12.01,4.7,U96,13,42,sim,nao,sol,11,sex,
ECO-00111,25/10/2025,Curitiba,PR,oeste,-25.405465,-49.319036,carro,9,"0,5",0.99,3.2,U8,23,34,,nao,chuva,6,sab,
ECO-00112,2025-05-26,Salvador,BA,oeste,-12.976901,-38.464489,publico,4,0.5,1.5,3.7,U64,28,55,nao,sim,nublado,23,seg,
ECO-00113,03-12-2025,São Paulo,SP,oeste,-23.553801,-46.604575,bike,7,2.32,4.89,4.7,U67,19,4,,nao,sol,17,sex,
ECO-00114,2025-03-23,Campinas,SP,centro,"-22,940394",-47.097693,patinete,13,1.86,5.42,4.7,U252,17,24,nao,nao,sol,18,sab,
ECO-00115,10-01-2025,Campinas,SP,oeste,-22.902305,-47.056926,bike,22,4.74,17.16,1.1,U191,30,52,sim,nao,nublado,13,ter,
ECO-00116,2025-06-12,São Paulo,SP,sul,-23.578526,-46.66058,carro,15,3.2,12.56,1.1,U389,25,47,sim,sim,chuva,15,qua,
ECO-00117,2025-10-23,Uberaba,MG,centro,-19.785489,"-47,968504",publico,8,2.51,8.75,4.1,U385,27,15,sim,nao,sol,0,seg,
ECO-00118,data_invalida,Uberlândia,MG,leste,-18.947376,-48.276337,patinete,21,"0,5",1.39,1.0,U129,4,60,nao,sim,nublado,18,qua,
ECO-00119,data_invalida,São Paulo,sp,norte,-23.525389,-46.643962,patinete,20,2.56,3.98,2.7,U106,1,18,,nao,sol,9,qua,
ECO-00120,2025-05-06,São Paulo,SP,sul,-23.526657,-46.605932,carro,7,4.97,15.23,2.8,U246,29,4,,sim,sol,22,sex,
ECO-00121,2025-09-09,Uberlândia,MG,sul,-18.921822,-48.321522,publico,17,2.89,4.86,4.0,U345,12,20,,sim,chuva,19,seg,
ECO-00122,2025-01-07,Curitiba,PR,leste,"-25,463278","-49,291987",publico,26,8.71,21.78,3.1,U273,2,28,nao,sim,nublado,0,sex,
ECO-00123,2025-02-20,Uberaba,MG,oeste,-19.777193,-47.914172,bike,35,0.84,1.69,3.7,U291,1,59,sim,nao,sol,4,sab,
ECO-00124,22/05/2025,Uberlândia,MG,oeste,-18.930477,-48.24626,bike,25,"1,39",3.49,2.1,U124,20,31,nao,sim,sol,19,dom,
ECO-00125,2025-01-11,Uberlândia,MG,oeste,-18.899199,-48.280144,bike,3,0.5,1.2,3.2,U80,1,53,nao,nao,chuva,22,sex,
ECO-00126,05/10/2025,são paulo,SP,centro,-23.594506,-46.611259,patinete,13,"0,5",1.65,3.2,U140,21,28,nao,nao,chuva,22,qua,
ECO-00127,2025-10-24,Campinas,SP,leste,-22.951525,-47.017633,patinete,17,4.52,16.21,3.7,U273,20,47,nao,sim,sol,4,qua,
ECO-00128,2025-01-05,São Paulo,SP,leste,-23.575222,-46.592341,bike,8,2.65,10.46,2.8,U107,28,8,nao,nao,nublado,8,qua,
ECO-00129,04-21-2025,Campinas,SP,centro,-22.918956,-47.027007,publico,16,2.77,5.71,3.4,U296,12,15,nao,nao,sol,11,qua,
ECO-00130,2025-02-07,Uberaba,MG,norte,-19.776056,-47.928229,publico,15,3.36,7.25,4.0,U207,7,4,sim,sim,sol,15,ter,
ECO-00131,2025-06-16,Curitiba,pr,centro,-25.43563,-49.236019,carro,20,4.93,18.61,2.0,U244,27,17,nao,sim,sol,2,qui,
ECO-00132,2025-03-21,Uberaba,MG,sul,-19.742579,-47.919307,patinete,3,7.92,14.5,4.4,U140,7,51,nao,sim,chuva,19,qua,
ECO-00133,2025-10-18,Curitiba,PR,leste,-25.402128,-49.243212,bike,33,0.5,1.49,4.3,U73,28,44,nao,nao,nublado,2,dom,
ECO-00134,2025-06-14,São Paulo,SP,oeste,-23.519388,-46.660698,bike,14,3.43,8.92,2.4,U394,2,23,,sim,chuva,7,qua,
ECO-00135,2025-10-11,Uberlândia,MG,oeste,-18.914751,-48.310964,patinete,11,"4,11",10.41,1.1,U108,18,41,sim,nao,nublado,14,ter,
ECO-00136,02-13-2025,Uberaba,MG,sul,-19.768359,-47.90565,publico,11,3.74,10.19,1.5,U8,10,14,nao,nao,sol,21,qua,
ECO-00137,25/07/2025,Salvador,BA,leste,-13.016151,-38.462808,bike,20,11.88,46.23,4.0,U270,1,15,sim,nao,sol,23,qui,
ECO-00138,data_invalida,Campinas,SP,centro,-22.913135,-47.078334,publico,34,"0,79",1.29,5.0,U363,15,48,nao,nao,nublado,10,ter,
ECO-00139,2025-07-07,Curitiba,PR,centro,-25.384265,-49.251514,publico,7,"6,83",21.7,1.7,U122,11,25,sim,nao,sol,22,seg,
ECO-00140,21/06/2025,Curitiba,PR,norte,-25.441062,-49.2483,carro,13,7.09,10.99,2.6,U113,24,43,,nao,sol,7,sab,
ECO-00141,2025-07-02,Curitiba,PR,centro,-25.404882,-49.25147,bike,16,"2,05",8.11,1.5,U93,10,41,,sim,nublado,13,seg,
ECO-00142,10-09-2025,São Paulo,SP,leste,-23.582031,"-46,611306",patinete,10,"6,85",15.0,1.2,U138,16,24,,sim,nublado,7,sab,
ECO-00143,05-14-2025,salvador,BA,norte,-13.007542,-38.513191,publico,27,4.86,16.81,5.0,U174,8,28,nao,nao,sol,23,sex,
ECO-00144,data_invalida,São Paulo,SP,centro,-23.502818,-46.59518,patinete,28,8.12,20.12,4.6,U67,0,32,sim,sim,sol,5,qua,
ECO-00145,2025-07-28,Salvador,BA,centro,-12.997211,-38.482439,carro,10,7.7,28.33,4.2,U119,13,40,nao,nao,sol,9,seg,
ECO-00146,2025-10-10,Campinas,SP,leste,-22.929907,-47.051758,patinete,14,0.97,2.23,1.5,U318,2,19,,nao,nublado,11,qua,
ECO-00147,2025-08-15,Salvador,BA,sul,"-13,010305",-38.515918,patinete,25,5.19,9.53,2.4,U58,19,22,nao,sim,nublado,7,qui,
ECO-00148,2025-04-13,Uberaba,MG,leste,"-19,72053",-47.921388,publico,30,0.5,1.6,1.6,U92,30,13,sim,nao,sol,13,dom,
ECO-00149,05-29-2025,São Paulo,SP,leste,-23.590331,-46.623131,patinete,24,5.05,13.11,1.5,U286,25,29,,sim,chuva,16,dom,
ECO-00150,2025-02-20,Campinas,SP,oeste,-22.889951,-47.049281,publico,16,"1,14",2.84,3.1,U212,18,40,,sim,sol,8,qui,
ECO-00151,2025-04-03,campinas,SP,leste,-22.938194,-47.075134,carro,5,2.73,4.89,1.7,U65,21,34,,nao,sol,5,qua,
ECO-00152,08-19-2025,Uberlândia,MG,oeste,-18.902516,-48.326433,patinete,16,2.72,5.82,2.6,U378,20,10,nao,sim,sol,14,qua,
ECO-00153,2025-07-10,Uberlândia,MG,norte,-18.876232,-48.252719,patinete,15,8.44,21.72,3.1,U162,12,30,nao,nao,sol,0,qua,
ECO-00154,2025-10-20,Salvador,ba,oeste,-12.9455,"-38,511063",bike,20,4.0,12.91,2.9,U129,12,33,sim,nao,sol,3,sab,
ECO-00155,2025-04-23,São Paulo,SP,sul,-23.513964,"-46,594597",patinete,11,"3,67",13.71,4.5,U365,17,3,sim,nao,nublado,10,seg,
ECO-00156,2025-08-27,Campinas,SP,norte,-22.948642,-47.082643,publico,11,0.76,2.73,2.0,U380,26,34,,nao,sol,16,dom,
ECO-00157,2025-05-03,Curitiba,PR,leste,-25.390029,-49.23353,bike,5,"4,08",8.37,2.0,U375,11,49,nao,sim,chuva,18,qui,
ECO-00158,2025-05-01,São Paulo,SP,centro,-23.586102,-46.613669,patinete,7,5.06,9.31,4.9,U243,8,45,,nao,sol,0,sex,
ECO-00159,2025-03-08,Uberaba,MG,oeste,-19.73847,-47.925509,carro,36,"0,5",1.73,1.8,U31,26,20,,nao,sol,2,ter,
ECO-00160,09-03-2025,Curitiba,PR,sul,-25.389654,-49.228577,patinete,22,3.17,12.07,4.3,U153,1,28,nao,sim,sol,0,sab,
ECO-00161,05-12-2025,Uberlândia,MG,norte,-18.925056,"-48,270172",publico,27,0.5,1.06,5.0,U177,25,11,sim,sim,chuva,18,qui,
ECO-00162,2025-08-20,Campinas,SP,oeste,"-22,93039",-47.093327,patinete,7,"1,3",3.93,1.3,U226,7,33,sim,nao,sol,23,sab,
ECO-00163,03/01/2025,Campinas,SP,centro,-22.938694,-47.023691,bike,3,2.31,3.77,1.1,U167,0,52,,nao,sol,12,qui,
ECO-00164,2025-05-19,Uberaba,MG,leste,-19.759663,"-47,891986",patinete,30,1.9,3.83,4.0,U318,17,9,,sim,sol,12,seg,
ECO-00165,08/05/2025,Curitiba,PR,leste,-25.410767,-49.262012,patinete,3,0.5,1.47,4.4,U192,21,38,nao,nao,sol,21,qui,
ECO-00166,2025-06-13,Curitiba,PR,norte,-25.403105,-49.310665,patinete,18,0.5,1.97,4.3,U28,2,43,,sim,sol,8,qui,
ECO-00167,10/04/2025,Curitiba,PR,oeste,-25.380279,-49.321944,patinete,17,"6,68",25.89,1.8,U255,23,27,,sim,sol,8,dom,
ECO-00168,2025-09-12,Uberlândia,MG,oeste,-18.902058,-48.257483,patinete,26,9.33,18.88,2.6,U400,30,28,,sim,sol,16,qui,
ECO-00169,04-29-2025,Uberlândia,MG,sul,-18.95754,-48.289172,bike,28,5.49,9.04,3.5,U185,2,7,,sim,sol,19,sab,
ECO-00170,08-22-2025,uberaba,MG,sul,-19.782896,-47.96438,patinete,24,9.92,18.79,1.3,U278,21,33,,sim,nublado,12,sex,
ECO-00171,data_invalida,Uberlândia,MG,oeste,"-18,92774",-48.303217,carro,16,2.55,4.19,3.5,U138,26,0,nao,sim,chuva,19,sex,
ECO-00172,08-09-2025,Curitiba,PR,leste,"-25,395903",-49.24223,patinete,17,3.27,8.26,4.2,U28,7,20,sim,nao,nublado,22,qua,
ECO-00173,data_invalida,Curitiba,PR,centro,-25.428024,-49.280401,patinete,29,4.88,10.43,2.5,U15,17,59,sim,sim,chuva,20,ter,
ECO-00174,2025-10-09,Salvador,BA,leste,-12.937024,-38.474449,bike,8,"5,37",18.08,4.6,U47,9,60,sim,sim,sol,16,seg,
ECO-00175,09/05/2025,Curitiba,PR,oeste,-25.40904,-49.298548,patinete,28,5.64,13.67,3.6,U230,13,51,sim,nao,sol,17,dom,
