registro_id,data_atendimento,cidade,uf,especie,raca,idade_anos,peso_kg,sintomas_texto,prioridade_ia,tempo_espera_min,tempo_atendimento_min,temperatura_corporal_c,frequencia_cardiaca,exames_solicitados,diagnostico_previo,avaliacao_tutor,retorno_7d,historico_microchip,status_atendimento,observacao
FPC-00024,2025-06-24,Salvador,BA,gato,Poodle,8,12.88,NA,monitorar,21,31,36.95,109,raio_x,NA,2.91,sim,SIM,cancelado,
FPC-00025,09-19-2025,Porto Alegre,RS,cachorro,Bulldog,5,5.33,vômito e apatia,monitorar,62,26,45.5,126,nenhum,suspeita_infeccao,3.62,nao,SIM,finalizado,OUTLIER temperatura muito alta
FPC-00026,2025-04-13,Goiânia,GO,cachorro,SRD,5,27.42,ferimento na pata,urgente,47,34,37.64,101,raio_x,alergia,3.95,nao,,procesado,
FPC-00027,2025-10-17,Goiânia,GO,cachorro,Bulldog,2,20.28,letargia,monitorar,57,25,39.53,136,NA,trauma,3.78,sim,sim,procesado,
FPC-00028,2025-06-15,Porto Alegre,RS,cachorro,Siamês,12,18.05,,critico,77,35,37.48,110,ultrassom,NA,4.46,,sim,finalizado,
FPC-00029,2025-06-07,Porto Alegre,RS,gato,,3,3.18,febre alta,urgente,87,22,38.53,74,raio_x,trauma,3.54,sim,,finalizado,
FPC-00030,2025-08-16,Porto Alegre,RS,gato,Siamês,3,"6,55",coceira intensa,monitorar,72,7,39.09,134,nenhum,,3.8,NA,nao,finalizado,
FPC-00031,data_invalida,Uberaba,MG,cachorro,Labrador,9,19.53,coceira intensa,urgente,48,28,39.05,85,hemograma,trauma,5,NA,SIM,em_atendimento,
FPC-00032,2025-02-05,Salvador,BA,cachorro,Labrador,6,19.93,letargia,urgente,27,22,37.28,139,raio_x,,5,NA,nao,finalizado,
FPC-00033,2025-05-27,Campinas,SP,cachorro,Labrador,0,4.77,letargia,urgente,18,18,38.8,80,ultrassom,trauma,4.46,,SIM,em_atendimento,
FPC-00034,2025-04-15,São Paulo,SP,gato,SRD,0,0.5,coceira intensa,monitorar,70,31,36.37,121,hemograma,NA,3.03,nao,nao,cancelado,
FPC-00035,2025-09-05,Uberaba,MG,cachorro,Labrador,6,2.79,ferimento na pata,monitorar,65,22,39.38,130,nenhum,alergia,3.17,,nao,cancelado,
FPC-00036,2025-01-24,Goiânia,GO,gato,Siamês,9,4.74,,monitorar,47,37,38.82,122,hemograma,alergia,5,NA,nao,procesado,
FPC-00037,04-24-2025,Goiânia,GO,cachorro,Labrador,3,"26,43",,monitorar,81,8,40.38,133,nenhum,alergia,4.71,nao,nao,em_atendimento,
FPC-00038,2025-02-22,Goiânia,GO,cachorro,SRD,5,19.03,coceira intensa,monitorar,0,38,37.82,147,ultrassom,trauma,3.87,sim,sim,procesado,
FPC-00039,2025-10-23,Curitiba,PR,cachorro,Siamês,7,13.88,coceira intensa,monitorar,31,41,35.4,162,NA,NA,4.43,,,cancelado,
FPC-00040,2025-09-20,São Paulo,SP,gato,Bulldog,9,21.67,ferimento na pata,monitorar,28,18,38.47,30,nenhum,NA,4.25,,,em_atendimento,OUTLIER FC muito baixa
FPC-00041,2025-07-25,Campinas,SP,gato,Bulldog,4,"16,4",dificuldade respiratória,urgente,33,16,42.85,113,raio_x,trauma,2.65,NA,sim,procesado,
FPC-00042,2025-10-10,São Paulo,SP,cachorro,SRD,6,10.25,vômito e apatia,urgente,31,17,39.63,129,ultrassom,suspeita_infeccao,3.63,sim,SIM,em_atendimento,
FPC-00043,2025-03-10,Salvador,BA,gato,Siamês,2,"12,27",vômito e apatia,monitorar,44,21,39.12,109,hemograma,alergia,3.25,nao,nao,cancelado,
FPC-00044,2025-07-12,Goiânia,go,gato,Bulldog,4,"9,97",vômito e apatia,monitorar,23,26,37.86,173,ultrassom,trauma,4.53,,SIM,finalizado,
FPC-00045,2025-09-05,Uberlândia,MG,cachorro,Labrador,8,19.51,dificuldade respiratória,monitorar,18,24,39.18,143,NA,suspeita_infeccao,4.66,,sim,procesado,
FPC-00046,2025-04-27,Campinas,SP,gato,Bulldog,5,"10,2",NA,monitorar,3,12,37.91,128,NA,alergia,5,NA,sim,em_atendimento,
FPC-00047,2025-05-05,Porto Alegre,RS,cachorro,SRD,,"31,13",ferimento na pata,monitorar,50,18,39.7,76,raio_x,trauma,4.45,nao,SIM,cancelado,
FPC-00048,05-07-2025,Uberaba,MG,gato,SRD,3,"5,75",NA,monitorar,43,13,39.79,163,nenhum,trauma,4.48,,sim,em_atendimento,
FPC-00049,2025-05-19,Uberlândia,MG,gato,Labrador,12,8.56,vômito e apatia,monitorar,31,23,36.21,98,hemograma,suspeita_infeccao,4.76,,nao,cancelado,
FPC-00050,07-09-2025,porto alegre,RS,cachorro,SRD,0,16.24,coceira intensa,monitorar,21,36,39.29,154,nenhum,alergia,4.13,nao,sim,finalizado,
FPC-00051,2025-02-12,Porto Alegre,RS,cachorro,,4,"11,83",ferimento na pata,critico,31,18,39.14,98,raio_x,NA,3.06,NA,,em_atendimento,
FPC-00052,2025-03-25,São Paulo,SP,gato,Poodle,7,,NA,monitorar,93,11,37.36,115,hemograma,NA,4.22,NA,sim,procesado,
FPC-00053,2025-08-01,Campinas,SP,cachorro,,5,23.56,dificuldade respiratória,monitorar,2,25,37.98,131,ultrassom,trauma,5,,,procesado,
FPC-00054,2025-02-28,Uberaba,MG,cachorro,Siamês,8,"6,23",febre alta,monitorar,57,5,38.86,118,raio_x,suspeita_infeccao,1.47,NA,,procesado,
FPC-00055,2025-03-06,Curitiba,PR,gato,Labrador,2,0.5,dificuldade respiratória,urgente,71,1,38.11,137,raio_x,suspeita_infeccao,3.28,NA,,cancelado,OUTLIER atendimento muito curto
FPC-00056,2025-05-07,Uberlândia,MG,cachorro,SRD,5,"2,65",coceira intensa,monitorar,51,43,40.18,132,hemograma,,5,sim,nao,procesado,
FPC-00057,2025-03-20,Campinas,SP,cachorro,Bulldog,4,2.43,coceira intensa,monitorar,27,16,38.27,125,NA,,3.15,nao,sim,finalizado,
FPC-00058,data_invalida,Campinas,SP,gato,Poodle,11,"1,6",coceira intensa,monitorar,28,39,37.55,117,NA,NA,4.02,NA,sim,em_atendimento,
FPC-00059,15/05/2025,campinas,SP,cachorro,Bulldog,6,9.6,ferimento na pata,urgente,66,15,40.08,140,ultrassom,NA,3.33,nao,nao,cancelado,
FPC-00060,2025-03-10,São Paulo,SP,cachorro,Poodle,8,9.59,coceira intensa,monitorar,17,31,39.47,111,raio_x,trauma,2.92,nao,sim,finalizado,
FPC-00061,2025-08-31,Porto Alegre,RS,gato,Siamês,3,20.6,dificuldade respiratória,urgente,16,18,37.7,125,nenhum,trauma,5,sim,sim,finalizado,
FPC-00062,2025-05-05,Campinas,SP,cachorro,,5,11.7,febre alta,urgente,21,25,35.36,151,NA,NA,4.18,,SIM,finalizado,
FPC-00063,2025-07-27,goiânia,GO,cachorro,,4,14.49,ferimento na pata,monitorar,37,48,37.74,129,ultrassom,trauma,2.21,nao,nao,em_atendimento,
FPC-00064,2025-02-14,São Paulo,SP,gato,Bulldog,0,"10,51",febre alta,monitorar,49,32,"38,54",89,NA,trauma,4.54,sim,,finalizado,
FPC-00065,2025-09-07,Porto Alegre,rs,gato,Poodle,0,8.04,vômito e apatia,monitorar,2,15,37.87,116,ultrassom,alergia,4.1,sim,SIM,em_atendimento,
FPC-00066,2025-07-01,Campinas,SP,gato,SRD,5,9.84,febre alta,monitorar,88,25,37.76,146,nenhum,alergia,4.07,,sim,em_atendimento,
FPC-00067,2025-07-23,Porto Alegre,rs,gato,,6,14.22,NA,critico,22,23,"38,7",144,nenhum,suspeita_infeccao,4.89,sim,SIM,cancelado,
FPC-00068,2025-07-23,Porto Alegre,RS,gato,SRD,5,16.39,ferimento na pata,monitorar,17,15,38.39,60,ultrassom,alergia,5,sim,,procesado,
FPC-00069,2025-06-06,Salvador,BA,cachorro,Poodle,4,,ferimento na pata,urgente,10,27,40.8,154,raio_x,NA,5,nao,nao,em_atendimento,
FPC-00070,06-21-2025,Goiânia,GO,cachorro,SRD,6,16.15,coceira intensa,monitorar,300,27,38.8,134,NA,alergia,5.0,sim,nao,procesado,OUTLIER avaliação alta com espera longa
FPC-00071,2025-07-23,Campinas,SP,cachorro,Bulldog,3,11.54,letargia,monitorar,54,20,38.73,114,ultrassom,suspeita_infeccao,4.55,sim,sim,em_atendimento,
FPC-00072,2025-10-15,Uberaba,MG,gato,,6,8.96,NA,monitorar,47,17,39.01,138,hemograma,alergia,4.63,NA,,em_atendimento,
FPC-00073,2025-04-05,Porto Alegre,RS,gato,Siamês,4,"17,87",vômito e apatia,monitorar,24,17,39.45,104,ultrassom,trauma,4.92,NA,nao,procesado,
FPC-00074,2025-09-25,curitiba,PR,gato,SRD,3,6.13,NA,critico,41,24,37.15,80,NA,alergia,5,nao,nao,procesado,
FPC-00075,27/02/2025,São Paulo,sp,cachorro,Bulldog,9,16.42,,monitorar,38,9,39.36,184,nenhum,,5,NA,sim,cancelado,
FPC-00076,2025-04-06,Campinas,SP,gato,,5,"8,22",NA,monitorar,16,26,38.07,94,nenhum,alergia,4.69,sim,sim,cancelado,
FPC-00077,2025-05-06,São Paulo,sp,cachorro,Labrador,0,10.75,coceira intensa,urgente,56,21,39.74,120,hemograma,,4.87,NA,SIM,finalizado,
FPC-00078,03-27-2025,campinas,sp,cachorro,Labrador,3,24.73,febre alta,urgente,0,24,39.15,141,hemograma,,3.48,nao,,finalizado,
FPC-00079,2025-01-18,Goiânia,GO,gato,,5,"5,26",dificuldade respiratória,urgente,80,20,39.25,100,raio_x,suspeita_infeccao,2.85,,sim,em_atendimento,
FPC-00080,data_invalida,Campinas,SP,gato,,6,9.62,dificuldade respiratória,monitorar,45,35,37.89,144,ultrassom,,4.0,NA,,em_atendimento,
FPC-00081,06/03/2025,Salvador,BA,cachorro,Labrador,4,4.5,dificuldade respiratória,monitorar,13,34,36.5,102,raio_x,NA,4.11,nao,,finalizado,
FPC-00082,2025-10-09,Salvador,BA,gato,Siamês,1,12.05,,urgente,58,10,38.21,109,NA,alergia,2.91,NA,,cancelado,
FPC-00083,2025-05-20,Uberlândia,MG,gato,Labrador,5,0.5,NA,monitorar,47,21,"37,31",114,NA,alergia,4.05,NA,,procesado,
FPC-00084,2025-03-11,Goiânia,GO,gato,,3,3.71,coceira intensa,urgente,10,28,37.74,126,nenhum,alergia,5,NA,nao,em_atendimento,
FPC-00085,2025-08-25,Curitiba,PR,gato,Labrador,6,7.57,coceira intensa,urgente,58,34,39.07,77,raio_x,NA,4.76,sim,nao,finalizado,
FPC-00086,2025-03-09,São Paulo,SP,gato,Labrador,5,26.52,vômito e apatia,monitorar,19,22,36.08,121,nenhum,NA,5,,nao,finalizado,
FPC-00087,2025-07-31,Salvador,ba,cachorro,Siamês,3,11.0,,monitorar,20,34,38.27,87,hemograma,suspeita_infeccao,2.76,NA,SIM,em_atendimento,
FPC-00088,2025-05-31,Porto Alegre,RS,gato,Labrador,7,24.72,ferimento na pata,critico,33,13,37.43,90,ultrassom,trauma,3.71,sim,sim,em_atendimento,
FPC-00089,2025-09-21,uberlândia,MG,cachorro,,,9.41,letargia,monitorar,0,24,40.12,125,hemograma,alergia,3.35,nao,,finalizado,
FPC-00090,2025-03-02,Uberaba,MG,cachorro,Poodle,9,"6,26",ferimento na pata,monitorar,57,13,39.35,122,raio_x,,4.68,NA,SIM,cancelado,
FPC-00091,2025-09-12,Campinas,SP,cachorro,,1,9.23,ferimento na pata,monitorar,54,25,37.99,154,NA,NA,3.98,NA,SIM,em_atendimento,
FPC-00092,data_invalida,Campinas,SP,cachorro,Poodle,1,19.31,ferimento na pata,urgente,11,26,37.72,113,nenhum,NA,5,nao,,em_atendimento,
FPC-00093,2025-07-05,uberlândia,mg,cachorro,,3,11.27,NA,monitorar,12,40,40.61,85,hemograma,trauma,3.54,NA,SIM,procesado,
FPC-00094,2025-03-18,Goiânia,go,cachorro,,6,13.12,ferimento na pata,monitorar,52,31,"37,76",93,hemograma,suspeita_infeccao,3.11,,nao,em_atendimento,
FPC-00095,2025-09-29,Uberlândia,mg,gato,Siamês,4,6.7,,critico,0,43,37.95,69,nenhum,suspeita_infeccao,3.54,,nao,finalizado,
FPC-00096,2025-04-26,Uberaba,MG,cachorro,Poodle,,0.5,coceira intensa,monitorar,0,5,"36,87",122,NA,trauma,2.63,,,finalizado,
FPC-00097,2025-09-11,Uberlândia,MG,cachorro,Siamês,2,6.48,febre alta,monitorar,0,9,37.94,149,raio_x,alergia,4.16,nao,SIM,procesado,
FPC-00098,2025-04-04,São Paulo,SP,cachorro,Bulldog,5,4.98,coceira intensa,monitorar,57,20,40.07,127,NA,,4.19,sim,nao,em_atendimento,
FPC-00099,05-03-2025,Goiânia,GO,gato,Siamês,6,22.29,ferimento na pata,monitorar,42,23,38.74,114,NA,suspeita_infeccao,5,sim,nao,em_atendimento,
FPC-00100,2025-09-01,Salvador,BA,cachorro,Bulldog,8,20.42,dificuldade respiratória,urgente,69,5,38.62,111,hemograma,,4.21,,nao,procesado,
FPC-00101,10-26-2025,São Paulo,SP,cachorro,SRD,1,,,monitorar,27,35,39.42,123,raio_x,,4.91,NA,nao,em_atendimento,
FPC-00102,2025-01-18,Salvador,BA,cachorro,,7,5.56,NA,urgente,89,14,36.67,99,hemograma,trauma,2.19,sim,nao,cancelado,
FPC-00103,data_invalida,Goiânia,GO,cachorro,Bulldog,8,11.72,,critico,71,27,38.15,133,hemograma,,4.02,NA,nao,em_atendimento,
FPC-00104,04-11-2025,São Paulo,SP,cachorro,Poodle,4,11.71,vômito e apatia,monitorar,1,5,37.61,136,hemograma,suspeita_infeccao,5,NA,SIM,cancelado,
FPC-00105,2025-08-06,uberaba,MG,gato,Poodle,5,15.32,ferimento na pata,monitorar,22,26,38.46,64,hemograma,alergia,3.17,NA,,em_atendimento,
FPC-00106,2025-08-02,Campinas,SP,cachorro,SRD,2,"14,55",febre alta,critico,39,31,"37,44",113,ultrassom,trauma,2.98,sim,SIM,em_atendimento,
FPC-00107,09-05-2025,Goiânia,GO,cachorro,SRD,,21.83,coceira intensa,monitorar,50,27,40.21,109,nenhum,trauma,4.53,sim,nao,procesado,
FPC-00108,2025-05-04,Uberlândia,MG,cachorro,Labrador,0,9.03,letargia,monitorar,34,21,39.14,92,NA,alergia,3.67,NA,nao,procesado,
FPC-00109,2025-02-10,Uberaba,MG,cachorro,,5,"13,95",coceira intensa,monitorar,13,33,"34,83",158,hemograma,alergia,4.23,sim,nao,finalizado,
FPC-00110,2025-09-10,Salvador,BA,gato,SRD,4,"13,95",letargia,monitorar,27,22,37.75,152,hemograma,,2.43,nao,nao,finalizado,
FPC-00111,2025-07-03,Curitiba,PR,cachorro,Siamês,7,"2,26",ferimento na pata,monitorar,26,28,36.14,132,NA,,2.57,nao,nao,procesado,
FPC-00112,2025-07-11,porto alegre,RS,cachorro,SRD,0,0.95,,urgente,43,37,39.26,159,ultrassom,NA,4.65,nao,,cancelado,
FPC-00113,2025-08-24,Curitiba,PR,gato,Siamês,2,15.19,NA,monitorar,77,31,37.35,101,hemograma,suspeita_infeccao,4.1,nao,sim,em_atendimento,
FPC-00114,2025-05-17,Goiânia,GO,cachorro,Labrador,1,"19,44",febre alta,monitorar,28,32,39.41,112,NA,alergia,4.79,sim,SIM,finalizado,
FPC-00115,2025-06-04,Uberaba,MG,gato,,2,32.27,vômito e apatia,monitorar,43,40,"37,32",121,ultrassom,,5,sim,,em_atendimento,
FPC-00116,2025-10-01,Uberlândia,MG,gato,Labrador,6,13.03,coceira intensa,monitorar,27,35,39.12,109,ultrassom,trauma,2.46,NA,sim,cancelado,
FPC-00117,15/07/2025,São Paulo,SP,cachorro,Siamês,6,"5,11",ferimento na pata,urgente,38,18,37.12,112,NA,suspeita_infeccao,3.3,,SIM,procesado,
FPC-00118,2025-10-16,Porto Alegre,rs,gato,SRD,3,24.66,,monitorar,74,34,39.27,128,NA,NA,4.02,,sim,procesado,
FPC-00119,2025-03-08,Goiânia,GO,cachorro,Poodle,3,13.8,letargia,urgente,48,28,"40,52",122,raio_x,trauma,5,sim,SIM,finalizado,
FPC-00120,2025-04-26,Salvador,BA,gato,Bulldog,5,"2,91",,urgente,63,19,"34,62",105,NA,suspeita_infeccao,3.88,NA,nao,finalizado,
FPC-00121,2025-07-10,São Paulo,SP,gato,,5,"16,88",letargia,monitorar,20,48,38.41,99,nenhum,alergia,5,,nao,em_atendimento,
FPC-00122,20/07/2025,campinas,SP,cachorro,Bulldog,7,8.67,coceira intensa,monitorar,8,22,36.69,111,hemograma,alergia,4.32,sim,,cancelado,
FPC-00123,2025-07-27,Salvador,BA,cachorro,Siamês,4,14.89,vômito e apatia,monitorar,50,45,38.94,77,nenhum,alergia,3.06,NA,nao,procesado,
FPC-00124,2025-08-22,São Paulo,SP,cachorro,Labrador,0,3.49,ferimento na pata,monitorar,47,21,37.25,98,NA,trauma,4.92,sim,,procesado,
FPC-00125,2025-03-16,Campinas,SP,gato,Poodle,7,6.88,vômito e apatia,monitorar,34,29,37.24,129,nenhum,alergia,5,nao,SIM,cancelado,
FPC-00126,2025-06-14,Salvador,BA,gato,Bulldog,3,12.33,coceira intensa,urgente,46,32,38.12,93,NA,suspeita_infeccao,3.28,sim,,finalizado,
FPC-00127,2025-03-21,Campinas,SP,cachorro,Siamês,6,9.48,ferimento na pata,monitorar,51,41,38.87,129,NA,NA,4.13,NA,nao,procesado,
FPC-00128,2025-10-21,Uberlândia,mg,cachorro,SRD,4,"14,23",febre alta,monitorar,55,39,40.08,163,raio_x,trauma,4.66,NA,,finalizado,
FPC-00129,2025-05-07,Salvador,ba,cachorro,Siamês,3,29.7,coceira intensa,urgente,44,45,40.4,83,NA,NA,3.06,nao,SIM,procesado,
FPC-00130,2025-04-24,uberaba,MG,cachorro,Bulldog,9,2.93,ferimento na pata,urgente,70,27,39.0,137,NA,suspeita_infeccao,3.43,,sim,procesado,
FPC-00131,2025-07-28,São Paulo,SP,gato,,8,0.5,vômito e apatia,monitorar,41,43,"38,83",95,NA,NA,4.16,,nao,em_atendimento,
FPC-00132,21/01/2025,uberaba,MG,cachorro,Bulldog,6,19.08,coceira intensa,monitorar,38,17,38.51,131,nenhum,suspeita_infeccao,4.55,NA,SIM,finalizado,
FPC-00133,2025-09-07,Uberaba,MG,cachorro,Labrador,3,14.02,ferimento na pata,monitorar,29,5,37.97,174,hemograma,,3.21,NA,,finalizado,
FPC-00134,2025-03-13,Porto Alegre,rs,cachorro,Siamês,0,17.55,letargia,monitorar,0,27,37.35,104,nenhum,suspeita_infeccao,3.04,sim,,finalizado,
FPC-00135,2025-08-07,Campinas,SP,gato,Bulldog,3,2.11,dificuldade respiratória,monitorar,70,22,36.37,70,raio_x,trauma,5,sim,,procesado,
FPC-00136,2025-01-18,Porto Alegre,RS,cachorro,Siamês,9,18.04,letargia,monitorar,18,30,38.46,180,raio_x,alergia,2.74,sim,SIM,finalizado,
FPC-00137,2025-10-13,São Paulo,SP,cachorro,,1,,coceira intensa,urgente,83,18,"38,01",126,hemograma,,4.62,NA,SIM,finalizado,
FPC-00138,2025-03-22,Uberaba,MG,gato,Poodle,6,17.22,letargia,monitorar,57,23,"39,99",132,NA,NA,3.05,,sim,procesado,
FPC-00139,data_invalida,Porto Alegre,RS,gato,Bulldog,4,7.55,,urgente,31,38,38.57,154,NA,trauma,4.01,NA,SIM,cancelado,
FPC-00140,2025-09-29,São Paulo,SP,cachorro,Siamês,4,11.62,coceira intensa,monitorar,65,29,40.35,101,hemograma,suspeita_infeccao,1.97,,,em_atendimento,
FPC-00141,07-19-2025,Uberaba,MG,cachorro,Siamês,6,"21,92",dificuldade respiratória,monitorar,55,32,40.25,82,nenhum,,3.43,sim,,finalizado,
FPC-00142,2025-03-05,Porto Alegre,RS,cachorro,,5,"3,25",coceira intensa,monitorar,43,26,37.45,87,NA,suspeita_infeccao,4.34,nao,,cancelado,
FPC-00143,09-01-2025,Goiânia,GO,cachorro,,3,23.12,,urgente,0,14,38.91,135,ultrassom,trauma,3.42,nao,,cancelado,
FPC-00144,data_invalida,são paulo,sp,cachorro,Poodle,7,15.44,coceira intensa,urgente,34,12,39.91,149,nenhum,,4.47,sim,nao,cancelado,
FPC-00145,2025-01-19,Salvador,BA,cachorro,SRD,0,20.66,,critico,11,23,38.76,136,ultrassom,alergia,4.47,sim,nao,finalizado,
FPC-00146,2025-03-30,São Paulo,SP,cachorro,SRD,0,12.23,vômito e apatia,monitorar,37,16,40.64,163,ultrassom,,4.48,sim,SIM,em_atendimento,
FPC-00147,10-27-2025,Salvador,BA,gato,Bulldog,3,5.92,,monitorar,40,38,36.68,62,hemograma,alergia,1.98,,sim,procesado,
FPC-00148,2025-06-07,Salvador,BA,gato,Bulldog,2,"13,19",NA,monitorar,36,8,37.64,82,raio_x,NA,4.19,nao,nao,finalizado,
FPC-00149,2025-09-18,Uberlândia,MG,cachorro,Siamês,7,11.84,dificuldade respiratória,monitorar,78,34,36.29,145,raio_x,alergia,4.55,nao,nao,procesado,
FPC-00150,2025-02-01,Uberlândia,MG,cachorro,,3,11.82,vômito e apatia,monitorar,0,42,38.99,81,NA,alergia,2.48,,nao,procesado,
FPC-00151,01/01/2025,Campinas,sp,cachorro,Siamês,5,0.5,ferimento na pata,monitorar,35,28,39.58,121,raio_x,trauma,3.82,NA,sim,cancelado,
FPC-00152,2025-01-08,Salvador,BA,gato,Labrador,7,10.96,dificuldade respiratória,urgente,49,24,"36,43",141,NA,,5,,sim,finalizado,
FPC-00153,2025-04-11,São Paulo,SP,cachorro,Poodle,2,0.5,ferimento na pata,monitorar,11,35,38.48,154,NA,suspeita_infeccao,5,sim,SIM,finalizado,
FPC-00154,2025-08-24,curitiba,PR,gato,Labrador,7,"0,5",dificuldade respiratória,urgente,71,6,"38,74",147,raio_x,,3.37,sim,nao,em_atendimento,
FPC-00155,2025-01-29,Goiânia,GO,cachorro,SRD,2,11.79,vômito e apatia,monitorar,17,26,36.94,76,nenhum,suspeita_infeccao,5,NA,sim,finalizado,
FPC-00156,2025-05-01,curitiba,pr,gato,SRD,4,17.38,vômito e apatia,urgente,2,26,37.61,118,ultrassom,NA,5,NA,SIM,cancelado,
FPC-00157,2025-08-20,uberlândia,MG,gato,Labrador,4,4.04,NA,urgente,38,22,37.48,168,nenhum,NA,3.69,nao,,finalizado,
FPC-00158,02-03-2025,São Paulo,SP,gato,Poodle,6,"11,49",NA,monitorar,77,44,39.11,85,raio_x,alergia,3.23,,sim,finalizado,
FPC-00159,2025-05-17,Salvador,BA,gato,SRD,3,0.5,dificuldade respiratória,critico,28,37,39.05,123,nenhum,NA,4.01,NA,SIM,finalizado,
FPC-00160,2025-08-05,Campinas,SP,cachorro,Labrador,7,15.45,febre alta,urgente,83,37,37.9,126,hemograma,suspeita_infeccao,3.73,sim,sim,cancelado,
FPC-00161,2025-05-01,Porto Alegre,RS,cachorro,Bulldog,1,7.79,ferimento na pata,urgente,34,12,38.1,126,ultrassom,,3.07,nao,,em_atendimento,
FPC-00162,2025-05-27,Campinas,SP,gato,SRD,6,"13,02",dificuldade respiratória,monitorar,53,42,"39,08",201,hemograma,trauma,2.8,sim,sim,em_atendimento,
FPC-00163,2025-04-01,Porto Alegre,RS,gato,Bulldog,4,0.5,vômito e apatia,monitorar,32,41,38.72,60,raio_x,alergia,5,,,finalizado,
FPC-00164,2025-01-09,São Paulo,SP,cachorro,Siamês,1,22.26,NA,monitorar,28,19,39.57,85,NA,,3.67,NA,SIM,cancelado,
